Time,DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.830759E+03,7.567937E+02,1.977015E-01,6.366108E-02,0.000000E+00,1.075349E+04,0.000000E+00,9.052299E-01
00:20:00,3.830768E+03,6.687822E+02,1.977020E-01,5.625648E-02,0.000000E+00,1.083275E+04,0.000000E+00,9.119074E-01
00:30:00,3.830712E+03,5.828772E+02,1.976991E-01,4.902937E-02,0.000000E+00,1.091243E+04,0.000000E+00,9.186186E-01
00:40:00,3.830550E+03,4.990306E+02,1.976907E-01,4.197570E-02,0.000000E+00,1.057085E+04,0.000000E+00,8.898684E-01
00:50:00,3.830285E+03,4.172457E+02,1.976771E-01,3.509573E-02,0.000000E+00,1.023088E+04,0.000000E+00,8.612235E-01
01:00:00,3.829979E+03,3.375246E+02,1.976612E-01,2.838966E-02,0.000000E+00,9.891439E+03,0.000000E+00,8.326266E-01
01:10:00,3.829886E+03,2.618849E+02,1.976565E-01,2.202714E-02,0.000000E+00,9.879777E+03,0.000000E+00,8.316430E-01
01:20:00,3.829804E+03,1.901773E+02,1.976522E-01,1.599557E-02,0.000000E+00,9.868507E+03,0.000000E+00,8.306939E-01
01:30:00,3.829733E+03,1.273459E+02,1.976485E-01,1.071075E-02,0.000000E+00,9.857604E+03,0.000000E+00,8.297764E-01
01:40:00,3.829673E+03,7.775980E+01,1.976454E-01,6.540088E-03,0.000000E+00,9.847058E+03,0.000000E+00,8.288889E-01
01:50:00,3.829619E+03,4.138623E+01,1.976427E-01,3.480791E-03,0.000000E+00,9.836853E+03,0.000000E+00,8.280300E-01
02:00:00,3.829571E+03,1.819450E+01,1.976402E-01,1.530228E-03,0.000000E+00,9.826961E+03,0.000000E+00,8.271975E-01
02:10:00,3.829529E+03,4.402767E+00,1.976380E-01,3.702855E-04,0.000000E+00,9.817299E+03,0.000000E+00,8.263843E-01
02:20:00,3.829493E+03,0.000000E+00,1.976362E-01,0.000000E+00,0.000000E+00,9.807835E+03,0.000000E+00,8.255878E-01
02:30:00,3.829462E+03,0.000000E+00,1.976346E-01,0.000000E+00,0.000000E+00,9.798545E+03,0.000000E+00,8.248060E-01
02:40:00,3.829435E+03,0.000000E+00,1.976332E-01,0.000000E+00,0.000000E+00,9.789412E+03,0.000000E+00,8.240373E-01
02:50:00,3.829413E+03,0.000000E+00,1.976320E-01,0.000000E+00,0.000000E+00,9.780428E+03,0.000000E+00,8.232812E-01
03:00:00,3.829394E+03,0.000000E+00,1.976311E-01,0.000000E+00,0.000000E+00,9.771598E+03,0.000000E+00,8.225381E-01
03:10:00,3.829379E+03,0.000000E+00,1.976303E-01,0.000000E+00,0.000000E+00,9.762877E+03,0.000000E+00,8.218041E-01
03:20:00,3.829367E+03,0.000000E+00,1.976297E-01,0.000000E+00,0.000000E+00,9.754275E+03,0.000000E+00,8.210801E-01
03:30:00,3.829357E+03,0.000000E+00,1.976292E-01,0.000000E+00,0.000000E+00,9.745795E+03,0.000000E+00,8.203664E-01
03:40:00,3.829350E+03,0.000000E+00,1.976288E-01,0.000000E+00,0.000000E+00,9.737436E+03,0.000000E+00,8.196630E-01
03:50:00,3.829345E+03,0.000000E+00,1.976285E-01,0.000000E+00,0.000000E+00,9.729195E+03,0.000000E+00,8.189694E-01
04:00:00,3.829341E+03,0.000000E+00,1.976283E-01,0.000000E+00,0.000000E+00,9.721068E+03,0.000000E+00,8.182854E-01
04:10:00,3.829339E+03,0.000000E+00,1.976282E-01,0.000000E+00,0.000000E+00,9.782726E+03,0.000000E+00,8.234757E-01
04:20:00,3.829339E+03,0.000000E+00,1.976282E-01,0.000000E+00,0.000000E+00,9.844334E+03,0.000000E+00,8.286658E-01
04:30:00,3.829339E+03,0.000000E+00,1.976282E-01,0.000000E+00,0.000000E+00,9.906065E+03,0.000000E+00,8.338657E-01
04:40:00,3.829340E+03,0.000000E+00,1.976283E-01,0.000000E+00,0.000000E+00,9.967929E+03,0.000000E+00,8.390751E-01
