Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,23045084.551749807,10923350.991960116,23045084.551749807,6427775.415436303 
 01/01  02:00:00,,,17982777.26504179,9394575.175631016,17982777.26504179,3477187.935085882 
 01/01  03:00:00,,,18188846.527985178,9284673.139101181,18188846.527985178,3755107.9259252665 
 01/01  04:00:00,,,18452202.412963767,9201442.170574982,18452202.412963767,4073663.416592843 
 01/01  05:00:00,,,18811665.752216194,9451135.076153582,18811665.75221619,3792257.745418711 
 01/01  06:00:00,,,21744733.910835866,10033751.855836982,21744733.910835866,6406365.694758212 
 01/01  07:00:00,,,26891537.346705455,12206460.486041443,26891537.346705448,6564747.627086285 
 01/01  08:00:00,,,26998209.726448223,12715302.678730624,26998209.72644822,7102352.810192097 
 01/01  09:00:00,,,23611272.69432777,13410462.677106231,23611272.694327768,7118350.73170655 
 01/01  10:00:00,,,23183036.922625415,13404094.388738917,23183036.922625415,6676301.639233744 
 01/01  11:00:00,,,24680677.199379217,14978838.978239108,24680677.199379217,6595394.378196085 
 01/01  12:00:00,,,28935964.479475044,18918734.489694968,28935964.47947504,6592188.123836622 
 01/01  13:00:00,,,25524156.257010736,15062391.42491487,25524156.25701073,6835770.822167076 
 01/01  14:00:00,,,24789257.929106187,14895286.531563342,24789257.929106187,6770788.021056543 
 01/01  15:00:00,,,24357065.312288344,14728181.638211815,24357065.31228834,6491256.258493682 
 01/01  16:00:00,,,24288350.00203945,14728181.638211815,24288350.002039447,6436714.3466342725 
 01/01  17:00:00,,,26687870.223164603,15446648.445786713,26687870.223164603,6594664.740497481 
 01/01  18:00:00,,,31190049.215827756,16488292.38370697,31190049.215827752,6759137.076201225 
 01/01  19:00:00,,,31224493.476229183,16321187.490355445,31224493.476229183,6966689.563956492 
 01/01  20:00:00,,,31592127.08245697,16154082.597003916,31592127.08245696,7124086.142735736 
 01/01  21:00:00,,,31438741.208946507,15986977.703652387,31438741.208946504,7164527.221394837 
 01/01  22:00:00,,,30820670.811293542,15819872.810300859,30820670.811293542,6920932.060762507 
 01/01  23:00:00,,,28608583.902375694,14141476.56222611,28608583.90237569,6677054.305396751 
 01/01  24:00:00,,,30463534.430209186,15476451.225459158,30463534.430209182,6728545.593836922 
 01/02  01:00:00,,,22994622.89257367,10444435.60388608,22994622.89257367,6467527.186073382 
 01/02  02:00:00,,,18114646.852659304,9394575.175631016,18114646.852659304,3612229.2678419375 
 01/02  03:00:00,,,18118148.46729911,9284673.139101181,18118148.46729911,3688190.508278393 
 01/02  04:00:00,,,18381333.086918738,9201442.170574982,18381333.086918734,4011508.2009592 
 01/02  05:00:00,,,18747164.954040594,9451135.076153582,18747164.954040594,3735035.367423903 
 01/02  06:00:00,,,23058494.090168495,11345193.523640286,23058494.09016849,6421520.774167115 
 01/02  07:00:00,,,28277207.36163973,13549211.934858698,28277207.361639727,6597150.2250227 
 01/02  08:00:00,,,27835396.578921545,13616884.902323112,27835396.57892154,7028800.623280669 
 01/02  09:00:00,,,24124312.35434041,14040243.958968312,24124312.354340408,6993859.99525824 
 01/02  10:00:00,,,24049482.910274904,13982554.451431494,24049482.910274904,6957104.608495965 
 01/02  11:00:00,,,25885985.02458395,16135783.192941498,25885985.02458395,6628083.116091074 
 01/02  12:00:00,,,30379398.207857206,20075678.704397365,30379398.207857206,6872407.204983756 
 01/02  13:00:00,,,26963165.428211454,16219335.639617264,26963165.428211443,7090143.063925336 
 01/02  14:00:00,,,26241104.148252636,16052230.746265737,26241104.14825263,7050837.706469923 
 01/02  15:00:00,,,25721319.85235265,15885125.852914209,25721319.852352645,6685036.481580745 
 01/02  16:00:00,,,25519801.78459228,15885125.852914209,25519801.78459227,6497211.700115482 
 01/02  17:00:00,,,29201961.411781352,17887569.13965312,29201961.411781352,6644357.570280442 
 01/02  18:00:00,,,34170569.77377437,19267765.81199598,34170569.77377436,6939369.518764441 
 01/02  19:00:00,,,34226912.912874445,19100660.91864445,34226912.91287444,7166770.782048694 
 01/02  20:00:00,,,34445885.633208536,18933556.02529292,34445885.63320853,7175280.885170225 
 01/02  21:00:00,,,34250309.891531,18766451.131941393,34250309.89153099,7174964.820937493 
 01/02  22:00:00,,,33840262.4513432,18599346.238589868,33840262.4513432,7136578.832505204 
 01/02  23:00:00,,,28841751.47102237,14141476.56222611,28841751.47102236,6914468.340874538 
 01/02  24:00:00,,,30556120.56462083,15476451.225459158,30556120.56462083,6823202.278412577 
 01/03  01:00:00,,,23088322.082320523,10444435.60388608,23088322.082320523,6561567.360581829 
 01/03  02:00:00,,,18110290.37252474,9394575.175631016,18110290.37252474,3607169.65664754 
 01/03  03:00:00,,,17956225.35663666,9284673.139101181,17956225.35663666,3522776.5413171174 
 01/03  04:00:00,,,18385891.025525816,9201442.170574982,18385891.025525816,4014297.9610312167 
 01/03  05:00:00,,,20581166.46370081,9451135.076153582,20581166.463700805,3942478.169082565 
 01/03  06:00:00,,,24547053.45507115,11345193.523640286,24547053.455071148,6656673.473112598 
 01/03  07:00:00,,,29173998.266477488,13549211.934858698,29173998.266477488,6892354.143223087 
 01/03  08:00:00,,,28190844.047792222,13616767.704238959,28190844.04779222,7399191.479509869 
 01/03  09:00:00,,,24498064.44918647,14039712.535837058,24498064.44918647,7384335.402487823 
 01/03  10:00:00,,,24490034.20654012,13982554.451431494,24490034.206540115,7417081.349254035 
 01/03  11:00:00,,,26375502.509822544,16135783.192941498,26375502.509822544,7139619.460836617 
 01/03  12:00:00,,,30768767.762884855,20075678.704397365,30768767.762884848,7280275.479810178 
 01/03  13:00:00,,,27155798.137797017,16219335.639617264,27155798.137797013,7300571.080412371 
 01/03  14:00:00,,,26442080.021804247,16052230.746265737,26442080.021804243,7276702.430726776 
 01/03  15:00:00,,,26317868.98537882,15885125.852914209,26317868.98537881,7299054.661125827 
 01/03  16:00:00,,,26258791.015483443,15946576.999823581,26258791.01548344,7197701.827050146 
