Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17096677915.489475,35346048.71890965,0.0,20090371377.007236,0.0,0.0,177217258540.84146,5676620043463.166 
February,16883660213.612972,15236506.590690218,0.0,17865473571.043976,0.0,0.0,163691488885.19702,5607230756665.129 
March,11704801281.148966,265592440.64356774,0.0,20621790085.525993,0.0,0.0,165285860527.45825,4205756617096.832 
April,6587471825.436524,426720442.0602716,0.0,20929264261.938,0.0,0.0,149726503208.11407,2719914209510.0547 
May,2248882633.554245,1656204549.7962472,0.0,22812074755.339474,0.0,0.0,156394401570.7173,1347861264792.791 
June,358631822.6642753,3064349071.2748747,617925.493285046,23298751477.98188,0.0,0.0,173145035118.7654,530761289284.35455 
July,176723509.8240011,4445655272.251906,1664915.3458467359,24482492987.05531,0.0,0.0,219713599835.698,220866285813.14624 
August,112994124.33666348,4532318819.846956,1516831.193610588,25022698478.7325,0.0,0.0,186448766684.02136,333571911267.11945 
September,982375760.2368107,2944505144.9262466,0.0,23985353668.87039,0.0,0.0,156519971862.8138,954204432415.9554 
October,3842557147.2872844,1417353900.158791,0.0,23736260432.60596,0.0,0.0,151750822459.6992,2086794572054.5737 
November,9184152504.259508,172341115.1587422,0.0,21564754063.24427,0.0,0.0,156509492116.6143,3535317407534.918 
December,15269551906.903215,50610980.54488966,0.0,20860381722.740906,0.0,0.0,173749225590.65924,5199450408516.168 
