Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,21237169.471203785,8891762.788801404,21237169.471203785,6576564.175193224 
 01/01  02:00:00,,,14579226.81519141,7202641.201264004,14579226.81519141,2205151.5907826866 
 01/01  03:00:00,,,14795838.568999726,7045065.972354781,14795838.568999726,2533915.378000576 
 01/01  04:00:00,,,14610002.95720688,6983474.7260773815,14610002.957206877,2389230.020081785 
 01/01  05:00:00,,,15336845.41866887,7168248.4649095815,15336845.41866887,2526088.665629052 
 01/01  06:00:00,,,19549206.9609656,7599387.188851382,19549206.9609656,6564918.2157801725 
 01/01  07:00:00,,,24905834.20909971,10009704.21851575,24905834.20909971,6697755.390748127 
 01/01  08:00:00,,,24876602.599717133,10512833.717648318,24876602.599717133,7104217.292068372 
 01/01  09:00:00,,,21399805.118456177,11125757.867010629,21399805.118456177,7111919.517836251 
 01/01  10:00:00,,,21032558.203267574,11090881.13121338,21032558.203267574,6760981.436223082 
 01/01  11:00:00,,,22551678.458316263,12684076.963520719,22551678.458316263,6683642.668705061 
 01/01  12:00:00,,,26703313.651094053,16558802.559092369,26703313.65109405,6650179.709441055 
 01/01  13:00:00,,,23293999.022872176,12745906.104901742,23293999.022872172,6827859.649108944 
 01/01  14:00:00,,,22592123.321580246,12622247.82213969,22592123.321580242,6767394.052895002 
 01/01  15:00:00,,,22264601.612735763,12498589.539377632,22264601.61273576,6549690.7188817905 
 01/01  16:00:00,,,22226410.299882397,12498589.539377632,22226410.299882397,6526301.627135009 
 01/01  17:00:00,,,24521977.56605546,13132879.314816356,24521977.566055458,6664576.378155823 
 01/01  18:00:00,,,29195129.46947714,14373590.019093165,29195129.469477132,6800574.87966063 
 01/01  19:00:00,,,29226041.34308615,14249931.736331107,29226041.343086146,6960326.229194722 
 01/01  20:00:00,,,29610598.3701547,14126273.45356905,29610598.370154697,7083481.711590704 
 01/01  21:00:00,,,29576970.637072057,14002615.170806998,29576970.637072053,7200246.349337818 
 01/01  22:00:00,,,28975761.42997894,13878956.88804494,28975761.429978937,6938134.588705539 
 01/01  23:00:00,,,26913701.234473556,12291944.313823648,26913701.23447355,6757484.9920009 
 01/01  24:00:00,,,28687189.396384697,13548994.951142002,28687189.396384697,6808634.021885016 
 01/02  01:00:00,,,21141148.35825689,8360778.508785401,21141148.35825689,6611743.100936047 
 01/02  02:00:00,,,14870106.203400174,7202641.201264004,14870106.203400174,2498329.167060075 
 01/02  03:00:00,,,15102078.078563744,7045065.972354781,15102078.078563746,2844828.2534907595 
 01/02  04:00:00,,,14842832.099186448,6983474.7260773815,14842832.099186447,2629773.0212982916 
 01/02  05:00:00,,,15412535.589098195,7168248.4649095815,15412535.589098193,2609520.8346038833 
 01/02  06:00:00,,,21027781.21564959,9083383.954041366,21027781.215649586,6570108.696587305 
 01/02  07:00:00,,,26435660.135928676,11508654.536435734,26435660.135928668,6717747.385778202 
 01/02  08:00:00,,,25835141.421828244,11513761.82237587,25835141.421828233,7052753.8732882105 
 01/02  09:00:00,,,21996403.288093127,11811726.466434577,21996403.288093124,7015136.866808192 
 01/02  10:00:00,,,21897715.03661208,11732871.448420087,21897715.03661208,6976230.575976722 
 01/02  11:00:00,,,23875763.453416992,13968084.497671723,23875763.453416985,6707619.97621632 
 01/02  12:00:00,,,28204967.792073328,17842810.093243375,28204967.792073324,6861022.131774506 
 01/02  13:00:00,,,24901383.18429645,14029913.639052752,24901383.18429645,7123616.629880739 
 01/02  14:00:00,,,24111425.450523153,13906255.356290694,24111425.45052315,6988633.186018189 
 01/02  15:00:00,,,23711783.039053716,13782597.073528638,23711783.039053712,6698364.369705264 
 01/02  16:00:00,,,23573985.863814425,13782597.073528638,23573985.863814425,6575390.861759481 
 01/02  17:00:00,,,27312238.31272708,15859486.35731934,27312238.31272707,6704314.593348313 
 01/02  18:00:00,,,32441278.723272674,17465465.088949222,32441278.723272666,6933084.810253024 
 01/02  19:00:00,,,32638141.635336854,17341806.806187164,32638141.635336854,7258854.4297507405 
 01/02  20:00:00,,,32934028.86660333,17218148.52342511,32934028.866603326,7290732.956638005 
 01/02  21:00:00,,,32829998.30685661,17094490.24066305,32829998.3068566,7338810.931307956 
 01/02  22:00:00,,,32222783.745648257,16970831.957900997,32222783.74564825,7071321.731380601 
 01/02  23:00:00,,,27084166.75158158,12291944.313823648,27084166.75158158,6931207.802658778 
 01/02  24:00:00,,,28758230.535182282,13548994.951142002,28758230.535182275,6881143.529640956 
 01/03  01:00:00,,,21218344.556715697,8360778.508785401,21218344.55671569,6689069.356734738 
 01/03  02:00:00,,,15010738.268300314,7202641.201264004,15010738.268300314,2633898.696108008 
 01/03  03:00:00,,,15372322.019212658,7045065.972354781,15372322.019212656,3109073.1050386764 
 01/03  04:00:00,,,15827624.656554248,6983474.7260773815,15827624.656554248,3612173.5316266767 
 01/03  05:00:00,,,18375805.065334246,7168248.4649095815,18375805.06533424,3923938.057500988 
 01/03  06:00:00,,,22512123.33109331,9083383.954041366,22512123.33109331,6776141.808777402 
 01/03  07:00:00,,,27313476.13525211,11508654.536435734,27313476.135252103,6980105.411593152 
 01/03  08:00:00,,,26179158.781368412,11513622.20642518,26179158.781368412,7409742.1838799985 
 01/03  09:00:00,,,22374385.79127177,11811232.824528415,22374385.79127176,7408008.912878668 
 01/03  10:00:00,,,22370217.79411712,11732871.448420087,22370217.794117115,7466613.11304303 
 01/03  11:00:00,,,24302486.24383274,13968084.497671723,24302486.243832737,7154760.432863986 
 01/03  12:00:00,,,28725518.76914881,17842810.093243375,28725518.769148804,7399650.434686887 
 01/03  13:00:00,,,25531324.463202782,14029913.639052752,25531324.46320278,7773674.865766216 
 01/03  14:00:00,,,24753455.4065204,13906255.356290694,24753455.406520396,7653079.228900375 
 01/03  15:00:00,,,24313286.621260073,13782597.073528638,24313286.62126007,7321858.509283019 
 01/03  16:00:00,,,24133770.929613203,13782597.073528638,24133770.929613203,7157126.288127789 
 01/03  17:00:00,,,27991539.31104992,15904843.746416263,27991539.311049912,7365855.967423795 
 01/03  18:00:00,,,33179501.89085342,17465465.088949222,33179501.89085342,7698807.686211508 
 01/03  19:00:00,,,33324702.99369478,17341806.806187164,33324702.993694767,7969089.913731173 
 01/03  20:00:00,,,33228098.109629072,17218148.52342511,33228098.109629065,7996554.090109695 
 01/03  21:00:00,,,33090377.714258432,17094490.24066305,33090377.714258425,7982720.268978153 
 01/03  22:00:00,,,32765184.10306716,16970831.957900997,32765184.103067152,7907098.966574219 
 01/03  23:00:00,,,27778367.515971854,12291944.313823648,27778367.515971847,7632201.607470643 
 01/03  24:00:00,,,29371633.449681383,13548994.951142002,29371633.44968137,7494997.955079269 
 01/04  01:00:00,,,21716802.527618237,8360778.508785401,21716802.527618233,7185497.899349831 
 01/04  02:00:00,,,15666674.167328062,7202641.201264004,15666674.16732806,3304919.5231032083 
 01/04  03:00:00,,,15965548.288472429,7045065.972354781,15965548.288472433,3696170.1151433974 
 01/04  04:00:00,,,15117919.476844516,6983474.7260773815,15117919.476844516,2919429.06983786 
 01/04  05:00:00,,,16075516.03991734,7168248.4649095815,16075516.03991734,3263473.380536607 
 01/04  06:00:00,,,21996181.199299846,9083383.954041366,21996181.19929984,7540368.906677882 
 01/04  07:00:00,,,27505346.916335147,11508654.536435734,27505346.916335136,7795434.967936824 
 01/04  08:00:00,,,27004555.833282314,11402262.406384055,27004555.83328231,8348699.609282948 
 01/04  09:00:00,,,22983113.210641183,11547384.024277005,22983113.210641183,8282747.083759262 
 01/04  10:00:00,,,22869799.018696707,11732871.448420087,22869799.01869671,7967972.894829525 
 01/04  11:00:00,,,24452337.71573091,13968084.497671723,24452337.715730906,7306699.689392967 
 01/04  12:00:00,,,28766806.320675373,17842810.093243375,28766806.32067537,7441649.720994423 
 01/04  13:00:00,,,25555606.187449712,14029913.639052752,25555606.187449705,7797906.295542065 
 01/04  14:00:00,,,24661100.77445526,13906255.356290694,24661100.774455257,7560767.674759273 
 01/04  15:00:00,,,24153539.710400794,13782597.073528638,24153539.71040079,7162194.0161452945 
 01/04  16:00:00,,,24029145.209741972,13782597.073528638,24029145.209741972,7052477.0372682465 
 01/04  17:00:00,,,27709246.07644787,15680495.233258942,27709246.076447867,7305324.784438938 
 01/04  18:00:00,,,33100129.066054843,17465465.088949222,33100129.066054843,7618514.189016224 
 01/04  19:00:00,,,33316321.57173469,17341806.806187164,33316321.57173468,7961309.551653646 
 01/04  20:00:00,,,33585921.103793055,17218148.52342511,33585921.10379305,7965818.148453325 
 01/04  21:00:00,,,33414880.160387307,17094490.24066305,33414880.1603873,7943489.71031958 
 01/04  22:00:00,,,32836638.17117207,16970831.957900997,32836638.171172064,7699227.8519236045 
 01/04  23:00:00,,,27573408.509919122,12291944.313823648,27573408.509919114,7427119.314817504 
 01/04  24:00:00,,,29181234.848538116,13548994.951142002,29181234.84853811,7304599.353936 
 01/05  01:00:00,,,21549868.616549972,8360778.508785401,21549868.616549972,7018241.759612207 
 01/05  02:00:00,,,15362880.295617107,7202641.201264004,15362880.295617107,2989841.0597116197 
 01/05  03:00:00,,,16228409.663267568,7045065.972354781,16228409.663267568,3975474.1457305765 
 01/05  04:00:00,,,16447520.334735535,6983474.7260773815,16447520.334735535,4248316.27561503 
 01/05  05:00:00,,,16837167.83885514,7168248.4649095815,16837167.83885514,4042480.3092934326 
 01/05  06:00:00,,,21541803.661652036,9083383.954041366,21541803.661652036,7085604.272165209 
 01/05  07:00:00,,,26977119.60438307,11508654.536435734,26977119.604383066,7266844.477917925 
 01/05  08:00:00,,,26394746.157263383,11457563.640025288,26394746.15726338,7682779.495314503 
 01/05  09:00:00,,,22368851.742397908,11599490.698619928,22368851.742397904,7615597.584819125 
 01/05  10:00:00,,,22409229.85624603,11732871.448420087,22409229.85624603,7506710.160911849 
 01/05  11:00:00,,,24170979.624607548,13968084.497671723,24170979.624607548,7024323.914029838 
 01/05  12:00:00,,,28447491.306818172,17842810.093243375,28447491.306818172,7113769.153398346 
 01/05  13:00:00,,,25102027.779845398,14029913.639052752,25102027.779845394,7329542.232920874 
 01/05  14:00:00,,,24262523.256364204,13906255.356290694,24262523.256364204,7157862.979140105 
 01/05  15:00:00,,,23842042.348920748,13782597.073528638,23842042.348920744,6850528.578083534 
 01/05  16:00:00,,,23746825.512473512,13782597.073528638,23746825.512473512,6769727.483772451 
 01/05  17:00:00,,,26911124.006528057,15133878.028097555,26911124.006528057,7055195.5520614665 
 01/05  18:00:00,,,32933523.63301161,17465465.088949222,32933523.63301161,7452687.423058782 
 01/05  19:00:00,,,33296530.69237578,17341806.806187164,33296530.69237578,7940831.26931367 
 01/05  20:00:00,,,33593694.99237465,17218148.52342511,33593694.99237464,7972768.763044581 
 01/05  21:00:00,,,33404881.896782868,17094490.24066305,33404881.896782856,7933348.71897416 
 01/05  22:00:00,,,32849198.038744144,16970831.957900997,32849198.038744137,7711942.501510896 
 01/05  23:00:00,,,27728217.803056616,12291944.313823648,27728217.803056605,7581938.569646668 
 01/05  24:00:00,,,29443145.46916249,13548994.951142002,29443145.469162486,7566509.974560376 
 01/06  01:00:00,,,21810815.578120604,8360778.508785401,21810815.5781206,7279781.408742346 
 01/06  02:00:00,,,15146322.995851276,7202641.201264004,15146322.995851273,2782845.802607625 
 01/06  03:00:00,,,15783600.799036523,7045065.972354781,15783600.799036521,3512084.0455194837 
 01/06  04:00:00,,,15228366.343707412,6983474.7260773815,15228366.343707412,3027591.6466307407 
 01/06  05:00:00,,,17540105.85124658,7168248.4649095815,17540105.85124658,3073394.082518362 
 01/06  06:00:00,,,23126657.79071735,9083383.954041366,23126657.790717352,7392283.539518139 
 01/06  07:00:00,,,27994068.804395303,11508654.536435734,27994068.804395303,7661676.475711174 
 01/06  08:00:00,,,26954102.313367017,11373244.435306778,26954102.313367013,8326981.0557930805 
 01/06  09:00:00,,,22850025.557849735,11547384.024277005,22850025.55784973,8149128.411451721 
 01/06  10:00:00,,,22636897.553414956,11732871.448420087,22636897.553414952,7734561.771531228 
 01/06  11:00:00,,,24267993.3207087,13968084.497671723,24267993.3207087,7121775.137303163 
 01/06  12:00:00,,,28547601.12526919,17842810.093243375,28547601.12526918,7215514.406683892 
 01/06  13:00:00,,,25199892.969644196,14029913.639052752,25199892.969644193,7430402.676045798 
 01/06  14:00:00,,,24277299.93026572,13906255.356290694,24277299.93026572,7173924.977740435 
 01/06  15:00:00,,,23740676.417422615,13782597.073528638,23740676.417422608,6748497.35236648 
 01/06  16:00:00,,,23546479.16201902,13782597.073528638,23546479.16201902,6568597.296661653 
 01/06  17:00:00,,,27682287.482645813,16116739.482620327,27682287.48264581,6837355.827174187 
 01/06  18:00:00,,,32680570.320765343,17465465.088949222,32680570.32076533,7193714.033246643 
 01/06  19:00:00,,,32952277.20107237,17341806.806187164,32952277.201072365,7594197.311043055 
 01/06  20:00:00,,,32805061.5690898,17218148.52342511,32805061.569089796,7572879.751264525 
 01/06  21:00:00,,,32511650.497327972,17094490.24066305,32511650.497327972,7403238.851338828 
 01/06  22:00:00,,,31875210.24425073,16970831.957900997,31875210.244250726,7017577.995759124 
 01/06  23:00:00,,,26927961.838874638,12291944.313823648,26927961.83887463,6781485.8446125025 
 01/06  24:00:00,,,28494257.472364306,13548994.951142002,28494257.472364306,6617621.9777622 
 01/07  01:00:00,,,21431059.35728877,8891762.788801404,21431059.35728877,6361367.926753333 
 01/07  02:00:00,,,13853083.773775706,7202641.201264004,13853083.773775706,1479615.4452949646 
 01/07  03:00:00,,,14305697.67297657,7045065.972354781,14305697.672976568,2050630.6479698664 
 01/07  04:00:00,,,14052621.828477222,6983474.7260773815,14052621.828477222,1851699.9837567494 
