Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18703859620.844604,8401141.936791498,5252972.885593788,13893431369.376791,0.0,0.0,14408340446.264185,163226242260.33527 
February,18308247764.021336,35598163.92534655,5976267.17271364,12205740401.334373,0.0,0.0,12953684613.563692,159298408296.4059 
March,12998091621.174707,94043710.90251578,3827707.7981792707,14272772998.716417,0.0,0.0,13664148345.89713,130514743280.54756 
April,7282818193.997586,177290840.30080792,484360.01934950345,14614439366.208517,0.0,0.0,12782594440.149275,95514574059.41136 
May,2156147106.674775,1004021141.43093,89812.95615833726,15792588294.392517,0.0,0.0,13921552560.433954,70840603921.84178 
June,163638392.48527753,2189003293.989796,0.0,16385353337.948097,0.0,0.0,15852644195.982552,58338250045.21862 
July,2632060.407170432,3842425432.161365,0.0,17843643247.529686,0.0,0.0,20085323505.34056,57734023302.54985 
August,7496678.401885323,3313042619.102712,0.0,17767110648.307293,0.0,0.0,18053058186.459167,57603658024.24573 
September,796884268.238394,2113296683.2515924,0.0,16972729107.97162,0.0,0.0,15164343218.243792,60715648749.904465 
October,4039097506.140243,731332704.2813905,451563.96070040314,17055819203.665314,0.0,0.0,14049969037.025932,79640214239.58481 
November,10127115066.252138,62983991.2437446,1778410.492871807,15603994947.553347,0.0,0.0,13525317362.115604,108840106058.82112 
December,16717005513.894558,23765021.24859581,5531124.306647402,14673290214.466425,0.0,0.0,14382829479.357927,150471176543.5806 
