Time,DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.141159E+03,1.465711E+03,2.030390E-01,1.282690E-01,4.571633E+02,9.384246E+03,2.241318E-02,8.217515E-01
00:20:00,4.141005E+03,1.373248E+03,2.030315E-01,1.201751E-01,3.916018E+02,9.461458E+03,1.919936E-02,8.285188E-01
00:30:00,4.140850E+03,1.283152E+03,2.030239E-01,1.122886E-01,3.268994E+02,9.539134E+03,1.602764E-02,8.353251E-01
00:40:00,4.140381E+03,1.195349E+03,2.029998E-01,1.046030E-01,4.358348E+02,9.197089E+03,2.136866E-02,8.053781E-01
00:50:00,4.140246E+03,1.109783E+03,2.029917E-01,9.711345E-02,5.447521E+02,8.856997E+03,2.670879E-02,7.755675E-01
01:00:00,4.140809E+03,1.026405E+03,2.030181E-01,8.981569E-02,6.536536E+02,8.517589E+03,3.204816E-02,7.458209E-01
01:10:00,4.140840E+03,9.471187E+02,2.030196E-01,8.287622E-02,6.535643E+02,8.505194E+03,3.204379E-02,7.447333E-01
01:20:00,4.140871E+03,8.718169E+02,2.030211E-01,7.628567E-02,6.534757E+02,8.493246E+03,3.203944E-02,7.436866E-01
01:30:00,4.140902E+03,8.004838E+02,2.030226E-01,7.004264E-02,6.533934E+02,8.481707E+03,3.203542E-02,7.426764E-01
01:40:00,4.140933E+03,7.331375E+02,2.030241E-01,6.414872E-02,6.533241E+02,8.470562E+03,3.203202E-02,7.417008E-01
