Time,DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.039087E+03,1.214490E+03,1.980305E-01,1.017357E-01,0.000000E+00,1.167959E+04,0.000000E+00,9.790397E-01
00:20:00,4.038839E+03,1.121080E+03,1.980183E-01,9.390901E-02,0.000000E+00,1.175782E+04,0.000000E+00,9.856026E-01
00:30:00,4.038593E+03,1.029951E+03,1.980062E-01,8.627379E-02,0.000000E+00,1.183655E+04,0.000000E+00,9.922066E-01
00:40:00,4.038348E+03,9.410778E+02,1.979942E-01,7.882777E-02,0.000000E+00,1.149395E+04,0.000000E+00,9.634918E-01
00:50:00,4.038105E+03,8.544367E+02,1.979823E-01,7.156905E-02,0.000000E+00,1.115296E+04,0.000000E+00,9.348814E-01
01:00:00,4.037864E+03,7.700089E+02,1.979705E-01,6.449602E-02,0.000000E+00,1.081253E+04,0.000000E+00,9.063216E-01
01:10:00,4.037882E+03,6.897679E+02,1.979714E-01,5.777394E-02,0.000000E+00,1.080005E+04,0.000000E+00,9.052734E-01
01:20:00,4.037900E+03,6.135968E+02,1.979722E-01,5.139301E-02,0.000000E+00,1.078800E+04,0.000000E+00,9.042637E-01
01:30:00,4.037917E+03,5.414926E+02,1.979731E-01,4.535296E-02,0.000000E+00,1.077637E+04,0.000000E+00,9.032890E-01
01:40:00,4.037934E+03,4.734469E+02,1.979739E-01,3.965307E-02,0.000000E+00,1.076514E+04,0.000000E+00,9.023479E-01
01:50:00,4.037951E+03,4.094548E+02,1.979748E-01,3.429290E-02,0.000000E+00,1.075430E+04,0.000000E+00,9.014394E-01
02:00:00,4.037968E+03,3.495125E+02,1.979756E-01,2.927213E-02,0.000000E+00,1.074384E+04,0.000000E+00,9.005625E-01
02:10:00,4.037985E+03,2.917325E+02,1.979764E-01,2.443264E-02,0.000000E+00,1.073369E+04,0.000000E+00,8.997122E-01
02:20:00,4.038002E+03,2.361182E+02,1.979773E-01,1.977467E-02,0.000000E+00,1.072385E+04,0.000000E+00,8.988877E-01
02:30:00,4.038019E+03,1.826567E+02,1.979781E-01,1.529713E-02,0.000000E+00,1.071431E+04,0.000000E+00,8.980881E-01
02:40:00,4.038035E+03,1.313423E+02,1.979789E-01,1.099953E-02,0.000000E+00,1.070506E+04,0.000000E+00,8.973127E-01
02:50:00,4.038052E+03,8.805557E+01,1.979797E-01,7.374316E-03,0.000000E+00,1.069609E+04,0.000000E+00,8.965610E-01
03:00:00,4.038068E+03,5.464522E+01,1.979805E-01,4.576283E-03,0.000000E+00,1.068739E+04,0.000000E+00,8.958320E-01
03:10:00,4.038084E+03,2.917121E+01,1.979813E-01,2.442932E-03,0.000000E+00,1.067889E+04,0.000000E+00,8.951198E-01
03:20:00,4.038101E+03,1.160284E+01,1.979821E-01,9.716666E-04,0.000000E+00,1.067057E+04,0.000000E+00,8.944222E-01
03:30:00,4.038117E+03,1.892226E+00,1.979829E-01,1.584606E-04,0.000000E+00,1.066239E+04,0.000000E+00,8.937368E-01
03:40:00,4.038132E+03,0.000000E+00,1.979837E-01,0.000000E+00,0.000000E+00,1.065432E+04,0.000000E+00,8.930611E-01
03:50:00,4.038148E+03,0.000000E+00,1.979844E-01,0.000000E+00,0.000000E+00,1.064635E+04,0.000000E+00,8.923931E-01
04:00:00,4.038164E+03,0.000000E+00,1.979852E-01,0.000000E+00,0.000000E+00,1.063845E+04,0.000000E+00,8.917310E-01
04:10:00,4.038179E+03,0.000000E+00,1.979860E-01,0.000000E+00,0.000000E+00,1.070030E+04,0.000000E+00,8.969154E-01
04:20:00,4.038195E+03,0.000000E+00,1.979867E-01,0.000000E+00,0.000000E+00,1.076206E+04,0.000000E+00,9.020968E-01
04:30:00,4.038210E+03,0.000000E+00,1.979875E-01,0.000000E+00,0.000000E+00,1.082392E+04,0.000000E+00,9.072850E-01
04:40:00,4.038225E+03,0.000000E+00,1.979882E-01,0.000000E+00,0.000000E+00,1.088588E+04,0.000000E+00,9.124804E-01
04:50:00,4.038239E+03,0.000000E+00,1.979889E-01,0.000000E+00,0.000000E+00,1.094797E+04,0.000000E+00,9.176861E-01
05:00:00,4.038253E+03,0.000000E+00,1.979896E-01,0.000000E+00,0.000000E+00,1.101043E+04,0.000000E+00,9.229221E-01
05:10:00,4.038267E+03,0.000000E+00,1.979903E-01,0.000000E+00,0.000000E+00,1.099983E+04,0.000000E+00,9.220335E-01
05:20:00,4.038281E+03,0.000000E+00,1.979909E-01,0.000000E+00,0.000000E+00,1.099100E+04,0.000000E+00,9.212889E-01
05:30:00,4.038294E+03,0.000000E+00,1.979916E-01,0.000000E+00,0.000000E+00,1.098410E+04,0.000000E+00,9.207073E-01
05:40:00,4.038307E+03,0.000000E+00,1.979922E-01,0.000000E+00,0.000000E+00,1.097797E+04,0.000000E+00,9.201731E-01
05:50:00,4.038321E+03,0.000000E+00,1.979929E-01,0.000000E+00,0.000000E+00,1.097500E+04,0.000000E+00,9.198784E-01
06:00:00,4.038334E+03,0.000000E+00,1.979936E-01,0.000000E+00,0.000000E+00,1.097444E+04,0.000000E+00,9.197684E-01
06:10:00,4.038348E+03,0.000000E+00,1.979942E-01,0.000000E+00,0.000000E+00,1.099455E+04,0.000000E+00,9.213812E-01
06:20:00,4.038362E+03,9.545788E+00,1.979949E-01,7.998235E-04,0.000000E+00,1.101775E+04,0.000000E+00,9.232521E-01
06:30:00,4.038375E+03,4.269840E+01,1.979956E-01,3.576308E-03,0.000000E+00,1.104377E+04,0.000000E+00,9.253487E-01
06:40:00,4.038389E+03,1.009446E+02,1.979962E-01,8.454117E-03,0.000000E+00,1.107473E+04,0.000000E+00,9.278748E-01
06:50:00,4.038402E+03,1.825374E+02,1.979969E-01,1.528719E-02,0.000000E+00,1.110847E+04,0.000000E+00,9.306588E-01
07:00:00,4.038416E+03,2.890619E+02,1.979976E-01,2.420834E-02,0.000000E+00,1.114589E+04,0.000000E+00,9.337693E-01
07:10:00,4.038429E+03,4.380155E+02,1.979982E-01,3.668312E-02,0.000000E+00,1.114304E+04,0.000000E+00,9.335137E-01
07:20:00,4.038442E+03,6.193668E+02,1.979988E-01,5.187122E-02,0.000000E+00,1.114274E+04,0.000000E+00,9.334734E-01
07:30:00,4.038455E+03,8.185712E+02,1.979995E-01,6.855514E-02,0.000000E+00,1.114473E+04,0.000000E+00,9.336275E-01
07:40:00,4.038468E+03,1.034061E+03,1.980001E-01,8.660366E-02,0.000000E+00,1.114839E+04,0.000000E+00,9.339238E-01
07:50:00,4.038481E+03,1.267326E+03,1.980008E-01,1.061414E-01,0.000000E+00,1.115340E+04,0.000000E+00,9.343334E-01
08:00:00,4.038495E+03,1.516699E+03,1.980014E-01,1.270288E-01,0.000000E+00,1.115930E+04,0.000000E+00,9.348175E-01
08:10:00,4.038508E+03,1.768881E+03,1.980021E-01,1.481522E-01,0.000000E+00,1.119554E+04,0.000000E+00,9.378433E-01
08:20:00,4.038521E+03,2.024911E+03,1.980027E-01,1.695983E-01,0.000000E+00,1.123172E+04,0.000000E+00,9.408648E-01
08:30:00,4.038533E+03,2.285572E+03,1.980033E-01,1.914332E-01,0.000000E+00,1.126793E+04,0.000000E+00,9.438957E-01
08:40:00,4.038546E+03,2.551448E+03,1.980039E-01,2.137073E-01,0.000000E+00,1.130395E+04,0.000000E+00,9.469202E-01
08:50:00,4.038559E+03,2.822510E+03,1.980046E-01,2.364153E-01,0.000000E+00,1.133917E+04,0.000000E+00,9.498730E-01
09:00:00,4.038571E+03,3.099219E+03,1.980052E-01,2.595963E-01,0.000000E+00,1.137395E+04,0.000000E+00,9.527864E-01
09:10:00,4.038583E+03,3.373529E+03,1.980058E-01,2.825768E-01,0.000000E+00,1.141362E+04,0.000000E+00,9.561097E-01
09:20:00,4.038595E+03,3.644948E+03,1.980064E-01,3.053180E-01,0.000000E+00,1.145286E+04,0.000000E+00,9.594038E-01
09:30:00,4.038607E+03,3.912670E+03,1.980069E-01,3.277509E-01,0.000000E+00,1.149133E+04,0.000000E+00,9.626365E-01
09:40:00,4.038619E+03,4.175728E+03,1.980075E-01,3.497920E-01,0.000000E+00,1.152871E+04,0.000000E+00,9.657704E-01
09:50:00,4.038631E+03,4.434048E+03,1.980081E-01,3.714377E-01,0.000000E+00,1.156561E+04,0.000000E+00,9.688700E-01
10:00:00,4.038642E+03,4.686725E+03,1.980087E-01,3.926118E-01,0.000000E+00,1.160161E+04,0.000000E+00,9.718955E-01
10:10:00,4.038653E+03,4.933344E+03,1.980092E-01,4.132790E-01,0.000000E+00,1.162549E+04,0.000000E+00,9.739056E-01
10:20:00,4.038665E+03,5.173150E+03,1.980098E-01,4.333734E-01,0.000000E+00,1.164812E+04,0.000000E+00,9.758047E-01
10:30:00,4.038676E+03,5.405888E+03,1.980103E-01,4.528750E-01,0.000000E+00,1.166978E+04,0.000000E+00,9.776187E-01
10:40:00,4.038687E+03,5.631641E+03,1.980108E-01,4.717971E-01,0.000000E+00,1.169083E+04,0.000000E+00,9.793914E-01
10:50:00,4.038698E+03,5.849385E+03,1.980114E-01,4.900514E-01,0.000000E+00,1.171061E+04,0.000000E+00,9.810635E-01
11:00:00,4.038709E+03,6.058804E+03,1.980119E-01,5.076087E-01,0.000000E+00,1.172913E+04,0.000000E+00,9.826308E-01
11:10:00,4.038720E+03,6.254075E+03,1.980125E-01,5.239809E-01,0.000000E+00,1.162252E+04,0.000000E+00,9.737122E-01
11:20:00,4.038730E+03,6.435064E+03,1.980130E-01,5.391565E-01,0.000000E+00,1.151461E+04,0.000000E+00,9.646857E-01
11:30:00,4.038741E+03,6.601775E+03,1.980135E-01,5.531361E-01,0.000000E+00,1.140526E+04,0.000000E+00,9.555395E-01
11:40:00,4.038752E+03,6.754744E+03,1.980141E-01,5.659662E-01,0.000000E+00,1.171606E+04,0.000000E+00,9.816069E-01
11:50:00,4.038764E+03,6.894097E+03,1.980146E-01,5.776613E-01,0.000000E+00,1.202484E+04,0.000000E+00,1.007518E+00
12:00:00,4.038775E+03,7.020483E+03,1.980151E-01,5.882705E-01,0.000000E+00,1.233177E+04,0.000000E+00,1.033265E+00
12:10:00,4.038785E+03,7.140498E+03,1.980156E-01,5.983461E-01,0.000000E+00,1.276656E+04,0.000000E+00,1.069725E+00
12:20:00,4.038793E+03,7.255483E+03,1.980161E-01,6.080006E-01,0.000000E+00,1.319978E+04,0.000000E+00,1.106052E+00
12:30:00,4.038801E+03,7.367874E+03,1.980165E-01,6.174381E-01,0.000000E+00,1.340458E+04,0.000000E+00,1.123235E+00
12:40:00,4.038808E+03,7.480415E+03,1.980168E-01,6.268812E-01,0.000000E+00,1.311232E+04,0.000000E+00,1.098746E+00
12:50:00,4.038814E+03,7.592276E+03,1.980171E-01,6.362877E-01,0.000000E+00,1.281949E+04,0.000000E+00,1.074224E+00
13:00:00,4.038821E+03,7.705165E+03,1.980174E-01,6.457859E-01,0.000000E+00,1.252679E+04,0.000000E+00,1.049737E+00
13:10:00,4.038829E+03,7.816834E+03,1.980178E-01,6.551837E-01,0.000000E+00,1.225059E+04,0.000000E+00,1.026641E+00
13:20:00,4.038838E+03,7.926801E+03,1.980183E-01,6.644394E-01,0.000000E+00,1.197431E+04,0.000000E+00,1.003541E+00
13:30:00,4.038849E+03,8.033222E+03,1.980188E-01,6.733983E-01,0.000000E+00,1.192525E+04,0.000000E+00,9.994845E-01
13:40:00,4.038860E+03,8.132893E+03,1.980193E-01,6.817920E-01,0.000000E+00,1.195037E+04,0.000000E+00,1.001648E+00
13:50:00,4.038872E+03,8.227490E+03,1.980199E-01,6.897322E-01,0.000000E+00,1.197616E+04,0.000000E+00,1.003833E+00
14:00:00,4.038883E+03,8.314999E+03,1.980205E-01,6.970728E-01,0.000000E+00,1.200197E+04,0.000000E+00,1.006007E+00
14:10:00,4.038894E+03,8.391498E+03,1.980210E-01,7.034891E-01,0.000000E+00,1.201686E+04,0.000000E+00,1.007258E+00
14:20:00,4.038904E+03,8.456392E+03,1.980215E-01,7.089317E-01,0.000000E+00,1.203203E+04,0.000000E+00,1.008529E+00
14:30:00,4.038915E+03,8.509186E+03,1.980220E-01,7.133592E-01,0.000000E+00,1.204737E+04,0.000000E+00,1.009815E+00
14:40:00,4.038924E+03,8.547906E+03,1.980225E-01,7.165897E-01,0.000000E+00,1.206146E+04,0.000000E+00,1.010974E+00
14:50:00,4.038934E+03,8.574115E+03,1.980230E-01,7.187504E-01,0.000000E+00,1.207579E+04,0.000000E+00,1.012128E+00
15:00:00,4.038943E+03,8.587524E+03,1.980234E-01,7.198358E-01,0.000000E+00,1.209011E+04,0.000000E+00,1.013276E+00
15:10:00,4.038953E+03,8.586127E+03,1.980239E-01,7.196793E-01,0.000000E+00,1.209282E+04,0.000000E+00,1.013452E+00
15:20:00,4.038962E+03,8.569677E+03,1.980243E-01,7.182610E-01,0.000000E+00,1.209505E+04,0.000000E+00,1.013585E+00
15:30:00,4.038971E+03,8.538093E+03,1.980248E-01,7.155741E-01,0.000000E+00,1.209662E+04,0.000000E+00,1.013664E+00
15:40:00,4.038979E+03,8.492084E+03,1.980252E-01,7.116817E-01,0.000000E+00,1.209801E+04,0.000000E+00,1.013733E+00
15:50:00,4.038988E+03,8.430932E+03,1.980256E-01,7.065333E-01,0.000000E+00,1.209832E+04,0.000000E+00,1.013730E+00
16:00:00,4.038997E+03,8.354649E+03,1.980260E-01,7.001181E-01,0.000000E+00,1.209740E+04,0.000000E+00,1.013626E+00
16:10:00,4.039005E+03,8.270824E+03,1.980264E-01,6.930711E-01,0.000000E+00,1.205632E+04,0.000000E+00,1.010158E+00
16:20:00,4.039013E+03,8.179928E+03,1.980269E-01,6.854318E-01,0.000000E+00,1.201416E+04,0.000000E+00,1.006598E+00
16:30:00,4.039022E+03,8.082613E+03,1.980273E-01,6.772549E-01,0.000000E+00,1.197080E+04,0.000000E+00,1.002939E+00
16:40:00,4.039030E+03,7.980416E+03,1.980277E-01,6.686819E-01,0.000000E+00,1.192689E+04,0.000000E+00,9.992498E-01
16:50:00,4.039039E+03,7.873146E+03,1.980281E-01,6.596909E-01,0.000000E+00,1.188154E+04,0.000000E+00,9.954494E-01
