Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16458032232.671177,55562514.84331537,2393906.4853665167,16953598806.706163,0.0,0.0,19775501839.061264,160751156414.59482 
February,15444270526.556911,38913840.67753854,3797104.6080622138,14741028625.423807,0.0,0.0,17760481089.68971,154271278439.57135 
March,13004572899.19575,86577853.24609753,1273596.4139651144,17563461105.361645,0.0,0.0,19030692590.80378,132602786190.8138 
April,8276833035.285954,115557847.33149208,1290282.104732479,17997805326.503437,0.0,0.0,17956107236.552097,98726329173.82178 
May,2890304630.081113,803678334.0152785,0.0,19438803549.01405,0.0,0.0,19593594986.026886,72740351716.44655 
June,379559997.31718117,1882314553.54362,0.0,19887701611.63838,0.0,0.0,22079024261.04075,59326214383.50078 
July,19790306.019532647,3582982135.0899124,0.0,21505377768.1548,0.0,0.0,27344126662.028183,57952031234.90977 
August,51344140.18839087,3004574872.612909,0.0,21443431223.739677,0.0,0.0,24946856560.243362,58082304723.8966 
September,1180821016.5324082,1748073999.260842,0.0,20433652686.272446,0.0,0.0,21153589515.020798,62189476959.47813 
October,4877239440.759401,562719808.8892187,500234.4125563917,20607065454.391396,0.0,0.0,19489078998.70934,81671916424.2306 
November,10596642966.47652,65180516.348373756,1405069.776822236,18936615582.009396,0.0,0.0,18665085142.457584,111140754417.84506 
December,15258878136.574774,60765147.46639253,1467578.469590688,17801056921.597923,0.0,0.0,19728826177.867092,149347984683.33304 
