Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.372418E-01,7.642735E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.453736E+03,9.702194E-02,9.797746E+02,2.183536E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.345207E+04,1.339840E+00,1.316865E+04,2.991129E+04
00:20:00,2.372424E-01,7.642746E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.461497E+03,8.781924E-02,8.643094E+02,1.959086E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.357728E+04,1.339840E+00,1.304344E+04,2.978244E+04
00:30:00,2.372389E-01,7.642679E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.469259E+03,8.305337E-02,8.007689E+02,1.838152E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.370249E+04,1.339840E+00,1.291823E+04,2.965358E+04
00:40:00,2.372289E-01,7.642488E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.477020E+03,8.305337E-02,7.930074E+02,1.830164E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.382770E+04,1.339840E+00,1.279302E+04,2.952472E+04
00:50:00,2.372125E-01,7.642175E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.484782E+03,8.305337E-02,7.852459E+02,1.822178E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.395291E+04,1.339840E+00,1.266781E+04,2.939588E+04
01:00:00,2.371935E-01,7.641812E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.492543E+03,8.305337E-02,7.774844E+02,1.814190E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.407812E+04,1.339840E+00,1.254260E+04,2.926703E+04
01:10:00,2.371878E-01,7.641703E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.497717E+03,8.305337E-02,7.723101E+02,1.808864E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.416160E+04,1.339840E+00,1.245912E+04,2.918110E+04
01:20:00,2.371826E-01,7.641605E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.502892E+03,8.305337E-02,7.671358E+02,1.803539E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.424507E+04,1.339840E+00,1.237565E+04,2.909521E+04
01:30:00,2.371782E-01,7.641521E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.508066E+03,8.305337E-02,7.619614E+02,1.798215E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.432855E+04,1.339840E+00,1.229218E+04,2.900931E+04
01:40:00,2.371745E-01,7.641450E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.513240E+03,8.305337E-02,7.567871E+02,1.792890E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.441202E+04,1.339840E+00,1.220870E+04,2.892341E+04
01:50:00,2.371712E-01,7.641386E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.518415E+03,8.305337E-02,7.516128E+02,1.787566E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.449549E+04,1.339840E+00,1.212523E+04,2.883751E+04
02:00:00,2.371682E-01,7.641330E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.523589E+03,8.305337E-02,7.464385E+02,1.782240E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.457897E+04,1.339840E+00,1.204176E+04,2.875159E+04
02:10:00,2.371657E-01,7.641280E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.527470E+03,8.305337E-02,7.425577E+02,1.778247E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.464157E+04,1.339840E+00,1.197915E+04,2.868718E+04
02:20:00,2.371634E-01,7.641238E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.531351E+03,8.305337E-02,7.386770E+02,1.774252E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.470418E+04,1.339840E+00,1.191654E+04,2.862274E+04
02:30:00,2.371615E-01,7.641201E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.535231E+03,8.305337E-02,7.347962E+02,1.770259E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.476678E+04,1.339840E+00,1.185394E+04,2.855832E+04
02:40:00,2.371598E-01,7.641169E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.539112E+03,8.305337E-02,7.309155E+02,1.766266E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.482939E+04,1.339840E+00,1.179133E+04,2.849390E+04
02:50:00,2.371585E-01,7.641143E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.542993E+03,8.305337E-02,7.270347E+02,1.762272E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.489199E+04,1.339840E+00,1.172873E+04,2.842947E+04
03:00:00,2.371573E-01,7.641121E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.546874E+03,8.305337E-02,7.231540E+02,1.758279E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.495460E+04,1.339840E+00,1.166612E+04,2.836504E+04
03:10:00,2.371564E-01,7.641103E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.550754E+03,8.305337E-02,7.192732E+02,1.754284E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.501720E+04,1.339840E+00,1.160352E+04,2.830061E+04
03:20:00,2.371556E-01,7.641088E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.554635E+03,8.305337E-02,7.153925E+02,1.750291E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.507981E+04,1.339840E+00,1.154091E+04,2.823619E+04
03:30:00,2.371550E-01,7.641077E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.558516E+03,8.305337E-02,7.115117E+02,1.746297E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.514241E+04,1.339840E+00,1.147831E+04,2.817175E+04
03:40:00,2.371545E-01,7.641068E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.562397E+03,8.305337E-02,7.076310E+02,1.742304E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.520502E+04,1.339840E+00,1.141570E+04,2.810733E+04
03:50:00,2.371542E-01,7.641062E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.566277E+03,8.305337E-02,7.037503E+02,1.738311E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.526762E+04,1.339840E+00,1.135310E+04,2.804292E+04
04:00:00,2.371540E-01,7.641058E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.570158E+03,8.305337E-02,6.998695E+02,1.734316E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.533023E+04,1.339840E+00,1.129049E+04,2.797848E+04
04:10:00,2.371539E-01,7.641056E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.572745E+03,8.305337E-02,6.972823E+02,1.731655E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.537197E+04,1.339840E+00,1.124875E+04,2.793554E+04
04:20:00,2.371538E-01,7.641055E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.575332E+03,8.305337E-02,6.946952E+02,1.728992E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.541370E+04,1.339840E+00,1.120702E+04,2.789258E+04
04:30:00,2.371539E-01,7.641055E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.577919E+03,8.305337E-02,6.921080E+02,1.726329E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.545544E+04,1.339840E+00,1.116528E+04,2.784963E+04
04:40:00,2.371539E-01,7.641056E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.580507E+03,8.305337E-02,6.895209E+02,1.723667E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.549718E+04,1.339840E+00,1.112354E+04,2.780669E+04
04:50:00,2.371540E-01,7.641058E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.583094E+03,8.305337E-02,6.869337E+02,1.721004E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.553891E+04,1.339840E+00,1.108181E+04,2.776373E+04
05:00:00,2.371541E-01,7.641059E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.585681E+03,8.305337E-02,6.843465E+02,1.718343E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.558065E+04,1.339840E+00,1.104007E+04,2.772079E+04
05:10:00,2.371542E-01,7.641061E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.583094E+03,8.305337E-02,6.869337E+02,1.721004E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.553891E+04,1.339840E+00,1.108181E+04,2.776373E+04
05:20:00,2.371542E-01,7.641063E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.580507E+03,8.305337E-02,6.895209E+02,1.723667E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.549718E+04,1.339840E+00,1.112354E+04,2.780669E+04
05:30:00,2.371544E-01,7.641065E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.577919E+03,8.305337E-02,6.921080E+02,1.726329E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.545544E+04,1.339840E+00,1.116528E+04,2.784963E+04
05:40:00,2.371545E-01,7.641068E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.575332E+03,8.305337E-02,6.946952E+02,1.728992E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.541370E+04,1.339840E+00,1.120702E+04,2.789258E+04
05:50:00,2.371547E-01,7.641072E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.572745E+03,8.305337E-02,6.972823E+02,1.731655E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.537197E+04,1.339840E+00,1.124875E+04,2.793554E+04
06:00:00,2.371550E-01,7.641077E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.570158E+03,8.305337E-02,6.998695E+02,1.734316E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.533023E+04,1.339840E+00,1.129049E+04,2.797848E+04
06:10:00,2.371553E-01,7.641082E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.561103E+03,8.305337E-02,7.089246E+02,1.743635E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.518415E+04,1.339840E+00,1.143657E+04,2.812882E+04
06:20:00,2.371556E-01,7.641088E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.552048E+03,8.305337E-02,7.179797E+02,1.752954E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.503807E+04,1.339840E+00,1.158265E+04,2.827915E+04
06:30:00,2.371559E-01,7.641095E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.542993E+03,8.305337E-02,7.270347E+02,1.762272E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.489199E+04,1.339840E+00,1.172873E+04,2.842947E+04
06:40:00,2.371563E-01,7.641102E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.533938E+03,8.305337E-02,7.360898E+02,1.771591E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.474591E+04,1.339840E+00,1.187481E+04,2.857980E+04
06:50:00,2.371567E-01,7.641109E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.524883E+03,8.305337E-02,7.451449E+02,1.780908E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.459984E+04,1.339840E+00,1.202089E+04,2.873011E+04
07:00:00,2.371571E-01,7.641116E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.515828E+03,8.305337E-02,7.541999E+02,1.790227E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.445376E+04,1.339840E+00,1.216697E+04,2.888045E+04
07:10:00,2.371575E-01,7.641124E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.493837E+03,8.305337E-02,7.761908E+02,1.812859E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.409899E+04,1.339840E+00,1.252173E+04,2.924554E+04
07:20:00,2.371579E-01,7.641132E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.471846E+03,8.305337E-02,7.981817E+02,1.835490E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.374423E+04,1.339840E+00,1.287649E+04,2.961064E+04
07:30:00,2.371583E-01,7.641139E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.449855E+03,8.305337E-02,8.201726E+02,1.858120E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.338947E+04,1.339840E+00,1.323126E+04,2.997571E+04
07:40:00,2.371587E-01,7.641148E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.427864E+03,8.305337E-02,8.421635E+02,1.880751E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.303470E+04,1.339840E+00,1.358602E+04,3.034081E+04
07:50:00,2.371591E-01,7.641156E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.405873E+03,9.627195E-02,1.018886E+03,2.208897E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.267994E+04,1.339840E+00,1.394078E+04,3.070591E+04
08:00:00,2.371596E-01,7.641165E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.383882E+03,1.211475E-01,1.332051E+03,2.795058E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.232518E+04,1.339840E+00,1.429555E+04,3.107101E+04
08:10:00,2.371601E-01,7.641174E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.359304E+03,1.462785E-01,1.650783E+03,3.375640E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.192868E+04,1.339840E+00,1.469205E+04,3.147905E+04
08:20:00,2.371605E-01,7.641183E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.334726E+03,1.717570E-01,1.973573E+03,3.949953E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.153218E+04,1.339840E+00,1.508855E+04,3.188710E+04
08:30:00,2.371610E-01,7.641192E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.310148E+03,1.976642E-01,2.301371E+03,4.520314E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.113568E+04,1.339840E+00,1.548505E+04,3.229516E+04
08:40:00,2.371615E-01,7.641201E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.285570E+03,2.240568E-01,2.634832E+03,5.100189E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.073918E+04,1.339840E+00,1.588155E+04,3.270321E+04
08:50:00,2.371620E-01,7.641210E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.260992E+03,2.509308E-01,2.973921E+03,5.673657E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,2.034268E+04,1.339840E+00,1.627805E+04,3.311126E+04
09:00:00,2.371625E-01,7.641219E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.236414E+03,2.783363E-01,3.319224E+03,6.230579E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,1.994618E+04,1.339840E+00,1.667455E+04,3.351934E+04
09:10:00,2.371629E-01,7.641228E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.214423E+03,3.054652E-01,3.658695E+03,6.773526E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,1.959141E+04,1.339840E+00,1.702931E+04,3.388443E+04
09:20:00,2.371634E-01,7.641237E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.192432E+03,3.322865E-01,3.994542E+03,7.323006E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,1.923665E+04,1.339840E+00,1.738407E+04,3.424954E+04
09:30:00,2.371638E-01,7.641245E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.170441E+03,3.587181E-01,4.325809E+03,7.836412E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,1.888189E+04,1.339840E+00,1.773884E+04,3.461466E+04
09:40:00,2.371643E-01,7.641254E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.148450E+03,3.846795E-01,4.651582E+03,8.333987E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,1.852712E+04,1.339840E+00,1.809360E+04,3.497978E+04
09:50:00,2.371647E-01,7.641262E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.126459E+03,4.101695E-01,4.971819E+03,8.819696E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,1.817236E+04,1.339840E+00,1.844836E+04,3.534488E+04
10:00:00,2.371651E-01,7.641270E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.104469E+03,4.351021E-01,5.285515E+03,9.289296E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,1.781760E+04,1.339840E+00,1.880313E+04,3.571000E+04
10:10:00,2.371655E-01,7.641278E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.085065E+03,4.594402E-01,5.589657E+03,9.741031E+03,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,1.750457E+04,1.339840E+00,1.911615E+04,3.603216E+04
10:20:00,2.371659E-01,7.641286E+03,8.305337E-02,0.000000E+00,0.000000E+00,8.305337E-02,1.065661E+03,4.831140E-01,5.886047E+03,1.017794E+04,1.339840E+00,7.579951E+04,1.339840E+00,0.000000E+00,0.000000E+00,1.339840E+00,1.719154E+04,1.339840E+00,1.942918E+04,3.635432E+04
