Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,19069805398.96664,9000561.029660253,65273.758581157745,17551986999.20376,0.0,0.0,18595747956.392853,154282455151.4341 
February,18578328606.5993,6550416.465006279,2121333.5356922783,15506390204.125174,0.0,0.0,16707850082.34967,150242780449.76123 
March,13236384951.838238,88546317.73503196,149709.36675784586,17790595906.05704,0.0,0.0,17985526829.961254,123289414722.09357 
April,7345306713.111641,180945351.70466956,37991.352861544874,17927013374.925694,0.0,0.0,17104287176.61641,89877856382.66159 
May,2072484879.2025697,849926411.1320989,0.0,18948282289.525795,0.0,0.0,18714386968.402195,67865086669.54379 
June,116016582.8197384,1755270925.3305547,0.0,19275885123.90908,0.0,0.0,21062341125.811333,57510975528.73391 
July,294584.4830942283,2809332830.967474,0.0,20956788108.25643,0.0,0.0,26311724247.077568,57561892946.842545 
August,3713058.7613098854,2557763089.907666,0.0,20795954821.2555,0.0,0.0,23762113186.315807,57358250264.40432 
September,725570901.8956579,1876998824.9823837,0.0,19931202199.242302,0.0,0.0,20172993342.344654,59184241476.51482 
October,4039776990.498111,693609372.6265845,0.0,20342671036.281994,0.0,0.0,18643905672.156017,75223928266.1157 
November,10345303022.251608,61959152.99574754,47176.131516107416,19062403712.174034,0.0,0.0,17717443519.37393,102411421963.94986 
December,17062579142.912004,26698787.93979359,1332943.6544774403,18291418167.52793,0.0,0.0,18601261552.568428,142154370375.57922 
