Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,21471815.886209607,9799715.716480097,21471815.8862096,6165493.866201641 
 01/01  02:00:00,,,13728229.016059976,8494172.147170749,13728229.016059974,263762.54413914995 
 01/01  03:00:00,,,13735004.250573836,8406448.159530781,13735004.250573836,238659.6138924053 
 01/01  04:00:00,,,15028859.17915209,8331702.850861384,15028859.17915209,1588132.3673573313 
 01/01  05:00:00,,,16006966.137715623,8555938.776869582,16006966.137715623,1944553.1932553807 
 01/01  06:00:00,,,20299236.86773561,9079155.937555382,20299236.867735606,6088762.306613436 
 01/01  07:00:00,,,25074660.99861057,10936315.736184288,25074660.998610567,6217019.846723947 
 01/01  08:00:00,,,24912485.339953728,11374776.644558877,24912485.339953724,6554805.997165144 
 01/01  09:00:00,,,21431721.276603457,11980509.85845865,21431721.276603457,6567067.672099696 
 01/01  10:00:00,,,21185954.79817268,11998276.249377785,21185954.798172675,6283175.787263815 
 01/01  11:00:00,,,22507197.740893226,13380760.981361147,22507197.740893222,6216171.725164894 
 01/01  12:00:00,,,26710091.914415162,17295101.186111525,26710091.91441516,6165024.8759013405 
 01/01  13:00:00,,,23160080.075470857,13455794.992468415,23160080.075470857,6313881.568405393 
 01/01  14:00:00,,,22489030.835298795,13305726.970253883,22489030.8352988,6257275.133369048 
 01/01  15:00:00,,,22175824.254404284,13155658.948039345,22175824.254404284,6079600.920866825 
 01/01  16:00:00,,,22161146.83792789,13155658.948039345,22161146.837927885,6078768.825671694 
 01/01  17:00:00,,,24401457.13160072,13763703.874339778,24401457.13160072,6187682.383109073 
 01/01  18:00:00,,,28724357.223684423,14678129.841812972,28724357.22368442,6300273.146395907 
 01/01  19:00:00,,,28717811.87848407,14528061.819598438,28717811.878484063,6450117.365320841 
 01/01  20:00:00,,,29031726.670938186,14377993.797383903,29031726.67093818,6555335.704239913 
 01/01  21:00:00,,,28943470.19988167,14227925.775169363,28943470.19988166,6643213.503818227 
 01/01  22:00:00,,,28382618.946181953,14077857.752954831,28382618.946181946,6425553.15338145 
 01/01  23:00:00,,,26490112.74857443,12598773.064778566,26490112.74857442,6288570.744979532 
 01/01  24:00:00,,,28648962.170767516,14230163.41379362,28648962.170767516,6338255.0815665955 
 01/02  01:00:00,,,21447098.144153893,9382130.04470057,21447098.14415389,6196912.672482737 
