Time,DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.701712E+03,2.059889E+03,1.682838E-01,1.906709E-01,0.000000E+00,1.037655E+04,0.000000E+00,9.608690E-01
00:20:00,3.701793E+03,1.965311E+03,1.682875E-01,1.819134E-01,0.000000E+00,1.045231E+04,0.000000E+00,9.678895E-01
00:30:00,3.701711E+03,1.873100E+03,1.682838E-01,1.733753E-01,0.000000E+00,1.052856E+04,0.000000E+00,9.749541E-01
00:40:00,3.700992E+03,1.783222E+03,1.682498E-01,1.650535E-01,0.000000E+00,1.018715E+04,0.000000E+00,9.433433E-01
00:50:00,3.700374E+03,1.695649E+03,1.682202E-01,1.569453E-01,0.000000E+00,9.847338E+03,0.000000E+00,9.118502E-01
01:00:00,3.700408E+03,1.610358E+03,1.682204E-01,1.490486E-01,0.000000E+00,9.508151E+03,0.000000E+00,8.804190E-01
01:10:00,3.700832E+03,1.529237E+03,1.682398E-01,1.415380E-01,0.000000E+00,9.495638E+03,0.000000E+00,8.792583E-01
01:20:00,3.701228E+03,1.452223E+03,1.682577E-01,1.344079E-01,0.000000E+00,9.483565E+03,0.000000E+00,8.781401E-01
01:30:00,3.701608E+03,1.379310E+03,1.682750E-01,1.276577E-01,0.000000E+00,9.471905E+03,0.000000E+00,8.770607E-01
01:40:00,3.701974E+03,1.310494E+03,1.682917E-01,1.212868E-01,0.000000E+00,9.460645E+03,0.000000E+00,8.760184E-01
01:50:00,3.702327E+03,1.245766E+03,1.683077E-01,1.152946E-01,0.000000E+00,9.449777E+03,0.000000E+00,8.750121E-01
02:00:00,3.702670E+03,1.185119E+03,1.683233E-01,1.096804E-01,0.000000E+00,9.439287E+03,0.000000E+00,8.740410E-01
02:10:00,3.703005E+03,1.126678E+03,1.683385E-01,1.042705E-01,0.000000E+00,9.429115E+03,0.000000E+00,8.730992E-01
02:20:00,3.703335E+03,1.070424E+03,1.683535E-01,9.906310E-02,0.000000E+00,9.419251E+03,0.000000E+00,8.721860E-01
02:30:00,3.703660E+03,1.016327E+03,1.683683E-01,9.405550E-02,0.000000E+00,9.409685E+03,0.000000E+00,8.713004E-01
02:40:00,3.703981E+03,9.643626E+02,1.683829E-01,8.924545E-02,0.000000E+00,9.400409E+03,0.000000E+00,8.704416E-01
02:50:00,3.704300E+03,9.145143E+02,1.683974E-01,8.463132E-02,0.000000E+00,9.391416E+03,0.000000E+00,8.696090E-01
03:00:00,3.704615E+03,8.667651E+02,1.684117E-01,8.021159E-02,0.000000E+00,9.382697E+03,0.000000E+00,8.688018E-01
03:10:00,3.704929E+03,8.192284E+02,1.684260E-01,7.581164E-02,0.000000E+00,9.374191E+03,0.000000E+00,8.680143E-01
03:20:00,3.705241E+03,7.719164E+02,1.684402E-01,7.143259E-02,0.000000E+00,9.365890E+03,0.000000E+00,8.672458E-01
03:30:00,3.705552E+03,7.248220E+02,1.684543E-01,6.707375E-02,0.000000E+00,9.357786E+03,0.000000E+00,8.664956E-01
03:40:00,3.705861E+03,6.779408E+02,1.684684E-01,6.273474E-02,0.000000E+00,9.349870E+03,0.000000E+00,8.657627E-01
03:50:00,3.706169E+03,6.312660E+02,1.684824E-01,5.841493E-02,0.000000E+00,9.342134E+03,0.000000E+00,8.650465E-01
04:00:00,3.706476E+03,5.847905E+02,1.684963E-01,5.411365E-02,0.000000E+00,9.334567E+03,0.000000E+00,8.643459E-01
04:10:00,3.706782E+03,5.403923E+02,1.685102E-01,5.000468E-02,0.000000E+00,9.396500E+03,0.000000E+00,8.700808E-01
04:20:00,3.707071E+03,4.980568E+02,1.685234E-01,4.608669E-02,0.000000E+00,9.458442E+03,0.000000E+00,8.758206E-01
04:30:00,3.707264E+03,4.577868E+02,1.685322E-01,4.235992E-02,0.000000E+00,9.520540E+03,0.000000E+00,8.815743E-01
04:40:00,3.707278E+03,4.195791E+02,1.685328E-01,3.882408E-02,0.000000E+00,9.582805E+03,0.000000E+00,8.873416E-01
04:50:00,3.707074E+03,3.834322E+02,1.685235E-01,3.547901E-02,0.000000E+00,9.645257E+03,0.000000E+00,8.931251E-01
05:00:00,3.706650E+03,3.513365E+02,1.685042E-01,3.250888E-02,0.000000E+00,9.708114E+03,0.000000E+00,8.989457E-01
05:10:00,3.706019E+03,3.313489E+02,1.684755E-01,3.065917E-02,0.000000E+00,9.698349E+03,0.000000E+00,8.980418E-01
05:20:00,3.705211E+03,3.274777E+02,1.684388E-01,3.030078E-02,0.000000E+00,9.690375E+03,0.000000E+00,8.972994E-01
05:30:00,3.704318E+03,3.423110E+02,1.683982E-01,3.167327E-02,0.000000E+00,9.684370E+03,0.000000E+00,8.967401E-01
05:40:00,3.703439E+03,3.759391E+02,1.683583E-01,3.478494E-02,0.000000E+00,9.679413E+03,0.000000E+00,8.962630E-01
05:50:00,3.702623E+03,4.312547E+02,1.683212E-01,3.990335E-02,0.000000E+00,9.677507E+03,0.000000E+00,8.960475E-01
06:00:00,3.701881E+03,5.048599E+02,1.682874E-01,4.671410E-02,0.000000E+00,9.678038E+03,0.000000E+00,8.960428E-01
06:10:00,3.701211E+03,5.960564E+02,1.682570E-01,5.515269E-02,0.000000E+00,9.699077E+03,0.000000E+00,8.979286E-01
