Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,29248776170.311687,520287724.9828561,4009847.1340561565,28309922622.684742,0.0,0.0,34561155898.66119,253019595135.5823 
February,21716942563.77808,341595727.82076484,6548749.378555758,26372689686.516113,0.0,0.0,30639971969.953342,198190480455.90683 
March,18004429804.665424,92580137.64198342,6382648.217476829,30162426050.99567,0.0,0.0,33131592168.22355,176403792426.55753 
April,9481042466.311396,197425956.1139616,2090676.2880347061,30200277368.372475,0.0,0.0,31253935229.732525,117176994408.09215 
May,2879183687.3330216,1098003354.038537,0.0,31531914601.824387,0.0,0.0,32613152451.03388,76408097874.51552 
June,340269290.3975072,2437755856.6591315,0.0,31432509851.403515,0.0,0.0,33341133950.15842,60374945752.53929 
July,174158745.3295655,4037428422.6717286,0.0,33315777312.55749,0.0,0.0,37838762830.328735,59367895457.397026 
August,209617496.17935506,3791767346.982779,0.0,33629310781.774914,0.0,0.0,37382971588.01127,60349528679.0795 
September,2107889471.7291183,1497784583.6475952,0.0,32142494163.871796,0.0,0.0,32735498948.527843,69940492671.89467 
October,7523050080.926895,393768744.1242189,0.0,32871526041.5659,0.0,0.0,32766638512.03913,102735085728.49571 
November,15258611722.000837,24240803.37431558,1848115.0846027737,30611881347.170956,0.0,0.0,32356265958.830235,149217458471.13043 
December,25707529907.440235,235451010.6722307,7306294.345052537,29709180213.537403,0.0,0.0,34369451278.85573,224471915983.79898 
