Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,29297589.17746542,14635816.41873014,29297589.177465416,9048048.260226518 
 01/01  02:00:00,,,21359686.730157625,13585617.517379161,21359686.73015763,2734931.104875831 
 01/01  03:00:00,,,21088149.567104906,13591712.666568777,21088149.567104906,2350772.1190373367 
 01/01  04:00:00,,,22373583.27254389,13466865.855553377,22373583.27254388,3767948.4896200867 
 01/01  05:00:00,,,23169318.027867798,13841406.288599579,23169318.027867798,3786715.546174084 
 01/01  06:00:00,,,29088001.55459949,14715333.96570738,29088001.55459949,9145346.776843715 
 01/01  07:00:00,,,33465969.14098904,16187934.632058045,33465969.14098903,9247968.456666162 
 01/01  08:00:00,,,33825055.70549362,16706107.03959111,33825055.70549362,9213109.55820091 
 01/01  09:00:00,,,30566594.48379125,17589049.875954174,30566594.48379124,9172762.338545552 
 01/01  10:00:00,,,29633600.258425698,17555982.763027824,29633600.258425694,9080618.152717557 
 01/01  11:00:00,,,30916872.60865976,18976559.497892346,30916872.60865976,8942686.64698186 
 01/01  12:00:00,,,35075733.61923686,23041784.75819108,35075733.61923686,8705208.689505756 
 01/01  13:00:00,,,31243444.5199173,19101888.52751573,31243444.519917294,8635529.664778242 
 01/01  14:00:00,,,30408483.310168985,18851230.468268957,30408483.310168978,8544027.87807642 
 01/01  15:00:00,,,30098920.75156672,18600572.40902218,30098920.75156671,8468685.436931085 
 01/01  16:00:00,,,30139011.82789453,18600572.40902218,30139011.82789452,8524837.242789857 
 01/01  17:00:00,,,34441356.18662336,19678789.956995953,34441356.18662335,8583145.380742038 
 01/01  18:00:00,,,36443241.00781321,19971556.760204256,36443241.0078132,8645422.417158602 
 01/01  19:00:00,,,36266305.554135166,19720898.70095748,36266305.55413516,8719796.324570041 
 01/01  20:00:00,,,36436204.489477925,19470240.641710702,36436204.489477925,8765926.59840318 
 01/01  21:00:00,,,36188678.340720765,19219582.582463928,36188678.340720765,8792927.813851021 
 01/01  22:00:00,,,35807987.27880173,18968924.52321715,35807987.27880172,8859816.230678963 
 01/01  23:00:00,,,33769701.15769724,17212042.09661141,33769701.15769724,8856387.985601004 
 01/01  24:00:00,,,35908291.05735109,18891396.855539024,35908291.05735108,8833484.229546316 
 01/02  01:00:00,,,29009307.13283757,14305669.29334745,29009307.132837564,8704167.611024505 
 01/02  02:00:00,,,21363829.079584174,13585617.517379161,21363829.079584174,2728729.447041645 
 01/02  03:00:00,,,21765496.115377273,13591712.666568777,21765496.115377273,3037475.6668729177 
 01/02  04:00:00,,,22947362.16311286,13466865.855553377,22947362.163112856,4338511.418843218 
 01/02  05:00:00,,,22876825.436714835,13841406.288599579,22876825.436714835,3491503.6003122693 
 01/02  06:00:00,,,29052346.169296153,15532824.250617735,29052346.169296153,8281571.694170788 
 01/02  07:00:00,,,33622303.783194415,17084403.59772465,33622303.783194415,8499375.405792687 
 01/02  08:00:00,,,33906976.69397276,17335061.656971425,33906976.69397275,8657047.73209438 
 01/02  09:00:00,,,30547839.68725296,18050663.05361501,30547839.687252957,8683777.258281594 
 01/02  10:00:00,,,29567922.242375903,17952927.812822875,29567922.2423759,8609655.540571364 
 01/02  11:00:00,,,31141717.449261412,19770465.657027278,31141717.449261405,8357166.699044476 
 01/02  12:00:00,,,35383066.97911118,23835690.917326003,35383066.97911118,8212042.9353040205 
 01/02  13:00:00,,,31619035.187056884,19895794.68665066,31619035.187056884,8191635.4253973765 
 01/02  14:00:00,,,30778175.24278313,19645136.627403885,30778175.24278313,8102881.945809504 
 01/02  15:00:00,,,30522804.166527387,19394478.56815711,30522804.166527376,8078569.620403338 
 01/02  16:00:00,,,30273495.958004646,19394478.56815711,30273495.95800464,7848686.176233835 
 01/02  17:00:00,,,35841667.32115678,21540356.48907801,35841667.32115677,8097798.045707751 
 01/02  18:00:00,,,37992777.876328856,21858454.069730263,37992777.87632885,8283896.525444908 
 01/02  19:00:00,,,37802597.13118744,21607796.01048348,37802597.13118744,8344802.571489496 
 01/02  20:00:00,,,37920158.85780452,21357137.951236706,37920158.857804514,8338602.407403908 
 01/02  21:00:00,,,37572090.61655604,21106479.89198993,37572090.61655604,8265345.491599225 
 01/02  22:00:00,,,37099725.9202767,20855821.832743157,37099725.9202767,8240455.33413537 
 01/02  23:00:00,,,33156163.122879177,17212042.09661141,33156163.122879177,8242115.8961724695 
 01/02  24:00:00,,,35114595.79401988,18891396.855539024,35114595.79401988,8039789.233922317 
 01/03  01:00:00,,,27923224.257071286,14305669.29334745,27923224.257071283,7617860.20317891 
 01/03  02:00:00,,,21961019.91519912,13585617.517379161,21961019.91519912,3301888.9425981157 
 01/03  03:00:00,,,22134690.26512309,13591712.666568777,22134690.26512309,3388786.796562216 
 01/03  04:00:00,,,22875336.34589102,13466865.855553377,22875336.345891017,4265406.775317752 
 01/03  05:00:00,,,24540883.176838685,13841406.288599579,24540883.176838685,3467746.492863077 
 01/03  06:00:00,,,29372589.476228297,15532824.250617735,29372589.476228293,7381659.107959678 
 01/03  07:00:00,,,33359322.28507613,17084403.59772465,33359322.285076126,7635576.23468348 
 01/03  08:00:00,,,33433660.639876712,17335061.656971425,33433660.63987671,8182649.073758459 
 01/03  09:00:00,,,30334626.797062248,18194701.86047028,30334626.797062237,8325471.689028433 
 01/03  10:00:00,,,29449945.117880307,17952927.812822875,29449945.1178803,8491338.378164595 
 01/03  11:00:00,,,31334153.915754337,19770465.657027278,31334153.915754333,8550223.091340434 
 01/03  12:00:00,,,35707571.01957761,23835690.917326003,35707571.0195776,8535085.402429102 
 01/03  13:00:00,,,32061321.622597624,19895794.68665066,32061321.622597612,8637149.026713785 
 01/03  14:00:00,,,31281384.098026946,19645136.627403885,31281384.098026946,8607609.246842118 
 01/03  15:00:00,,,31051820.55397597,19394478.56815711,31051820.553975966,8612961.238893392 
 01/03  16:00:00,,,31134612.928502403,19394478.56815711,31134612.928502392,8711530.092369258 
 01/03  17:00:00,,,36263586.93852329,21339317.517360393,36263586.93852329,8721916.96740865 
 01/03  18:00:00,,,38450937.775143445,21858454.069730263,38450937.775143445,8743296.908709321 
 01/03  19:00:00,,,38222844.830479,21607796.01048348,38222844.830478996,8766600.042355418 
 01/03  20:00:00,,,37993042.67583976,21357137.951236706,37993042.67583975,8787983.98143166 
 01/03  21:00:00,,,37756432.69871351,21106479.89198993,37756432.69871351,8802163.777919702 
 01/03  22:00:00,,,37449791.02362519,20855821.832743157,37449791.02362519,8861609.74268355 
 01/03  23:00:00,,,33860820.932821594,17212042.09661141,33860820.932821594,8947662.671144683 
 01/03  24:00:00,,,36106026.164368056,18891396.855539024,36106026.16436805,9031219.604270488 
 01/04  01:00:00,,,29445296.238261357,14305669.29334745,29445296.238261357,9139624.987065671 
 01/04  02:00:00,,,21384156.855309002,13585617.517379161,21384156.855309002,2790746.025383501 
 01/04  03:00:00,,,20908557.66503713,13591712.666568777,20908557.66503713,2232596.8203068003 
 01/04  04:00:00,,,21363126.797053177,13466865.855553377,21363126.797053173,2790746.0253835004 
 01/04  05:00:00,,,22658014.65749159,13841406.288599579,22658014.65749159,3265809.14891935 
 01/04  06:00:00,,,30045636.160698295,15532824.250617735,30045636.160698295,9292523.164507877 
 01/04  07:00:00,,,34480370.05123864,17084403.59772465,34480370.05123863,9357908.234661419 
 01/04  08:00:00,,,34619914.368036255,17335061.656971425,34619914.368036255,9371136.85763702 
 01/04  09:00:00,,,31220052.571608786,18063461.823090784,31220052.57160878,9344403.971231986 
 01/04  10:00:00,,,30295280.086385414,17952927.812822875,30295280.08638541,9337934.008393135 
 01/04  11:00:00,,,32104135.220876526,19770465.657027278,32104135.220876522,9321171.907406751 
 01/04  12:00:00,,,36323628.2835733,23835690.917326003,36323628.28357329,9153541.454620263 
 01/04  13:00:00,,,32588215.28729708,19895794.68665066,32588215.28729707,9163571.799909882 
 01/04  14:00:00,,,31767278.70864756,19645136.627403885,31767278.708647557,9094284.343356876 
 01/04  15:00:00,,,31520333.670367353,19394478.56815711,31520333.67036735,9082013.816769622 
 01/04  16:00:00,,,31582634.171232447,19394478.56815711,31582634.17123244,9159914.397136569 
 01/04  17:00:00,,,36696374.711233035,21318863.03703574,36696374.71123303,9175609.280849898 
 01/04  18:00:00,,,38918214.25802552,21858454.069730263,38918214.25802552,9211073.197955148 
 01/04  19:00:00,,,38715427.9575682,21607796.01048348,38715427.95756819,9259561.513461092 
 01/04  20:00:00,,,38876609.20405345,21357137.951236706,38876609.20405345,9296996.97165032 
 01/04  21:00:00,,,38591391.55614574,21106479.89198993,38591391.55614574,9286614.914590674 
 01/04  22:00:00,,,38190760.20518237,20855821.832743157,38190760.205182366,9332777.132431664 
 01/04  23:00:00,,,34321312.44822701,17212042.09661141,34321312.448227,9408348.200397994 
 01/04  24:00:00,,,36515769.279941924,18891396.855539024,36515769.279941924,9440961.759238398 
 01/05  01:00:00,,,29808995.55236014,14305669.29334745,29808995.55236014,9502878.352540283 
 01/05  02:00:00,,,21350420.856608104,13585617.517379161,21350420.856608108,2790746.025383501 
 01/05  03:00:00,,,20879271.56935782,13591712.666568777,20879271.56935782,2232596.8203068003 
 01/05  04:00:00,,,21341347.47919329,13466865.855553377,21341347.47919329,2790746.0253835004 
 01/05  05:00:00,,,21604518.986365624,13841406.288599579,21604518.986365624,2232596.8203068003 
 01/05  06:00:00,,,30260259.046571173,15532824.250617735,30260259.046571165,9502013.47180577 
 01/05  07:00:00,,,34661881.9187331,17084403.59772465,34661881.9187331,9539576.71986198 
 01/05  08:00:00,,,34776200.88501413,17335061.656971425,34776200.885014124,9527575.402042726 
 01/05  09:00:00,,,31426350.72771802,18089896.677845314,31426350.727718014,9524322.781843675 
 01/05  10:00:00,,,30450675.741066128,17952927.812822875,30450675.74106612,9493259.667181846 
 01/05  11:00:00,,,32207254.76596791,19770465.657027278,32207254.765967906,9424292.839180907 
 01/05  12:00:00,,,36365517.080905646,23835690.917326003,36365517.08090564,9195394.617668657 
 01/05  13:00:00,,,32580995.869998462,19895794.68665066,32580995.869998462,9156068.20569631 
 01/05  14:00:00,,,31722615.12871685,19645136.627403885,31722615.12871684,9049282.363495955 
 01/05  15:00:00,,,31434301.5411907,19394478.56815711,31434301.541190695,8995453.985586576 
 01/05  16:00:00,,,31523405.54855985,19394478.56815711,31523405.548559844,9100789.87455593 
 01/05  17:00:00,,,36758575.62222116,21389268.737432543,36758575.62222115,9167336.469035665 
 01/05  18:00:00,,,38925175.58841868,21858454.069730263,38925175.58841868,9217905.19870164 
 01/05  19:00:00,,,38721817.52269097,21607796.01048348,38721817.52269097,9265874.517245634 
 01/05  20:00:00,,,38864070.11260214,21357137.951236706,38864070.11260213,9284348.985399755 
 01/05  21:00:00,,,38583161.402573854,21106479.89198993,38583161.40257385,9278349.906257354 
 01/05  22:00:00,,,38232834.76873755,20855821.832743157,38232834.76873754,9374924.717657022 
 01/05  23:00:00,,,34359990.01054153,17212042.09661141,34359990.01054153,9447071.393414969 
 01/05  24:00:00,,,36573391.93734147,18891396.855539024,36573391.93734146,9498646.95657567 
 01/06  01:00:00,,,29890728.603347987,14305669.29334745,29890728.603347983,9584823.819196546 
 01/06  02:00:00,,,21367741.676671706,13585617.517379161,21367741.676671706,2790746.025383501 
 01/06  03:00:00,,,20896695.08190254,13591712.666568777,20896695.08190255,2232596.820306801 
 01/06  04:00:00,,,21383048.736447662,13466865.855553377,21383048.736447662,2790746.0253835004 
 01/06  05:00:00,,,24700758.962187946,13841406.288599579,24700758.962187946,3708437.1162051144 
 01/06  06:00:00,,,31554947.4310521,15532824.250617735,31554947.431052096,9567391.061803121 
 01/06  07:00:00,,,35350143.79809098,17084403.59772465,35350143.79809097,9627802.846786398 
 01/06  08:00:00,,,34914446.91313003,17335061.656971425,34914446.91313002,9665911.384481948 
 01/06  09:00:00,,,31535396.891454592,18059900.23161801,31535396.89145459,9663515.027311571 
 01/06  10:00:00,,,30529762.003376875,17952927.812822875,30529762.00337687,9572409.631956207 
 01/06  11:00:00,,,32149313.29691108,19770465.657027278,32149313.296911076,9366252.38661113 
 01/06  12:00:00,,,36244827.26675721,23835690.917326003,36244827.26675721,9074357.00102955 
 01/06  13:00:00,,,32405670.83045142,19895794.68665066,32405670.83045142,8979608.410986774 
 01/06  14:00:00,,,31479800.057218384,19645136.627403885,31479800.05721838,8805689.087626867 
 01/06  15:00:00,,,31181189.29724459,19394478.56815711,31181189.297244586,8741645.67805878 
 01/06  16:00:00,,,31247159.65865673,19394478.56815711,31247159.658656724,8823968.418326331 
 01/06  17:00:00,,,36417246.24865399,21343219.496471524,36417246.248653986,8871716.359296352 
 01/06  18:00:00,,,38645329.95581061,21858454.069730263,38645329.95581061,8937800.439293226 
 01/06  19:00:00,,,38432782.50903336,21607796.01048348,38432782.50903336,8976533.232243348 
 01/06  20:00:00,,,38183869.07859107,21357137.951236706,38183869.078591056,8979010.330935713 
 01/06  21:00:00,,,37889801.02732535,21106479.89198993,37889801.02732535,8935773.308903981 
 01/06  22:00:00,,,37553770.842978016,20855821.832743157,37553770.84297801,8965664.896785837 
 01/06  23:00:00,,,33948302.99964671,17212042.09661141,33948302.99964671,9035179.31025016 
 01/06  24:00:00,,,36154405.56466239,18891396.855539024,36154405.56466239,9079599.00456483 
 01/07  01:00:00,,,29766475.927696146,14635816.41873014,29766475.927696146,9123245.533172917 
 01/07  02:00:00,,,21360288.4626443,13585617.517379161,21360288.4626443,2790746.025383501 
 01/07  03:00:00,,,20892981.51501152,13591712.666568777,20892981.51501152,2232596.820306801 
 01/07  04:00:00,,,21345461.087699514,13466865.855553377,21345461.087699514,2790746.025383501 
 01/07  05:00:00,,,21601785.063103836,13841406.288599579,21601785.063103836,2232596.820306801 
 01/07  06:00:00,,,28856631.623770915,14715333.96570738,28856631.623770915,8910219.42723793 
 01/07  07:00:00,,,33110569.514983036,16187934.632058045,33110569.51498303,8892391.898855114 
 01/07  08:00:00,,,33449293.313210785,16706107.03959111,33449293.313210785,8836795.925339572 
 01/07  09:00:00,,,31060908.368403636,18441757.589112982,31060908.36840363,8806069.221732264 
 01/07  10:00:00,,,29701937.71845182,17952927.812822875,29701937.71845182,8743850.858401492 
 01/07  11:00:00,,,31069091.622254044,19373512.57745981,31069091.622254036,8689776.3304429 
 01/07  12:00:00,,,35291150.611356676,23438737.837758545,35291150.61135667,8521087.461854905 
 01/07  13:00:00,,,31498561.923736982,19498841.607083198,31498561.92373698,8483090.046912111 
 01/07  14:00:00,,,30716097.619793795,19248183.547836423,30716097.619793784,8446873.758875934 
 01/07  15:00:00,,,30445851.231222354,18997525.48858965,30445851.231222346,8411972.497775862 
 01/07  16:00:00,,,30505842.91240997,18997525.48858965,30505842.91240996,8487130.524449445 
 01/07  17:00:00,,,35526607.57046935,20756554.34277185,35526607.57046934,8575141.137857025 
 01/07  18:00:00,,,38360414.13568911,21858454.069730263,38360414.1356891,8652341.797336662 
 01/07  19:00:00,,,38157554.55455205,21607796.01048348,38157554.55455204,8700751.43117982 
