Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,23972410.50341434,9808328.541287128,23972410.50341434,8550337.995184828 
 01/01  02:00:00,,,16415337.034300238,8882538.32216103,16415337.034300236,2544534.731243677 
 01/01  03:00:00,,,16226157.122622836,8854013.675968384,16226157.122622836,2309301.531737497 
 01/01  04:00:00,,,16759816.87298585,8774943.861819783,16759816.87298585,2911728.0182777136 
 01/01  05:00:00,,,16924944.759449504,9012153.304265583,16924944.759449504,2409705.9461608664 
 01/01  06:00:00,,,23620768.249169815,9565642.003305783,23620768.24916981,8828635.931059262 
 01/01  07:00:00,,,28111681.37965552,10878595.090973629,28111681.37965552,9203005.08010295 
 01/01  08:00:00,,,28538341.85831707,11282545.476116223,28538341.858317066,9349825.614552252 
 01/01  09:00:00,,,25106495.646161046,11994692.455885228,25106495.646161042,9306849.126846798 
 01/01  10:00:00,,,24022943.84600413,11854442.978961531,24022943.846004125,9171360.50392897 
 01/01  11:00:00,,,24847743.15840274,12990793.0498665,24847743.158402737,8859204.188611059 
 01/01  12:00:00,,,28965154.492261745,16918156.88103315,28965154.492261738,8718257.386902332 
 01/01  13:00:00,,,25360637.68939389,13070168.269779192,25360637.689393885,8785406.514272183 
 01/01  14:00:00,,,24620359.823615547,12911417.829953808,24620359.823615547,8695453.231434286 
 01/01  15:00:00,,,24051002.175788872,12752667.390128423,24051002.17578887,8270078.106387617 
 01/01  16:00:00,,,23888093.82482204,12752667.390128423,23888093.824822042,8122057.6566194035 
 01/01  17:00:00,,,28259144.419440545,13637812.597737338,28259144.419440538,8441846.589101985 
 01/01  18:00:00,,,30495568.030660503,13908621.89070502,30495568.030660495,8760584.60911695 
 01/01  19:00:00,,,30441338.836350918,13749871.450879633,30441338.836350918,8865637.907057498 
 01/01  20:00:00,,,30694707.352846444,13591121.01105425,30694707.35284644,8903313.617189456 
 01/01  21:00:00,,,30533960.139658634,13432370.571228866,30533960.139658634,8925130.338859284 
 01/01  22:00:00,,,30257002.409735255,13273620.13140348,30257002.40973525,9003992.25593652 
 01/01  23:00:00,,,28512222.944609758,11974947.452393651,28512222.94460975,8836149.940818511 
 01/01  24:00:00,,,30935596.96788142,14019281.008592492,30935596.967881415,8732906.256207 
 01/02  01:00:00,,,23726459.434399802,9500496.655308142,23726459.434399802,8226416.180368982 
 01/02  02:00:00,,,16350995.700300224,8882538.32216103,16350995.700300224,2469948.594814888 
 01/02  03:00:00,,,16046217.872417688,8854013.675968384,16046217.872417688,2108492.7028907584 
 01/02  04:00:00,,,16273787.513294239,8774943.861819783,16273787.51329424,2403012.318532642 
 01/02  05:00:00,,,16571979.711074706,9012153.304265583,16571979.711074706,2027625.1485351098 
 01/02  06:00:00,,,23495553.892041776,10306628.49383028,23495553.892041776,7963645.025776319 
 01/02  07:00:00,,,27907844.129667696,11708121.68416763,27907844.129667692,8161174.229856326 
 01/02  08:00:00,,,28569152.36576545,11866872.123993013,28569152.365765445,8787524.483327508 
 01/02  09:00:00,,,25070566.88615685,12424228.272021504,25070566.886156846,8832940.304993508 
 01/02  10:00:00,,,23855624.471935343,12224160.776821954,23855624.471935343,8625940.234527512 
 01/02  11:00:00,,,24702168.24385855,13730243.500666313,24702168.24385855,7957699.009290388 
 01/02  12:00:00,,,29070990.84196113,17657607.33183296,29070990.841961123,8078931.17400896 
 01/02  13:00:00,,,25692013.169172797,13809618.720579004,25692013.169172794,8350946.109502173 
 01/02  14:00:00,,,24803341.90948712,13650868.28075362,24803341.909487117,8122359.531231809 
 01/02  15:00:00,,,24227282.369157083,13492117.840928236,24227282.36915708,7689973.376512818 
 01/02  16:00:00,,,24068824.152262397,13492117.840928236,24068824.15226239,7546223.29820946 
 01/02  17:00:00,,,29351282.403092075,15367392.52031324,29351282.40309207,7780227.571006192 
 01/02  18:00:00,,,31703802.176664237,15661632.782416573,31703802.17666423,8191656.506648344 
 01/02  19:00:00,,,31852054.162917294,15502882.342591189,31852054.162917286,8498840.19469387 
 01/02  20:00:00,,,32058529.705666542,15344131.902765805,32058529.705666542,8489639.624911755 
 01/02  21:00:00,,,31802990.585335698,15185381.46294042,31802990.585335694,8417012.603721684 
 01/02  22:00:00,,,31169908.408737853,15026631.023115035,31169908.408737846,8140179.982851399 
 01/02  23:00:00,,,27513589.158892676,11974947.452393651,27513589.158892665,7836968.034172952 
 01/02  24:00:00,,,29909595.87535586,14019281.008592492,29909595.875355855,7706905.162204828 
 01/03  01:00:00,,,22875969.709253505,9500496.655308142,22875969.709253505,7375717.431642593 
 01/03  02:00:00,,,16720213.23166575,8882538.32216103,16720213.231665747,2811323.603854344 
 01/03  03:00:00,,,16398951.072364561,8854013.675968384,16398951.072364561,2409705.946160867 
 01/03  04:00:00,,,16845971.965809025,8774943.861819783,16845971.965809025,2910267.425995432 
 01/03  05:00:00,,,20355791.836716466,9012153.304265583,20355791.836716466,4173485.4276148113 
 01/03  06:00:00,,,23956925.60714589,10306628.49383028,23956925.60714589,7193227.004984183 
 01/03  07:00:00,,,27761012.883148823,11708121.68416763,27761012.883148815,7413521.681264731 
 01/03  08:00:00,,,27656460.2880906,11866872.123993013,27656460.288090594,7873488.643120072 
 01/03  09:00:00,,,24511446.61376793,12557464.168362627,24511446.61376793,8139553.159311878 
 01/03  10:00:00,,,23669199.43289506,12224160.776821954,23669199.432895057,8439489.314668521 
 01/03  11:00:00,,,24958664.334511362,13730243.500666313,24958664.33451136,8214843.568646999 
 01/03  12:00:00,,,29686242.95341983,17657607.33183296,29686242.953419827,8694725.719497463 
 01/03  13:00:00,,,26113414.668072127,13809618.720579004,26113414.66807212,8776393.824045869 
 01/03  14:00:00,,,25428313.356118847,13650868.28075362,25428313.356118843,8748596.720854348 
 01/03  15:00:00,,,25304667.966849387,13492117.840928236,25304667.966849387,8766378.16286162 
 01/03  16:00:00,,,25017709.491747193,13492117.840928236,25017709.491747193,8497309.094996259 
 01/03  17:00:00,,,30117085.502608947,15181431.471474443,30117085.50260894,8733301.185665986 
 01/03  18:00:00,,,32402138.55536997,15661632.782416573,32402138.555369966,8891086.794973679 
 01/03  19:00:00,,,32250085.99119732,15502882.342591189,32250085.991197318,8898444.651557475 
 01/03  20:00:00,,,32110968.50227062,15344131.902765805,32110968.50227062,8918600.860696916 
 01/03  21:00:00,,,31963675.490587633,15185381.46294042,31963675.49058763,8930191.652166218 
 01/03  22:00:00,,,31758983.241827838,15026631.023115035,31758983.24182783,8999870.220736058 
 01/03  23:00:00,,,28764695.114230163,11974947.452393651,28764695.114230156,9088526.874659829 
 01/03  24:00:00,,,31346916.609532345,14019281.008592492,31346916.609532334,9144225.896381307 
 01/04  01:00:00,,,24224318.148600705,9500496.655308142,24224318.148600705,8723870.669212662 
 01/04  02:00:00,,,16681911.527302127,8882538.32216103,16681911.527302127,2840010.579403879 
 01/04  03:00:00,,,16264254.35992169,8854013.675968384,16264254.35992169,2409705.946160867 
 01/04  04:00:00,,,16793232.72178832,8774943.861819783,16793232.72178832,3011792.1628747676 
 01/04  05:00:00,,,16862892.670631222,9012153.304265583,16862892.670631222,2409705.9461608664 
 01/04  06:00:00,,,24597726.057548378,10306628.49383028,24597726.057548378,9081077.466901362 
 01/04  07:00:00,,,29155584.169205826,11708121.68416763,29155584.169205822,9409505.246115062 
 01/04  08:00:00,,,29288000.487069275,11866872.123993013,29288000.48706927,9507307.25380026 
 01/04  09:00:00,,,25724298.28595851,12436067.133786594,25724298.285958506,9475866.153131101 
 01/04  10:00:00,,,24697321.783436127,12224160.776821954,24697321.783436127,9468562.68586851 
 01/04  11:00:00,,,26204212.816026635,13730243.500666313,26204212.816026635,9461344.254082002 
 01/04  12:00:00,,,30274410.668637156,17657607.33183296,30274410.668637156,9281706.859685985 
 01/04  13:00:00,,,26615566.328034658,13809618.720579004,26615566.328034654,9276569.432733636 
 01/04  14:00:00,,,25891084.997339197,13650868.28075362,25891084.997339197,9211938.158855993 
 01/04  15:00:00,,,25750259.177537255,13492117.840928236,25750259.177537255,9213567.430764867 
 01/04  16:00:00,,,25819855.846082777,13492117.840928236,25819855.846082773,9299294.409911584 
 01/04  17:00:00,,,30676519.066199142,15162511.077174142,30676519.066199142,9311948.450817168 
 01/04  18:00:00,,,32844981.455802426,15661632.782416573,32844981.455802426,9334430.809809022 
 01/04  19:00:00,,,32716591.727040492,15502882.342591189,32716591.72704049,9365329.838185607 
