Time,DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.830729E+03,2.737056E+03,1.878192E-01,2.395911E-01,0.000000E+00,1.162150E+04,0.000000E+00,1.017865E+00
00:20:00,3.831437E+03,2.642255E+03,1.878539E-01,2.312891E-01,0.000000E+00,1.169800E+04,0.000000E+00,1.024573E+00
00:30:00,3.831963E+03,2.549856E+03,1.878797E-01,2.231975E-01,0.000000E+00,1.177505E+04,0.000000E+00,1.031327E+00
00:40:00,3.831855E+03,2.459821E+03,1.878730E-01,2.153131E-01,0.000000E+00,1.143248E+04,0.000000E+00,1.001327E+00
00:50:00,3.831870E+03,2.372118E+03,1.878721E-01,2.076331E-01,0.000000E+00,1.109175E+04,0.000000E+00,9.714512E-01
01:00:00,3.832337E+03,2.286720E+03,1.878939E-01,2.001551E-01,0.000000E+00,1.075166E+04,0.000000E+00,9.416362E-01
01:10:00,3.832691E+03,2.205520E+03,1.879113E-01,1.930449E-01,0.000000E+00,1.073878E+04,0.000000E+00,9.405058E-01
01:20:00,3.833018E+03,2.128446E+03,1.879273E-01,1.862960E-01,0.000000E+00,1.072637E+04,0.000000E+00,9.394186E-01
01:30:00,3.833334E+03,2.055489E+03,1.879428E-01,1.799078E-01,0.000000E+00,1.071440E+04,0.000000E+00,9.383706E-01
01:40:00,3.833638E+03,1.986641E+03,1.879577E-01,1.738795E-01,0.000000E+00,1.070286E+04,0.000000E+00,9.373598E-01
01:50:00,3.833939E+03,1.921894E+03,1.879725E-01,1.682104E-01,0.000000E+00,1.069173E+04,0.000000E+00,9.363852E-01
02:00:00,3.834229E+03,1.861240E+03,1.879867E-01,1.628999E-01,0.000000E+00,1.068100E+04,0.000000E+00,9.354456E-01
02:10:00,3.834510E+03,1.802800E+03,1.880005E-01,1.577832E-01,0.000000E+00,1.067060E+04,0.000000E+00,9.345354E-01
02:20:00,3.834786E+03,1.746555E+03,1.880140E-01,1.528589E-01,0.000000E+00,1.066053E+04,0.000000E+00,9.336536E-01
02:30:00,3.835058E+03,1.692477E+03,1.880273E-01,1.481243E-01,0.000000E+00,1.065077E+04,0.000000E+00,9.327993E-01
02:40:00,3.835327E+03,1.640543E+03,1.880405E-01,1.435775E-01,0.000000E+00,1.064132E+04,0.000000E+00,9.319717E-01
02:50:00,3.835593E+03,1.590731E+03,1.880536E-01,1.392165E-01,0.000000E+00,1.063216E+04,0.000000E+00,9.311699E-01
03:00:00,3.835857E+03,1.543025E+03,1.880665E-01,1.350400E-01,0.000000E+00,1.062329E+04,0.000000E+00,9.303932E-01
03:10:00,3.836119E+03,1.495539E+03,1.880794E-01,1.308829E-01,0.000000E+00,1.061465E+04,0.000000E+00,9.296362E-01
03:20:00,3.836380E+03,1.448282E+03,1.880921E-01,1.267458E-01,0.000000E+00,1.060622E+04,0.000000E+00,9.288981E-01
03:30:00,3.836639E+03,1.401245E+03,1.881049E-01,1.226281E-01,0.000000E+00,1.059799E+04,0.000000E+00,9.281780E-01
03:40:00,3.836898E+03,1.354423E+03,1.881175E-01,1.185294E-01,0.000000E+00,1.058996E+04,0.000000E+00,9.274751E-01
03:50:00,3.837155E+03,1.307811E+03,1.881302E-01,1.144490E-01,0.000000E+00,1.058212E+04,0.000000E+00,9.267885E-01
04:00:00,3.837412E+03,1.261400E+03,1.881428E-01,1.103863E-01,0.000000E+00,1.057446E+04,0.000000E+00,9.261175E-01
04:10:00,3.837669E+03,1.217068E+03,1.881553E-01,1.065057E-01,0.000000E+00,1.063649E+04,0.000000E+00,9.315507E-01
04:20:00,3.837906E+03,1.174803E+03,1.881670E-01,1.028059E-01,0.000000E+00,1.069851E+04,0.000000E+00,9.369876E-01
04:30:00,3.838043E+03,1.134605E+03,1.881737E-01,9.928725E-02,0.000000E+00,1.076069E+04,0.000000E+00,9.424381E-01
04:40:00,3.837992E+03,1.098310E+03,1.881712E-01,9.611029E-02,0.000000E+00,1.082326E+04,0.000000E+00,9.479204E-01
04:50:00,3.837713E+03,1.067636E+03,1.881575E-01,9.342529E-02,0.000000E+00,1.088666E+04,0.000000E+00,9.534735E-01
05:00:00,3.837206E+03,1.044627E+03,1.881327E-01,9.141119E-02,0.000000E+00,1.095115E+04,0.000000E+00,9.591223E-01
05:10:00,3.836486E+03,1.038567E+03,1.880974E-01,9.088041E-02,0.000000E+00,1.094357E+04,0.000000E+00,9.584587E-01
05:20:00,3.835586E+03,1.049831E+03,1.880532E-01,9.186593E-02,0.000000E+00,1.093817E+04,0.000000E+00,9.579810E-01
05:30:00,3.834601E+03,1.080465E+03,1.880049E-01,9.454627E-02,0.000000E+00,1.093383E+04,0.000000E+00,9.575723E-01
05:40:00,3.833634E+03,1.127958E+03,1.879576E-01,9.870129E-02,0.000000E+00,1.093241E+04,0.000000E+00,9.573894E-01
05:50:00,3.832737E+03,1.190121E+03,1.879136E-01,1.041395E-01,0.000000E+00,1.093300E+04,0.000000E+00,9.573616E-01
06:00:00,3.831919E+03,1.265160E+03,1.878734E-01,1.107041E-01,0.000000E+00,1.093670E+04,0.000000E+00,9.575949E-01
06:10:00,3.831173E+03,1.351238E+03,1.878369E-01,1.182349E-01,0.000000E+00,1.096064E+04,0.000000E+00,9.595996E-01
06:20:00,3.830489E+03,1.447852E+03,1.878034E-01,1.266875E-01,0.000000E+00,1.098763E+04,0.000000E+00,9.618708E-01
06:30:00,3.829845E+03,1.552674E+03,1.877717E-01,1.358582E-01,0.000000E+00,1.101847E+04,0.000000E+00,9.644900E-01
06:40:00,3.829214E+03,1.666534E+03,1.877408E-01,1.458203E-01,0.000000E+00,1.105194E+04,0.000000E+00,9.673663E-01
06:50:00,3.828584E+03,1.789738E+03,1.877099E-01,1.566008E-01,0.000000E+00,1.108861E+04,0.000000E+00,9.705446E-01
07:00:00,3.827949E+03,1.923894E+03,1.876788E-01,1.683403E-01,0.000000E+00,1.112738E+04,0.000000E+00,9.739191E-01
07:10:00,3.827310E+03,2.076875E+03,1.876475E-01,1.817274E-01,0.000000E+00,1.112527E+04,0.000000E+00,9.737148E-01
07:20:00,3.826677E+03,2.248373E+03,1.876164E-01,1.967353E-01,0.000000E+00,1.112500E+04,0.000000E+00,9.736716E-01
07:30:00,3.826098E+03,2.438510E+03,1.875881E-01,2.133755E-01,0.000000E+00,1.112665E+04,0.000000E+00,9.738103E-01
07:40:00,3.825627E+03,2.647124E+03,1.875650E-01,2.316335E-01,0.000000E+00,1.112928E+04,0.000000E+00,9.740403E-01
07:50:00,3.825290E+03,2.875175E+03,1.875484E-01,2.515931E-01,0.000000E+00,1.113271E+04,0.000000E+00,9.743399E-01
08:00:00,3.825088E+03,3.121568E+03,1.875385E-01,2.731584E-01,0.000000E+00,1.113653E+04,0.000000E+00,9.746740E-01
08:10:00,3.825011E+03,3.373355E+03,1.875348E-01,2.951965E-01,0.000000E+00,1.117025E+04,0.000000E+00,9.776254E-01
08:20:00,3.825044E+03,3.631512E+03,1.875364E-01,3.177926E-01,0.000000E+00,1.120372E+04,0.000000E+00,9.805547E-01
08:30:00,3.825144E+03,3.896546E+03,1.875413E-01,3.409912E-01,0.000000E+00,1.123692E+04,0.000000E+00,9.834607E-01
08:40:00,3.825269E+03,4.168592E+03,1.875474E-01,3.648040E-01,0.000000E+00,1.126986E+04,0.000000E+00,9.863434E-01
08:50:00,3.825388E+03,4.446941E+03,1.875532E-01,3.891689E-01,0.000000E+00,1.130255E+04,0.000000E+00,9.892043E-01
09:00:00,3.825497E+03,4.730729E+03,1.875586E-01,4.140104E-01,0.000000E+00,1.133501E+04,0.000000E+00,9.920449E-01
09:10:00,3.825596E+03,5.011825E+03,1.875634E-01,4.386167E-01,0.000000E+00,1.137261E+04,0.000000E+00,9.953360E-01
09:20:00,3.825687E+03,5.289377E+03,1.875679E-01,4.629130E-01,0.000000E+00,1.140970E+04,0.000000E+00,9.985822E-01
