Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W]
00:10:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,5.864640E+03,3.350528E-01,3.293074E+03,7.479892E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.304700E+04,1.316698E+00,1.294120E+04,2.939466E+04
00:20:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,5.895952E+03,3.350528E-01,3.261762E+03,7.447669E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.317005E+04,1.321614E+00,1.287269E+04,2.934286E+04
00:30:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,5.927263E+03,3.350528E-01,3.230451E+03,7.415446E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.329310E+04,1.329766E+00,1.284011E+04,2.934050E+04
00:40:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,5.958574E+03,3.350528E-01,3.199140E+03,7.383222E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.341615E+04,1.316698E+00,1.257205E+04,2.901476E+04
00:50:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,5.989886E+03,3.350528E-01,3.167828E+03,7.351004E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.353919E+04,1.316698E+00,1.244901E+04,2.888815E+04
01:00:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,6.021197E+03,3.350528E-01,3.136517E+03,7.318781E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.366224E+04,1.316698E+00,1.232596E+04,2.876152E+04
01:10:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,6.042071E+03,3.350528E-01,3.115643E+03,7.297295E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.374427E+04,1.316698E+00,1.224393E+04,2.867708E+04
01:20:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,6.062945E+03,3.350528E-01,3.094769E+03,7.275814E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.382631E+04,1.316698E+00,1.216190E+04,2.859267E+04
01:30:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,6.083820E+03,3.350528E-01,3.073894E+03,7.254334E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.390834E+04,1.316698E+00,1.207986E+04,2.850825E+04
01:40:00,3.350528E-01,1.895512E+04,3.350528E-01,0.000000E+00,0.000000E+00,3.350528E-01,6.104694E+03,3.350528E-01,3.053020E+03,7.232854E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.399037E+04,1.316698E+00,1.199783E+04,2.842384E+04
