Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,26836284916.460403,484852781.75585747,15840749.649080006,16930615627.227236,0.0,0.0,21217288561.752045,247349088085.27588 
February,20437265520.61802,320336093.0230907,10322858.497879852,16123467888.472528,0.0,0.0,18598627091.94111,193397175972.26138 
March,17709707278.233253,267536593.2196681,4441692.578335352,18872750222.58348,0.0,0.0,19832982315.61465,172294678330.67828 
April,9273248724.25659,175546694.75515255,2031584.5320827567,19361362729.45082,0.0,0.0,18310749508.014458,116584922382.0719 
May,2853048984.032343,967493618.6712173,1333995.5870530384,20683944682.826385,0.0,0.0,18943842756.81613,76593357107.93764 
June,329295119.87274206,2225939181.522227,0.0,20982489009.51242,0.0,0.0,19688357200.23677,60194803071.82926 
July,167325097.76079527,3780098590.0028,0.0,22434669524.173214,0.0,0.0,23366887701.14528,59320830453.88647 
August,195359702.39693734,3565705986.2326827,0.0,22718576306.027893,0.0,0.0,22969179856.12065,60239222902.93695 
September,2065107635.5652676,1360031523.4567971,333510.22114615235,21638057457.710915,0.0,0.0,19356457847.180965,69905785903.95381 
October,7392416592.526102,355124205.67472184,2599316.764654407,21837891185.147213,0.0,0.0,19346923744.800808,101625671251.40463 
November,14944151393.112648,59469111.85372086,5487398.112823101,19688776035.506294,0.0,0.0,19449824667.718044,145388735684.13913 
December,24405055255.112106,430619292.42922366,6680433.645876272,18290944458.87491,0.0,0.0,21034663928.472824,217802635991.2751 
