Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,27162630.354911994,12966390.651958099,27162630.354911994,8506420.547162922 
 01/01  02:00:00,,,19628157.15985728,12056845.847863462,19628157.15985728,2531470.1049968633 
 01/01  03:00:00,,,19195547.838688727,12066163.80388038,19195547.838688724,2025176.0839974906 
 01/01  04:00:00,,,19601622.48403973,11956057.28042778,19601622.48403973,2531470.1049968633 
 01/01  05:00:00,,,19856341.941891134,12286376.850785581,19856341.941891134,2025176.0839974906 
 01/01  06:00:00,,,26967509.6805624,13057122.514953779,26967509.6805624,8607719.728787443 
 01/01  07:00:00,,,31132170.25971639,14334611.806527387,31132170.25971639,8686441.002542648 
 01/01  08:00:00,,,31436294.013413787,14787263.581952602,31436294.013413787,8662505.147595175 
 01/01  09:00:00,,,28084338.839156386,15572790.325110454,28084338.83915638,8625881.172360312 
 01/01  10:00:00,,,27157119.75184962,15544724.842059586,27157119.75184962,8534524.837885914 
 01/01  11:00:00,,,28288941.51072219,16803638.707801253,28288941.510722186,8406610.176610308 
 01/01  12:00:00,,,32411197.10941121,20824472.30310854,32411197.109411206,8185852.04328833 
 01/01  13:00:00,,,28640551.83811755,16914170.515760828,28640551.838117547,8124991.782864711 
 01/01  14:00:00,,,27828914.44006435,16693106.89984168,27828914.44006435,8041435.759454992 
 01/01  15:00:00,,,27550767.533622675,16472043.28392254,27550767.53362267,7968443.692064373 
 01/01  16:00:00,,,27588355.248391204,16472043.28392254,27588355.248391204,8021636.532710753 
 01/01  17:00:00,,,31754300.62449875,17416979.5998201,31754300.624498747,8076889.533137277 
 01/01  18:00:00,,,33715973.48877018,17674394.811541002,33715973.48877017,8134414.110205785 
 01/01  19:00:00,,,33565172.093131326,17453331.19562186,33565172.09313132,8205272.881633631 
 01/01  20:00:00,,,33768268.061450765,17232267.579702713,33768268.06145076,8248106.041393315 
 01/01  21:00:00,,,33547386.630828246,17011203.96378357,33547386.630828246,8272499.055615807 
 01/01  22:00:00,,,33179157.44859344,16790140.347864427,33179157.44859343,8328476.630017619 
 01/01  23:00:00,,,31340647.47198646,15238279.907154456,31340647.471986465,8324866.770032264 
 01/01  24:00:00,,,33708556.39130218,17150120.057866313,33708556.39130218,8302893.929085324 
 01/02  01:00:00,,,27055330.205105793,12672171.062015373,27055330.205105785,8297743.661073064 
 01/02  02:00:00,,,19632207.118324775,12056845.847863462,19632207.118324775,2531470.104996863 
 01/02  03:00:00,,,19217949.528036706,12066163.80388038,19217949.528036706,2025176.0839974906 
 01/02  04:00:00,,,19629233.094819658,11956057.28042778,19629233.094819658,2531470.104996863 
 01/02  05:00:00,,,20951490.566372447,12286376.850785581,20951490.566372447,3116243.363123463 
 01/02  06:00:00,,,27146500.034720078,13754174.505834779,27146500.034720078,8101361.4356369935 
 01/02  07:00:00,,,31337291.023818538,15123303.552513106,31337291.023818538,8094235.812811783 
 01/02  08:00:00,,,31484174.133358847,15344367.168432247,31484174.133358844,8144198.742087543 
 01/02  09:00:00,,,28045208.144090995,15982758.950716745,28045208.144090988,8168157.048046595 
 01/02  10:00:00,,,27084254.91477091,15897834.016239883,27084254.9147709,8100143.534028811 
 01/02  11:00:00,,,28553973.982280888,17509871.17651664,28553973.982280888,7948805.326648367 
