Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18833723376.910576,38088278.83715112,16456626.747502413,14177850189.666315,0.0,0.0,21545481239.90254,223541960244.17645 
February,16393780755.85237,94020740.56883287,13874398.916936794,14178183656.922762,0.0,0.0,19034644319.02025,179832410771.25848 
March,17582897065.918232,182855590.37186292,10219764.983088974,17392224464.533035,0.0,0.0,20529951931.174377,169705656928.18182 
April,11156042646.326323,174468134.67198712,2666605.576570014,18333581962.209133,0.0,0.0,19035139824.479637,120876728641.05875 
May,4526111107.125948,448451522.35486645,16204.35391577526,19916600943.859516,0.0,0.0,19653636402.916157,81500515639.09416 
June,1073715357.8940564,1171514879.4881675,0.0,20304040340.144524,0.0,0.0,20354923397.28032,62963508737.08551 
July,431812514.30016106,2588702209.1803675,0.0,21740320830.914925,0.0,0.0,24087038765.62857,60791757374.3906 
August,678235190.0981928,2337993135.3952703,0.0,22000720169.37207,0.0,0.0,23694289742.133804,62362508074.89761 
September,3615399601.8555303,790889779.5025951,0.0,20836837621.470448,0.0,0.0,20062418452.129604,73992972141.08397 
October,9414684817.384373,164265267.7547759,0.0,20894657482.591454,0.0,0.0,20087233908.925755,107552695468.83737 
November,15677996633.821228,141297747.36062798,2648553.434138202,18547833683.88239,0.0,0.0,20198745513.387257,147758049308.53656 
December,19007805867.49181,97552070.20952274,12848169.394928925,16159465382.012472,0.0,0.0,21495291931.508957,201017813979.2127 
