Time,DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],DINING:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],KITCHEN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.855759E+03,1.378217E+03,1.989918E-01,1.195415E-01,0.000000E+00,1.115017E+04,0.000000E+00,9.676895E-01
00:20:00,3.855555E+03,1.285308E+03,1.989812E-01,1.114809E-01,0.000000E+00,1.122699E+04,0.000000E+00,9.743615E-01
00:30:00,3.855352E+03,1.194781E+03,1.989708E-01,1.036271E-01,0.000000E+00,1.130436E+04,0.000000E+00,9.810800E-01
00:40:00,3.855150E+03,1.106610E+03,1.989604E-01,9.597795E-02,0.000000E+00,1.096175E+04,0.000000E+00,9.513503E-01
00:50:00,3.854950E+03,1.020763E+03,1.989500E-01,8.853074E-02,0.000000E+00,1.062079E+04,0.000000E+00,9.217325E-01
01:00:00,3.854751E+03,9.372249E+02,1.989398E-01,8.128400E-02,0.000000E+00,1.028044E+04,0.000000E+00,8.921720E-01
01:10:00,3.854766E+03,8.578713E+02,1.989405E-01,7.440044E-02,0.000000E+00,1.026762E+04,0.000000E+00,8.910581E-01
01:20:00,3.854780E+03,7.825832E+02,1.989412E-01,6.786974E-02,0.000000E+00,1.025528E+04,0.000000E+00,8.899866E-01
01:30:00,3.854794E+03,7.113351E+02,1.989420E-01,6.168966E-02,0.000000E+00,1.024337E+04,0.000000E+00,8.889536E-01
01:40:00,3.854809E+03,6.440907E+02,1.989427E-01,5.585703E-02,0.000000E+00,1.023189E+04,0.000000E+00,8.879574E-01
01:50:00,3.854823E+03,5.808310E+02,1.989434E-01,5.037020E-02,0.000000E+00,1.022082E+04,0.000000E+00,8.869968E-01
02:00:00,3.854837E+03,5.215282E+02,1.989442E-01,4.522672E-02,0.000000E+00,1.021015E+04,0.000000E+00,8.860708E-01
02:10:00,3.854850E+03,4.643499E+02,1.989449E-01,4.026767E-02,0.000000E+00,1.019981E+04,0.000000E+00,8.851737E-01
02:20:00,3.854864E+03,4.093038E+02,1.989456E-01,3.549367E-02,0.000000E+00,1.018979E+04,0.000000E+00,8.843047E-01
02:30:00,3.854878E+03,3.563813E+02,1.989463E-01,3.090395E-02,0.000000E+00,1.018009E+04,0.000000E+00,8.834629E-01
02:40:00,3.854892E+03,3.055787E+02,1.989470E-01,2.649821E-02,0.000000E+00,1.017069E+04,0.000000E+00,8.826474E-01
02:50:00,3.854905E+03,2.568918E+02,1.989477E-01,2.227604E-02,0.000000E+00,1.016159E+04,0.000000E+00,8.818574E-01
03:00:00,3.854919E+03,2.103158E+02,1.989484E-01,1.823705E-02,0.000000E+00,1.015277E+04,0.000000E+00,8.810922E-01
03:10:00,3.854932E+03,1.639697E+02,1.989491E-01,1.421811E-02,0.000000E+00,1.014417E+04,0.000000E+00,8.803465E-01
03:20:00,3.854945E+03,1.178553E+02,1.989498E-01,1.021936E-02,0.000000E+00,1.013579E+04,0.000000E+00,8.796193E-01
03:30:00,3.854959E+03,7.898482E+01,1.989504E-01,6.848802E-03,0.000000E+00,1.012762E+04,0.000000E+00,8.789098E-01
03:40:00,3.854972E+03,4.785564E+01,1.989511E-01,4.149545E-03,0.000000E+00,1.011963E+04,0.000000E+00,8.782171E-01
03:50:00,3.854985E+03,2.442900E+01,1.989518E-01,2.118212E-03,0.000000E+00,1.011182E+04,0.000000E+00,8.775394E-01
04:00:00,3.854998E+03,8.667718E+00,1.989525E-01,7.515616E-04,0.000000E+00,1.010415E+04,0.000000E+00,8.768740E-01
04:10:00,3.855010E+03,5.361082E-01,1.989531E-01,4.648438E-05,0.000000E+00,1.016616E+04,0.000000E+00,8.822555E-01
04:20:00,3.855023E+03,0.000000E+00,1.989538E-01,0.000000E+00,0.000000E+00,1.022811E+04,0.000000E+00,8.876363E-01
04:30:00,3.855035E+03,0.000000E+00,1.989544E-01,0.000000E+00,0.000000E+00,1.029015E+04,0.000000E+00,8.930239E-01
04:40:00,3.855047E+03,0.000000E+00,1.989550E-01,0.000000E+00,0.000000E+00,1.035249E+04,0.000000E+00,8.984357E-01
04:50:00,3.855059E+03,0.000000E+00,1.989556E-01,0.000000E+00,0.000000E+00,1.041556E+04,0.000000E+00,9.039097E-01
05:00:00,3.855070E+03,0.000000E+00,1.989562E-01,0.000000E+00,0.000000E+00,1.047964E+04,0.000000E+00,9.094710E-01
