Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,25813496.07374411,11875753.96910454,25813496.07374411,8247921.4971300075 
 01/01  02:00:00,,,18341119.518801372,10976868.122852663,18341119.518801372,2357598.988349875 
 01/01  03:00:00,,,17924623.208324723,10975649.216364183,17924623.208324723,1886079.1906798999 
 01/01  04:00:00,,,18302335.322080757,10876079.555416983,18302335.322080757,2357598.9883498745 
 01/01  05:00:00,,,18553662.767848704,11174788.538258582,18553662.767848704,1886079.1906798999 
 01/01  06:00:00,,,25532051.69747889,11871776.164888982,25532051.697478887,8366632.229093704 
 01/01  07:00:00,,,29677747.702881455,13138199.51416194,29677747.70288145,8428425.083371272 
 01/01  08:00:00,,,29959846.300100464,13569696.167684782,29959846.30010046,8403605.738290587 
 01/01  09:00:00,,,26576281.604128785,14323490.227989066,26576281.60412878,8367097.899980472 
 01/01  10:00:00,,,25619053.701704282,14263692.062084636,25619053.70170428,8277460.292403577 
 01/01  11:00:00,,,26700538.25461614,15469718.123070369,26700538.254616134,8152095.516154661 
 01/01  12:00:00,,,30793837.871620387,19458819.03552409,30793837.87162038,7934146.037562746 
 01/01  13:00:00,,,27045016.982452743,15569672.370078752,27045016.982452735,7874017.307589222 
 01/01  14:00:00,,,26255654.33862553,15369763.87606198,26255654.338625528,7791485.777512662 
 01/01  15:00:00,,,25999820.601484083,15169855.382045211,25999820.601484083,7719640.635450502 
 01/01  16:00:00,,,26037192.53593,15169855.382045211,26037192.535929993,7772621.110500078 
 01/01  17:00:00,,,30170846.155792404,16083059.015089212,30170846.1557924,7827309.343319772 
 01/01  18:00:00,,,32131394.37317147,16340474.226810114,32131394.37317147,7883707.317037576 
 01/01  19:00:00,,,32000104.303550854,16140565.732793346,32000104.303550847,7952929.797136368 
 01/01  20:00:00,,,32222962.411969617,15940657.238776578,32222962.41196961,7994377.671389237 
 01/01  21:00:00,,,32022080.605175976,15740748.744759811,32022080.605175976,8017798.292465979 
 01/01  22:00:00,,,31674098.916496634,15540840.250743045,31674098.91649663,8072694.529350187 
 01/01  23:00:00,,,29930865.389314685,14084177.858593762,29930865.38931468,8069168.957995544 
 01/01  24:00:00,,,32362586.214717656,16059483.37501275,32362586.21471765,8047560.450756672 
 01/02  01:00:00,,,25710233.21165904,11581534.379161809,25710233.21165904,8043297.617193306 
 01/02  02:00:00,,,18352537.384398937,10976868.122852663,18352537.384398937,2357598.9883498745 
 01/02  03:00:00,,,17949256.99029383,10975649.216364183,17949256.99029383,1886079.1906798999 
 01/02  04:00:00,,,18331569.583972376,10876079.555416983,18331569.583972376,2357598.9883498745 
 01/02  05:00:00,,,18591192.725430425,11174788.538258582,18591192.725430425,1886079.1906798999 
 01/02  06:00:00,,,25709624.543490767,12568339.774420526,25709624.543490767,7847051.656426997 
 01/02  07:00:00,,,29891892.79400117,13926891.260147657,29891892.794001162,7845248.081247708 
 01/02  08:00:00,,,30016438.783907752,14126799.75416443,30016438.78390775,7894003.622522654 
 01/02  09:00:00,,,26544790.157436818,14733458.85359536,26544790.15743681,7917011.632997678 
