Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,17443082526.61075,14013665.518502425,13667336.35790869,13109296792.837505,0.0,0.0,20428274667.358727,219515642381.30475 
February,15353592340.585617,43780611.36255794,8689895.60298472,13247761108.392605,0.0,0.0,18039992825.641113,176917580237.74362 
March,16834371097.471462,91240599.81552383,7196714.078743514,16454484683.518112,0.0,0.0,19461212150.6828,167616079412.48547 
April,10989750815.865599,141529557.72868508,1791630.5800030546,17481113173.494244,0.0,0.0,18029784817.727016,120532414379.78305 
May,4561235805.580597,431729362.68335366,669488.6148660092,19050310126.086388,0.0,0.0,18547831935.995323,81669560175.33826 
June,1074211041.2714252,1117586146.0040286,0.0,19465295061.784298,0.0,0.0,19179494621.764267,62952318139.22673 
July,430335289.056401,2473338912.1101,0.0,20844133746.393105,0.0,0.0,22756734105.49078,60760757068.58291 
August,676600873.9525088,2232957877.715653,0.0,21120052521.46441,0.0,0.0,22373220785.575005,62321047548.18195 
September,3638579718.8467336,763449112.9953854,0.0,20051568827.06891,0.0,0.0,18950228701.355083,74067387441.80576 
October,9396624493.25145,155128674.63648492,1912309.4274299922,19996840728.407715,0.0,0.0,19060627248.11435,107741072886.48419 
November,15161688055.804247,89796471.98728123,1640840.16562689,17621136343.789654,0.0,0.0,19193128224.3284,146610498887.58008 
December,17689028537.0642,42696346.00148637,9575295.749885565,15113501150.965296,0.0,0.0,20382171531.557327,197408127286.42358 
