Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.372418E-01,7.588970E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.428626E+03,1.056849E-01,1.083847E+03,2.387028E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.304700E+04,1.316698E+00,1.294120E+04,2.939466E+04
00:20:00,2.372424E-01,7.588981E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.436254E+03,9.633378E-02,9.667834E+02,2.161388E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.317005E+04,1.316698E+00,1.281815E+04,2.926803E+04
00:30:00,2.372389E-01,7.588914E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.443881E+03,8.722281E-02,8.525257E+02,1.939235E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.329310E+04,1.316698E+00,1.269510E+04,2.914139E+04
00:40:00,2.372289E-01,7.588723E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.451509E+03,8.161886E-02,7.793104E+02,1.798553E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.341615E+04,1.316698E+00,1.257205E+04,2.901476E+04
00:50:00,2.372125E-01,7.588410E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.459136E+03,8.161886E-02,7.716830E+02,1.790705E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.353919E+04,1.316698E+00,1.244901E+04,2.888815E+04
01:00:00,2.371935E-01,7.588047E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.466764E+03,8.161886E-02,7.640555E+02,1.782855E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.366224E+04,1.316698E+00,1.232596E+04,2.876152E+04
01:10:00,2.371878E-01,7.587938E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.471849E+03,8.161886E-02,7.589706E+02,1.777621E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.374427E+04,1.316698E+00,1.224393E+04,2.867708E+04
01:20:00,2.371826E-01,7.587840E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.476933E+03,8.161886E-02,7.538856E+02,1.772388E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.382631E+04,1.316698E+00,1.216190E+04,2.859267E+04
01:30:00,2.371782E-01,7.587756E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.482018E+03,8.161886E-02,7.488007E+02,1.767156E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.390834E+04,1.316698E+00,1.207986E+04,2.850825E+04
01:40:00,2.371745E-01,7.587685E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.487103E+03,8.161886E-02,7.437157E+02,1.761923E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.399037E+04,1.316698E+00,1.199783E+04,2.842384E+04
01:50:00,2.371712E-01,7.587622E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.492188E+03,8.161886E-02,7.386308E+02,1.756691E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.407240E+04,1.316698E+00,1.191580E+04,2.833943E+04
02:00:00,2.371682E-01,7.587565E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.497273E+03,8.161886E-02,7.335458E+02,1.751457E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.415443E+04,1.316698E+00,1.183377E+04,2.825499E+04
02:10:00,2.371657E-01,7.587516E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.501087E+03,8.161886E-02,7.297321E+02,1.747533E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.421596E+04,1.316698E+00,1.177224E+04,2.819169E+04
02:20:00,2.371634E-01,7.587473E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.504901E+03,8.161886E-02,7.259184E+02,1.743607E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.427748E+04,1.316698E+00,1.171072E+04,2.812836E+04
02:30:00,2.371615E-01,7.587436E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.508714E+03,8.161886E-02,7.221047E+02,1.739683E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.433901E+04,1.316698E+00,1.164920E+04,2.806505E+04
02:40:00,2.371598E-01,7.587405E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.512528E+03,8.161886E-02,7.182909E+02,1.735759E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.440053E+04,1.316698E+00,1.158767E+04,2.800175E+04
02:50:00,2.371585E-01,7.587378E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.516342E+03,8.161886E-02,7.144772E+02,1.731834E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.446205E+04,1.316698E+00,1.152615E+04,2.793843E+04
03:00:00,2.371573E-01,7.587356E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.520156E+03,8.161886E-02,7.106635E+02,1.727909E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.452358E+04,1.316698E+00,1.146462E+04,2.787512E+04
03:10:00,2.371564E-01,7.587338E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.523969E+03,8.161886E-02,7.068498E+02,1.723984E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.458510E+04,1.316698E+00,1.140310E+04,2.781179E+04
03:20:00,2.371556E-01,7.587324E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.527783E+03,8.161886E-02,7.030361E+02,1.720060E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.464663E+04,1.316698E+00,1.134158E+04,2.774849E+04
03:30:00,2.371550E-01,7.587312E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.531597E+03,8.161886E-02,6.992224E+02,1.716135E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.470815E+04,1.316698E+00,1.128005E+04,2.768516E+04
03:40:00,2.371545E-01,7.587304E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.535410E+03,8.161886E-02,6.954087E+02,1.712210E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.476967E+04,1.316698E+00,1.121853E+04,2.762186E+04
03:50:00,2.371542E-01,7.587297E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.539224E+03,8.161886E-02,6.915949E+02,1.708286E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.483120E+04,1.316698E+00,1.115700E+04,2.755856E+04
04:00:00,2.371540E-01,7.587293E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.543038E+03,8.161886E-02,6.877812E+02,1.704361E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.489272E+04,1.316698E+00,1.109548E+04,2.749523E+04
04:10:00,2.371539E-01,7.587291E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.545580E+03,8.161886E-02,6.852387E+02,1.701745E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.493374E+04,1.316698E+00,1.105446E+04,2.745303E+04
04:20:00,2.371538E-01,7.587290E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.548123E+03,8.161886E-02,6.826963E+02,1.699128E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.497475E+04,1.316698E+00,1.101345E+04,2.741082E+04
04:30:00,2.371539E-01,7.587291E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.550665E+03,8.161886E-02,6.801538E+02,1.696512E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.501577E+04,1.316698E+00,1.097243E+04,2.736860E+04
04:40:00,2.371539E-01,7.587292E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.553208E+03,8.161886E-02,6.776113E+02,1.693896E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.505679E+04,1.316698E+00,1.093142E+04,2.732640E+04
04:50:00,2.371540E-01,7.587293E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.555750E+03,8.161886E-02,6.750688E+02,1.691279E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.509780E+04,1.316698E+00,1.089040E+04,2.728419E+04
05:00:00,2.371541E-01,7.587294E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.558293E+03,8.161886E-02,6.725264E+02,1.688663E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.513882E+04,1.316698E+00,1.084938E+04,2.724199E+04
05:10:00,2.371542E-01,7.587296E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.555750E+03,8.161886E-02,6.750688E+02,1.691279E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.509780E+04,1.316698E+00,1.089040E+04,2.728419E+04
05:20:00,2.371542E-01,7.587298E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.553208E+03,8.161886E-02,6.776113E+02,1.693896E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.505679E+04,1.316698E+00,1.093142E+04,2.732640E+04
05:30:00,2.371544E-01,7.587300E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.550665E+03,8.161886E-02,6.801538E+02,1.696512E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.501577E+04,1.316698E+00,1.097243E+04,2.736860E+04
05:40:00,2.371545E-01,7.587303E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.548123E+03,8.161886E-02,6.826963E+02,1.699128E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.497475E+04,1.316698E+00,1.101345E+04,2.741082E+04
05:50:00,2.371547E-01,7.587307E+03,8.161886E-02,0.000000E+00,0.000000E+00,8.161886E-02,1.545580E+03,8.161886E-02,6.852387E+02,1.701745E+03,1.316698E+00,7.449028E+04,1.316698E+00,0.000000E+00,0.000000E+00,1.316698E+00,2.493374E+04,1.316698E+00,1.105446E+04,2.745303E+04
