Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,20103997.891661018,20103997.891661018 
 01/01  02:00:00,,,21316555.02720632,21316555.02720632 
 01/01  03:00:00,,,19965754.619999997,19965754.619999997 
 01/01  04:00:00,,,19965754.619999997,19965754.619999997 
 01/01  05:00:00,,,21332403.885378573,21332403.885378573 
 01/01  06:00:00,,,19965754.619999997,19965754.619999997 
 01/01  07:00:00,,,30698524.619999997,30698524.619999997 
 01/01  08:00:00,,,14177344.619999997,14177344.619999997 
 01/01  09:00:00,,,26981611.68125392,26981611.681253918 
 01/01  10:00:00,,,68145270.53650984,68145270.53650983 
 01/01  11:00:00,,,156994838.54767197,156994838.5476719 
 01/01  12:00:00,,,214661940.2795334,214661940.27953336 
 01/01  13:00:00,,,207480402.7518602,207480402.75186017 
 01/01  14:00:00,,,213392080.18462187,213392080.1846218 
 01/01  15:00:00,,,216236436.60916913,216236436.6091691 
 01/01  16:00:00,,,218923927.1909399,218923927.1909399 
 01/01  17:00:00,,,211091401.73239827,211091401.7323982 
 01/01  18:00:00,,,154077187.9491939,154077187.94919384 
 01/01  19:00:00,,,81570813.96540496,81570813.96540496 
 01/01  20:00:00,,,82287940.0895986,82287940.08959858 
 01/01  21:00:00,,,79528256.36261532,79528256.36261532 
 01/01  22:00:00,,,81813618.33052562,81813618.33052564 
 01/01  23:00:00,,,73891883.1317636,73891883.13176362 
 01/01  24:00:00,,,55364746.05960789,55364746.0596079 
 01/02  01:00:00,,,20103997.891661018,20103997.891661018 
 01/02  02:00:00,,,23720284.510576576,23720284.510576576 
 01/02  03:00:00,,,19965754.619999997,19965754.619999997 
 01/02  04:00:00,,,22468703.74353743,22468703.74353743 
 01/02  05:00:00,,,19965754.619999997,19965754.619999997 
 01/02  06:00:00,,,19965754.619999997,19965754.619999997 
 01/02  07:00:00,,,30698524.619999997,30698524.619999997 
 01/02  08:00:00,,,17444793.6444324,17444793.644432396 
 01/02  09:00:00,,,48249002.07502043,48249002.07502043 
 01/02  10:00:00,,,139806924.29401734,139806924.29401731 
 01/02  11:00:00,,,203170700.90212432,203170700.9021243 
 01/02  12:00:00,,,204457158.81012034,204457158.81012028 
 01/02  13:00:00,,,205731381.53490207,205731381.53490204 
 01/02  14:00:00,,,209591247.16786963,209591247.1678695 
 01/02  15:00:00,,,209586584.88561615,209586584.8856161 
 01/02  16:00:00,,,204460087.64125726,204460087.64125717 
 01/02  17:00:00,,,205724312.15422955,205724312.15422946 
 01/02  18:00:00,,,219456672.25893518,219456672.25893515 
 01/02  19:00:00,,,224281663.8843033,224281663.8843033 
 01/02  20:00:00,,,225549260.3262333,225549260.32623327 
 01/02  21:00:00,,,163607476.32166752,163607476.3216675 
 01/02  22:00:00,,,78850254.82777077,78850254.82777077 
 01/02  23:00:00,,,76011540.78805462,76011540.78805465 
 01/02  24:00:00,,,55377042.98623891,55377042.986238904 
 01/03  01:00:00,,,20103997.891661018,20103997.891661018 
 01/03  02:00:00,,,19965754.619999997,19965754.619999997 
 01/03  03:00:00,,,23720105.794280697,23720105.794280697 
 01/03  04:00:00,,,19965754.619999997,19965754.619999997 
 01/03  05:00:00,,,19965754.619999997,19965754.619999997 
 01/03  06:00:00,,,19965754.619999997,19965754.619999997 
 01/03  07:00:00,,,35704712.72796726,35704712.72796726 
 01/03  08:00:00,,,17444793.6444324,17444793.644432396 
 01/03  09:00:00,,,45732993.832156256,45732993.832156256 
 01/03  10:00:00,,,137290716.76139766,137290716.76139763 
 01/03  11:00:00,,,205693862.2883687,205693862.28836864 
 01/03  12:00:00,,,204543605.18684378,204543605.18684372 
 01/03  13:00:00,,,205742435.4379882,205742435.43798816 
 01/03  14:00:00,,,210009708.6559279,210009708.65592784 
 01/03  15:00:00,,,216966664.71102288,216966664.71102285 
 01/03  16:00:00,,,220974044.68174148,220974044.68174148 
 01/03  17:00:00,,,212045757.1882009,212045757.1882009 
 01/03  18:00:00,,,217472965.744143,217472965.744143 
 01/03  19:00:00,,,227614219.87221336,227614219.87221333 
 01/03  20:00:00,,,224775952.1814922,224775952.1814922 
 01/03  21:00:00,,,163607806.46540138,163607806.4654013 
 01/03  22:00:00,,,81410456.20526227,81410456.20526227 
 01/03  23:00:00,,,73889237.96990982,73889237.96990983 
 01/03  24:00:00,,,52857933.49207347,52857933.49207347 
 01/04  01:00:00,,,20165247.240885142,20165247.240885142 
 01/04  02:00:00,,,22468507.264996417,22468507.264996417 
 01/04  03:00:00,,,19965754.619999997,19965754.619999997 
 01/04  04:00:00,,,23720122.975977,23720122.975977 
 01/04  05:00:00,,,22468649.86596748,22468649.86596748 
 01/04  06:00:00,,,19965754.619999997,19965754.619999997 
 01/04  07:00:00,,,30698524.619999997,30698524.619999997 
 01/04  08:00:00,,,17444793.6444324,17444793.644432396 
 01/04  09:00:00,,,46987573.14414418,46987573.14414418 
 01/04  10:00:00,,,137298246.04139313,137298246.0413931 
 01/04  11:00:00,,,204437112.73348832,204437112.7334883 
 01/04  12:00:00,,,207835926.97704068,207835926.9770407 
 01/04  13:00:00,,,210855548.62409043,210855548.62409043 
 01/04  14:00:00,,,229968004.0769184,229968004.07691836 
 01/04  15:00:00,,,234489666.7318641,234489666.73186404 
 01/04  16:00:00,,,236439731.7466597,236439731.74665964 
 01/04  17:00:00,,,224523327.05221918,224523327.05221915 
 01/04  18:00:00,,,241347258.01290828,241347258.0129083 
 01/04  19:00:00,,,251343008.2353928,251343008.2353928 
 01/04  20:00:00,,,249359793.53262344,249359793.53262344 
 01/04  21:00:00,,,182775182.80137414,182775182.8013741 
 01/04  22:00:00,,,95256858.72666645,95256858.72666644 
 01/04  23:00:00,,,91385753.64720891,91385753.64720891 
 01/04  24:00:00,,,63849269.25221422,63849269.25221422 
 01/05  01:00:00,,,26176585.117039163,26176585.117039163 
 01/05  02:00:00,,,25141958.704048235,25141958.704048235 
 01/05  03:00:00,,,27525998.25949964,27525998.259499636 
 01/05  04:00:00,,,21486295.813000336,21486295.813000336 
 01/05  05:00:00,,,24971067.5825309,24971067.5825309 
 01/05  06:00:00,,,21217144.563217696,21217144.563217696 
 01/05  07:00:00,,,32078808.789624773,32078808.789624773 
 01/05  08:00:00,,,18223649.510275662,18223649.510275662 
 01/05  09:00:00,,,55299903.28403103,55299903.28403104 
 01/05  10:00:00,,,181285648.36647874,181285648.3664787 
 01/05  11:00:00,,,274333644.8119728,274333644.8119728 
 01/05  12:00:00,,,271369954.1746072,271369954.1746072 
 01/05  13:00:00,,,282476095.1815611,282476095.18156105 
 01/05  14:00:00,,,287620895.9492002,287620895.9492002 
 01/05  15:00:00,,,286361869.15835893,286361869.15835893 
 01/05  16:00:00,,,284916856.9351696,284916856.9351695 
 01/05  17:00:00,,,288320669.7090316,288320669.7090315 
 01/05  18:00:00,,,297987540.2304528,297987540.2304528 
 01/05  19:00:00,,,299713355.06249434,299713355.0624943 
 01/05  20:00:00,,,301078431.69205534,301078431.69205534 
 01/05  21:00:00,,,214808197.49286786,214808197.49286786 
 01/05  22:00:00,,,133411977.89894867,133411977.89894867 
 01/05  23:00:00,,,114041990.4487166,114041990.44871655 
 01/05  24:00:00,,,74110866.1961094,74110866.1961094 
 01/06  01:00:00,,,62886364.09473735,62886364.094737336 
 01/06  02:00:00,,,39999754.984292336,39999754.98429234 
 01/06  03:00:00,,,41215497.2486103,41215497.2486103 
 01/06  04:00:00,,,30970423.620712396,30970423.620712392 
 01/06  05:00:00,,,35228135.05584265,35228135.05584265 
 01/06  06:00:00,,,27788205.661641177,27788205.661641177 
 01/06  07:00:00,,,41961454.26616801,41961454.26616801 
 01/06  08:00:00,,,30316299.979700126,30316299.979700122 
 01/06  09:00:00,,,71952423.73152263,71952423.73152263 
 01/06  10:00:00,,,182851899.45855603,182851899.45855597 
 01/06  11:00:00,,,278895636.3275985,278895636.3275985 
 01/06  12:00:00,,,282440472.9941552,282440472.99415517 
 01/06  13:00:00,,,299552752.5797014,299552752.5797014 
 01/06  14:00:00,,,302874228.2656349,302874228.26563483 
 01/06  15:00:00,,,302575253.8121973,302575253.8121972 
 01/06  16:00:00,,,293704741.67491335,293704741.6749133 
