Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16631299.929775119,13600595866.70096,7911785.201056669,7372000621.762452,7232135.173696192,5971272892.457121,8122509.5437630685,5891163727.685273,10014324.628639596,5769558027.658209,15704457.109281523,10876718471.019096,8685278.319408786,5600874229.201956,8981875.57852962,5524340807.513489,10342405.561010856,5265634931.0895405,15207756.710717583,4665506056.976886,106944077874.29292,0.0 
February,13174332.61687673,12901936690.608301,5641065.25297751,6939057961.323887,4445542.891736953,5673336072.242653,4337858.75981645,5594482396.043278,4701441.4649259355,5516885502.289762,10057212.8289816,10414256344.841116,5279951.061500333,5360517835.320146,6092256.346929911,5291464230.2097025,7558700.96630368,5100254212.905913,13638802.610071255,4537442245.2239685,97515340301.38312,0.0 
March,20684891.502972543,13603373884.188593,11594611.035100885,7354877319.1765995,8383559.430911426,6069653999.567483,8315855.64831122,5986519683.653602,9430058.404155066,5880249804.625343,19217314.84316864,11103860792.966995,10721387.11103583,5722287775.294344,10504045.549888803,5655524142.130546,12143039.910506284,5398045105.677185,15448914.37771067,4754791688.032747,108243670386.8792,0.0 
April,12970564.354679823,14901517950.267658,7043160.875196651,7848304553.303471,5490011.956781935,6465714372.298296,5568174.674294403,6376209270.0734005,5714533.539677434,6287857066.074096,10509470.685696473,11827431337.649715,4917431.539973434,6114313149.134477,4756852.160911294,6059626450.2737255,6577061.60434906,5865994796.879935,10540577.719476076,5528338030.077727,108811168265.61974,0.0 
May,7068458.029724704,15962244402.609434,6026766.805075747,8351346771.656083,4559573.807258619,6932451420.971667,4704600.175519027,6825524973.584115,5337741.82053102,6743663028.329398,6687753.210763512,12664457521.09694,4410290.227953101,6568554879.986829,4729276.756790055,6514731621.696471,4905638.032439677,6338638277.69928,6339875.190310805,6185186589.885973,117635414950.30977,0.0 
June,3688644.832738987,17321660754.402817,6944042.01148265,8846055030.869293,2996749.1865699627,7483505642.681235,2401961.8559046476,7364167919.169345,1725006.6562680863,7277405898.610147,4189346.0994423903,13707848060.746906,2211217.6112168734,7101713559.7764015,1895946.6466672514,7041317880.845347,3106981.703278101,6942259448.023555,4293129.8193854,7163716771.573261,118892552923.2856,0.0 
July,4309775.314750137,19042869519.619537,6055292.729411835,9540388387.344185,2181397.9512429866,8010696454.750887,1932150.368507942,7879591727.842168,2078782.5156870203,7793087178.237557,4246879.281036003,14678983713.463858,2539725.261465293,7601765410.728318,2379884.688549178,7540612555.179295,2588516.1272874638,7462174798.853656,3030664.6754456065,7973104683.625385,124931327018.22548,0.0 
August,3110136.113230718,19853685299.938007,7845621.8833330255,9801264603.847147,2106709.5751737617,8403528521.351399,2508724.3721719803,8283496469.855863,2901303.8062702734,8191538020.840265,4125836.2886857986,15500074976.421164,2000836.7505576299,8025049460.257892,1954998.8768686433,7956330124.374055,3075302.0968333194,7880173290.48982,3447160.490367525,8562019332.3576355,127550379598.82205,0.0 
September,2739864.515631222,19064259357.8098,6201914.078464355,9450542518.723135,1867829.1870750575,7981932276.163223,1856108.9157730013,7862504961.00438,1738771.6691899232,7771707719.988858,3311392.6019879146,14680846698.708366,1986003.4169461548,7595529842.94427,2222410.862183131,7534930289.727826,3099634.036809246,7461154628.79036,2564249.935157019,8105457794.932574,121686871640.43231,0.0 
October,4401036.438703558,19148516930.544666,5883545.083342801,9532057253.268023,3132654.694607047,7986765101.430707,3170112.263473255,7873958981.326168,3470679.9750101506,7766624206.196012,5455983.355426404,14708985627.122797,3457971.2268132824,7599336152.65208,3786901.289301109,7533558143.775357,3571195.346645351,7452634990.163615,3367338.405213203,7949005337.119439,121721662546.65292,0.0 
