Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.177133E+04,1.004973E+04,6.075159E-01,8.714793E-01,4.341904E+03,5.231484E+03,2.240922E-01,4.536462E-01,4.242953E+03,5.185024E+03,2.189852E-01,4.496175E-01,4.236986E+03,5.184615E+03,2.186772E-01,4.495821E-01,4.305137E+03,5.185548E+03,2.221946E-01,4.496629E-01,8.467116E+03,1.020876E+04,4.370000E-01,8.852522E-01,4.258932E+03,5.228832E+03,2.198099E-01,4.534163E-01,4.247666E+03,5.184206E+03,2.192285E-01,4.495465E-01,4.428247E+03,5.128912E+03,2.285486E-01,4.447517E-01,7.488643E+03,4.817920E+03,3.864765E-01,4.178004E-01
00:20:00,1.177045E+04,9.999850E+03,6.074706E-01,8.671538E-01,4.341428E+03,5.214955E+03,2.240678E-01,4.522129E-01,4.242475E+03,5.169111E+03,2.189606E-01,4.482376E-01,4.236505E+03,5.168732E+03,2.186525E-01,4.482048E-01,4.304643E+03,5.169581E+03,2.221692E-01,4.482783E-01,8.466055E+03,1.017716E+04,4.369454E-01,8.825119E-01,4.258439E+03,5.212863E+03,2.197845E-01,4.520316E-01,4.247189E+03,5.168287E+03,2.192039E-01,4.481662E-01,4.427795E+03,5.112407E+03,2.285253E-01,4.433205E-01,7.488300E+03,4.790355E+03,3.864588E-01,4.154100E-01
00:30:00,1.176958E+04,9.951478E+03,6.074259E-01,8.629592E-01,4.340960E+03,5.198796E+03,2.240437E-01,4.508117E-01,4.242004E+03,5.153546E+03,2.189364E-01,4.468879E-01,4.236032E+03,5.153198E+03,2.186281E-01,4.468577E-01,4.304158E+03,5.153963E+03,2.221442E-01,4.469240E-01,8.465009E+03,1.014623E+04,4.368915E-01,8.798299E-01,4.257953E+03,5.197243E+03,2.197595E-01,4.506771E-01,4.246720E+03,5.152717E+03,2.191798E-01,4.468160E-01,4.427351E+03,5.096261E+03,2.285025E-01,4.419204E-01,7.487962E+03,4.763450E+03,3.864414E-01,4.130769E-01
00:40:00,1.176873E+04,9.904530E+03,6.073818E-01,8.588882E-01,4.340500E+03,5.182995E+03,2.240200E-01,4.494416E-01,4.241541E+03,5.138319E+03,2.189125E-01,4.455675E-01,4.235566E+03,5.138000E+03,2.186042E-01,4.455399E-01,4.303679E+03,5.138682E+03,2.221196E-01,4.455990E-01,8.463978E+03,1.011596E+04,4.368384E-01,8.772046E-01,4.257475E+03,5.181961E+03,2.197349E-01,4.493519E-01,4.246259E+03,5.137484E+03,2.191560E-01,4.454951E-01,4.426914E+03,5.080462E+03,2.284800E-01,4.405504E-01,7.487629E+03,4.737184E+03,3.864242E-01,4.107991E-01
00:50:00,1.176788E+04,9.858928E+03,6.073381E-01,8.549338E-01,4.340046E+03,5.167542E+03,2.239966E-01,4.481016E-01,4.241084E+03,5.123420E+03,2.188890E-01,4.442756E-01,4.235107E+03,5.123129E+03,2.185805E-01,4.442504E-01,4.303208E+03,5.123730E+03,2.220953E-01,4.443024E-01,8.462961E+03,1.008632E+04,4.367860E-01,8.746343E-01,4.257004E+03,5.167006E+03,2.197107E-01,4.480552E-01,4.245804E+03,5.122578E+03,2.191326E-01,4.442026E-01,4.426484E+03,5.065000E+03,2.284578E-01,4.392097E-01,7.487301E+03,4.711533E+03,3.864073E-01,4.085748E-01
01:00:00,1.176705E+04,9.814603E+03,6.072950E-01,8.510902E-01,4.339599E+03,5.152426E+03,2.239736E-01,4.467908E-01,4.240634E+03,5.108841E+03,2.188658E-01,4.430114E-01,4.234655E+03,5.108578E+03,2.185572E-01,4.429886E-01,4.302743E+03,5.109097E+03,2.220714E-01,4.430335E-01,8.461956E+03,1.005729E+04,4.367343E-01,8.721177E-01,4.256539E+03,5.152371E+03,2.196867E-01,4.467861E-01,4.245355E+03,5.107992E+03,2.191095E-01,4.429378E-01,4.426059E+03,5.049866E+03,2.284360E-01,4.378974E-01,7.486976E+03,4.686480E+03,3.863905E-01,4.064022E-01
01:10:00,1.176704E+04,9.771905E+03,6.072950E-01,8.473876E-01,4.339586E+03,5.137800E+03,2.239729E-01,4.455226E-01,4.240620E+03,5.094733E+03,2.188651E-01,4.417881E-01,4.234641E+03,5.094497E+03,2.185565E-01,4.417676E-01,4.302730E+03,5.094938E+03,2.220708E-01,4.418058E-01,8.461948E+03,1.002923E+04,4.367339E-01,8.696839E-01,4.256527E+03,5.138211E+03,2.196861E-01,4.455582E-01,4.245341E+03,5.093876E+03,2.191088E-01,4.417137E-01,4.426045E+03,5.035209E+03,2.284353E-01,4.366264E-01,7.486965E+03,4.662224E+03,3.863900E-01,4.042989E-01
01:20:00,1.176704E+04,9.730596E+03,6.072950E-01,8.438055E-01,4.339575E+03,5.123569E+03,2.239724E-01,4.442886E-01,4.240608E+03,5.081004E+03,2.188646E-01,4.405976E-01,4.234629E+03,5.080794E+03,2.185560E-01,4.405794E-01,4.302720E+03,5.081158E+03,2.220703E-01,4.406109E-01,8.461944E+03,1.000190E+04,4.367338E-01,8.673145E-01,4.256516E+03,5.124429E+03,2.196856E-01,4.443631E-01,4.245330E+03,5.080138E+03,2.191082E-01,4.405225E-01,4.426033E+03,5.020940E+03,2.284347E-01,4.353891E-01,7.486955E+03,4.638682E+03,3.863895E-01,4.022574E-01
01:30:00,1.176705E+04,9.690641E+03,6.072952E-01,8.403408E-01,4.339566E+03,5.109732E+03,2.239720E-01,4.430887E-01,4.240599E+03,5.067654E+03,2.188641E-01,4.394400E-01,4.234620E+03,5.067470E+03,2.185555E-01,4.394240E-01,4.302712E+03,5.067758E+03,2.220699E-01,4.394489E-01,8.461944E+03,9.975320E+03,4.367338E-01,8.650095E-01,4.256508E+03,5.111027E+03,2.196852E-01,4.432010E-01,4.245320E+03,5.066780E+03,2.191078E-01,4.393642E-01,4.426023E+03,5.007057E+03,2.284342E-01,4.341853E-01,7.486947E+03,4.615846E+03,3.863890E-01,4.002771E-01
01:40:00,1.176705E+04,9.652011E+03,6.072954E-01,8.369910E-01,4.339559E+03,5.096288E+03,2.239717E-01,4.419229E-01,4.240591E+03,5.054685E+03,2.188637E-01,4.383153E-01,4.234612E+03,5.054525E+03,2.185552E-01,4.383015E-01,4.302706E+03,5.054737E+03,2.220696E-01,4.383199E-01,8.461947E+03,9.949483E+03,4.367340E-01,8.627691E-01,4.256502E+03,5.098004E+03,2.196849E-01,4.420718E-01,4.245312E+03,5.053801E+03,2.191074E-01,4.382387E-01,4.426014E+03,4.993563E+03,2.284338E-01,4.330151E-01,7.486938E+03,4.593710E+03,3.863886E-01,3.983576E-01
