Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,18965840.32567311,12802861746.11257,8651168.086650092,6995333718.609696,8390926.348831188,5624021800.47056,9579089.15820817,5532998497.10526,10132858.154053051,5439983096.5979595,17231719.09811494,10182857568.389515,9172201.796535498,5244837362.894952,10225977.980422292,5167591298.804697,11741934.535700787,4896243677.925227,16588762.627262512,4227288982.6266947,105594000963.47974,0.0 
February,12760695.839407796,12144262539.488825,6459463.883241408,6622207580.667449,5041431.420124629,5353634949.769327,5433558.659103583,5275314578.354012,6509652.531440293,5195956947.165001,11442443.599555358,9761057015.749119,5976777.374670071,5026177487.2067,6472277.143045061,4957496618.528191,8070972.444412377,4742004830.060062,16020799.766632633,4130369632.7908397,96268405194.70305,0.0 
March,21614291.282569386,12762787437.076143,10517847.639168771,7007555057.664173,10035887.415116249,5712539374.925442,9774270.545118589,5638017769.852914,10241549.344271062,5548636266.449623,19081992.977890443,10429219772.929316,10449606.940006059,5371250932.701249,10119172.689819356,5304148043.874828,11670839.68116617,5023468802.639369,18879406.884637184,4315093588.183892,106998160110.49382,0.0 
April,13030895.576535106,14097463079.971119,6479782.0068011,7489140889.00016,5397671.772285734,6136327242.60024,5145632.455664253,6063541127.890629,5520308.842820366,5964842089.17448,10236086.846217876,11237017127.21638,6255589.040822182,5810140548.030721,5987352.520009123,5737373660.983798,6568727.907896767,5528973090.744922,14236828.391782926,5102847269.524486,108224089199.03484,0.0 
May,8480034.563910823,15067297003.138159,7061389.025421851,7956179369.336729,4289572.8724224,6599968934.928313,4216146.23445356,6498514034.617794,5463866.994563024,6394313041.269082,9600262.070772853,12002697095.322557,5012987.635783519,6213838905.16465,4908040.256409145,6145941524.035433,4284123.458184596,5980475341.145484,8136523.179988643,5708929310.537292,116789668100.19637,0.0 
June,5887895.466769635,16519156712.549627,5385096.4148964,8497837915.5036125,2116865.7904142905,7149927357.368692,2925943.149979321,7038113215.71251,3209274.2590755676,6941871622.081092,5480366.104147958,13054413362.564512,3100673.0293941945,6756124915.479309,3024038.0673425677,6706885099.174125,2308694.1235901453,6600838449.273479,5081496.1166640045,6687825627.267547,118397064812.74149,0.0 
July,3149828.578269634,18197126666.15346,5939071.890967255,9173205946.261278,1653584.355155002,7660033755.780935,2550672.552034026,7532484750.027023,2270855.380623105,7442444178.016495,5328059.116092425,14006339365.257668,3258751.4676778787,7250244510.68007,2990598.438083361,7182681194.519698,2598639.119607489,7094611603.686995,3408936.3620484606,7471461199.4875765,124342245798.81242,0.0 
August,3393658.70379489,18989903314.394066,6210291.039363107,9429535708.548597,2061877.478645351,8050066460.9197645,2175471.8848174666,7926315172.740765,2288244.8209193014,7842377984.016123,3929637.4106536405,14787429129.078289,2254040.8502195813,7651489113.68836,2586819.886616021,7587719483.661654,2347310.477684332,7506211454.891645,3623372.5568468533,8031676665.290232,126968179741.21835,0.0 
September,2942370.317257762,18252827475.447086,5687004.991891239,9104656614.585634,1805872.6770227815,7664538069.956027,1627488.1403948173,7528989997.458241,1776005.956533959,7456992061.342959,4089558.592803887,14043935969.676739,1869427.2022704817,7262517897.581813,1987775.5182944029,7210253485.7517605,2725258.3384342245,7127533379.201583,4025304.4450747306,7622987794.598064,121234755821.43503,0.0 
October,4286974.743500514,18288802359.05439,5247648.34068786,9178512914.718351,2570166.249517073,7664596960.860956,1975528.3639850684,7534475832.68487,2129640.913490661,7454850733.160999,5604349.594824583,14080095541.249714,3778749.171046103,7259692222.548454,3588811.7806545394,7201984342.165903,3150735.9205511604,7114764829.2757015,4410010.912838848,7466626068.731301,121165659387.12236,0.0 
November,6053942.335668529,15969474918.74623,5479165.123555173,8266987270.625812,3003665.5564727043,6855438503.744119,2896464.62015804,6763994359.755788,3541214.0537619125,6679799647.183092,6964007.794959618,12594307373.272074,3695862.2861315426,6494312333.799108,3638475.7496488127,6439930366.525491,3258263.800038016,6322804669.699871,4441156.807005075,6225705478.918193,112145743649.78188,0.0 
