Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.176128E+04,9.711905E+03,6.060405E-01,7.845609E-01,4.338214E+03,5.097880E+03,2.235488E-01,4.118147E-01,4.239356E+03,5.053949E+03,2.184546E-01,4.082660E-01,4.233394E+03,5.053695E+03,2.181474E-01,4.082454E-01,4.301564E+03,5.055178E+03,2.216602E-01,4.083652E-01,8.460042E+03,9.949339E+03,4.359465E-01,8.037261E-01,4.255322E+03,5.097437E+03,2.192774E-01,4.117790E-01,4.244065E+03,5.052981E+03,2.186973E-01,4.081878E-01,4.424555E+03,4.994908E+03,2.279980E-01,4.034965E-01,7.482224E+03,4.613601E+03,3.855364E-01,3.727078E-01
00:20:00,1.176040E+04,9.662224E+03,6.059949E-01,7.805476E-01,4.337735E+03,5.081388E+03,2.235242E-01,4.104825E-01,4.238874E+03,5.038077E+03,2.184299E-01,4.069838E-01,4.232909E+03,5.037854E+03,2.181225E-01,4.069658E-01,4.301066E+03,5.039251E+03,2.216346E-01,4.070786E-01,8.458973E+03,9.917805E+03,4.358916E-01,8.011787E-01,4.254825E+03,5.081509E+03,2.192518E-01,4.104923E-01,4.243584E+03,5.037105E+03,2.186726E-01,4.069053E-01,4.424099E+03,4.978442E+03,2.279746E-01,4.021664E-01,7.481878E+03,4.586181E+03,3.855187E-01,3.704927E-01
00:30:00,1.175952E+04,9.614046E+03,6.059499E-01,7.766557E-01,4.337263E+03,5.065267E+03,2.235000E-01,4.091802E-01,4.238399E+03,5.022554E+03,2.184055E-01,4.057299E-01,4.232432E+03,5.022362E+03,2.180980E-01,4.057143E-01,4.300576E+03,5.023673E+03,2.216095E-01,4.058202E-01,8.457918E+03,9.886941E+03,4.358374E-01,7.986855E-01,4.254335E+03,5.065929E+03,2.192267E-01,4.092337E-01,4.243111E+03,5.021576E+03,2.186483E-01,4.056509E-01,4.423652E+03,4.962334E+03,2.279516E-01,4.008652E-01,7.481538E+03,4.559423E+03,3.855012E-01,3.683310E-01
00:40:00,1.175866E+04,9.567285E+03,6.059055E-01,7.728783E-01,4.336799E+03,5.049504E+03,2.234761E-01,4.079069E-01,4.237932E+03,5.007370E+03,2.183814E-01,4.045033E-01,4.231963E+03,5.007207E+03,2.180738E-01,4.044901E-01,4.300094E+03,5.008432E+03,2.215847E-01,4.045891E-01,8.456879E+03,9.856728E+03,4.357839E-01,7.962448E-01,4.253853E+03,5.050686E+03,2.192019E-01,4.080024E-01,4.242646E+03,5.006385E+03,2.186244E-01,4.044238E-01,4.423211E+03,4.946574E+03,2.279290E-01,3.995921E-01,7.481203E+03,4.533304E+03,3.854839E-01,3.662211E-01
00:50:00,1.175781E+04,9.521865E+03,6.058617E-01,7.692091E-01,4.336341E+03,5.034090E+03,2.234526E-01,4.066617E-01,4.237471E+03,4.992515E+03,2.183578E-01,4.033033E-01,4.231500E+03,4.992380E+03,2.180500E-01,4.032924E-01,4.299618E+03,4.993521E+03,2.215602E-01,4.033845E-01,8.455852E+03,9.827148E+03,4.357311E-01,7.938554E-01,4.253378E+03,5.035773E+03,2.191774E-01,4.067977E-01,4.242187E+03,4.991523E+03,2.186008E-01,4.032232E-01,4.422777E+03,4.931152E+03,2.279067E-01,3.983463E-01,7.480872E+03,4.507809E+03,3.854668E-01,3.641615E-01
01:00:00,1.175697E+04,9.477717E+03,6.058183E-01,7.656428E-01,4.335890E+03,5.019014E+03,2.234294E-01,4.054439E-01,4.237017E+03,4.977981E+03,2.183344E-01,4.021292E-01,4.231043E+03,4.977874E+03,2.180266E-01,4.021206E-01,4.299149E+03,4.978930E+03,2.215361E-01,4.022059E-01,8.454839E+03,9.798185E+03,4.356790E-01,7.915158E-01,4.252909E+03,5.021180E+03,2.191533E-01,4.056189E-01,4.241735E+03,4.976982E+03,2.185775E-01,4.020485E-01,4.422349E+03,4.916061E+03,2.278847E-01,3.971272E-01,7.480545E+03,4.482924E+03,3.854500E-01,3.621512E-01
01:10:00,1.175697E+04,9.435254E+03,6.058183E-01,7.622126E-01,4.335877E+03,5.004459E+03,2.234288E-01,4.042682E-01,4.237003E+03,4.963949E+03,2.183337E-01,4.009957E-01,4.231030E+03,4.963869E+03,2.180259E-01,4.009893E-01,4.299137E+03,4.964844E+03,2.215355E-01,4.010680E-01,8.454832E+03,9.770243E+03,4.356787E-01,7.892586E-01,4.252896E+03,5.007092E+03,2.191527E-01,4.044809E-01,4.241721E+03,4.962941E+03,2.185768E-01,4.009144E-01,4.422335E+03,4.901476E+03,2.278840E-01,3.959491E-01,7.480534E+03,4.458861E+03,3.854495E-01,3.602073E-01
01:20:00,1.175697E+04,9.394171E+03,6.058183E-01,7.588938E-01,4.335867E+03,4.990299E+03,2.234283E-01,4.031243E-01,4.236992E+03,4.950296E+03,2.183332E-01,3.998928E-01,4.231018E+03,4.950243E+03,2.180254E-01,3.998886E-01,4.299127E+03,4.951138E+03,2.215350E-01,3.999608E-01,8.454828E+03,9.743039E+03,4.356786E-01,7.870610E-01,4.252886E+03,4.993384E+03,2.191522E-01,4.033735E-01,4.241709E+03,4.949280E+03,2.185763E-01,3.998108E-01,4.422323E+03,4.887279E+03,2.278834E-01,3.948022E-01,7.480524E+03,4.435502E+03,3.854490E-01,3.583203E-01
01:30:00,1.175697E+04,9.354434E+03,6.058185E-01,7.556838E-01,4.335858E+03,4.976533E+03,2.234278E-01,4.020123E-01,4.236983E+03,4.937023E+03,2.183327E-01,3.988207E-01,4.231009E+03,4.936996E+03,2.180249E-01,3.988185E-01,4.299120E+03,4.937810E+03,2.215347E-01,3.988842E-01,8.454828E+03,9.716573E+03,4.356787E-01,7.849231E-01,4.252878E+03,4.980054E+03,2.191518E-01,4.022968E-01,4.241700E+03,4.935998E+03,2.185758E-01,3.987378E-01,4.422313E+03,4.873470E+03,2.278829E-01,3.936868E-01,7.480516E+03,4.412835E+03,3.854485E-01,3.564892E-01
01:40:00,1.175697E+04,9.316015E+03,6.058188E-01,7.525802E-01,4.335851E+03,4.963162E+03,2.234275E-01,4.009322E-01,4.236975E+03,4.924134E+03,2.183324E-01,3.977795E-01,4.231002E+03,4.924133E+03,2.180246E-01,3.977794E-01,4.299113E+03,4.924865E+03,2.215344E-01,3.978385E-01,8.454831E+03,9.690848E+03,4.356789E-01,7.828450E-01,4.252872E+03,4.967107E+03,2.191515E-01,4.012509E-01,4.241692E+03,4.923100E+03,2.185754E-01,3.976960E-01,4.422305E+03,4.860056E+03,2.278825E-01,3.926031E-01,7.480508E+03,4.390850E+03,3.854481E-01,3.547132E-01
