Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,9430576165.226563,1121454388.6006424,3616295488.4283185,408524906.731613,3272741149.9933352,451022812.44727236,3638662133.719244,374484291.8772349,3642082935.4397564,385623997.134848,8020621265.296572,322882157.55865335,4256759729.1804404,203459308.7875656,4274000614.3931193,198492423.74057892,4644312672.009106,151801333.3989188,8610257794.15378,14503684.756222283,3340151575958.708,101821795220810.34 
February,9141682128.395933,884444965.3856114,3494370698.395993,321784031.76925826,3203632830.0890646,352186370.87194467,3536536314.2710032,291795034.01384974,3602084493.0628743,371141706.89088714,7734739861.785417,249946279.68992597,4115997570.632207,162460377.88017473,4125561859.60082,159167769.6974042,4527342956.604449,117698625.00857969,8313107414.324367,8241428.393296725,3091234082783.3857,100866146684381.95 
March,5745590198.279038,3123082201.0661573,2076712460.2405503,1332020700.2755334,1773248721.340266,1656895718.7292588,2002947174.4940903,1475272181.2280595,1994625685.2449775,1537498146.259359,4471663230.444316,1790186270.31685,2395706495.9168267,1010545535.2244737,2415463229.4864745,989639310.3221346,2717688636.4563174,848909410.872386,5555193397.96209,458296364.8893451,3186166169306.008,77015677459346.94 
April,2658517571.888002,5084797729.857613,889933430.6893036,2214951539.728189,823400313.4192306,2575318340.5284095,894368209.809701,2329454087.247568,888423879.7406281,2444743155.64122,1821651173.2291973,2874652771.5674496,1028868767.4899836,1599158963.5938432,1052045691.7971921,1560455193.5173213,1199824531.1456444,1371163820.3344526,2697846849.461055,825380559.133177,2854341811104.107,49843453513496.914 
May,1505994306.4579694,9182904921.848106,677438992.1701826,4261415884.374025,747951377.5601351,4688030028.670428,770093008.0143027,4386172417.54592,778494337.7891794,4563335288.350481,1143328388.6344953,6281490283.341277,664309332.2517056,3412614556.2701893,669058448.9818038,3354051615.3427706,753710426.0563583,3077027951.3533854,1070797657.6522442,2391025202.8177705,2890370416678.4023,24162650697571.242 
June,1149425798.5262477,12522062060.40765,645020450.1357192,6144852536.012637,845958881.0692897,5867434103.078544,845558235.5081884,5728873359.547934,855239895.5964794,5771614468.911252,1366507737.6787786,9672540838.302597,821100967.8982551,5052118178.556681,839906193.4893513,5024145049.726268,817231607.7694318,4833159822.665898,921610746.1051571,4246073398.5476146,3005319121480.283,10377665422286.45 
July,3458132108.467994,17026406513.83305,1958775127.235765,8821012134.968052,2559420463.022472,8143568901.64345,2543893755.9329057,8091299985.745054,2559408465.8902435,8091414724.12449,4720037696.2962885,14688493839.179483,2561950281.4400153,7729818914.739427,2549582457.570114,7698690955.004152,2596270435.0234838,7537393986.717196,2630395046.7442946,6998640128.831638,3668617062716.046,3138516256254.3467 
August,1007441622.0412047,14935517816.830484,701619870.7343395,7206008518.00844,859644553.0231403,6891098496.663054,858061929.6703595,6700097762.548523,855665502.1027158,6755972386.7926235,1496433849.0178232,11701896889.050478,914123722.8485657,6153026155.936081,923789455.7027392,6095058390.156143,906768074.1000291,5973965829.923307,917436917.747998,5669525548.544704,3166537544472.834,6854917796195.037 
September,1122503178.4789586,12241408047.101095,653202252.8830882,5722232861.700108,620726921.5518374,5591863792.05734,640049443.7631572,5372747385.647958,661301638.8973736,5439452473.162353,911411903.1161736,8629075408.366642,520408758.19583243,4604852500.49075,533821597.42212677,4528206245.358678,611433716.8050627,4280178244.544997,713009597.2767603,3904428507.3868675,2798519810535.473,18140633165463.793 
October,1590553022.0148933,8622031868.524107,749558090.2625381,3763810582.9843273,706488393.9776995,4237544671.8124757,745357748.0343531,3917592862.293465,742021281.4544219,4112090970.9753666,1230642896.0663753,5265530527.524608,694152217.7878053,2896373839.803204,728373631.9128191,2835192673.4564114,807234689.5027415,2627977021.4244895,1248615057.7086973,2133588128.373195,2862801522524.054,38438182006897.04 
