Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.144727E+04,1.134823E+04,5.907909E-01,9.928803E-01,4.175119E+03,5.887415E+03,2.154842E-01,5.150900E-01,4.076282E+03,5.827890E+03,2.103830E-01,5.098823E-01,4.070216E+03,5.827361E+03,2.100699E-01,5.098360E-01,4.137804E+03,5.839572E+03,2.135582E-01,5.109043E-01,8.139466E+03,1.148104E+04,4.200894E-01,1.004480E+00,4.091624E+03,5.882979E+03,2.111748E-01,5.147020E-01,4.081103E+03,5.826927E+03,2.106318E-01,5.097981E-01,4.262846E+03,5.770647E+03,2.200119E-01,5.048741E-01,7.325634E+03,5.440660E+03,3.780639E-01,4.760216E-01
00:20:00,1.144637E+04,1.128952E+04,5.907450E-01,9.877440E-01,4.174636E+03,5.867906E+03,2.154593E-01,5.133833E-01,4.075795E+03,5.809085E+03,2.103580E-01,5.082371E-01,4.069726E+03,5.808589E+03,2.100447E-01,5.081937E-01,4.137301E+03,5.820702E+03,2.135324E-01,5.092534E-01,8.138385E+03,1.144354E+04,4.200338E-01,1.001200E+00,4.091121E+03,5.864107E+03,2.111490E-01,5.130510E-01,4.080617E+03,5.808120E+03,2.106068E-01,5.081526E-01,4.262386E+03,5.751232E+03,2.199883E-01,5.031754E-01,7.325287E+03,5.409459E+03,3.780460E-01,4.732918E-01
00:30:00,1.144549E+04,1.123268E+04,5.906997E-01,9.827710E-01,4.174160E+03,5.848842E+03,2.154348E-01,5.117154E-01,4.075316E+03,5.790698E+03,2.103333E-01,5.066284E-01,4.069244E+03,5.790235E+03,2.100199E-01,5.065879E-01,4.136806E+03,5.802250E+03,2.135069E-01,5.076391E-01,8.137320E+03,1.140686E+04,4.199789E-01,9.979904E-01,4.090626E+03,5.845654E+03,2.111235E-01,5.114365E-01,4.080140E+03,5.789730E+03,2.105823E-01,5.065437E-01,4.261935E+03,5.732244E+03,2.199650E-01,5.015142E-01,7.324946E+03,5.379015E+03,3.780284E-01,4.706282E-01
00:40:00,1.144463E+04,1.117761E+04,5.906549E-01,9.779533E-01,4.173691E+03,5.830211E+03,2.154107E-01,5.100854E-01,4.074843E+03,5.772720E+03,2.103090E-01,5.050556E-01,4.068770E+03,5.772289E+03,2.099955E-01,5.050178E-01,4.136318E+03,5.784208E+03,2.134818E-01,5.060606E-01,8.136270E+03,1.137096E+04,4.199248E-01,9.948501E-01,4.090139E+03,5.827609E+03,2.110984E-01,5.098578E-01,4.079670E+03,5.771748E+03,2.105581E-01,5.049706E-01,4.261491E+03,5.713675E+03,2.199422E-01,4.998897E-01,7.324609E+03,5.349310E+03,3.780110E-01,4.680292E-01
00:50:00,1.144377E+04,1.112422E+04,5.906107E-01,9.732818E-01,4.173229E+03,5.812000E+03,2.153869E-01,5.084921E-01,4.074378E+03,5.755138E+03,2.102850E-01,5.035173E-01,4.068302E+03,5.754737E+03,2.099714E-01,5.034823E-01,4.135838E+03,5.766561E+03,2.134570E-01,5.045167E-01,8.135233E+03,1.133584E+04,4.198714E-01,9.917770E-01,4.089659E+03,5.809960E+03,2.110737E-01,5.083137E-01,4.079206E+03,5.754162E+03,2.105342E-01,5.034320E-01,4.261053E+03,5.695512E+03,2.199196E-01,4.983006E-01,7.324277E+03,5.320317E+03,3.779939E-01,4.654925E-01
01:00:00,1.144292E+04,1.107240E+04,5.905670E-01,9.687482E-01,4.172774E+03,5.794194E+03,2.153635E-01,5.069343E-01,4.073920E+03,5.737939E+03,2.102614E-01,5.020127E-01,4.067841E+03,5.737569E+03,2.099477E-01,5.019802E-01,4.135364E+03,5.749297E+03,2.134326E-01,5.030063E-01,8.134209E+03,1.130146E+04,4.198187E-01,9.887692E-01,4.089185E+03,5.792695E+03,2.110493E-01,5.068032E-01,4.078749E+03,5.736959E+03,2.105107E-01,5.019269E-01,4.260622E+03,5.677742E+03,2.198974E-01,4.967460E-01,7.323948E+03,5.292012E+03,3.779769E-01,4.630161E-01
01:10:00,1.144292E+04,1.102245E+04,5.905670E-01,9.643777E-01,4.172761E+03,5.776925E+03,2.153628E-01,5.054235E-01,4.073906E+03,5.721255E+03,2.102607E-01,5.005530E-01,4.067827E+03,5.720914E+03,2.099470E-01,5.005231E-01,4.135352E+03,5.732551E+03,2.134320E-01,5.015412E-01,8.134201E+03,1.126811E+04,4.198184E-01,9.858518E-01,4.089172E+03,5.775946E+03,2.110487E-01,5.053379E-01,4.078735E+03,5.720269E+03,2.105100E-01,5.004667E-01,4.260607E+03,5.660494E+03,2.198967E-01,4.952369E-01,7.323938E+03,5.264578E+03,3.779764E-01,4.606158E-01
01:20:00,1.144292E+04,1.097413E+04,5.905671E-01,9.601508E-01,4.172750E+03,5.760111E+03,2.153623E-01,5.039525E-01,4.073894E+03,5.705007E+03,2.102601E-01,4.991315E-01,4.067816E+03,5.704694E+03,2.099464E-01,4.991041E-01,4.135341E+03,5.716241E+03,2.134316E-01,5.001142E-01,8.134197E+03,1.123562E+04,4.198182E-01,9.830093E-01,4.089162E+03,5.759634E+03,2.110482E-01,5.039108E-01,4.078724E+03,5.704015E+03,2.105094E-01,4.990447E-01,4.260595E+03,5.643691E+03,2.198961E-01,4.937668E-01,7.323928E+03,5.237939E+03,3.779759E-01,4.582851E-01
01:30:00,1.144292E+04,1.092741E+04,5.905672E-01,9.560626E-01,4.172741E+03,5.743749E+03,2.153619E-01,5.025210E-01,4.073884E+03,5.689193E+03,2.102597E-01,4.977480E-01,4.067806E+03,5.688907E+03,2.099460E-01,4.977229E-01,4.135333E+03,5.700364E+03,2.134312E-01,4.987253E-01,8.134197E+03,1.120398E+04,4.198183E-01,9.802412E-01,4.089154E+03,5.743756E+03,2.110478E-01,5.025216E-01,4.078714E+03,5.688194E+03,2.105089E-01,4.976605E-01,4.260585E+03,5.627330E+03,2.198956E-01,4.923355E-01,7.323919E+03,5.212085E+03,3.779755E-01,4.560231E-01
01:40:00,1.144293E+04,1.088222E+04,5.905675E-01,9.521092E-01,4.172734E+03,5.727837E+03,2.153615E-01,5.011288E-01,4.073877E+03,5.673811E+03,2.102593E-01,4.964022E-01,4.067799E+03,5.673552E+03,2.099456E-01,4.963795E-01,4.135327E+03,5.684920E+03,2.134309E-01,4.973741E-01,8.134200E+03,1.117319E+04,4.198185E-01,9.775473E-01,4.089148E+03,5.728310E+03,2.110475E-01,5.011703E-01,4.078706E+03,5.672805E+03,2.105086E-01,4.963142E-01,4.260576E+03,5.611410E+03,2.198952E-01,4.909427E-01,7.323912E+03,5.187006E+03,3.779751E-01,4.538289E-01
