Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,19775266.7865174,19775266.786517397 
 01/01  02:00:00,,,19744718.965870604,19744718.965870604 
 01/01  03:00:00,,,19729108.279635146,19729108.27963515 
 01/01  04:00:00,,,19517110.064346287,19517110.064346287 
 01/01  05:00:00,,,19616178.294845104,19616178.294845104 
 01/01  06:00:00,,,19580499.066169627,19580499.066169623 
 01/01  07:00:00,,,30374074.198283873,30374074.198283873 
 01/01  08:00:00,,,36221654.09546803,36221654.09546803 
 01/01  09:00:00,,,21902019.045719143,21902019.045719143 
 01/01  10:00:00,,,87784110.74851114,87784110.74851114 
 01/01  11:00:00,,,200604517.29823568,200604517.29823568 
 01/01  12:00:00,,,263812329.12412262,263812329.12412268 
 01/01  13:00:00,,,261219217.40643817,261219217.40643814 
 01/01  14:00:00,,,264778062.26561937,264778062.26561934 
 01/01  15:00:00,,,260829773.36373794,260829773.36373794 
 01/01  16:00:00,,,264603844.94899973,264603844.9489997 
 01/01  17:00:00,,,267457690.933579,267457690.93357897 
 01/01  18:00:00,,,205424633.76514992,205424633.7651499 
 01/01  19:00:00,,,92944403.4796612,92944403.4796612 
 01/01  20:00:00,,,89930809.04291448,89930809.04291448 
 01/01  21:00:00,,,89569048.81808852,89569048.81808852 
 01/01  22:00:00,,,94715145.66601364,94715145.66601366 
 01/01  23:00:00,,,85670525.23454228,85670525.23454228 
 01/01  24:00:00,,,63189160.489551276,63189160.48955129 
 01/02  01:00:00,,,19891470.61363747,19891470.61363747 
 01/02  02:00:00,,,22241073.645732068,22241073.645732068 
 01/02  03:00:00,,,19783919.644822467,19783919.644822467 
 01/02  04:00:00,,,19806133.965780675,19806133.96578067 
 01/02  05:00:00,,,19790343.869375024,19790343.869375024 
 01/02  06:00:00,,,22368292.79760972,22368292.79760972 
 01/02  07:00:00,,,30619777.66135313,30619777.66135313 
 01/02  08:00:00,,,36719451.474399455,36719451.474399455 
 01/02  09:00:00,,,61238491.308377095,61238491.308377095 
 01/02  10:00:00,,,174523804.9797896,174523804.97978958 
 01/02  11:00:00,,,257780598.08319253,257780598.08319253 
 01/02  12:00:00,,,266327253.78586686,266327253.78586686 
 01/02  13:00:00,,,262474858.04643714,262474858.04643723 
 01/02  14:00:00,,,267493003.31381172,267493003.31381172 
 01/02  15:00:00,,,263637936.66848412,263637936.66848412 
 01/02  16:00:00,,,267429829.84284136,267429829.84284133 
 01/02  17:00:00,,,268955720.7090572,268955720.7090572 
 01/02  18:00:00,,,283569232.22842485,283569232.22842485 
 01/02  19:00:00,,,286054574.969857,286054574.969857 
 01/02  20:00:00,,,281072707.5403351,281072707.5403351 
 01/02  21:00:00,,,203085853.13569915,203085853.13569912 
 01/02  22:00:00,,,91434124.48025903,91434124.48025903 
 01/02  23:00:00,,,90424446.18653673,90424446.18653673 
 01/02  24:00:00,,,59111446.1375895,59111446.1375895 
 01/03  01:00:00,,,19828247.837223537,19828247.837223537 
 01/03  02:00:00,,,22075645.576390512,22075645.576390512 
 01/03  03:00:00,,,22021119.431734502,22021119.431734502 
 01/03  04:00:00,,,19797115.613760136,19797115.613760136 
 01/03  05:00:00,,,19934105.2781716,19934105.2781716 
 01/03  06:00:00,,,19960801.705773827,19960801.705773823 
 01/03  07:00:00,,,34495713.210715994,34495713.21071599 
 01/03  08:00:00,,,33464231.44915193,33464231.44915193 
 01/03  09:00:00,,,61572271.147434875,61572271.147434875 
 01/03  10:00:00,,,176082892.78903618,176082892.78903618 
 01/03  11:00:00,,,265481046.80258143,265481046.80258137 
 01/03  12:00:00,,,261844503.33414721,261844503.33414719 
 01/03  13:00:00,,,267173216.87291697,267173216.872917 
 01/03  14:00:00,,,269789273.02953124,269789273.02953124 
 01/03  15:00:00,,,269983334.525364,269983334.525364 
 01/03  16:00:00,,,263698600.27457988,263698600.27457985 
 01/03  17:00:00,,,274308779.0538682,274308779.0538682 
 01/03  18:00:00,,,290306139.34149235,290306139.34149235 
 01/03  19:00:00,,,282049158.0149914,282049158.01499134 
 01/03  20:00:00,,,285989845.35390323,285989845.3539032 
 01/03  21:00:00,,,202764516.72062293,202764516.7206229 
 01/03  22:00:00,,,94472116.95275973,94472116.95275973 
 01/03  23:00:00,,,91036697.16607152,91036697.1660715 
 01/03  24:00:00,,,59777669.296743274,59777669.29674326 
 01/04  01:00:00,,,20111235.55523499,20111235.55523499 
 01/04  02:00:00,,,19800775.16010557,19800775.160105575 
 01/04  03:00:00,,,19868241.15540279,19868241.155402787 
 01/04  04:00:00,,,21211712.52473612,21211712.52473612 
 01/04  05:00:00,,,21373275.03819633,21373275.03819633 
 01/04  06:00:00,,,26415150.6962516,26415150.696251597 
 01/04  07:00:00,,,31014669.28762836,31014669.28762836 
 01/04  08:00:00,,,33916589.71903555,33916589.71903555 
 01/04  09:00:00,,,60116734.59593415,60116734.59593415 
 01/04  10:00:00,,,177855039.13772336,177855039.1377233 
 01/04  11:00:00,,,266341096.35111216,266341096.3511121 
 01/04  12:00:00,,,262944173.47058427,262944173.47058427 
 01/04  13:00:00,,,265887011.0736423,265887011.07364228 
 01/04  14:00:00,,,269419968.14407885,269419968.14407885 
 01/04  15:00:00,,,269390012.01311934,269390012.01311934 
 01/04  16:00:00,,,264589764.01461595,264589764.01461598 
 01/04  17:00:00,,,272848784.88258374,272848784.88258386 
 01/04  18:00:00,,,290051680.721296,290051680.7212961 
 01/04  19:00:00,,,283112658.872536,283112658.872536 
 01/04  20:00:00,,,284555539.68424517,284555539.6842452 
 01/04  21:00:00,,,208852485.61128923,208852485.61128923 
 01/04  22:00:00,,,90808140.53135064,90808140.53135064 
 01/04  23:00:00,,,88444817.0997071,88444817.0997071 
 01/04  24:00:00,,,59839494.23648615,59839494.236486144 
 01/05  01:00:00,,,19887528.511908133,19887528.511908133 
 01/05  02:00:00,,,19927928.38284111,19927928.38284111 
 01/05  03:00:00,,,22166704.771328904,22166704.7713289 
 01/05  04:00:00,,,19887854.963065617,19887854.963065617 
 01/05  05:00:00,,,24762659.681678243,24762659.68167824 
 01/05  06:00:00,,,21174872.84970305,21174872.84970305 
 01/05  07:00:00,,,30494362.705128323,30494362.70512832 
 01/05  08:00:00,,,33425586.066846102,33425586.066846106 
 01/05  09:00:00,,,61896598.69589128,61896598.69589128 
 01/05  10:00:00,,,173771852.68976104,173771852.689761 
 01/05  11:00:00,,,265273046.0012632,265273046.0012632 
 01/05  12:00:00,,,260667452.99383232,260667452.99383235 
 01/05  13:00:00,,,268140381.30018497,268140381.3001849 
 01/05  14:00:00,,,267996125.07336473,267996125.07336473 
 01/05  15:00:00,,,266678385.9167416,266678385.9167416 
 01/05  16:00:00,,,264776107.02612785,264776107.0261278 
 01/05  17:00:00,,,271799035.51953036,271799035.5195303 
 01/05  18:00:00,,,288464116.0397704,288464116.0397704 
 01/05  19:00:00,,,283836395.6496031,283836395.6496031 
 01/05  20:00:00,,,284511645.55984914,284511645.5598491 
 01/05  21:00:00,,,204906991.1794983,204906991.1794983 
 01/05  22:00:00,,,91713974.28165092,91713974.28165092 
 01/05  23:00:00,,,88253565.71895519,88253565.71895516 
 01/05  24:00:00,,,62215101.38098626,62215101.38098627 
 01/06  01:00:00,,,34424114.15982037,34424114.15982037 
 01/06  02:00:00,,,20046615.174575616,20046615.174575616 
 01/06  03:00:00,,,19751651.31292199,19751651.31292199 
 01/06  04:00:00,,,23634810.03086821,23634810.030868214 
 01/06  05:00:00,,,21282988.167525228,21282988.167525228 
 01/06  06:00:00,,,21284941.05188814,21284941.05188814 
 01/06  07:00:00,,,33232638.521381993,33232638.521381993 
 01/06  08:00:00,,,33379651.447777614,33379651.447777614 
 01/06  09:00:00,,,58430375.51123822,58430375.51123821 
 01/06  10:00:00,,,174951217.46389645,174951217.4638964 
 01/06  11:00:00,,,264430673.68714985,264430673.6871498 
 01/06  12:00:00,,,264788273.50317967,264788273.50317964 
 01/06  13:00:00,,,262108850.02018964,262108850.02018964 
 01/06  14:00:00,,,268070302.73826772,268070302.73826766 
 01/06  15:00:00,,,267267194.59715253,267267194.59715253 
 01/06  16:00:00,,,265657016.29636574,265657016.29636574 
 01/06  17:00:00,,,268416759.91973004,268416759.91973004 
 01/06  18:00:00,,,288450561.33005905,288450561.33005905 
 01/06  19:00:00,,,284380923.9882922,284380923.9882922 
 01/06  20:00:00,,,280504703.087691,280504703.087691 
 01/06  21:00:00,,,205749476.12433553,205749476.12433553 
 01/06  22:00:00,,,91390665.7271344,91390665.7271344 
 01/06  23:00:00,,,85156385.17692707,85156385.17692706 
 01/06  24:00:00,,,69045168.25138153,69045168.25138152 
 01/07  01:00:00,,,52336585.464024395,52336585.464024395 
 01/07  02:00:00,,,19593153.19224936,19593153.192249358 
 01/07  03:00:00,,,25909293.465180438,25909293.465180434 
 01/07  04:00:00,,,19815829.229293935,19815829.229293935 
 01/07  05:00:00,,,21162195.876173142,21162195.876173142 
 01/07  06:00:00,,,21188078.10048703,21188078.100487027 
 01/07  07:00:00,,,30729755.743018873,30729755.743018873 
 01/07  08:00:00,,,32971681.60679735,32971681.606797345 
 01/07  09:00:00,,,59421492.8038914,59421492.80389139 
 01/07  10:00:00,,,171564167.6640875,171564167.66408747 
 01/07  11:00:00,,,259750492.9473693,259750492.9473693 
 01/07  12:00:00,,,263629947.37819058,263629947.37819052 
 01/07  13:00:00,,,267759027.45749658,267759027.45749658 
 01/07  14:00:00,,,263789260.7489648,263789260.74896473 
 01/07  15:00:00,,,264364872.43593255,264364872.43593258 
 01/07  16:00:00,,,266352518.3978869,266352518.3978869 
 01/07  17:00:00,,,271612789.3618897,271612789.3618897 
 01/07  18:00:00,,,284413059.6295053,284413059.6295053 
 01/07  19:00:00,,,202197115.05068296,202197115.05068293 
 01/07  20:00:00,,,93348812.71849927,93348812.71849927 
 01/07  21:00:00,,,91502679.14035904,91502679.14035904 
 01/07  22:00:00,,,91450960.06091712,91450960.06091712 
 01/07  23:00:00,,,89374973.49524206,89374973.49524206 
 01/07  24:00:00,,,91834881.58173226,91834881.58173226 
 01/08  01:00:00,,,20308870.243839666,20308870.243839666 
 01/08  02:00:00,,,19912447.393769067,19912447.393769067 
 01/08  03:00:00,,,20199836.401705913,20199836.401705913 
 01/08  04:00:00,,,20115580.901943117,20115580.901943114 
 01/08  05:00:00,,,20219752.445385706,20219752.445385702 
 01/08  06:00:00,,,23467446.754681695,23467446.754681695 
 01/08  07:00:00,,,32596731.823004812,32596731.823004812 
 01/08  08:00:00,,,31381808.812422402,31381808.812422402 
 01/08  09:00:00,,,22428283.199036434,22428283.199036438 
 01/08  10:00:00,,,88823281.16083598,88823281.16083597 
 01/08  11:00:00,,,202526034.6241018,202526034.62410176 
 01/08  12:00:00,,,265378601.22539955,265378601.22539955 
 01/08  13:00:00,,,262939681.5377695,262939681.53776956 
 01/08  14:00:00,,,266387259.40498674,266387259.40498668 
 01/08  15:00:00,,,265360160.2144666,265360160.21446657 
 01/08  16:00:00,,,264158954.5723531,264158954.5723531 
 01/08  17:00:00,,,268616500.41082895,268616500.4108289 
 01/08  18:00:00,,,206026218.72293094,206026218.7229309 
 01/08  19:00:00,,,92205732.95320842,92205732.95320842 
 01/08  20:00:00,,,90608740.31954928,90608740.31954928 
 01/08  21:00:00,,,95218596.17897181,95218596.17897181 
 01/08  22:00:00,,,90448257.7047269,90448257.7047269 
 01/08  23:00:00,,,86191092.70936105,86191092.70936106 
 01/08  24:00:00,,,65012012.52271731,65012012.52271731 
 01/09  01:00:00,,,21411193.352703504,21411193.352703508 
 01/09  02:00:00,,,20360944.543858718,20360944.543858714 
 01/09  03:00:00,,,20128743.51174386,20128743.51174386 
 01/09  04:00:00,,,22795281.319923434,22795281.319923434 
 01/09  05:00:00,,,20066978.443702843,20066978.443702843 
 01/09  06:00:00,,,20320811.086111624,20320811.086111624 
 01/09  07:00:00,,,32146040.404608294,32146040.404608294 
 01/09  08:00:00,,,38610304.7906941,38610304.7906941 
 01/09  09:00:00,,,59700738.72873268,59700738.72873268 
 01/09  10:00:00,,,177355460.78358933,177355460.7835893 
 01/09  11:00:00,,,261486539.0950737,261486539.0950737 
 01/09  12:00:00,,,267244835.86051747,267244835.8605174 
 01/09  13:00:00,,,270024399.0707577,270024399.0707577 
 01/09  14:00:00,,,266786673.49910006,266786673.4991001 
 01/09  15:00:00,,,267363803.15603584,267363803.15603584 
 01/09  16:00:00,,,265746248.57280838,265746248.57280836 
 01/09  17:00:00,,,273101230.670216,273101230.67021596 
 01/09  18:00:00,,,286215531.3325062,286215531.3325062 
 01/09  19:00:00,,,283307035.35327685,283307035.35327685 
 01/09  20:00:00,,,288727661.3521288,288727661.35212874 
 01/09  21:00:00,,,200714584.84461612,200714584.84461612 
 01/09  22:00:00,,,93698009.84049419,93698009.84049419 
 01/09  23:00:00,,,90247068.02704486,90247068.02704486 
 01/09  24:00:00,,,63816804.630865306,63816804.630865306 
 01/10  01:00:00,,,20253539.40965283,20253539.40965283 
 01/10  02:00:00,,,21244586.7583772,21244586.7583772 
 01/10  03:00:00,,,20106780.868792553,20106780.86879255 
 01/10  04:00:00,,,20107906.59903277,20107906.59903277 
 01/10  05:00:00,,,20193850.14769074,20193850.147690743 
 01/10  06:00:00,,,24050437.267439894,24050437.26743989 
 01/10  07:00:00,,,31167798.51707809,31167798.517078087 
 01/10  08:00:00,,,37434363.71727695,37434363.71727695 
 01/10  09:00:00,,,61039476.69852191,61039476.69852191 
 01/10  10:00:00,,,174351589.60249707,174351589.60249704 
 01/10  11:00:00,,,266649871.4148307,266649871.4148307 
 01/10  12:00:00,,,259421061.44862986,259421061.44862983 
 01/10  13:00:00,,,266697195.95216158,266697195.95216158 
 01/10  14:00:00,,,267023180.40779823,267023180.40779817 
 01/10  15:00:00,,,266738118.4239344,266738118.42393446 
 01/10  16:00:00,,,263449993.46386543,263449993.4638654 
 01/10  17:00:00,,,266892248.92754668,266892248.92754665 
 01/10  18:00:00,,,286288148.40591186,286288148.4059119 
 01/10  19:00:00,,,282438781.1273192,282438781.1273192 
 01/10  20:00:00,,,283408935.650523,283408935.650523 
