Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,18030031.76296005,18030031.76296005 
 01/01  02:00:00,,,17996253.44539181,17996253.445391808 
 01/01  03:00:00,,,18025307.981246028,18025307.981246024 
 01/01  04:00:00,,,17924018.995715056,17924018.995715056 
 01/01  05:00:00,,,18115794.665540714,18115794.665540714 
 01/01  06:00:00,,,17962791.54806583,17962791.548065826 
 01/01  07:00:00,,,28876829.406148374,28876829.406148374 
 01/01  08:00:00,,,34235587.18497852,34235587.184978515 
 01/01  09:00:00,,,15391520.34182322,15391520.34182322 
 01/01  10:00:00,,,50669893.83938872,50669893.83938871 
 01/01  11:00:00,,,111054334.30463952,111054334.30463952 
 01/01  12:00:00,,,145903668.71309793,145903668.71309793 
 01/01  13:00:00,,,143590789.45601216,143590789.45601213 
 01/01  14:00:00,,,147184991.00645006,147184991.00645006 
 01/01  15:00:00,,,143273987.55018672,143273987.55018672 
 01/01  16:00:00,,,147065190.5844007,147065190.58440068 
 01/01  17:00:00,,,150002193.4022572,150002193.4022572 
 01/01  18:00:00,,,125634020.85554184,125634020.85554183 
 01/01  19:00:00,,,62793588.02646412,62793588.02646411 
 01/01  20:00:00,,,60066033.57433196,60066033.57433196 
 01/01  21:00:00,,,62429347.61673947,62429347.61673947 
 01/01  22:00:00,,,62427700.356204994,62427700.356204994 
 01/01  23:00:00,,,55879718.344935566,55879718.34493556 
 01/01  24:00:00,,,45826384.023166455,45826384.023166455 
 01/02  01:00:00,,,20887023.40696185,20887023.406961847 
 01/02  02:00:00,,,18371412.523400314,18371412.52340031 
 01/02  03:00:00,,,18257908.142200984,18257908.14220098 
 01/02  04:00:00,,,18197441.800785158,18197441.800785158 
 01/02  05:00:00,,,20758990.61099056,20758990.610990554 
 01/02  06:00:00,,,18215747.554768946,18215747.554768942 
 01/02  07:00:00,,,32774019.2847563,32774019.2847563 
 01/02  08:00:00,,,31712253.854651734,31712253.85465173 
 01/02  09:00:00,,,35342671.8151218,35342671.8151218 
 01/02  10:00:00,,,97521759.53559586,97521759.53559583 
 01/02  11:00:00,,,143641292.7992205,143641292.79922047 
 01/02  12:00:00,,,144620378.52058113,144620378.52058113 
 01/02  13:00:00,,,149974649.64372298,149974649.64372295 
 01/02  14:00:00,,,144783372.7716191,144783372.7716191 
 01/02  15:00:00,,,149911558.90720573,149911558.90720573 
 01/02  16:00:00,,,146065672.32662717,146065672.32662714 
 01/02  17:00:00,,,156533353.5867541,156533353.5867541 
 01/02  18:00:00,,,164777662.60996017,164777662.60996017 
 01/02  19:00:00,,,164469434.93660468,164469434.93660468 
 01/02  20:00:00,,,165859800.7960282,165859800.7960282 
 01/02  21:00:00,,,120452975.16949987,120452975.16949987 
 01/02  22:00:00,,,66285981.155211546,66285981.155211546 
 01/02  23:00:00,,,55898428.13377336,55898428.133773364 
 01/02  24:00:00,,,42196214.64455346,42196214.64455346 
 01/03  01:00:00,,,20937423.92188382,20937423.92188382 
 01/03  02:00:00,,,20818736.221517105,20818736.221517105 
 01/03  03:00:00,,,18382790.080164563,18382790.080164563 
 01/03  04:00:00,,,18415873.711658858,18415873.711658858 
 01/03  05:00:00,,,18620187.8373532,18620187.837353196 
 01/03  06:00:00,,,22375303.43982555,22375303.439825546 
 01/03  07:00:00,,,29437811.651697665,29437811.65169766 
 01/03  08:00:00,,,29450892.898247395,29450892.898247395 
 01/03  09:00:00,,,40721784.92844154,40721784.92844154 
 01/03  10:00:00,,,96299379.0101589,96299379.01015888 
 01/03  11:00:00,,,147513615.61142832,147513615.6114283 
 01/03  12:00:00,,,143430038.64124802,143430038.641248 
 01/03  13:00:00,,,149386884.71143407,149386884.71143407 
 01/03  14:00:00,,,151987096.38126463,151987096.38126463 
 01/03  15:00:00,,,152186902.93197864,152186902.93197864 
 01/03  16:00:00,,,147706091.6854769,147706091.68547687 
 01/03  17:00:00,,,157317433.74946934,157317433.74946934 
 01/03  18:00:00,,,169987252.22454274,169987252.22454274 
 01/03  19:00:00,,,163888208.51065117,163888208.51065123 
 01/03  20:00:00,,,170378180.92855993,170378180.92855996 
 01/03  21:00:00,,,126074982.90173236,126074982.90173236 
 01/03  22:00:00,,,63192378.58864106,63192378.58864106 
 01/03  23:00:00,,,56675172.97523433,56675172.975234315 
 01/03  24:00:00,,,42704658.45521934,42704658.45521934 
 01/04  01:00:00,,,18775833.419470843,18775833.419470843 
 01/04  02:00:00,,,21103890.762184203,21103890.762184203 
 01/04  03:00:00,,,18703536.01813934,18703536.01813934 
 01/04  04:00:00,,,22444893.708636936,22444893.708636932 
 01/04  05:00:00,,,21374875.298184928,21374875.298184928 
 01/04  06:00:00,,,18824049.59289321,18824049.592893206 
 01/04  07:00:00,,,29796075.886600908,29796075.886600908 
 01/04  08:00:00,,,30024788.120962106,30024788.120962106 
 01/04  09:00:00,,,39164225.12555479,39164225.12555479 
 01/04  10:00:00,,,104026096.40629934,104026096.40629932 
 01/04  11:00:00,,,141606234.23087886,141606234.23087883 
 01/04  12:00:00,,,149741278.27231526,149741278.27231523 
 01/04  13:00:00,,,145501402.49276325,145501402.49276322 
 01/04  14:00:00,,,149042590.0640584,149042590.06405836 
