Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,10503292832.164448,94682050.04419284,3764201683.097072,97978958.58555102,4475960296.945039,63358691.523448095,4554327213.236596,58233491.62810904,4699596660.649294,53813036.47930802,8908091983.06312,83420333.6907826,4727228978.535754,50428547.29152142,4756445019.435783,48054571.17412051,5048710650.510386,34283631.950537436,8862138133.315437,405562.0289476099,62935857634.899155,259168648627.94516 
February,10356508605.213406,56567084.19905209,3764142927.044684,60275658.8584121,4439661837.386412,26626285.26535373,4509153643.749685,28988757.122114144,4613733016.0119095,17418821.693166725,8716006236.720146,40512158.22968012,4634361292.723116,25707368.973002423,4672305380.000103,27405624.59953565,4945908033.948428,8494541.368889906,8641654904.946354,23432.428086873275,56617140044.03097,258866535021.651 
March,6241364632.546357,1363951875.1734176,2001011058.1322923,704749207.181269,2367277666.722647,628566829.968158,2426433728.923088,611067950.1613942,2576711628.849494,577368137.1263108,4902530497.43351,1116017511.732643,2611223636.146614,573347460.6767958,2628530240.9287996,556416821.1342791,2922175531.800473,485514559.6482119,5800885217.041669,293817186.40759575,61258334471.09599,166442852241.12943 
April,2390398099.3697166,2679856435.1695232,554097534.7753259,1224365629.7072804,761399085.6159712,1114447902.5729415,858715329.8506184,1077589941.0431814,935317300.4648739,1026088308.6964897,1826742508.5102067,1994109032.0130265,963493032.6086224,1003971101.5376035,1002212242.1056404,978634252.7082667,1136330634.227197,869969056.2340401,2705535320.0229044,560980949.7593735,56781843059.80901,79301262348.77669 
May,275059779.57097584,5576132119.205568,30821209.26905417,2578992212.404196,55655192.105933025,2357073064.1214776,72082033.2076309,2278547925.7238173,85059062.66601864,2211529806.346115,169975862.52126095,4076968786.233901,88197709.70705703,2085365668.6382794,93644792.56050296,2016202430.6380236,130281757.91446936,1829019925.2175195,556973211.775405,1606180933.2164726,60160039504.49028,12537761862.441023 
June,33253209.28392766,8068575009.148301,14091849.359998234,4171975721.612337,13182351.918284142,3561880680.3257775,13090287.257539587,3506085636.1474133,14017063.508493204,3440266052.3402805,28195934.74731017,6430256198.492842,15466678.795894464,3325673698.7560806,15825109.140233982,3247212986.6036334,17404074.632112492,3016337111.878121,24226136.25989417,2867220482.6389937,66165801762.67044,0.0 
July,15955671.491173537,10976916999.676636,6832453.48694328,5698642753.184089,5412462.139991754,4750362388.016019,5785440.102288219,4676642930.158577,6906859.158882176,4585613927.741036,10845952.91559472,8704800917.866526,6160182.981075678,4517095564.793646,6212158.6680203825,4467250589.452184,7294982.377475234,4309643079.001529,13499458.365498539,4237345072.9080124,78852054776.7383,0.0 
August,21146265.5158998,10202864033.845055,6333708.4640752245,5305248507.693106,6047066.665595676,4481281543.5908575,6584821.415713552,4415758008.0280075,7895921.351462975,4330165602.889177,14328448.249119086,8215726744.019726,8177812.626674346,4269185110.1957383,9121984.114685163,4204498834.895351,11319854.116239743,4022649965.280604,17868122.49082017,3988958012.4533496,74747964275.09323,0.0 
September,38883193.187512845,8228314309.950295,17166796.79429921,3839522590.7646604,16295455.276889324,3404339344.054287,17340163.54807405,3331154697.9623566,18127363.031543594,3270325898.101162,32619429.09992979,6071594782.244894,17448916.12828936,3140339487.591093,17869695.967442904,3085080389.1791677,19979642.399806406,2935955205.6953797,66396893.08493631,2868271756.3827586,63621124089.76818,2129969563.2394755 
October,593222540.8244932,5470076576.881378,102484697.46382023,2417565112.8312197,171471563.33985806,2229159250.017112,207453121.17192525,2147692839.3411536,234122794.31569788,2075849277.3698523,442626711.1343828,3851047703.6858797,235275319.82622227,1976965476.6913023,242384055.0904434,1925616106.7250228,303417125.74683183,1783474801.6597197,880686481.8521925,1539674507.7764652,60468442720.22838,34186650184.00572 
