Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.162066E+04,8.360264E+03,5.697529E-01,7.314539E-01,4.313891E+03,4.337518E+03,2.115141E-01,3.794887E-01,4.217956E+03,4.291931E+03,2.068103E-01,3.755004E-01,4.212223E+03,4.291278E+03,2.065292E-01,3.754432E-01,4.281289E+03,4.288192E+03,2.099156E-01,3.751732E-01,8.417566E+03,8.450593E+03,4.127204E-01,7.393435E-01,4.233841E+03,4.331618E+03,2.075891E-01,3.789725E-01,4.222471E+03,4.291128E+03,2.070317E-01,3.754300E-01,4.399397E+03,4.238809E+03,2.157065E-01,3.708526E-01,7.367483E+03,3.963756E+03,3.612127E-01,3.468004E-01
00:20:00,1.161955E+04,8.303733E+03,5.696987E-01,7.265079E-01,4.313282E+03,4.318647E+03,2.114843E-01,3.778377E-01,4.217338E+03,4.273769E+03,2.067801E-01,3.739113E-01,4.211602E+03,4.273150E+03,2.064988E-01,3.738572E-01,4.280652E+03,4.269963E+03,2.098844E-01,3.735783E-01,8.416200E+03,8.414507E+03,4.126536E-01,7.361864E-01,4.233204E+03,4.313386E+03,2.075580E-01,3.773774E-01,4.221857E+03,4.272962E+03,2.070016E-01,3.738408E-01,4.398819E+03,4.220033E+03,2.156783E-01,3.692099E-01,7.367055E+03,3.933684E+03,3.611918E-01,3.441694E-01
00:30:00,1.161846E+04,8.249087E+03,5.696452E-01,7.217270E-01,4.312682E+03,4.300246E+03,2.114550E-01,3.762278E-01,4.216731E+03,4.256049E+03,2.067503E-01,3.723610E-01,4.210990E+03,4.255464E+03,2.064689E-01,3.723099E-01,4.280025E+03,4.252175E+03,2.098538E-01,3.720220E-01,8.414852E+03,8.379258E+03,4.125877E-01,7.331025E-01,4.232578E+03,4.295596E+03,2.075273E-01,3.758210E-01,4.221252E+03,4.255238E+03,2.069720E-01,3.722901E-01,4.398250E+03,4.201711E+03,2.156505E-01,3.676070E-01,7.366633E+03,3.904412E+03,3.611711E-01,3.416083E-01
00:40:00,1.161738E+04,8.196205E+03,5.695924E-01,7.171003E-01,4.312090E+03,4.282296E+03,2.114260E-01,3.746574E-01,4.216131E+03,4.238754E+03,2.067210E-01,3.708480E-01,4.210387E+03,4.238202E+03,2.064394E-01,3.707997E-01,4.279407E+03,4.234812E+03,2.098235E-01,3.705030E-01,8.413522E+03,8.344811E+03,4.125226E-01,7.300888E-01,4.231959E+03,4.278231E+03,2.074971E-01,3.743018E-01,4.220655E+03,4.237940E+03,2.069428E-01,3.707767E-01,4.397690E+03,4.183827E+03,2.156231E-01,3.660423E-01,7.366217E+03,3.875891E+03,3.611507E-01,3.391130E-01
00:50:00,1.161631E+04,8.144878E+03,5.695402E-01,7.126098E-01,4.311507E+03,4.264749E+03,2.113975E-01,3.731222E-01,4.215540E+03,4.221845E+03,2.066921E-01,3.693686E-01,4.209793E+03,4.221325E+03,2.064103E-01,3.693231E-01,4.278797E+03,4.217829E+03,2.097936E-01,3.690172E-01,8.412208E+03,8.311072E+03,4.124583E-01,7.271370E-01,4.231350E+03,4.261247E+03,2.074673E-01,3.728158E-01,4.220067E+03,4.221026E+03,2.069140E-01,3.692969E-01,4.397137E+03,4.166337E+03,2.155960E-01,3.645122E-01,7.365807E+03,3.848033E+03,3.611306E-01,3.366756E-01
01:00:00,1.161526E+04,8.095050E+03,5.694885E-01,7.082503E-01,4.310932E+03,4.247599E+03,2.113693E-01,3.716218E-01,4.214957E+03,4.205306E+03,2.066635E-01,3.679216E-01,4.209206E+03,4.204816E+03,2.063816E-01,3.678788E-01,4.278195E+03,4.201223E+03,2.097642E-01,3.675643E-01,8.410910E+03,8.278037E+03,4.123947E-01,7.242468E-01,4.230748E+03,4.244638E+03,2.074378E-01,3.713628E-01,4.219486E+03,4.204481E+03,2.068856E-01,3.678495E-01,4.396592E+03,4.149224E+03,2.155694E-01,3.630150E-01,7.365401E+03,3.820815E+03,3.611107E-01,3.342943E-01
01:10:00,1.161527E+04,8.047071E+03,5.694890E-01,7.040526E-01,4.310924E+03,4.230986E+03,2.113690E-01,3.701684E-01,4.214948E+03,4.189280E+03,2.066632E-01,3.665195E-01,4.209197E+03,4.188820E+03,2.063812E-01,3.664793E-01,4.278188E+03,4.185135E+03,2.097639E-01,3.661568E-01,8.410915E+03,8.246050E+03,4.123951E-01,7.214483E-01,4.230741E+03,4.228548E+03,2.074375E-01,3.699551E-01,4.219478E+03,4.188449E+03,2.068853E-01,3.664468E-01,4.396583E+03,4.132629E+03,2.155689E-01,3.615631E-01,7.365394E+03,3.794442E+03,3.611104E-01,3.319868E-01
01:20:00,1.161528E+04,8.000695E+03,5.694897E-01,6.999952E-01,4.310918E+03,4.214811E+03,2.113688E-01,3.687532E-01,4.214942E+03,4.173670E+03,2.066629E-01,3.651539E-01,4.209192E+03,4.173240E+03,2.063810E-01,3.651163E-01,4.278184E+03,4.169465E+03,2.097637E-01,3.647859E-01,8.410925E+03,8.214900E+03,4.123956E-01,7.187230E-01,4.230737E+03,4.212877E+03,2.074373E-01,3.685840E-01,4.219472E+03,4.172832E+03,2.068850E-01,3.650806E-01,4.396576E+03,4.116458E+03,2.155686E-01,3.601484E-01,7.365389E+03,3.768821E+03,3.611101E-01,3.297451E-01
01:30:00,1.161529E+04,7.955886E+03,5.694904E-01,6.960749E-01,4.310915E+03,4.199065E+03,2.113686E-01,3.673757E-01,4.214939E+03,4.158471E+03,2.066628E-01,3.638242E-01,4.209188E+03,4.158070E+03,2.063808E-01,3.637891E-01,4.278182E+03,4.154209E+03,2.097637E-01,3.634512E-01,8.410939E+03,8.184590E+03,4.123963E-01,7.160713E-01,4.230734E+03,4.197618E+03,2.074373E-01,3.672491E-01,4.219468E+03,4.157626E+03,2.068848E-01,3.637502E-01,4.396571E+03,4.100706E+03,2.155684E-01,3.587702E-01,7.365384E+03,3.743929E+03,3.611099E-01,3.275673E-01
01:40:00,1.161531E+04,7.912591E+03,5.694912E-01,6.922870E-01,4.310914E+03,4.183743E+03,2.113686E-01,3.660351E-01,4.214937E+03,4.143677E+03,2.066627E-01,3.625298E-01,4.209187E+03,4.143303E+03,2.063808E-01,3.624971E-01,4.278182E+03,4.139359E+03,2.097637E-01,3.621520E-01,8.410956E+03,8.155130E+03,4.123972E-01,7.134939E-01,4.230734E+03,4.182766E+03,2.074373E-01,3.659497E-01,4.219466E+03,4.142823E+03,2.068848E-01,3.624551E-01,4.396568E+03,4.085365E+03,2.155683E-01,3.574280E-01,7.365381E+03,3.719769E+03,3.611098E-01,3.254535E-01
