Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_3:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_3:3:DesPer 1:Des Heat Cap [W],PSZ-AC_3:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_3:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_3:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_3:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_3:3:DesPer 2:Des Heat Cap [W],PSZ-AC_3:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_3:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_3:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_4:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_4:4:DesPer 1:Des Heat Cap [W],PSZ-AC_4:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_4:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_4:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_4:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_4:4:DesPer 2:Des Heat Cap [W],PSZ-AC_4:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_4:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_4:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_5:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_5:5:DesPer 1:Des Heat Cap [W],PSZ-AC_5:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_5:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_5:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_5:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_5:5:DesPer 2:Des Heat Cap [W],PSZ-AC_5:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_5:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_5:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_6:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_6:6:DesPer 1:Des Heat Cap [W],PSZ-AC_6:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_6:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_6:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_6:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_6:6:DesPer 2:Des Heat Cap [W],PSZ-AC_6:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_6:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_6:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_7:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_7:7:DesPer 1:Des Heat Cap [W],PSZ-AC_7:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_7:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_7:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_7:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_7:7:DesPer 2:Des Heat Cap [W],PSZ-AC_7:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_7:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_7:7:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_8:8:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_8:8:DesPer 1:Des Heat Cap [W],PSZ-AC_8:8:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_8:8:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_8:8:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_8:8:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_8:8:DesPer 2:Des Heat Cap [W],PSZ-AC_8:8:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_8:8:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_8:8:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_9:9:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_9:9:DesPer 1:Des Heat Cap [W],PSZ-AC_9:9:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_9:9:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_9:9:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_9:9:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_9:9:DesPer 2:Des Heat Cap [W],PSZ-AC_9:9:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_9:9:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_9:9:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_10:10:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_10:10:DesPer 1:Des Heat Cap [W],PSZ-AC_10:10:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_10:10:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_10:10:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_10:10:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_10:10:DesPer 2:Des Heat Cap [W],PSZ-AC_10:10:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_10:10:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_10:10:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.290191E-01,2.325484E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.359605E+03,1.080399E+00,1.188648E+04,1.665241E+04,2.689107E-01,9.801967E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.179802E+03,5.592316E-01,6.159437E+03,8.425888E+03,2.627823E-01,9.684956E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.179802E+03,5.540207E-01,6.100273E+03,8.363932E+03,2.624126E-01,9.677899E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.179802E+03,5.539599E-01,6.099583E+03,8.363215E+03,2.666335E-01,9.758489E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.179802E+03,5.541990E-01,6.102298E+03,8.366047E+03,5.243999E-01,1.934768E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.359605E+03,1.092275E+00,1.202151E+04,1.653978E+04,2.637719E-01,9.703851E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.179802E+03,5.587044E-01,6.153451E+03,8.419766E+03,2.630741E-01,9.690529E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.179802E+03,5.539306E-01,6.099250E+03,8.362856E+03,2.742583E-01,9.904070E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.179802E+03,5.483110E-01,6.035446E+03,8.295659E+03,4.637717E-01,1.352291E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.179802E+03,5.168397E-01,5.677957E+03,8.163143E+03
00:20:00,7.289647E-01,2.325380E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.382881E+03,1.074539E+00,1.179667E+04,1.655848E+04,2.688813E-01,9.801406E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.191440E+03,5.572955E-01,6.125816E+03,8.391028E+03,2.627527E-01,9.684391E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.191440E+03,5.521575E-01,6.067480E+03,8.329922E+03,2.623830E-01,9.677331E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.191440E+03,5.521002E-01,6.066830E+03,8.329247E+03,2.666031E-01,9.757906E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.191440E+03,5.523294E-01,6.069432E+03,8.331961E+03,5.243344E-01,1.934643E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.382881E+03,1.088572E+00,1.195618E+04,1.647199E+04,2.637414E-01,9.703269E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.191440E+03,5.568345E-01,6.120583E+03,8.385689E+03,2.630447E-01,9.689966E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.191440E+03,5.520671E-01,6.066454E+03,8.328843E+03,2.742304E-01,9.903537E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.191440E+03,5.463839E-01,6.001928E+03,8.260874E+03,4.637505E-01,1.352250E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.191440E+03,5.137157E-01,5.630850E+03,8.113234E+03
00:30:00,7.289111E-01,2.325277E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.406157E+03,1.068863E+00,1.170895E+04,1.646672E+04,2.688524E-01,9.800853E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.203078E+03,5.554030E-01,6.092691E+03,8.356682E+03,2.627236E-01,9.683835E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.203078E+03,5.503352E-01,6.035152E+03,8.296395E+03,2.623537E-01,9.676772E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.203078E+03,5.502814E-01,6.034541E+03,8.295761E+03,2.665731E-01,9.757333E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.203078E+03,5.505007E-01,6.037032E+03,8.298358E+03,5.242698E-01,1.934520E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.406157E+03,1.084946E+00,1.189174E+04,1.640511E+04,2.637114E-01,9.702695E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.203078E+03,5.550056E-01,6.088180E+03,8.352095E+03,2.630157E-01,9.689412E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.203078E+03,5.502444E-01,6.034122E+03,8.295311E+03,2.742030E-01,9.903012E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.203078E+03,5.444987E-01,5.968887E+03,8.226584E+03,4.637296E-01,1.352210E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.203078E+03,5.106667E-01,5.584596E+03,8.064206E+03
00:40:00,7.288581E-01,2.325176E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.429433E+03,1.063363E+00,1.162323E+04,1.637701E+04,2.688240E-01,9.800309E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.214716E+03,5.535530E-01,6.060048E+03,8.322836E+03,2.626950E-01,9.683287E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.214716E+03,5.485529E-01,6.003278E+03,8.263341E+03,2.623250E-01,9.676222E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.214716E+03,5.485025E-01,6.002706E+03,8.262746E+03,2.665435E-01,9.756768E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.214716E+03,5.487120E-01,6.005085E+03,8.265226E+03,5.242061E-01,1.934398E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.429433E+03,1.081398E+00,1.182818E+04,1.633915E+04,2.636819E-01,9.702130E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.214716E+03,5.532167E-01,6.056230E+03,8.318972E+03,2.629872E-01,9.688867E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.214716E+03,5.484617E-01,6.002243E+03,8.262251E+03,2.741760E-01,9.902496E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.214716E+03,5.426546E-01,5.936310E+03,8.192777E+03,4.637090E-01,1.352171E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.214716E+03,5.076908E-01,5.539172E+03,8.016042E+03
00:50:00,7.288058E-01,2.325076E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.452708E+03,1.058031E+00,1.153941E+04,1.628930E+04,2.687959E-01,9.799773E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.226354E+03,5.517447E-01,6.027880E+03,8.289487E+03,2.626668E-01,9.682748E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.226354E+03,5.468100E-01,5.971852E+03,8.230754E+03,2.622966E-01,9.675680E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.226354E+03,5.467628E-01,5.971316E+03,8.230199E+03,2.665144E-01,9.756211E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.226354E+03,5.469626E-01,5.973585E+03,8.232563E+03,5.241432E-01,1.934278E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.452708E+03,1.077925E+00,1.176548E+04,1.627409E+04,2.636528E-01,9.701574E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.226354E+03,5.514671E-01,6.024728E+03,8.286317E+03,2.629591E-01,9.688329E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.226354E+03,5.467183E-01,5.970810E+03,8.229659E+03,2.741494E-01,9.901988E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.226354E+03,5.408507E-01,5.904192E+03,8.159451E+03,4.636887E-01,1.352132E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.226354E+03,5.047867E-01,5.494562E+03,7.968736E+03
01:00:00,7.287540E-01,2.324977E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.475984E+03,1.052857E+00,1.145740E+04,1.620346E+04,2.687683E-01,9.799245E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.237992E+03,5.499769E-01,5.996170E+03,8.256616E+03,2.626390E-01,9.682216E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.237992E+03,5.451053E-01,5.940859E+03,8.198622E+03,2.622687E-01,9.675146E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.237992E+03,5.450614E-01,5.940360E+03,8.198104E+03,2.664856E-01,9.755661E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.237992E+03,5.452515E-01,5.942519E+03,8.200353E+03,5.240811E-01,1.934159E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.475984E+03,1.074527E+00,1.170362E+04,1.620992E+04,2.636241E-01,9.701025E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.237992E+03,5.497558E-01,5.993660E+03,8.254115E+03,2.629314E-01,9.687800E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.237992E+03,5.450131E-01,5.939811E+03,8.197519E+03,2.741231E-01,9.901486E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.237992E+03,5.390861E-01,5.872519E+03,8.126589E+03,4.636686E-01,1.352094E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.237992E+03,5.019520E-01,5.450740E+03,7.922262E+03
01:10:00,7.287540E-01,2.324977E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.491502E+03,1.047876E+00,1.138533E+04,1.612791E+04,2.687675E-01,9.799230E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.245751E+03,5.482649E-01,5.968974E+03,8.228395E+03,2.626382E-01,9.682200E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.245751E+03,5.434541E-01,5.914353E+03,8.171112E+03,2.622679E-01,9.675130E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.245751E+03,5.434133E-01,5.913889E+03,8.170631E+03,2.664849E-01,9.755647E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.245751E+03,5.435941E-01,5.915943E+03,8.172770E+03,5.240807E-01,1.934158E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.491502E+03,1.071237E+00,1.165075E+04,1.615500E+04,2.636233E-01,9.701010E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.245751E+03,5.480983E-01,5.967081E+03,8.226540E+03,2.629306E-01,9.687784E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.245751E+03,5.433612E-01,5.913298E+03,8.170001E+03,2.741223E-01,9.901470E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.245751E+03,5.373756E-01,5.845339E+03,8.098358E+03,4.636679E-01,1.352092E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.245751E+03,4.992070E-01,5.411816E+03,7.880882E+03
01:20:00,7.287540E-01,2.324977E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.507019E+03,1.043061E+00,1.131514E+04,1.605434E+04,2.687669E-01,9.799217E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.253509E+03,5.465989E-01,5.942300E+03,8.200720E+03,2.626375E-01,9.682187E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.253509E+03,5.418470E-01,5.888347E+03,8.144125E+03,2.622672E-01,9.675117E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.253509E+03,5.418092E-01,5.887917E+03,8.143681E+03,2.664843E-01,9.755636E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.253509E+03,5.419808E-01,5.889867E+03,8.145710E+03,5.240806E-01,1.934158E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.507019E+03,1.068033E+00,1.159885E+04,1.610111E+04,2.636227E-01,9.700998E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.253509E+03,5.464848E-01,5.941003E+03,8.199487E+03,2.629299E-01,9.687770E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.253509E+03,5.417534E-01,5.887284E+03,8.143006E+03,2.741216E-01,9.901456E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.253509E+03,5.357100E-01,5.818670E+03,8.070661E+03,4.636673E-01,1.352091E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.253509E+03,4.965429E-01,5.373811E+03,7.840474E+03
01:30:00,7.287542E-01,2.324977E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.522536E+03,1.038407E+00,1.124678E+04,1.598266E+04,2.687664E-01,9.799207E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.261268E+03,5.449786E-01,5.916144E+03,8.173580E+03,2.626369E-01,9.682176E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.261268E+03,5.402837E-01,5.862838E+03,8.117652E+03,2.622666E-01,9.675106E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.261268E+03,5.402488E-01,5.862442E+03,8.117242E+03,2.664839E-01,9.755627E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.261268E+03,5.404114E-01,5.864289E+03,8.119164E+03,5.240806E-01,1.934158E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.522536E+03,1.064915E+00,1.154793E+04,1.604823E+04,2.636223E-01,9.700989E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.261268E+03,5.449151E-01,5.915423E+03,8.172947E+03,2.629293E-01,9.687759E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.261268E+03,5.401893E-01,5.861767E+03,8.116523E+03,2.741210E-01,9.901444E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.261268E+03,5.340892E-01,5.792508E+03,8.043488E+03,4.636668E-01,1.352090E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.261268E+03,4.939587E-01,5.336713E+03,7.801011E+03
01:40:00,7.287545E-01,2.324978E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.538054E+03,1.033909E+00,1.118020E+04,1.591282E+04,2.687660E-01,9.799199E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.269027E+03,5.434038E-01,5.890504E+03,8.146973E+03,2.626365E-01,9.682167E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.269027E+03,5.387641E-01,5.837826E+03,8.091692E+03,2.622662E-01,9.675097E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.269027E+03,5.387321E-01,5.837463E+03,8.091317E+03,2.664835E-01,9.755620E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.269027E+03,5.388857E-01,5.839207E+03,8.093131E+03,5.240808E-01,1.934158E+04,2.490686E-01,0.000000E+00,0.000000E+00,2.490686E-01,4.538054E+03,1.061882E+00,1.149798E+04,1.599636E+04,2.636219E-01,9.700982E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.269027E+03,5.433892E-01,5.890339E+03,8.146921E+03,2.629289E-01,9.687750E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.269027E+03,5.386689E-01,5.836745E+03,8.090553E+03,2.741205E-01,9.901434E+03,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.269027E+03,5.325129E-01,5.766852E+03,8.016840E+03,4.636663E-01,1.352089E+04,1.245343E-01,0.000000E+00,0.000000E+00,1.245343E-01,2.269027E+03,4.914534E-01,5.300510E+03,7.762490E+03
