Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,1880197495.9496536,10893355923.294436,133891985.18700324,4880741390.5708685,439606498.7974184,4106973535.8670883,725141354.7662933,3885477523.101117,806893778.9572681,3766206709.3024483,1929256867.74728,6859703063.924211,1007295434.5468899,3367965479.9975348,1047219910.6550618,3310551901.056686,1212053463.1044314,3110156005.9385514,3769942397.415169,1862415503.0068765,161459966882.66025,230639320346.6187 
February,2078906619.9514031,9304217758.39762,177100054.2738962,4089448259.14815,550520973.6817898,3459555003.192972,797034257.5468549,3295829378.066855,882188827.4663563,3201909280.2949276,2035996289.5955791,5854578698.393535,1064901512.4868411,2851380172.474957,1097229236.8693283,2806007983.1804843,1284722932.4452658,2618304308.1784806,3759606551.5256524,1492492365.5921044,145839943486.56366,241083717066.02142 
March,1139619674.8355942,14768231049.309296,88754313.05668241,6684510708.536989,233292564.46505696,6005345239.373545,373624604.344527,5771970696.730582,424397319.28624916,5652536545.256332,1021083972.6112659,10284492083.991999,526512166.1660914,5148287222.007331,539182311.9006518,5065871023.655231,639180042.4549906,4819253465.206753,2317295541.68831,3639576608.336363,161554815482.75928,127094752572.14575 
April,136799016.34712335,17920001535.566372,44450085.89134954,8371781880.942655,44862282.374623485,7380495952.700224,44747786.54471568,7136497896.875915,48074630.637210056,7025323617.159599,96020050.79501143,12621528068.28495,52434280.994009346,6380017326.089029,54787319.112389624,6247320698.516069,74315903.89095047,5934290813.785873,648330230.4310207,4975404730.332248,152872989018.43787,30001296324.41197 
May,65647900.05565634,21073628612.311108,26961767.827931285,10672074080.92594,24329862.853985272,8719403660.646465,26602706.037572525,8542403867.171777,28479391.434761737,8466799293.359747,59032347.410583295,15193823952.52641,32657013.361433644,7728445915.495292,33926951.60616897,7563742056.017383,37897297.69645601,7209162376.478188,42312763.665110804,6437293392.412296,164696798409.95786,82145974.25667149 
June,11711663.919690797,23871816996.04917,5795442.015957347,12651564638.708172,3153468.1527075875,10154390856.79278,3165126.3339034026,9999160368.962759,3759230.83771777,9928670195.929197,8007365.407605607,18179164250.655605,5646758.163374705,9288240142.058695,6467968.061688966,9192940551.944061,9552651.905225508,8930056319.659233,24823434.248483144,8055920835.134204,173473100266.399,0.0 
July,5769086.8308015345,27883173652.20539,4976302.13905445,14426383428.195591,3237637.6273075426,11533529057.456188,4517191.898885477,11337753720.253298,4491067.527023435,11260756607.719877,6377288.712165132,20738958946.134495,3047746.0485955398,10597975182.555552,3419134.5582468435,10518766934.626757,4131463.10101017,10346050109.703545,9100375.06187477,9741223012.951952,191038959861.10672,0.0 
August,5873695.790084741,26937363717.4898,8124340.775199767,13976169082.85509,3590525.030887685,11364900689.96258,2540236.4295335817,11224560991.313477,4958570.7885765545,11136357395.677181,7605117.319906873,20487357829.736526,3851308.684389808,10484541201.67415,3201910.797589384,10391027397.493292,4849303.063596305,10223383183.11649,11917760.610923592,9604644702.085552,186940546700.557,0.0 
September,26993538.963572644,23519111697.607533,14273780.979877373,12045746693.900417,10771541.281859323,9622163000.784721,11648509.14820058,9443937454.074074,11864889.402111351,9378991534.60401,26343410.177258376,17064081658.576658,14309416.060817307,8708067430.631084,14157592.51381387,8607743314.463139,16450833.860859528,8369842439.143579,28286264.62491443,7747198896.722955,167222382737.31055,0.0 
October,71718639.40805985,21759651811.58518,34408901.6472739,10166170666.81012,33916483.15156876,8765824908.626345,34711015.899361104,8563820557.043211,35544858.4754924,8491105254.960937,73128433.44813116,15233640509.426199,39230841.43740541,7754813744.666743,39417936.86774605,7631718874.991642,43980863.91520216,7373730760.249751,127946863.27258584,6756287382.160465,161910080549.20395,4691097907.624213 
