Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_3:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_3:3:DesPer 1:Des Heat Cap [W],PSZ-AC_3:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_3:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_3:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_3:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_3:3:DesPer 2:Des Heat Cap [W],PSZ-AC_3:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_3:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_3:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_4:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_4:4:DesPer 1:Des Heat Cap [W],PSZ-AC_4:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_4:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_4:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_4:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_4:4:DesPer 2:Des Heat Cap [W],PSZ-AC_4:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_4:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_4:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_5:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_5:5:DesPer 1:Des Heat Cap [W],PSZ-AC_5:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_5:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_5:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_5:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_5:5:DesPer 2:Des Heat Cap [W],PSZ-AC_5:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_5:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_5:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_6:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_6:6:DesPer 1:Des Heat Cap [W],PSZ-AC_6:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_6:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_6:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_6:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_6:6:DesPer 2:Des Heat Cap [W],PSZ-AC_6:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_6:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_6:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_7:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_7:7:DesPer 1:Des Heat Cap [W],PSZ-AC_7:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_7:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_7:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_7:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_7:7:DesPer 2:Des Heat Cap [W],PSZ-AC_7:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_7:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_7:7:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_8:8:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_8:8:DesPer 1:Des Heat Cap [W],PSZ-AC_8:8:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_8:8:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_8:8:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_8:8:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_8:8:DesPer 2:Des Heat Cap [W],PSZ-AC_8:8:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_8:8:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_8:8:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_9:9:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_9:9:DesPer 1:Des Heat Cap [W],PSZ-AC_9:9:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_9:9:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_9:9:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_9:9:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_9:9:DesPer 2:Des Heat Cap [W],PSZ-AC_9:9:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_9:9:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_9:9:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_10:10:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_10:10:DesPer 1:Des Heat Cap [W],PSZ-AC_10:10:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_10:10:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_10:10:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_10:10:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_10:10:DesPer 2:Des Heat Cap [W],PSZ-AC_10:10:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_10:10:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_10:10:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.039434E-01,1.967061E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.763231E+03,9.713478E-01,1.015837E+04,1.348709E+04,2.607988E-01,8.042113E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.381615E+03,4.995362E-01,5.225953E+03,6.754458E+03,2.549520E-01,7.927128E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.381615E+03,4.943098E-01,5.170656E+03,6.697218E+03,2.546016E-01,7.920238E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.381615E+03,4.942220E-01,5.169727E+03,6.696262E+03,2.587331E-01,8.001489E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.381615E+03,4.937259E-01,5.164478E+03,6.690785E+03,5.087648E-01,1.583187E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.763231E+03,9.741239E-01,1.018792E+04,1.323510E+04,2.559121E-01,7.946011E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.381615E+03,4.986675E-01,5.216761E+03,6.745088E+03,2.552281E-01,7.932560E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.381615E+03,4.942331E-01,5.169844E+03,6.696374E+03,2.659564E-01,8.143541E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.381615E+03,4.886566E-01,5.110843E+03,6.634908E+03,4.467769E-01,1.170002E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.381615E+03,4.645863E-01,4.856006E+03,6.641334E+03
00:20:00,7.038830E-01,1.966942E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.777984E+03,9.649740E-01,1.007618E+04,1.340181E+04,2.607659E-01,8.041464E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.388992E+03,4.974017E-01,5.195992E+03,6.723567E+03,2.549187E-01,7.926473E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.388992E+03,4.922541E-01,5.141528E+03,6.667176E+03,2.545681E-01,7.919578E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.388992E+03,4.921701E-01,5.140640E+03,6.666261E+03,2.586988E-01,8.000812E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.388992E+03,4.916628E-01,5.135272E+03,6.660660E+03,5.086910E-01,1.583041E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.777984E+03,9.700423E-01,1.012998E+04,1.317532E+04,2.558778E-01,7.945334E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.388992E+03,4.966041E-01,5.187554E+03,6.714972E+03,2.551950E-01,7.931907E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.388992E+03,4.921771E-01,5.140714E+03,6.666328E+03,2.659251E-01,8.142925E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.388992E+03,4.865327E-01,5.080994E+03,6.604104E+03,4.467535E-01,1.169956E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.388992E+03,4.611929E-01,4.812727E+03,6.595813E+03
00:30:00,7.038233E-01,1.966825E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.792736E+03,9.588116E-01,9.996227E+03,1.331883E+04,2.607334E-01,8.040824E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.396368E+03,4.953194E-01,5.166585E+03,6.693257E+03,2.548859E-01,7.925827E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.396368E+03,4.902475E-01,5.112921E+03,6.637681E+03,2.545352E-01,7.918929E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.396368E+03,4.901673E-01,5.112073E+03,6.636807E+03,2.586649E-01,8.000146E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.396368E+03,4.896488E-01,5.106588E+03,6.631083E+03,5.086183E-01,1.582898E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.792736E+03,9.660545E-01,1.007304E+04,1.311657E+04,2.558440E-01,7.944668E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.396368E+03,4.945900E-01,5.158867E+03,6.685403E+03,2.551623E-01,7.931264E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.396368E+03,4.901701E-01,5.112103E+03,6.636829E+03,2.658943E-01,8.142319E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.396368E+03,4.844592E-01,5.051679E+03,6.573863E+03,4.467304E-01,1.169910E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.396368E+03,4.578870E-01,4.770374E+03,6.551256E+03
00:40:00,7.037644E-01,1.966709E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.807489E+03,9.528465E-01,9.918361E+03,1.323801E+04,2.607015E-01,8.040194E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.403745E+03,4.932871E-01,5.137705E+03,6.663499E+03,2.548536E-01,7.925190E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.403745E+03,4.882879E-01,5.084812E+03,6.608708E+03,2.545027E-01,7.918289E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.403745E+03,4.882113E-01,5.084001E+03,6.607873E+03,2.586316E-01,7.999489E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.403745E+03,4.876819E-01,5.078400E+03,6.602027E+03,5.085464E-01,1.582756E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.807489E+03,9.621567E-01,1.001704E+04,1.305883E+04,2.558106E-01,7.944012E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.403745E+03,4.926228E-01,5.130676E+03,6.656355E+03,2.551302E-01,7.930630E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.403745E+03,4.882101E-01,5.083988E+03,6.607851E+03,2.658640E-01,8.141721E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.403745E+03,4.824340E-01,5.022875E+03,6.544157E+03,4.467076E-01,1.169865E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.403745E+03,4.546648E-01,4.728906E+03,6.507622E+03
00:50:00,7.037062E-01,1.966594E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.822242E+03,9.470552E-01,9.842335E+03,1.315909E+04,2.606699E-01,8.039573E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.411121E+03,4.912985E-01,5.109289E+03,6.634223E+03,2.548217E-01,7.924563E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.411121E+03,4.863696E-01,5.057139E+03,6.580190E+03,2.544706E-01,7.917658E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.411121E+03,4.862966E-01,5.056366E+03,6.579395E+03,2.585987E-01,7.998841E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.411121E+03,4.857562E-01,5.050649E+03,6.573427E+03,5.084755E-01,1.582617E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.822242E+03,9.583377E-01,9.961884E+03,1.300196E+04,2.557778E-01,7.943364E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.411121E+03,4.906969E-01,5.102923E+03,6.627762E+03,2.550985E-01,7.930005E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.411121E+03,4.862913E-01,5.056310E+03,6.579328E+03,2.658341E-01,8.141133E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.411121E+03,4.804510E-01,4.994518E+03,6.514919E+03,4.466851E-01,1.169821E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.411121E+03,4.515175E-01,4.688231E+03,6.464809E+03
01:00:00,7.036487E-01,1.966481E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.836995E+03,9.414309E-01,9.768075E+03,1.308198E+04,2.606388E-01,8.038961E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.418498E+03,4.893529E-01,5.081327E+03,6.605420E+03,2.547903E-01,7.923944E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.418498E+03,4.844920E-01,5.029896E+03,6.552121E+03,2.544390E-01,7.917036E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.418498E+03,4.844224E-01,5.029159E+03,6.551363E+03,2.585662E-01,7.998202E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.418498E+03,4.838711E-01,5.023327E+03,6.545275E+03,5.084054E-01,1.582479E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.836995E+03,9.545971E-01,9.907554E+03,1.294595E+04,2.557453E-01,7.942726E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.418498E+03,4.888116E-01,5.075599E+03,6.599616E+03,2.550672E-01,7.929389E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.418498E+03,4.844131E-01,5.029061E+03,6.551252E+03,2.658047E-01,8.140552E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.418498E+03,4.785097E-01,4.966601E+03,6.486138E+03,4.466629E-01,1.169777E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.418498E+03,4.484437E-01,4.648334E+03,6.422808E+03
01:10:00,7.036490E-01,1.966482E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.846830E+03,9.360079E-01,9.700863E+03,1.301217E+04,2.606382E-01,8.038949E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.423415E+03,4.874652E-01,5.056436E+03,6.579781E+03,2.547897E-01,7.923932E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.423415E+03,4.826699E-01,5.005700E+03,6.527192E+03,2.544384E-01,7.917024E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.423415E+03,4.826036E-01,5.004998E+03,6.526470E+03,2.585658E-01,7.998192E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.423415E+03,4.820419E-01,4.999055E+03,6.520265E+03,5.084055E-01,1.582479E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.846830E+03,9.509681E-01,9.859321E+03,1.289622E+04,2.557448E-01,7.942715E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.423415E+03,4.869821E-01,5.051325E+03,6.574613E+03,2.550665E-01,7.929376E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.423415E+03,4.825903E-01,5.004858E+03,6.526315E+03,2.658040E-01,8.140539E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.423415E+03,4.766246E-01,4.941738E+03,6.460506E+03,4.466624E-01,1.169776E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.423415E+03,4.454644E-01,4.611895E+03,6.384410E+03
01:20:00,7.036495E-01,1.966482E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.856666E+03,9.307637E-01,9.635542E+03,1.294432E+04,2.606378E-01,8.038940E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.428333E+03,4.856274E-01,5.032073E+03,6.554691E+03,2.547892E-01,7.923922E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.428333E+03,4.808957E-01,4.982010E+03,6.502788E+03,2.544380E-01,7.917014E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.428333E+03,4.808326E-01,4.981343E+03,6.502102E+03,2.585654E-01,7.998184E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.428333E+03,4.802605E-01,4.975289E+03,6.495782E+03,5.084058E-01,1.582479E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.856666E+03,9.474325E-01,9.812078E+03,1.284753E+04,2.557444E-01,7.942707E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.428333E+03,4.852005E-01,5.027556E+03,6.550135E+03,2.550661E-01,7.929366E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.428333E+03,4.808153E-01,4.981159E+03,6.501903E+03,2.658035E-01,8.140528E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.428333E+03,4.747882E-01,4.917390E+03,6.435409E+03,4.466619E-01,1.169775E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.428333E+03,4.425724E-01,4.576380E+03,6.346980E+03
01:30:00,7.036501E-01,1.966484E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.866501E+03,9.256927E-01,9.572055E+03,1.287834E+04,2.606375E-01,8.038934E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.433250E+03,4.838391E-01,5.008235E+03,6.530138E+03,2.547889E-01,7.923915E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.433250E+03,4.791691E-01,4.958824E+03,6.478903E+03,2.544376E-01,7.917007E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.433250E+03,4.791092E-01,4.958190E+03,6.478252E+03,2.585652E-01,7.998179E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.433250E+03,4.785267E-01,4.952027E+03,6.471817E+03,5.084063E-01,1.582480E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.866501E+03,9.439902E-01,9.765822E+03,1.279986E+04,2.557442E-01,7.942701E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.433250E+03,4.834665E-01,5.004292E+03,6.526174E+03,2.550657E-01,7.929359E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.433250E+03,4.790879E-01,4.957965E+03,6.478008E+03,2.658031E-01,8.140520E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.433250E+03,4.730004E-01,4.893557E+03,6.410841E+03,4.466615E-01,1.169775E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.433250E+03,4.397667E-01,4.541777E+03,6.310494E+03
01:40:00,7.036507E-01,1.966485E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.876336E+03,9.207903E-01,9.510350E+03,1.281421E+04,2.606373E-01,8.038930E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.438168E+03,4.821003E-01,4.984919E+03,6.506123E+03,2.547887E-01,7.923910E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.438168E+03,4.774900E-01,4.936141E+03,6.455535E+03,2.544374E-01,7.917002E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.438168E+03,4.774333E-01,4.935540E+03,6.454918E+03,2.585650E-01,7.998176E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.438168E+03,4.768405E-01,4.929269E+03,6.448369E+03,5.084070E-01,1.582482E+04,1.578661E-01,0.000000E+00,0.000000E+00,1.578661E-01,2.876336E+03,9.406411E-01,9.720551E+03,1.275319E+04,2.557440E-01,7.942698E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.438168E+03,4.817800E-01,4.981531E+03,6.502732E+03,2.550655E-01,7.929354E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.438168E+03,4.774080E-01,4.935273E+03,6.454631E+03,2.658028E-01,8.140514E+03,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.438168E+03,4.712611E-01,4.870236E+03,6.386801E+03,4.466612E-01,1.169774E+04,7.893307E-02,0.000000E+00,0.000000E+00,7.893307E-02,1.438168E+03,4.370463E-01,4.508078E+03,6.274950E+03
