Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.170743E+04,8.698703E+03,5.866195E-01,8.094565E-01,4.337256E+03,4.473596E+03,2.173324E-01,4.162802E-01,4.240019E+03,4.426790E+03,2.124600E-01,4.119249E-01,4.234192E+03,4.426004E+03,2.121680E-01,4.118517E-01,4.302902E+03,4.421561E+03,2.156109E-01,4.114382E-01,8.461107E+03,8.723745E+03,4.239707E-01,8.117699E-01,4.255987E+03,4.465815E+03,2.132601E-01,4.155562E-01,4.244612E+03,4.426103E+03,2.126901E-01,4.118609E-01,4.423029E+03,4.376164E+03,2.216303E-01,4.072139E-01,7.430645E+03,4.160436E+03,3.723141E-01,3.871553E-01
00:20:00,1.170642E+04,8.641623E+03,5.865691E-01,8.041450E-01,4.336706E+03,4.454480E+03,2.173049E-01,4.145014E-01,4.239464E+03,4.408380E+03,2.124322E-01,4.102117E-01,4.233634E+03,4.407628E+03,2.121401E-01,4.101418E-01,4.302329E+03,4.403085E+03,2.155823E-01,4.097190E-01,8.459877E+03,8.687192E+03,4.239092E-01,8.083686E-01,4.255414E+03,4.447337E+03,2.132315E-01,4.138368E-01,4.244059E+03,4.407690E+03,2.126625E-01,4.101476E-01,4.422507E+03,4.357142E+03,2.216042E-01,4.054439E-01,7.430255E+03,4.130047E+03,3.722945E-01,3.843274E-01
00:30:00,1.170543E+04,8.586435E+03,5.865194E-01,7.990096E-01,4.336165E+03,4.435832E+03,2.172779E-01,4.127662E-01,4.238917E+03,4.390410E+03,2.124049E-01,4.085396E-01,4.233084E+03,4.389692E+03,2.121126E-01,4.084727E-01,4.301765E+03,4.385049E+03,2.155541E-01,4.080407E-01,8.458664E+03,8.651479E+03,4.238486E-01,8.050454E-01,4.254851E+03,4.429299E+03,2.132033E-01,4.121583E-01,4.243515E+03,4.389717E+03,2.126353E-01,4.084751E-01,4.421994E+03,4.338573E+03,2.215786E-01,4.037160E-01,7.429871E+03,4.100442E+03,3.722753E-01,3.815725E-01
00:40:00,1.170445E+04,8.533015E+03,5.864704E-01,7.940387E-01,4.335632E+03,4.417631E+03,2.172512E-01,4.110726E-01,4.238379E+03,4.372861E+03,2.123780E-01,4.069066E-01,4.232543E+03,4.372175E+03,2.120856E-01,4.068428E-01,4.301210E+03,4.367434E+03,2.155263E-01,4.064016E-01,8.457467E+03,8.616572E+03,4.237887E-01,8.017972E-01,4.254295E+03,4.411682E+03,2.131755E-01,4.105190E-01,4.242979E+03,4.372164E+03,2.126085E-01,4.068418E-01,4.421488E+03,4.320436E+03,2.215533E-01,4.020283E-01,7.429492E+03,4.071587E+03,3.722563E-01,3.788873E-01
00:50:00,1.170348E+04,8.481152E+03,5.864219E-01,7.892127E-01,4.335107E+03,4.399823E+03,2.172249E-01,4.094154E-01,4.237848E+03,4.355682E+03,2.123514E-01,4.053080E-01,4.232009E+03,4.355027E+03,2.120589E-01,4.052471E-01,4.300662E+03,4.350188E+03,2.154989E-01,4.047968E-01,8.456285E+03,8.582371E+03,4.237296E-01,7.986148E-01,4.253747E+03,4.394434E+03,2.131481E-01,4.089141E-01,4.242450E+03,4.354980E+03,2.125820E-01,4.052428E-01,4.420990E+03,4.302678E+03,2.215284E-01,4.003759E-01,7.429117E+03,4.043402E+03,3.722376E-01,3.762646E-01
01:00:00,1.170252E+04,8.430784E+03,5.863739E-01,7.845257E-01,4.334588E+03,4.382398E+03,2.171990E-01,4.077941E-01,4.237324E+03,4.338866E+03,2.123252E-01,4.037434E-01,4.231482E+03,4.338243E+03,2.120325E-01,4.036853E-01,4.300121E+03,4.333306E+03,2.154719E-01,4.032259E-01,8.455118E+03,8.548872E+03,4.236712E-01,7.954976E-01,4.253207E+03,4.377550E+03,2.131211E-01,4.073430E-01,4.241929E+03,4.338160E+03,2.125560E-01,4.036776E-01,4.420499E+03,4.285292E+03,2.215039E-01,3.987581E-01,7.428748E+03,4.015876E+03,3.722191E-01,3.737031E-01
01:10:00,1.170253E+04,8.382219E+03,5.863742E-01,7.800066E-01,4.334578E+03,4.365493E+03,2.171985E-01,4.062210E-01,4.237313E+03,4.322548E+03,2.123247E-01,4.022249E-01,4.231472E+03,4.321955E+03,2.120320E-01,4.021697E-01,4.300112E+03,4.316924E+03,2.154715E-01,4.017016E-01,8.455117E+03,8.516371E+03,4.236713E-01,7.924734E-01,4.253198E+03,4.361166E+03,2.131207E-01,4.058184E-01,4.241918E+03,4.321836E+03,2.125555E-01,4.021586E-01,4.420488E+03,4.268410E+03,2.215033E-01,3.971871E-01,7.428739E+03,3.989195E+03,3.722186E-01,3.712203E-01
01:20:00,1.170253E+04,8.335255E+03,5.863746E-01,7.756364E-01,4.334570E+03,4.349034E+03,2.171982E-01,4.046895E-01,4.237305E+03,4.306659E+03,2.123244E-01,4.007464E-01,4.231463E+03,4.306094E+03,2.120316E-01,4.006939E-01,4.300105E+03,4.300970E+03,2.154712E-01,4.002170E-01,8.455121E+03,8.484708E+03,4.236715E-01,7.895271E-01,4.253191E+03,4.345210E+03,2.131204E-01,4.043337E-01,4.241909E+03,4.305939E+03,2.125551E-01,4.006794E-01,4.420478E+03,4.251964E+03,2.215029E-01,3.956568E-01,7.428732E+03,3.963297E+03,3.722183E-01,3.688103E-01
01:30:00,1.170254E+04,8.289842E+03,5.863750E-01,7.714106E-01,4.334565E+03,4.333019E+03,2.171979E-01,4.031993E-01,4.237299E+03,4.291196E+03,2.123241E-01,3.993076E-01,4.231457E+03,4.290660E+03,2.120314E-01,3.992577E-01,4.300100E+03,4.285444E+03,2.154710E-01,3.987722E-01,8.455129E+03,8.453881E+03,4.236720E-01,7.866585E-01,4.253186E+03,4.329681E+03,2.131202E-01,4.028887E-01,4.241903E+03,4.290469E+03,2.125548E-01,3.992399E-01,4.420471E+03,4.235953E+03,2.215026E-01,3.941670E-01,7.428725E+03,3.938171E+03,3.722179E-01,3.664722E-01
01:40:00,1.170255E+04,8.245939E+03,5.863756E-01,7.673252E-01,4.334561E+03,4.317447E+03,2.171978E-01,4.017502E-01,4.237294E+03,4.276159E+03,2.123239E-01,3.979084E-01,4.231453E+03,4.275651E+03,2.120312E-01,3.978611E-01,4.300098E+03,4.270343E+03,2.154709E-01,3.973671E-01,8.455139E+03,8.423887E+03,4.236725E-01,7.838675E-01,4.253183E+03,4.314579E+03,2.131200E-01,4.014834E-01,4.241898E+03,4.275425E+03,2.125546E-01,3.978400E-01,4.420466E+03,4.220376E+03,2.215023E-01,3.927176E-01,7.428720E+03,3.913810E+03,3.722177E-01,3.642053E-01
