Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,26529697.50623399,26529697.506233983 
 01/01  02:00:00,,,26123588.95998119,26123588.95998119 
 01/01  03:00:00,,,26228386.999532387,26228386.999532387 
 01/01  04:00:00,,,26174478.914573736,26174478.914573736 
 01/01  05:00:00,,,26334238.2344082,26334238.2344082 
 01/01  06:00:00,,,26257864.075296078,26257864.075296074 
 01/01  07:00:00,,,37017024.68076446,37017024.68076446 
 01/01  08:00:00,,,42635544.70599655,42635544.70599654 
 01/01  09:00:00,,,28764656.585151725,28764656.585151717 
 01/01  10:00:00,,,119759122.21464857,119759122.21464857 
 01/01  11:00:00,,,278006141.69752914,278006141.69752914 
 01/01  12:00:00,,,360880047.8862048,360880047.8862047 
 01/01  13:00:00,,,358187480.98123,358187480.98123 
 01/01  14:00:00,,,361714810.5690218,361714810.56902176 
 01/01  15:00:00,,,357755013.2001539,357755013.20015377 
 01/01  16:00:00,,,361510568.64753294,361510568.64753294 
 01/01  17:00:00,,,364389162.20811063,364389162.20811063 
 01/01  18:00:00,,,270904121.2462789,270904121.2462789 
 01/01  19:00:00,,,121955608.24680841,121955608.2468084 
 01/01  20:00:00,,,119142547.59434468,119142547.59434468 
 01/01  21:00:00,,,120155759.89620227,120155759.89620227 
 01/01  22:00:00,,,122756013.20032923,122756013.20032921 
 01/01  23:00:00,,,114956927.13566388,114956927.13566388 
 01/01  24:00:00,,,81816467.1586577,81816467.1586577 
 01/02  01:00:00,,,27674716.067225035,27674716.067225035 
 01/02  02:00:00,,,27679575.210718695,27679575.210718695 
 01/02  03:00:00,,,26569451.208149813,26569451.208149813 
 01/02  04:00:00,,,26634120.77679721,26634120.776797205 
 01/02  05:00:00,,,26628483.161652133,26628483.161652133 
 01/02  06:00:00,,,29176040.76202603,29176040.762026023 
 01/02  07:00:00,,,37431256.348345965,37431256.348345965 
 01/02  08:00:00,,,44186800.75212927,44186800.75212927 
 01/02  09:00:00,,,79757782.37422003,79757782.37422004 
 01/02  10:00:00,,,241430235.97596645,241430235.9759665 
 01/02  11:00:00,,,354868406.62464124,354868406.62464124 
 01/02  12:00:00,,,363350021.0229208,363350021.0229207 
 01/02  13:00:00,,,359584440.8838679,359584440.8838679 
 01/02  14:00:00,,,364253585.3253766,364253585.3253765 
 01/02  15:00:00,,,364314458.87154406,364314458.871544 
 01/02  16:00:00,,,360586127.65668154,360586127.65668154 
 01/02  17:00:00,,,367138932.58958286,367138932.58958286 
 01/02  18:00:00,,,382994702.3637085,382994702.3637085 
 01/02  19:00:00,,,379173791.215696,379173791.215696 
 01/02  20:00:00,,,379294075.9422984,379294075.9422984 
 01/02  21:00:00,,,267332402.0524866,267332402.05248657 
 01/02  22:00:00,,,120671717.54383013,120671717.54383011 
 01/02  23:00:00,,,119627205.72604069,119627205.72604068 
 01/02  24:00:00,,,77804744.10527591,77804744.10527591 
 01/03  01:00:00,,,26365577.377368987,26365577.37736898 
 01/03  02:00:00,,,29898355.428195775,29898355.428195775 
 01/03  03:00:00,,,26144282.96907368,26144282.969073676 
 01/03  04:00:00,,,27615251.26286196,27615251.262861952 
 01/03  05:00:00,,,26637913.782730535,26637913.782730535 
 01/03  06:00:00,,,30463026.452091955,30463026.452091955 
 01/03  07:00:00,,,37513860.606561564,37513860.606561564 
 01/03  08:00:00,,,39195306.645797424,39195306.645797424 
 01/03  09:00:00,,,82662970.60966456,82662970.60966457 
 01/03  10:00:00,,,241778322.87444818,241778322.87444812 
 01/03  11:00:00,,,362835334.65448314,362835334.6544832 
 01/03  12:00:00,,,358665495.74349225,358665495.74349225 
 01/03  13:00:00,,,364158661.4772764,364158661.4772764 
 01/03  14:00:00,,,366732210.08009285,366732210.08009285 
 01/03  15:00:00,,,366932567.2008006,366932567.2008006 
 01/03  16:00:00,,,360644049.5489078,360644049.5489079 
 01/03  17:00:00,,,371265399.66657907,371265399.666579 
 01/03  18:00:00,,,387230788.79623014,387230788.7962301 
 01/03  19:00:00,,,379027871.6170746,379027871.6170746 
 01/03  20:00:00,,,382982493.3564773,382982493.3564773 
 01/03  21:00:00,,,268331271.62378472,268331271.62378472 
 01/03  22:00:00,,,126091717.36879143,126091717.36879143 
 01/03  23:00:00,,,117693913.14890672,117693913.14890671 
 01/03  24:00:00,,,78368302.09839123,78368302.09839123 
 01/04  01:00:00,,,26650942.20957878,26650942.20957877 
 01/04  02:00:00,,,26564347.09370834,26564347.09370834 
 01/04  03:00:00,,,27901458.001711853,27901458.001711853 
 01/04  04:00:00,,,26710204.75131299,26710204.75131299 
 01/04  05:00:00,,,34370000.55591183,34370000.55591183 
 01/04  06:00:00,,,26855443.835176677,26855443.835176677 
 01/04  07:00:00,,,37769576.405362256,37769576.40536225 
 01/04  08:00:00,,,40782091.61608528,40782091.616085276 
 01/04  09:00:00,,,79845414.39875296,79845414.39875294 
 01/04  10:00:00,,,247359699.05602983,247359699.0560298 
 01/04  11:00:00,,,360916732.69710636,360916732.69710624 
 01/04  12:00:00,,,359951902.53276867,359951902.5327686 
 01/04  13:00:00,,,362990436.32565975,362990436.3256597 
 01/04  14:00:00,,,366142461.51380485,366142461.5138048 
 01/04  15:00:00,,,366286659.9857112,366286659.98571116 
 01/04  16:00:00,,,365317299.3961502,365317299.3961502 
 01/04  17:00:00,,,366609485.03638667,366609485.0363866 
 01/04  18:00:00,,,386317268.1499733,386317268.1499733 
 01/04  19:00:00,,,383927529.1449466,383927529.1449466 
 01/04  20:00:00,,,377693892.9694131,377693892.9694131 
 01/04  21:00:00,,,274404870.3396867,274404870.3396867 
 01/04  22:00:00,,,119781800.17157921,119781800.17157918 
 01/04  23:00:00,,,117526194.19404179,117526194.19404177 
 01/04  24:00:00,,,78513689.55305965,78513689.55305964 
 01/05  01:00:00,,,26505873.271896474,26505873.271896467 
 01/05  02:00:00,,,29198237.928326435,29198237.928326435 
 01/05  03:00:00,,,26415094.429145277,26415094.429145277 
 01/05  04:00:00,,,31740031.268872082,31740031.268872082 
 01/05  05:00:00,,,26665166.715103127,26665166.715103127 
 01/05  06:00:00,,,28033576.88686131,28033576.88686131 
 01/05  07:00:00,,,37410156.00279308,37410156.00279307 
 01/05  08:00:00,,,40015129.781241395,40015129.781241395 
 01/05  09:00:00,,,81699056.14619826,81699056.14619824 
 01/05  10:00:00,,,245759219.01014805,245759219.01014805 
 01/05  11:00:00,,,359839166.3799732,359839166.37997305 
 01/05  12:00:00,,,360191214.01872855,360191214.0187285 
 01/05  13:00:00,,,359948456.8985069,359948456.8985068 
 01/05  14:00:00,,,364849313.3036906,364849313.3036906 
 01/05  15:00:00,,,364995280.4573432,364995280.45734316 
 01/05  16:00:00,,,361486698.4196805,361486698.4196804 
 01/05  17:00:00,,,367432438.14077115,367432438.14077115 
 01/05  18:00:00,,,386293152.23156404,386293152.23156404 
 01/05  19:00:00,,,381136124.5840802,381136124.5840803 
 01/05  20:00:00,,,380221367.89309776,380221367.8930977 
 01/05  21:00:00,,,270458494.8212103,270458494.82121027 
 01/05  22:00:00,,,123498346.90729555,123498346.90729554 
 01/05  23:00:00,,,116240868.13201691,116240868.1320169 
 01/05  24:00:00,,,79624248.2557547,79624248.2557547 
 01/06  01:00:00,,,56485512.07148803,56485512.07148803 
 01/06  02:00:00,,,28938158.842989042,28938158.842989042 
 01/06  03:00:00,,,27636199.409785327,27636199.409785327 
 01/06  04:00:00,,,27690858.027548473,27690858.027548473 
 01/06  05:00:00,,,29269461.10270163,29269461.102701623 
 01/06  06:00:00,,,28079557.5790605,28079557.579060495 
 01/06  07:00:00,,,37481548.201615274,37481548.201615274 
 01/06  08:00:00,,,40360389.21694634,40360389.21694634 
 01/06  09:00:00,,,78539275.8660181,78539275.86601809 
 01/06  10:00:00,,,246339248.5347158,246339248.53471583 
 01/06  11:00:00,,,357712067.5070071,357712067.50700706 
 01/06  12:00:00,,,363038916.2504793,363038916.2504793 
 01/06  13:00:00,,,364135463.0023937,364135463.0023936 
 01/06  14:00:00,,,358519572.80280316,358519572.8028031 
 01/06  15:00:00,,,364643539.91199183,364643539.91199183 
 01/06  16:00:00,,,363257431.6167554,363257431.6167554 
 01/06  17:00:00,,,370388758.70111865,370388758.7011186 
 01/06  18:00:00,,,378962733.98073,378962733.98073 
 01/06  19:00:00,,,382587084.5047219,382587084.5047218 
 01/06  20:00:00,,,378961000.1870489,378961000.1870489 
 01/06  21:00:00,,,268480479.15831125,268480479.15831125 
 01/06  22:00:00,,,120611074.63136607,120611074.63136604 
 01/06  23:00:00,,,115833003.50903445,115833003.50903443 
 01/06  24:00:00,,,100330694.92744294,100330694.92744292 
 01/07  01:00:00,,,77288555.74755752,77288555.74755752 
 01/07  02:00:00,,,26074071.316872407,26074071.316872407 
 01/07  03:00:00,,,27419481.754510086,27419481.754510086 
 01/07  04:00:00,,,26548049.7868692,26548049.786869198 
 01/07  05:00:00,,,26619700.65412319,26619700.654123187 
 01/07  06:00:00,,,27993322.630961336,27993322.630961336 
 01/07  07:00:00,,,37475243.924590245,37475243.924590245 
 01/07  08:00:00,,,39201478.45145991,39201478.45145991 
 01/07  09:00:00,,,83252652.33108394,83252652.33108394 
 01/07  10:00:00,,,236562179.3858989,236562179.38589886 
 01/07  11:00:00,,,358035075.3644957,358035075.3644957 
 01/07  12:00:00,,,359304626.03107214,359304626.0310722 
 01/07  13:00:00,,,363381762.83937496,363381762.8393749 
 01/07  14:00:00,,,364489181.5052773,364489181.5052772 
 01/07  15:00:00,,,360851491.0062288,360851491.00622874 
 01/07  16:00:00,,,361072673.2619619,361072673.2619618 
 01/07  17:00:00,,,367232533.7013655,367232533.7013655 
 01/07  18:00:00,,,381311762.17895734,381311762.1789573 
 01/07  19:00:00,,,268971744.626238,268971744.626238 
 01/07  20:00:00,,,121073767.59589958,121073767.59589955 
 01/07  21:00:00,,,122912491.46721244,122912491.46721244 
 01/07  22:00:00,,,124437380.76928765,124437380.76928763 
 01/07  23:00:00,,,116517271.56639084,116517271.56639083 
 01/07  24:00:00,,,116647892.1303066,116647892.13030657 
 01/08  01:00:00,,,26601772.684737876,26601772.684737876 
 01/08  02:00:00,,,26734486.16967921,26734486.16967921 
 01/08  03:00:00,,,26818616.06805475,26818616.06805475 
 01/08  04:00:00,,,29399182.852827013,29399182.85282701 
 01/08  05:00:00,,,28159788.90049782,28159788.90049782 
 01/08  06:00:00,,,30637203.880750306,30637203.880750306 
 01/08  07:00:00,,,39007165.59847695,39007165.59847694 
 01/08  08:00:00,,,34503691.07161483,34503691.07161483 
 01/08  09:00:00,,,29217610.523471367,29217610.523471367 
 01/08  10:00:00,,,122099841.27284414,122099841.27284417 
 01/08  11:00:00,,,281195371.49185526,281195371.4918553 
 01/08  12:00:00,,,361161593.1169185,361161593.11691844 
 01/08  13:00:00,,,361145268.8499005,361145268.8499004 
 01/08  14:00:00,,,362021577.4596881,362021577.4596881 
 01/08  15:00:00,,,361014979.88315815,361014979.8831581 
 01/08  16:00:00,,,362349616.7276655,362349616.7276655 
 01/08  17:00:00,,,367528468.9055565,367528468.90555656 
 01/08  18:00:00,,,270416090.36926687,270416090.36926687 
 01/08  19:00:00,,,121688398.5915989,121688398.5915989 
 01/08  20:00:00,,,120792538.65154149,120792538.65154149 
 01/08  21:00:00,,,120837481.95272328,120837481.95272326 
 01/08  22:00:00,,,123263839.35416412,123263839.35416412 
 01/08  23:00:00,,,116889715.28487708,116889715.28487706 
 01/08  24:00:00,,,78704650.41042304,78704650.41042304 
 01/09  01:00:00,,,28219303.50698632,28219303.506986313 
 01/09  02:00:00,,,29435859.809592817,29435859.809592817 
 01/09  03:00:00,,,27071057.281730145,27071057.281730145 
 01/09  04:00:00,,,26847514.79097323,26847514.79097323 
 01/09  05:00:00,,,31925075.712507974,31925075.712507967 
 01/09  06:00:00,,,26882856.461921945,26882856.461921945 
 01/09  07:00:00,,,37759852.71239758,37759852.712397575 
 01/09  08:00:00,,,41365699.93116981,41365699.9311698 
 01/09  09:00:00,,,82032460.98739219,82032460.98739217 
 01/09  10:00:00,,,243076036.37926847,243076036.3792684 
