Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,23048569.100112952,23048569.100112952 
 01/01  02:00:00,,,22632647.095609408,22632647.095609404 
 01/01  03:00:00,,,23406822.521797553,23406822.521797553 
 01/01  04:00:00,,,22286390.88591686,22286390.88591686 
 01/01  05:00:00,,,22529771.815500893,22529771.815500893 
 01/01  06:00:00,,,22316548.715054363,22316548.715054363 
 01/01  07:00:00,,,34037221.5732625,34037221.5732625 
 01/01  08:00:00,,,42618094.73130816,42618094.73130815 
 01/01  09:00:00,,,25489228.997829124,25489228.997829124 
 01/01  10:00:00,,,77456196.76303189,77456196.76303189 
 01/01  11:00:00,,,170114744.26892617,170114744.26892614 
 01/01  12:00:00,,,218114837.19315594,218114837.19315594 
 01/01  13:00:00,,,217624723.58268815,217624723.58268815 
 01/01  14:00:00,,,220684748.4722773,220684748.47227734 
 01/01  15:00:00,,,216122138.36414558,216122138.36414555 
 01/01  16:00:00,,,219721093.1666524,219721093.16665238 
 01/01  17:00:00,,,229829690.95097074,229829690.9509708 
 01/01  18:00:00,,,179017782.6480589,179017782.6480589 
 01/01  19:00:00,,,83426840.80607092,83426840.80607092 
 01/01  20:00:00,,,80465624.58792505,80465624.58792505 
 01/01  21:00:00,,,82851651.44048838,82851651.44048838 
 01/01  22:00:00,,,82822190.68355113,82822190.68355112 
 01/01  23:00:00,,,76658016.31504184,76658016.31504181 
 01/01  24:00:00,,,59452056.28523113,59452056.28523113 
 01/02  01:00:00,,,25435145.471015513,25435145.47101551 
 01/02  02:00:00,,,22365234.691370774,22365234.691370774 
 01/02  03:00:00,,,22965297.12258718,22965297.12258718 
 01/02  04:00:00,,,22502784.749851394,22502784.749851394 
 01/02  05:00:00,,,25634636.264671557,25634636.26467155 
 01/02  06:00:00,,,22464283.43223869,22464283.43223869 
 01/02  07:00:00,,,37417453.40977579,37417453.40977579 
 01/02  08:00:00,,,39839269.56747812,39839269.56747812 
 01/02  09:00:00,,,54737380.821400836,54737380.82140082 
 01/02  10:00:00,,,147582646.24176502,147582646.24176502 
 01/02  11:00:00,,,213325038.8373272,213325038.8373272 
 01/02  12:00:00,,,213565961.23388857,213565961.23388857 
 01/02  13:00:00,,,219910900.8911058,219910900.89110577 
 01/02  14:00:00,,,214358010.07466877,214358010.07466874 
 01/02  15:00:00,,,219368475.7219791,219368475.7219791 
 01/02  16:00:00,,,215738518.408736,215738518.40873602 
 01/02  17:00:00,,,233161384.02978843,233161384.02978837 
 01/02  18:00:00,,,235299285.18004593,235299285.1800459 
 01/02  19:00:00,,,234033370.88222528,234033370.88222525 
 01/02  20:00:00,,,235333046.23697847,235333046.23697853 
 01/02  21:00:00,,,168815577.1834934,168815577.1834934 
 01/02  22:00:00,,,85522730.37874925,85522730.37874927 
 01/02  23:00:00,,,74734177.30438639,74734177.30438638 
 01/02  24:00:00,,,54178169.62543503,54178169.625435024 
 01/03  01:00:00,,,24280956.093813643,24280956.09381364 
 01/03  02:00:00,,,24016515.16308983,24016515.16308983 
 01/03  03:00:00,,,21657968.505179264,21657968.505179264 
 01/03  04:00:00,,,21576327.657154143,21576327.657154143 
 01/03  05:00:00,,,21877931.661233164,21877931.661233164 
 01/03  06:00:00,,,25559167.708373424,25559167.708373424 
 01/03  07:00:00,,,32791668.278700985,32791668.27870099 
 01/03  08:00:00,,,37085499.35124127,37085499.35124127 
 01/03  09:00:00,,,58969751.612097055,58969751.61209705 
 01/03  10:00:00,,,144464950.08865753,144464950.08865753 
 01/03  11:00:00,,,216959041.59863788,216959041.59863788 
 01/03  12:00:00,,,213559382.22132283,213559382.22132283 
 01/03  13:00:00,,,221691255.6926957,221691255.69269568 
 01/03  14:00:00,,,224267296.11189362,224267296.11189362 
 01/03  15:00:00,,,224279963.03552383,224279963.03552383 
 01/03  16:00:00,,,220198414.76638174,220198414.76638174 
 01/03  17:00:00,,,235309166.2729375,235309166.27293748 
 01/03  18:00:00,,,242026647.49217916,242026647.49217913 
 01/03  19:00:00,,,234404402.2197124,234404402.21971238 
 01/03  20:00:00,,,240838448.79333818,240838448.79333818 
 01/03  21:00:00,,,176054102.6539712,176054102.65397117 
 01/03  22:00:00,,,83253780.96682371,83253780.96682371 
 01/03  23:00:00,,,76041233.9011456,76041233.9011456 
 01/03  24:00:00,,,56181875.98939518,56181875.98939518 
 01/04  01:00:00,,,22870743.05091969,22870743.05091969 
 01/04  02:00:00,,,25886079.726415664,25886079.726415664 
 01/04  03:00:00,,,23193239.165579636,23193239.165579636 
