Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,20843946261.04764,114365.26325813058,8164458830.066751,1263747.1828922324,8772473639.45602,104446.60073949947,8839519797.209108,105929.60022225467,8996342828.838102,111988.26313426942,17017890325.673548,0.0,8967206857.193296,0.0,8997749460.283312,0.0,9479424672.567566,363.2858855681661,14962796507.38326,27858.983324807014,63653895418.20468,476363608747.8781 
February,13991580778.876545,108139564.00927013,5242765842.368029,94267539.67983106,5768773772.580279,74847753.90603893,5836013854.531373,74933550.55575623,5942243282.629741,65139817.75345678,11232351653.3043,118647354.95734152,5919090953.500095,64944131.914256915,5949219912.284954,62668951.72309159,6323963276.97052,45471738.028523505,10763680738.842936,9675462.772337,55904999795.42928,332154689380.1523 
March,9599972265.4192,242988025.54628018,3347653524.9289017,187022971.63740364,3916069599.28601,148714684.39792538,3983347650.9502487,135481186.28550482,4095661189.2147284,120180158.54706314,7654387968.497984,243519537.5571783,4104670167.734699,141775216.60910776,4110840350.249984,119244216.88974395,4426419217.324516,88708366.45796992,8071686067.091774,8086685.998242495,60453922912.49641,260056528913.05194 
April,4312763852.064588,1922668949.501288,1304249764.9279404,910178808.2521857,1623379365.0201595,807161385.1710693,1712179778.1679635,784133140.3743037,1810064907.315662,748676186.3298625,3410563036.5401917,1519067263.8845408,1830625987.5802457,763225600.323917,1856079896.9107056,751897509.5710655,2006017439.248602,662352065.8747339,4174616726.5940957,438378166.7603825,55486218941.91019,128046778407.81622 
May,1008381111.237868,4411844736.250993,171878067.38896182,1996191023.7930906,257023904.56821725,1806175627.9269547,308005517.8138895,1752644226.1431293,333491669.31067675,1690523573.5515459,682099747.4143827,3226055825.7481327,348654003.11184525,1639897590.9361057,361581362.8746662,1599284651.4415977,452057264.7785774,1450279859.7818666,1284722777.668859,1137299633.6058862,56120227259.966255,30268830003.96461 
June,51687812.07974618,6912141059.321488,23115074.26485839,3207139958.8974333,22547815.94981428,2912684264.6737204,23163208.8589658,2850319152.8870606,23821966.19968875,2804264136.9537244,43874939.3717058,5184962622.3072605,23899528.51059051,2666763281.4923716,24353178.31676658,2583974120.7412624,26879467.321847457,2389664701.3968883,55033673.92739831,2220699773.469934,57034617490.591156,536437997.83197576 
July,35290799.19261784,8899708932.188663,12240120.831604978,4491373270.468457,12064814.37942388,3788324567.857859,12839654.694985675,3734455299.098803,14124364.70700332,3665235656.311841,24511694.31596496,6921431623.4240055,13362632.15005587,3586163837.8736906,13862396.433490325,3519214735.3305206,17857017.272554316,3322761260.920686,27221531.541931488,3253200566.8682323,66501568716.33519,395464359.10213023 
August,39034911.206253,9106923135.60685,18099282.140055865,4344206767.242683,17189264.519730594,3831294445.588504,17361608.994610023,3778046301.1233354,18294967.89928309,3731231835.1807275,34133976.94381142,6954961382.725065,18751756.127108876,3598260875.1029778,18928044.13539591,3538213501.5654244,20803259.361387376,3380067551.2755136,23365251.716570158,3376975740.5896473,66144658437.0127,22646568.39584041 
September,211350793.118857,6099698022.077317,33513324.416065935,2638556662.4455605,43684782.504985996,2442352279.496913,52165347.424368605,2361285422.1046467,63778986.08816346,2301068871.014946,109908939.18559597,4311787674.762448,60026664.479535,2216348917.8449726,62105201.78765726,2160887983.979869,90200571.94294493,2012393759.3400764,372016301.9204296,1781099387.7650595,55984790379.05726,16903721792.913025 
October,2496798460.3825617,2814743049.4092617,696463463.7309563,1234778627.948838,994266124.9939563,1078429296.199799,1061964529.9958773,1024241187.2241999,1140876109.774408,974452353.2612433,2178145381.670067,1921858800.079434,1155894818.7640877,980638885.8122201,1191545313.2401824,967264913.1325077,1340214494.676832,873786107.0512457,2740154481.405692,645336950.4724429,58500331094.366776,103679810084.30937 
November,8125575327.192344,345087773.8772075,3081966777.61252,240293496.89211783,3642534709.6044946,194040452.57862002,3713780714.346763,188882147.71169212,3784652940.8427,170690030.9541397,7107313670.066982,334610087.72046643,3777950976.78581,170638126.65095654,3791095281.374877,166237910.18592533,4024946996.0197005,147869652.31124207,6871919929.328163,65785448.14926583,58905659934.42705,224672351785.20578 
December,17198844292.248657,2746759.8608391574,6710871630.368864,2420677.0691496218,7237346675.119437,1320882.0995874691,7326374309.611599,24009.03195369283,7473942849.520935,26837.185176150015,14102616006.732779,232162.10183226975,7454886396.543124,2871196.052651891,7481782432.470566,2670535.002636496,7971593805.354071,0.0,12771644626.418135,23316.99239288073,62935673896.48726,400565095305.09235 
