Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.164510E+04,7.159586E+03,5.709513E-01,6.263929E-01,4.326502E+03,3.704630E+03,2.121324E-01,3.241118E-01,4.230558E+03,3.662439E+03,2.074282E-01,3.204206E-01,4.224832E+03,3.661655E+03,2.071474E-01,3.203521E-01,4.293937E+03,3.653615E+03,2.105357E-01,3.196486E-01,8.442283E+03,7.214256E+03,4.139323E-01,6.311649E-01,4.246487E+03,3.697054E+03,2.082092E-01,3.234491E-01,4.235066E+03,3.661663E+03,2.076492E-01,3.203528E-01,4.411909E+03,3.611313E+03,2.163200E-01,3.159476E-01,7.379805E+03,3.359677E+03,3.618168E-01,2.939425E-01
00:20:00,1.164399E+04,7.100461E+03,5.708972E-01,6.212201E-01,4.325893E+03,3.684864E+03,2.121027E-01,3.223825E-01,4.229942E+03,3.643424E+03,2.073980E-01,3.187571E-01,4.224212E+03,3.642677E+03,2.071171E-01,3.186917E-01,4.293301E+03,3.634532E+03,2.105046E-01,3.179790E-01,8.440919E+03,7.176537E+03,4.138656E-01,6.278650E-01,4.245852E+03,3.677968E+03,2.081781E-01,3.217793E-01,4.234453E+03,3.642646E+03,2.076192E-01,3.186890E-01,4.411332E+03,3.591669E+03,2.162918E-01,3.142291E-01,7.379378E+03,3.328698E+03,3.617959E-01,2.912322E-01
00:30:00,1.164290E+04,7.043461E+03,5.708437E-01,6.162333E-01,4.325294E+03,3.665605E+03,2.120734E-01,3.206976E-01,4.229335E+03,3.624883E+03,2.073683E-01,3.171350E-01,4.223601E+03,3.624172E+03,2.070872E-01,3.170727E-01,4.292675E+03,3.615924E+03,2.104740E-01,3.163511E-01,8.439573E+03,7.139787E+03,4.137998E-01,6.246498E-01,4.245226E+03,3.659359E+03,2.081475E-01,3.201512E-01,4.233848E+03,3.624102E+03,2.075896E-01,3.170666E-01,4.410764E+03,3.572511E+03,2.162640E-01,3.125530E-01,7.378956E+03,3.298536E+03,3.617753E-01,2.885932E-01
00:40:00,1.164182E+04,6.988388E+03,5.707909E-01,6.114151E-01,4.324704E+03,3.646813E+03,2.120445E-01,3.190535E-01,4.228736E+03,3.606777E+03,2.073391E-01,3.155509E-01,4.222999E+03,3.606100E+03,2.070578E-01,3.154917E-01,4.292058E+03,3.597754E+03,2.104438E-01,3.147615E-01,8.438244E+03,7.103915E+03,4.137347E-01,6.215114E-01,4.244609E+03,3.641187E+03,2.081173E-01,3.185613E-01,4.233253E+03,3.605992E+03,2.075605E-01,3.154822E-01,4.410204E+03,3.553800E+03,2.162366E-01,3.109159E-01,7.378541E+03,3.269121E+03,3.617549E-01,2.860197E-01
00:50:00,1.164076E+04,6.935094E+03,5.707388E-01,6.067524E-01,4.324121E+03,3.628452E+03,2.120160E-01,3.174471E-01,4.228146E+03,3.589071E+03,2.073102E-01,3.140018E-01,4.222405E+03,3.588427E+03,2.070287E-01,3.139455E-01,4.291449E+03,3.579988E+03,2.104140E-01,3.132072E-01,8.436932E+03,7.068862E+03,4.136705E-01,6.184447E-01,4.244000E+03,3.623419E+03,2.080875E-01,3.170068E-01,4.232665E+03,3.588282E+03,2.075318E-01,3.139328E-01,4.409652E+03,3.535499E+03,2.162097E-01,3.093148E-01,7.378130E+03,3.240427E+03,3.617348E-01,2.835092E-01
01:00:00,1.163971E+04,6.883448E+03,5.706872E-01,6.022340E-01,4.323546E+03,3.610488E+03,2.119878E-01,3.158756E-01,4.227564E+03,3.571741E+03,2.072817E-01,3.124857E-01,4.221819E+03,3.571130E+03,2.070000E-01,3.124322E-01,4.290847E+03,3.562596E+03,2.103845E-01,3.116856E-01,8.435636E+03,7.034580E+03,4.136071E-01,6.154454E-01,4.243399E+03,3.606025E+03,2.080581E-01,3.154851E-01,4.232085E+03,3.570947E+03,2.075034E-01,3.124162E-01,4.409108E+03,3.517585E+03,2.161830E-01,3.077476E-01,7.377725E+03,3.212431E+03,3.617149E-01,2.810598E-01
01:10:00,1.163972E+04,6.833761E+03,5.706877E-01,5.978869E-01,4.323539E+03,3.593092E+03,2.119875E-01,3.143536E-01,4.227555E+03,3.554955E+03,2.072813E-01,3.110171E-01,4.221811E+03,3.554376E+03,2.069997E-01,3.109664E-01,4.290841E+03,3.545750E+03,2.103843E-01,3.102117E-01,8.435642E+03,7.001391E+03,4.136074E-01,6.125418E-01,4.243392E+03,3.589176E+03,2.080578E-01,3.140110E-01,4.232077E+03,3.554155E+03,2.075030E-01,3.109471E-01,4.409098E+03,3.500223E+03,2.161826E-01,3.062286E-01,7.377718E+03,3.185339E+03,3.617146E-01,2.786895E-01
01:20:00,1.163973E+04,6.785632E+03,5.706883E-01,5.936761E-01,4.323533E+03,3.576123E+03,2.119873E-01,3.128690E-01,4.227549E+03,3.538578E+03,2.072811E-01,3.095843E-01,4.221805E+03,3.538030E+03,2.069994E-01,3.095364E-01,4.290837E+03,3.529312E+03,2.103841E-01,3.087736E-01,8.435651E+03,6.968971E+03,4.136080E-01,6.097055E-01,4.243388E+03,3.572736E+03,2.080576E-01,3.125727E-01,4.232071E+03,3.537772E+03,2.075027E-01,3.095138E-01,4.409091E+03,3.483278E+03,2.161823E-01,3.047461E-01,7.377713E+03,3.159007E+03,3.617144E-01,2.763856E-01
01:30:00,1.163974E+04,6.739021E+03,5.706891E-01,5.895982E-01,4.323530E+03,3.559586E+03,2.119871E-01,3.114223E-01,4.227546E+03,3.522617E+03,2.072809E-01,3.081880E-01,4.221802E+03,3.522099E+03,2.069993E-01,3.081426E-01,4.290835E+03,3.513289E+03,2.103841E-01,3.073718E-01,8.435665E+03,6.937321E+03,4.136087E-01,6.069365E-01,4.243386E+03,3.556710E+03,2.080576E-01,3.111707E-01,4.232067E+03,3.521804E+03,2.075026E-01,3.081168E-01,4.409086E+03,3.466756E+03,2.161821E-01,3.033007E-01,7.377708E+03,3.133437E+03,3.617142E-01,2.741485E-01
01:40:00,1.163976E+04,6.693929E+03,5.706899E-01,5.856532E-01,4.323529E+03,3.543489E+03,2.119871E-01,3.100140E-01,4.227544E+03,3.507080E+03,2.072809E-01,3.068287E-01,4.221800E+03,3.506592E+03,2.069992E-01,3.067859E-01,4.290835E+03,3.497688E+03,2.103841E-01,3.060069E-01,8.435682E+03,6.906479E+03,4.136096E-01,6.042381E-01,4.243385E+03,3.541108E+03,2.080576E-01,3.098057E-01,4.232065E+03,3.506259E+03,2.075025E-01,3.067568E-01,4.409083E+03,3.450666E+03,2.161819E-01,3.018930E-01,7.377705E+03,3.108632E+03,3.617140E-01,2.719783E-01
