Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16300292968.502476,121678411.88759549,6106769892.520786,101111353.29770023,6980172893.219732,56749141.06113729,7070532230.017382,47195266.41034887,7212141999.128112,44264820.362436935,13638754778.370533,86275247.68429932,7257256903.578582,46942995.082871474,7297522082.698707,47813448.63185185,7782169461.726515,24947502.789969746,13169457752.098671,0.0,85301478041.65933,361930273824.75446 
February,10617008554.02504,747392163.894877,3695656406.242286,418003299.90469754,4390640013.942618,325579623.5666746,4509869990.843913,323367421.60456717,4620649879.459861,301723290.10142356,8784864627.218801,587823529.0937737,4670638160.297338,299868210.45237863,4698358550.602489,293913151.42373186,5050663061.693018,236852144.71393946,9195822875.934101,61503562.183404334,75457322788.20485,255533483377.20627 
March,6603186777.548603,1540539731.555651,1951032971.294057,735788522.696778,2517507829.565803,609822875.7198373,2688855111.1008525,590949348.5979655,2752920983.245507,551419315.8973271,5240873222.581777,1065290090.8270242,2798665459.664721,545383766.4764649,2857324544.1895385,525977945.31037223,3192582193.871322,441801660.60990876,6525465080.209198,117963644.38189082,82288586776.62929,201417741938.22928 
April,2720453860.4444323,4401629645.201814,631180547.0287013,1968722167.2093773,897512332.4206159,1772650760.1973882,1009299113.6251657,1705478059.3496904,1067274385.1276213,1647090775.1032946,2093134150.1940944,3233509122.000131,1121348645.0800462,1603169490.6238182,1136135984.8884115,1572374058.7119896,1326365268.2330296,1440486719.7443538,3208824501.392165,981014939.7432456,76058065843.80838,91237570082.49297 
May,523957616.59696466,7523604033.866732,50980730.60247428,3534120302.399901,93787797.21834083,3087598510.1212406,121380456.02120616,2981410681.7936177,144763630.7898461,2905709387.147064,306056555.2425758,5448747935.613732,160263774.9108731,2740499583.71521,167685148.3244686,2679725104.6548367,240565034.3337825,2497221799.6780767,861091071.5909055,1998086449.686905,78165644830.87009,14867733555.877975 
June,47690122.269589186,10120503965.852373,17997647.23717932,5209823539.929015,17678057.25157771,4317253722.291337,18705377.45338586,4236457169.160712,20128681.72155639,4180405771.19225,40704439.070965655,7819543733.075638,22367856.77567877,3986396344.7105308,23184692.572009753,3898970135.505668,26521382.97981991,3655784454.1514673,32720027.394490253,3281558492.856565,80820435130.31029,14048539.675588816 
July,24472144.129874542,12681723279.920776,9057735.243168961,6625434512.506538,6581361.934203171,5355900249.523534,6987723.660459953,5276907771.148005,7979205.552368725,5206634518.705147,16709012.436047882,9840009382.199057,9293934.494059162,5050311262.697434,9410922.84960307,4981493226.14335,12429876.038916802,4791643011.767247,23347641.245443065,4579291850.016901,91762809087.31491,16129639.941679992 
August,36838951.017541245,12512868433.964369,14028901.097644757,6392542638.26052,11421512.24797486,5305606436.037861,12188641.062051956,5230160868.956098,14712689.204897154,5165593076.11591,28093323.270505678,9711299669.42817,15670827.929791952,4984336804.295345,16577960.653618598,4918384609.580367,19488040.729764722,4754723191.361939,25288467.267547254,4563522947.214399,91282350148.99158,0.0 
September,69328892.40924157,9426201519.169197,31538663.190651696,4220219454.817502,32444329.0300375,3780769076.8758636,32145843.40012487,3670361055.018392,32819545.603726946,3607301410.70414,60395228.8109213,6690398448.06938,32529243.990398858,3381421836.279437,32610805.406587526,3321750819.539345,36364375.01526094,3147238719.366491,148041626.662168,2762588607.7203565,77572901021.89119,4508613224.202375 
October,1234997252.1204426,5835401146.197046,196512388.7766487,2604063026.466906,412122504.39635515,2269745311.474394,518757773.7219915,2172657403.9773364,567839120.841446,2099668414.299857,1096277515.2435033,3994380340.374008,589099671.0644088,2010786132.3261373,619401477.2405052,1972094771.4614136,722041553.7788837,1825916645.013566,1925483595.4091928,1363843219.4216878,79739692322.53291,69236942188.12503 
