Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.151111E+04,9.906609E+03,5.643817E-01,8.745546E-01,4.257394E+03,5.122248E+03,2.087440E-01,4.521812E-01,4.161496E+03,5.068587E+03,2.040420E-01,4.474442E-01,4.155732E+03,5.067916E+03,2.037593E-01,4.473850E-01,4.224621E+03,5.072304E+03,2.071371E-01,4.477723E-01,8.306786E+03,9.986802E+03,4.072888E-01,8.816172E-01,4.177180E+03,5.115848E+03,2.048110E-01,4.516163E-01,4.166046E+03,5.067701E+03,2.042651E-01,4.473660E-01,4.343347E+03,5.014254E+03,2.129584E-01,4.426478E-01,7.312277E+03,4.725284E+03,3.585061E-01,4.171536E-01
00:20:00,1.150999E+04,9.845810E+03,5.643272E-01,8.691873E-01,4.256781E+03,5.102067E+03,2.087140E-01,4.503998E-01,4.160874E+03,5.049151E+03,2.040116E-01,4.457285E-01,4.155107E+03,5.048516E+03,2.037288E-01,4.456724E-01,4.223980E+03,5.052801E+03,2.071057E-01,4.460507E-01,8.305411E+03,9.948158E+03,4.072215E-01,8.782057E-01,4.176540E+03,5.096343E+03,2.047797E-01,4.498945E-01,4.165427E+03,5.048264E+03,2.042348E-01,4.456502E-01,4.342766E+03,4.994196E+03,2.129299E-01,4.408771E-01,7.311847E+03,4.693451E+03,3.584851E-01,4.143434E-01
00:30:00,1.150890E+04,9.787113E+03,5.642735E-01,8.640057E-01,4.256177E+03,5.082399E+03,2.086845E-01,4.486635E-01,4.160262E+03,5.030197E+03,2.039816E-01,4.440553E-01,4.154491E+03,5.029597E+03,2.036986E-01,4.440023E-01,4.223349E+03,5.033781E+03,2.070748E-01,4.443716E-01,8.304054E+03,9.910435E+03,4.071551E-01,8.748757E-01,4.175909E+03,5.077320E+03,2.047488E-01,4.482152E-01,4.164818E+03,5.029308E+03,2.042050E-01,4.439768E-01,4.342193E+03,4.974632E+03,2.129019E-01,4.391501E-01,7.311424E+03,4.662457E+03,3.584643E-01,4.116073E-01
00:40:00,1.150781E+04,9.730375E+03,5.642204E-01,8.589970E-01,4.255582E+03,5.063217E+03,2.086553E-01,4.469702E-01,4.159659E+03,5.011702E+03,2.039521E-01,4.424226E-01,4.153884E+03,5.011134E+03,2.036689E-01,4.423725E-01,4.222726E+03,5.015218E+03,2.070444E-01,4.427329E-01,8.302714E+03,9.873590E+03,4.070895E-01,8.716231E-01,4.175286E+03,5.058756E+03,2.047183E-01,4.465764E-01,4.164217E+03,5.010809E+03,2.041756E-01,4.423438E-01,4.341630E+03,4.955537E+03,2.128744E-01,4.374645E-01,7.311006E+03,4.632265E+03,3.584438E-01,4.089419E-01
00:50:00,1.150674E+04,9.675362E+03,5.641679E-01,8.541406E-01,4.254995E+03,5.044462E+03,2.086266E-01,4.453146E-01,4.159064E+03,4.993608E+03,2.039230E-01,4.408253E-01,4.153285E+03,4.993073E+03,2.036396E-01,4.407781E-01,4.222112E+03,4.997057E+03,2.070143E-01,4.411297E-01,8.301391E+03,9.837514E+03,4.070248E-01,8.684385E-01,4.174672E+03,5.040593E+03,2.046883E-01,4.449730E-01,4.163625E+03,4.992711E+03,2.041466E-01,4.407462E-01,4.341074E+03,4.936854E+03,2.128472E-01,4.358152E-01,7.310593E+03,4.602788E+03,3.584236E-01,4.063397E-01
01:00:00,1.150568E+04,9.622001E+03,5.641160E-01,8.494299E-01,4.254415E+03,5.026123E+03,2.085983E-01,4.436957E-01,4.158476E+03,4.975908E+03,2.038942E-01,4.392629E-01,4.152694E+03,4.975405E+03,2.036107E-01,4.392184E-01,4.221505E+03,4.979290E+03,2.069846E-01,4.395613E-01,8.300084E+03,9.802200E+03,4.069608E-01,8.653210E-01,4.174066E+03,5.022824E+03,2.046586E-01,4.434045E-01,4.163040E+03,4.975007E+03,2.041180E-01,4.391834E-01,4.340525E+03,4.918574E+03,2.128203E-01,4.342014E-01,7.310186E+03,4.574013E+03,3.584037E-01,4.037993E-01
01:10:00,1.150569E+04,9.570607E+03,5.641165E-01,8.448930E-01,4.254408E+03,5.008345E+03,2.085979E-01,4.421263E-01,4.158468E+03,4.958745E+03,2.038939E-01,4.377478E-01,4.152685E+03,4.958273E+03,2.036103E-01,4.377061E-01,4.221499E+03,4.962062E+03,2.069843E-01,4.380406E-01,8.300089E+03,9.767963E+03,4.069611E-01,8.622987E-01,4.174059E+03,5.005594E+03,2.046583E-01,4.418835E-01,4.163032E+03,4.957839E+03,2.041176E-01,4.376678E-01,4.340516E+03,4.900837E+03,2.128199E-01,4.326357E-01,7.310179E+03,4.546134E+03,3.584033E-01,4.013382E-01
01:20:00,1.150570E+04,9.520948E+03,5.641172E-01,8.405091E-01,4.254402E+03,4.991042E+03,2.085977E-01,4.405989E-01,4.158462E+03,4.942038E+03,2.038936E-01,4.362730E-01,4.152680E+03,4.941596E+03,2.036101E-01,4.362339E-01,4.221495E+03,4.945291E+03,2.069842E-01,4.365600E-01,8.300099E+03,9.734618E+03,4.069617E-01,8.593552E-01,4.174055E+03,4.988821E+03,2.046582E-01,4.404028E-01,4.163026E+03,4.941127E+03,2.041174E-01,4.361925E-01,4.340509E+03,4.883564E+03,2.128196E-01,4.311109E-01,7.310174E+03,4.519076E+03,3.584031E-01,3.989496E-01
01:30:00,1.150572E+04,9.472961E+03,5.641179E-01,8.362730E-01,4.254399E+03,4.974213E+03,2.085976E-01,4.391132E-01,4.158458E+03,4.925784E+03,2.038935E-01,4.348381E-01,4.152676E+03,4.925371E+03,2.036100E-01,4.348017E-01,4.221493E+03,4.928972E+03,2.069841E-01,4.351195E-01,8.300113E+03,9.702161E+03,4.069625E-01,8.564899E-01,4.174053E+03,4.972500E+03,2.046581E-01,4.389621E-01,4.163022E+03,4.924867E+03,2.041172E-01,4.347571E-01,4.340504E+03,4.866754E+03,2.128194E-01,4.296270E-01,7.310170E+03,4.492828E+03,3.584029E-01,3.966324E-01
01:40:00,1.150573E+04,9.426596E+03,5.641187E-01,8.321800E-01,4.254398E+03,4.957852E+03,2.085976E-01,4.376689E-01,4.158457E+03,4.909981E+03,2.038934E-01,4.334431E-01,4.152675E+03,4.909597E+03,2.036099E-01,4.334092E-01,4.221493E+03,4.913105E+03,2.069842E-01,4.337188E-01,8.300130E+03,9.670587E+03,4.069634E-01,8.537027E-01,4.174053E+03,4.956631E+03,2.046581E-01,4.375612E-01,4.163020E+03,4.909057E+03,2.041172E-01,4.333615E-01,4.340501E+03,4.850402E+03,2.128193E-01,4.281835E-01,7.310166E+03,4.467380E+03,3.584027E-01,3.943858E-01
