Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,20162490.818460394,20162490.81846039 
 01/01  02:00:00,,,20410831.391299088,20410831.391299084 
 01/01  03:00:00,,,20733515.737285867,20733515.737285867 
 01/01  04:00:00,,,19941862.093429822,19941862.09342982 
 01/01  05:00:00,,,20314253.852385063,20314253.852385063 
 01/01  06:00:00,,,20073134.759778522,20073134.759778522 
 01/01  07:00:00,,,31178602.997586265,31178602.997586265 
 01/01  08:00:00,,,39721749.79263985,39721749.79263985 
 01/01  09:00:00,,,22330307.66871531,22330307.668715313 
 01/01  10:00:00,,,62450892.35922624,62450892.35922624 
 01/01  11:00:00,,,134145979.43480688,134145979.43480688 
 01/01  12:00:00,,,172720003.73746145,172720003.73746145 
 01/01  13:00:00,,,171901557.85058087,171901557.85058084 
 01/01  14:00:00,,,175084334.74423113,175084334.7442311 
 01/01  15:00:00,,,170670491.62569553,170670491.6256955 
 01/01  16:00:00,,,174298917.09272903,174298917.09272897 
 01/01  17:00:00,,,184437186.36494142,184437186.36494142 
 01/01  18:00:00,,,148007957.52509004,148007957.52509004 
 01/01  19:00:00,,,70234224.90504651,70234224.9050465 
 01/01  20:00:00,,,67589076.0316882,67589076.03168818 
 01/01  21:00:00,,,69621249.0394988,69621249.0394988 
 01/01  22:00:00,,,69666070.42284568,69666070.42284568 
 01/01  23:00:00,,,63570897.418132596,63570897.4181326 
 01/01  24:00:00,,,51179300.178592086,51179300.17859207 
 01/02  01:00:00,,,22556596.178149525,22556596.17814953 
 01/02  02:00:00,,,20124325.32006006,20124325.320060056 
 01/02  03:00:00,,,20830362.594865553,20830362.594865553 
 01/02  04:00:00,,,20278496.140860632,20278496.140860632 
 01/02  05:00:00,,,23519425.938913118,23519425.938913114 
 01/02  06:00:00,,,20227419.190077085,20227419.190077085 
 01/02  07:00:00,,,35268192.00923033,35268192.00923032 
 01/02  08:00:00,,,36736802.35752872,36736802.35752872 
 01/02  09:00:00,,,45539608.41951651,45539608.41951651 
 01/02  10:00:00,,,116913792.4741936,116913792.4741936 
 01/02  11:00:00,,,168323340.35342062,168323340.3534206 
 01/02  12:00:00,,,168594942.1857686,168594942.1857686 
 01/02  13:00:00,,,174879930.2688314,174879930.2688314 
 01/02  14:00:00,,,169339330.74831513,169339330.7483151 
 01/02  15:00:00,,,174393146.70241976,174393146.70241976 
 01/02  16:00:00,,,170744530.3963113,170744530.3963113 
 01/02  17:00:00,,,188146873.78337422,188146873.78337425 
 01/02  18:00:00,,,190167980.96701038,190167980.96701032 
 01/02  19:00:00,,,189029348.8834205,189029348.8834205 
 01/02  20:00:00,,,190358288.26064157,190358288.26064157 
 01/02  21:00:00,,,138584427.63235745,138584427.63235742 
 01/02  22:00:00,,,72816848.1408773,72816848.14087729 
 01/02  23:00:00,,,61953624.59980123,61953624.59980121 
 01/02  24:00:00,,,46628011.89337757,46628011.893377565 
 01/03  01:00:00,,,22200591.48929544,22200591.489295438 
 01/03  02:00:00,,,21694288.309452556,21694288.309452556 
 01/03  03:00:00,,,19268632.721723974,19268632.721723974 
 01/03  04:00:00,,,19551740.751061805,19551740.751061797 
 01/03  05:00:00,,,19491915.658405505,19491915.658405513 
 01/03  06:00:00,,,23590943.85357701,23590943.853577007 
 01/03  07:00:00,,,30409309.074867144,30409309.07486714 
 01/03  08:00:00,,,34588760.74454926,34588760.74454926 
 01/03  09:00:00,,,49839431.91600635,49839431.91600635 
 01/03  10:00:00,,,113921809.4349193,113921809.43491931 
 01/03  11:00:00,,,171835437.33442903,171835437.33442903 
 01/03  12:00:00,,,168323307.58686808,168323307.58686808 
 01/03  13:00:00,,,175973061.49894527,175973061.49894524 
 01/03  14:00:00,,,178493181.17946362,178493181.1794636 
 01/03  15:00:00,,,178533247.06299672,178533247.06299672 
 01/03  16:00:00,,,174022498.5244318,174022498.5244318 
 01/03  17:00:00,,,189982442.6632614,189982442.6632614 
 01/03  18:00:00,,,196178378.21285057,196178378.2128506 
 01/03  19:00:00,,,188977464.07619014,188977464.07619014 
 01/03  20:00:00,,,195435352.0146952,195435352.0146952 
 01/03  21:00:00,,,145331091.90742463,145331091.90742463 
 01/03  22:00:00,,,70508372.52092096,70508372.52092095 
 01/03  23:00:00,,,63216758.44833524,63216758.44833523 
 01/03  24:00:00,,,48276021.51765623,48276021.51765623 
 01/04  01:00:00,,,20756856.03165542,20756856.03165542 
 01/04  02:00:00,,,23838914.98411011,23838914.98411011 
 01/04  03:00:00,,,21110340.390607197,21110340.390607193 
 01/04  04:00:00,,,27827836.992774956,27827836.992774952 
 01/04  05:00:00,,,21266794.830559723,21266794.830559723 
 01/04  06:00:00,,,21895616.35739737,21895616.357397366 
 01/04  07:00:00,,,31984546.54184708,31984546.54184708 
 01/04  08:00:00,,,36058501.16146039,36058501.16146039 
 01/04  09:00:00,,,49594422.751439445,49594422.751439445 
 01/04  10:00:00,,,124719441.54678929,124719441.54678926 
 01/04  11:00:00,,,169337806.84391975,169337806.8439197 
 01/04  12:00:00,,,177724839.28689116,177724839.28689116 
 01/04  13:00:00,,,175483308.26505053,175483308.26505053 
 01/04  14:00:00,,,178938784.54467502,178938784.54467502 
 01/04  15:00:00,,,181436633.9682075,181436633.96820745 
 01/04  16:00:00,,,181320964.22145438,181320964.22145435 
 01/04  17:00:00,,,188460667.23873153,188460667.23873153 
 01/04  18:00:00,,,199203571.96352488,199203571.96352488 
 01/04  19:00:00,,,197769196.92675933,197769196.92675933 
 01/04  20:00:00,,,192478868.80244055,192478868.80244052 
 01/04  21:00:00,,,146889204.70093244,146889204.70093244 
 01/04  22:00:00,,,71569138.20153499,71569138.20153497 
 01/04  23:00:00,,,64372556.341477364,64372556.341477335 
 01/04  24:00:00,,,51822320.376125924,51822320.3761259 
 01/05  01:00:00,,,21018619.74965968,21018619.74965968 
 01/05  02:00:00,,,25391604.399668217,25391604.399668217 
