Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,25115943.867994275,25115943.867994275 
 01/01  02:00:00,,,24777950.92854457,24777950.928544566 
 01/01  03:00:00,,,25089238.152039833,25089238.152039833 
 01/01  04:00:00,,,24766824.72577098,24766824.72577098 
 01/01  05:00:00,,,25458095.47105239,25458095.47105239 
 01/01  06:00:00,,,24994888.23140845,24994888.231408447 
 01/01  07:00:00,,,36415979.85786056,36415979.85786055 
 01/01  08:00:00,,,44758141.219784856,44758141.21978484 
 01/01  09:00:00,,,28196869.703853764,28196869.703853764 
 01/01  10:00:00,,,76396093.64028148,76396093.64028148 
 01/01  11:00:00,,,166041173.32395223,166041173.32395226 
 01/01  12:00:00,,,214485815.0207925,214485815.02079248 
 01/01  13:00:00,,,216431671.5051641,216431671.5051641 
 01/01  14:00:00,,,219615271.6515823,219615271.6515823 
 01/01  15:00:00,,,215246118.3962985,215246118.3962985 
 01/01  16:00:00,,,218903850.07956165,218903850.07956165 
 01/01  17:00:00,,,229127717.5911305,229127717.5911305 
 01/01  18:00:00,,,177607323.63668647,177607323.63668647 
 01/01  19:00:00,,,84618337.58697401,84618337.586974 
 01/01  20:00:00,,,82112100.18611258,82112100.18611258 
 01/01  21:00:00,,,81312303.57402503,81312303.57402502 
 01/01  22:00:00,,,86106525.13544047,86106525.13544044 
 01/01  23:00:00,,,77427654.84563437,77427654.84563437 
 01/01  24:00:00,,,60054524.09978296,60054524.099782944 
 01/02  01:00:00,,,24631851.164219197,24631851.164219197 
 01/02  02:00:00,,,26468059.303911593,26468059.303911597 
 01/02  03:00:00,,,24519419.410402272,24519419.410402264 
 01/02  04:00:00,,,24202790.421851557,24202790.421851557 
 01/02  05:00:00,,,25441650.997094207,25441650.997094207 
 01/02  06:00:00,,,26646877.20649434,26646877.20649434 
 01/02  07:00:00,,,35194132.911045834,35194132.91104583 
 01/02  08:00:00,,,42746870.18609747,42746870.186097465 
 01/02  09:00:00,,,58079926.35009767,58079926.35009766 
 01/02  10:00:00,,,144503364.80334324,144503364.80334324 
 01/02  11:00:00,,,207289968.75088444,207289968.75088444 
 01/02  12:00:00,,,215186889.3955109,215186889.39551088 
 01/02  13:00:00,,,214700741.07168585,214700741.07168585 
 01/02  14:00:00,,,219368609.61515754,219368609.61515749 
 01/02  15:00:00,,,215559422.30131155,215559422.30131155 
 01/02  16:00:00,,,219580812.6989825,219580812.69898248 
 01/02  17:00:00,,,228119150.69181347,228119150.6918134 
 01/02  18:00:00,,,236438518.80207193,236438518.80207193 
 01/02  19:00:00,,,235529315.02442792,235529315.02442792 
 01/02  20:00:00,,,230917822.08903107,230917822.08903107 
 01/02  21:00:00,,,168085500.76099664,168085500.76099664 
 01/02  22:00:00,,,82807337.48198017,82807337.48198016 
 01/02  23:00:00,,,79688160.79643948,79688160.7964395 
 01/02  24:00:00,,,55299587.390646845,55299587.39064685 
