Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16384303617.508335,165541415.25885406,6112062544.491014,119898161.53284878,6975071704.354504,70477248.7476508,7099350298.045201,69059623.60539259,7282989749.578273,54977750.34902389,13873934950.326725,112243020.04483554,7370934297.004925,57813674.5757963,7432141237.954782,50932194.18800192,7918050495.292505,34324493.85162764,13342722713.719591,0.0,89848687696.62004,194465523960.49857 
February,10727356929.875675,769293653.0549731,3734082773.4380035,418735658.17074996,4454793921.353972,338916187.8620269,4573061468.354267,333593783.6706626,4697656280.060667,307118708.69949114,8989173210.318733,588053296.7371503,4784815197.351772,288457153.20948744,4823340427.004657,283215460.02112436,5192556181.851215,234250243.41575497,9437083948.224672,56944628.362464875,79641092710.57199,130674312463.07738 
March,6909057547.973473,1642392821.9586535,2034168690.010377,739894770.1008136,2609990535.3569517,627012637.7001125,2816936644.396562,613929065.6819756,2923707655.679923,580628064.5248648,5634951687.964755,1085177575.9146338,3011896037.506598,543859474.3774583,3067047224.1864944,530425606.16546065,3409127100.729447,450539259.4699924,6905625974.989875,108436087.57671222,87036980904.97156,92117888131.38649 
April,2576327860.032106,3554736775.290862,578236835.4194274,1666868666.4253945,854174576.7964802,1388767996.5829175,980729884.4075578,1342571698.1111298,1067392502.7938842,1291457884.4050064,2124670147.6608787,2469892260.41317,1129423558.9145129,1196977760.9114492,1159222801.201724,1163965568.856628,1307699622.390533,1046769469.6544774,3267680880.6377654,641007956.5585301,80825453911.16664,32555533120.970013 
May,207698597.91140392,6334418886.866497,32384206.95518932,3587631412.1932535,35985961.92945511,2679238687.3161173,45931464.509431966,2607728640.3630843,60617277.8560514,2524349962.7895064,134109229.72646898,4688120578.799138,72916184.66654526,2334152184.4617186,78579214.50808008,2247935176.391876,113028407.26621811,1994213133.5974255,724328600.3814118,1512320203.5624037,84516835884.02925,1782883029.0224826 
June,36836948.7367149,10079399379.399385,10019823.171132645,5628575098.594522,9572471.414187675,4408368723.791565,11078609.730764156,4338528397.156262,13233047.553285906,4249459269.5596604,28931436.250294354,7983209393.749486,16537951.817690222,4079954650.286796,17987259.3678783,3982314028.443741,23174047.92985075,3689006735.3658266,31153588.4815919,3116569758.4094367,88060365748.18509,0.0 
July,19923484.00264379,13099687289.966387,9665567.81656648,6996101818.461645,5978432.010008445,5539976447.133347,6167545.858745851,5453874422.040389,6751891.370642188,5370244318.315444,17609118.06473903,10102450077.586895,9140371.482393185,5193515538.894945,9157074.662767317,5121703955.3873,11459254.420788817,4910458672.410199,22210930.65966824,4645722147.159373,98505385801.28381,0.0 
August,30681217.823218554,12688319726.218397,9748521.389386345,6760990523.047714,8847926.107397614,5471979384.645832,9233739.751709959,5390336719.170217,10219474.939500446,5295237219.773139,21900904.38021377,9981579445.161285,11776843.307946684,5121821439.828883,12532757.190395294,5060747915.347556,17632786.326728795,4870676524.12172,24304711.690814193,4538692115.521302,98065434867.68352,0.0 
September,57686301.92757312,7863828718.510367,27122365.059216093,4361998818.839988,26268447.519018065,3187148439.058011,26642771.331861597,3113704757.490433,27038333.99924812,3035922257.3091307,55138905.28521417,5638254976.6218605,30101339.529961765,2840922465.462972,30283991.50695408,2746350793.606767,31114572.939424388,2486888154.8875155,45031703.39147753,2058338364.456138,84363733983.18935,25944450.53640238 
October,955400065.5314585,4815800784.666989,128975083.39441203,2223661846.1019177,282459183.50298625,1785139218.515949,370771900.70746,1722659716.9647753,432109467.71172523,1665475488.7560441,900259343.1580795,3087928469.748704,485968113.81167054,1511542677.3344154,503777316.8185387,1471570347.1096523,640057692.0628165,1357495809.4992645,1876770500.040113,985962101.8925442,84840332945.49365,16548449955.069407 
November,5591353906.359505,1791890185.2623456,1771535820.9908533,754519747.9587665,2471491883.2544384,658425779.2594105,2643836592.94337,637902570.4690285,2744608850.5359387,601308576.1137865,5225370485.063152,1096207946.5755527,2821484207.106211,548537127.3402538,2831660595.9095783,537279524.9095668,3066283074.5484567,472604542.7095987,5762412405.081391,208128557.70415914,84267076200.32787,79117549576.12532 
December,13041105775.444393,338811055.9743015,4798878776.158123,194242047.81923887,5650168630.504201,119159566.36612388,5758583903.66941,114859712.32658325,5895754908.048274,96799778.86878327,11302547228.442886,178411231.76593837,6011104493.9088955,94367951.01667616,6050398749.57049,89553300.6579526,6454093318.336706,58167347.83316228,11268810446.893763,991913.0801650246,89103095974.32784,162174071124.42886 
