Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_3:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_3:3:DesPer 1:Des Heat Cap [W],PSZ-AC_3:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_3:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_3:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_3:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_3:3:DesPer 2:Des Heat Cap [W],PSZ-AC_3:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_3:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_3:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_4:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_4:4:DesPer 1:Des Heat Cap [W],PSZ-AC_4:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_4:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_4:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_4:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_4:4:DesPer 2:Des Heat Cap [W],PSZ-AC_4:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_4:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_4:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_5:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_5:5:DesPer 1:Des Heat Cap [W],PSZ-AC_5:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_5:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_5:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_5:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_5:5:DesPer 2:Des Heat Cap [W],PSZ-AC_5:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_5:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_5:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_6:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_6:6:DesPer 1:Des Heat Cap [W],PSZ-AC_6:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_6:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_6:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_6:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_6:6:DesPer 2:Des Heat Cap [W],PSZ-AC_6:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_6:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_6:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_7:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_7:7:DesPer 1:Des Heat Cap [W],PSZ-AC_7:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_7:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_7:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_7:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_7:7:DesPer 2:Des Heat Cap [W],PSZ-AC_7:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_7:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_7:7:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_8:8:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_8:8:DesPer 1:Des Heat Cap [W],PSZ-AC_8:8:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_8:8:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_8:8:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_8:8:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_8:8:DesPer 2:Des Heat Cap [W],PSZ-AC_8:8:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_8:8:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_8:8:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_9:9:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_9:9:DesPer 1:Des Heat Cap [W],PSZ-AC_9:9:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_9:9:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_9:9:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_9:9:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_9:9:DesPer 2:Des Heat Cap [W],PSZ-AC_9:9:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_9:9:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_9:9:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_10:10:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_10:10:DesPer 1:Des Heat Cap [W],PSZ-AC_10:10:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_10:10:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_10:10:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_10:10:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_10:10:DesPer 2:Des Heat Cap [W],PSZ-AC_10:10:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_10:10:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_10:10:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.290191E-01,2.309360E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.284305E+03,1.096076E+00,1.207103E+04,1.680193E+04,2.689107E-01,9.721348E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.142152E+03,5.659438E-01,6.238927E+03,8.485456E+03,2.627823E-01,9.604336E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.142152E+03,5.605758E-01,6.177980E+03,8.421701E+03,2.624126E-01,9.597279E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.142152E+03,5.605082E-01,6.177212E+03,8.420903E+03,2.666335E-01,9.677870E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.142152E+03,5.608076E-01,6.180612E+03,8.424449E+03,5.243999E-01,1.918645E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.284305E+03,1.105853E+00,1.218223E+04,1.666111E+04,2.637719E-01,9.623232E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.142152E+03,5.653134E-01,6.231769E+03,8.478116E+03,2.630741E-01,9.609910E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.142152E+03,5.604827E-01,6.176923E+03,8.420591E+03,2.742583E-01,9.823451E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.142152E+03,5.549049E-01,6.113594E+03,8.353968E+03,4.637717E-01,1.344229E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.142152E+03,5.237297E-01,5.759462E+03,8.228617E+03
00:20:00,7.289647E-01,2.309256E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.307179E+03,1.089864E+00,1.197763E+04,1.670433E+04,2.688813E-01,9.720786E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.153589E+03,5.638953E-01,6.204232E+03,8.449501E+03,2.627527E-01,9.603771E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.153589E+03,5.586048E-01,6.144164E+03,8.386649E+03,2.623830E-01,9.596712E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.153589E+03,5.585408E-01,6.143438E+03,8.385895E+03,2.666031E-01,9.677287E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.153589E+03,5.588298E-01,6.146719E+03,8.389318E+03,5.243344E-01,1.918519E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.307179E+03,1.101936E+00,1.211488E+04,1.659126E+04,2.637414E-01,9.622649E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.153589E+03,5.633354E-01,6.197874E+03,8.442994E+03,2.630447E-01,9.609347E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.153589E+03,5.585115E-01,6.143105E+03,8.385537E+03,2.742304E-01,9.822917E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.153589E+03,5.528688E-01,6.079040E+03,8.318128E+03,4.637505E-01,1.344188E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.153589E+03,5.204740E-01,5.711061E+03,8.177387E+03
00:30:00,7.289111E-01,2.309154E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.330053E+03,1.083869E+00,1.188669E+04,1.660928E+04,2.688524E-01,9.720234E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.165026E+03,5.618992E-01,6.170131E+03,8.414164E+03,2.627236E-01,9.603215E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.165026E+03,5.566829E-01,6.110906E+03,8.352179E+03,2.623537E-01,9.596153E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.165026E+03,5.566225E-01,6.110220E+03,8.351467E+03,2.665731E-01,9.676713E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.165026E+03,5.569011E-01,6.113384E+03,8.354767E+03,5.242698E-01,1.918396E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.330053E+03,1.098113E+00,1.204861E+04,1.652252E+04,2.637114E-01,9.622076E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.165026E+03,5.614065E-01,6.164537E+03,8.408452E+03,2.630157E-01,9.608793E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.165026E+03,5.565893E-01,6.109843E+03,8.351063E+03,2.742030E-01,9.822393E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.165026E+03,5.508831E-01,6.045057E+03,8.282883E+03,4.637296E-01,1.344148E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.165026E+03,5.173044E-01,5.663638E+03,8.127179E+03
00:40:00,7.288581E-01,2.309052E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.352926E+03,1.078075E+00,1.179804E+04,1.651660E+04,2.688240E-01,9.719690E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.176463E+03,5.599527E-01,6.136594E+03,8.379415E+03,2.626950E-01,9.602668E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.176463E+03,5.548076E-01,6.078177E+03,8.318261E+03,2.623250E-01,9.595603E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.176463E+03,5.547507E-01,6.077532E+03,8.317590E+03,2.665435E-01,9.676148E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.176463E+03,5.550191E-01,6.080579E+03,8.320769E+03,5.242061E-01,1.918274E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.352926E+03,1.094380E+00,1.198334E+04,1.645484E+04,2.636819E-01,9.621511E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.176463E+03,5.595243E-01,6.131730E+03,8.374461E+03,2.629872E-01,9.608247E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.176463E+03,5.547137E-01,6.077111E+03,8.317140E+03,2.741760E-01,9.821877E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.176463E+03,5.489452E-01,6.011618E+03,8.248206E+03,4.637090E-01,1.344109E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.176463E+03,5.142170E-01,5.617148E+03,8.077946E+03
00:50:00,7.288058E-01,2.308952E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.375800E+03,1.072459E+00,1.171139E+04,1.642601E+04,2.687959E-01,9.719154E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.187900E+03,5.580497E-01,6.103551E+03,8.345178E+03,2.626668E-01,9.602129E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.187900E+03,5.529733E-01,6.045914E+03,8.284826E+03,2.622966E-01,9.595061E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.187900E+03,5.529199E-01,6.045307E+03,8.284196E+03,2.665144E-01,9.675591E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.187900E+03,5.531781E-01,6.048239E+03,8.287254E+03,5.241432E-01,1.918154E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.375800E+03,1.090725E+00,1.191897E+04,1.638809E+04,2.636528E-01,9.620954E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.187900E+03,5.576831E-01,6.099388E+03,8.340955E+03,2.629591E-01,9.607710E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.187900E+03,5.528790E-01,6.044843E+03,8.283701E+03,2.741494E-01,9.821368E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.187900E+03,5.470493E-01,5.978654E+03,8.214023E+03,4.636887E-01,1.344070E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.187900E+03,5.112030E-01,5.571492E+03,8.029585E+03
01:00:00,7.287540E-01,2.308854E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.398674E+03,1.067012E+00,1.162667E+04,1.633742E+04,2.687683E-01,9.718625E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.199337E+03,5.561892E-01,6.070990E+03,8.311441E+03,2.626390E-01,9.601597E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.199337E+03,5.511792E-01,6.014107E+03,8.251864E+03,2.622687E-01,9.594526E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.199337E+03,5.511290E-01,6.013537E+03,8.251274E+03,2.664856E-01,9.675042E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.199337E+03,5.513772E-01,6.016355E+03,8.254212E+03,5.240811E-01,1.918035E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.398674E+03,1.087147E+00,1.185548E+04,1.632225E+04,2.636241E-01,9.620405E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.199337E+03,5.558820E-01,6.067501E+03,8.307920E+03,2.629314E-01,9.607180E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.199337E+03,5.510844E-01,6.013031E+03,8.250733E+03,2.741231E-01,9.820867E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.199337E+03,5.451944E-01,5.946157E+03,8.180325E+03,4.636686E-01,1.344032E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.199337E+03,5.082609E-01,5.526653E+03,7.982082E+03
01:10:00,7.287540E-01,2.308853E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.413924E+03,1.061769E+00,1.155190E+04,1.625911E+04,2.687675E-01,9.718610E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.206962E+03,5.543869E-01,6.042902E+03,8.282312E+03,2.626382E-01,9.601581E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.206962E+03,5.494408E-01,5.986745E+03,8.223482E+03,2.622679E-01,9.594511E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.206962E+03,5.493939E-01,5.986212E+03,8.222930E+03,2.664849E-01,9.675028E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.206962E+03,5.496324E-01,5.988920E+03,8.225754E+03,5.240807E-01,1.918034E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.413924E+03,1.083682E+00,1.180088E+04,1.626558E+04,2.636233E-01,9.620391E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.206962E+03,5.541370E-01,6.040064E+03,8.279469E+03,2.629306E-01,9.607164E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.206962E+03,5.493455E-01,5.985662E+03,8.222344E+03,2.741223E-01,9.820850E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.206962E+03,5.433960E-01,5.918113E+03,8.151213E+03,4.636679E-01,1.344031E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.206962E+03,5.054118E-01,5.486681E+03,7.939639E+03
01:20:00,7.287540E-01,2.308853E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.429173E+03,1.056704E+00,1.147915E+04,1.618292E+04,2.687669E-01,9.718598E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.214586E+03,5.526332E-01,6.015366E+03,8.253757E+03,2.626375E-01,9.601568E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.214586E+03,5.477489E-01,5.959911E+03,8.195650E+03,2.622672E-01,9.594497E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.214586E+03,5.477052E-01,5.959413E+03,8.195135E+03,2.664843E-01,9.675016E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.214586E+03,5.479340E-01,5.962012E+03,8.197845E+03,5.240806E-01,1.918034E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.429173E+03,1.080307E+00,1.174732E+04,1.620999E+04,2.636227E-01,9.620379E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.214586E+03,5.524384E-01,6.013154E+03,8.251567E+03,2.629299E-01,9.607151E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.214586E+03,5.476530E-01,5.958821E+03,8.194505E+03,2.741216E-01,9.820836E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.214586E+03,5.416449E-01,5.890607E+03,8.122663E+03,4.636673E-01,1.344029E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.214586E+03,5.026470E-01,5.447666E+03,7.898206E+03
01:30:00,7.287542E-01,2.308854E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.444422E+03,1.051811E+00,1.140835E+04,1.610874E+04,2.687664E-01,9.718588E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.222211E+03,5.509277E-01,5.988376E+03,8.225765E+03,2.626369E-01,9.601557E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.222211E+03,5.461032E-01,5.933600E+03,8.168358E+03,2.622666E-01,9.594486E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.222211E+03,5.460625E-01,5.933138E+03,8.167879E+03,2.664839E-01,9.675007E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.222211E+03,5.462818E-01,5.935629E+03,8.170476E+03,5.240806E-01,1.918034E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.444422E+03,1.077023E+00,1.169478E+04,1.615546E+04,2.636223E-01,9.620370E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.222211E+03,5.507860E-01,5.986768E+03,8.224205E+03,2.629293E-01,9.607140E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.222211E+03,5.460066E-01,5.932503E+03,8.167204E+03,2.741210E-01,9.820825E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.222211E+03,5.399409E-01,5.863635E+03,8.094662E+03,4.636668E-01,1.344028E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.222211E+03,4.999653E-01,5.409595E+03,7.857754E+03
01:40:00,7.287545E-01,2.308854E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.459671E+03,1.047085E+00,1.133943E+04,1.603652E+04,2.687660E-01,9.718580E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.229836E+03,5.492699E-01,5.961930E+03,8.198334E+03,2.626365E-01,9.601548E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.229836E+03,5.445034E-01,5.907812E+03,8.141604E+03,2.622662E-01,9.594478E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.229836E+03,5.444657E-01,5.907383E+03,8.141161E+03,2.664835E-01,9.675000E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.229836E+03,5.446756E-01,5.909767E+03,8.143646E+03,5.240808E-01,1.918034E+04,2.447666E-01,0.000000E+00,0.000000E+00,2.447666E-01,4.459671E+03,1.073829E+00,1.164327E+04,1.610198E+04,2.636219E-01,9.620362E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.229836E+03,5.491795E-01,5.960904E+03,8.197381E+03,2.629289E-01,9.607131E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.229836E+03,5.444061E-01,5.906706E+03,8.140441E+03,2.741205E-01,9.820815E+03,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.229836E+03,5.382836E-01,5.837194E+03,8.067212E+03,4.636663E-01,1.344027E+04,1.223833E-01,0.000000E+00,0.000000E+00,1.223833E-01,2.229836E+03,4.973657E-01,5.372456E+03,7.818280E+03
