Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.177133E+04,1.053312E+04,6.075159E-01,9.133965E-01,4.341904E+03,5.438760E+03,2.240922E-01,4.716198E-01,4.242953E+03,5.387173E+03,2.189852E-01,4.671465E-01,4.236986E+03,5.386523E+03,2.186772E-01,4.670901E-01,4.305137E+03,5.389401E+03,2.221946E-01,4.673397E-01,8.467116E+03,1.062729E+04,4.370000E-01,9.215441E-01,4.258932E+03,5.432702E+03,2.198099E-01,4.710945E-01,4.247666E+03,5.386278E+03,2.192285E-01,4.670689E-01,4.428247E+03,5.332676E+03,2.285486E-01,4.624208E-01,7.488643E+03,5.032885E+03,3.864765E-01,4.364415E-01
00:20:00,1.177045E+04,1.047343E+04,6.074706E-01,9.082203E-01,4.341428E+03,5.419074E+03,2.240678E-01,4.699128E-01,4.242475E+03,5.368231E+03,2.189606E-01,4.655040E-01,4.236505E+03,5.367617E+03,2.186525E-01,4.654507E-01,4.304643E+03,5.370394E+03,2.221692E-01,4.656915E-01,8.466055E+03,1.058965E+04,4.369454E-01,9.182801E-01,4.258439E+03,5.413693E+03,2.197845E-01,4.694462E-01,4.247189E+03,5.367334E+03,2.192039E-01,4.654262E-01,4.427795E+03,5.313109E+03,2.285253E-01,4.607240E-01,7.488300E+03,5.001597E+03,3.864588E-01,4.337283E-01
00:30:00,1.176958E+04,1.041581E+04,6.074259E-01,9.032243E-01,4.340960E+03,5.399891E+03,2.240437E-01,4.682493E-01,4.242004E+03,5.349761E+03,2.189364E-01,4.639024E-01,4.236032E+03,5.349181E+03,2.186281E-01,4.638521E-01,4.304158E+03,5.351859E+03,2.221442E-01,4.640843E-01,8.465009E+03,1.055291E+04,4.368915E-01,9.150943E-01,4.257953E+03,5.395156E+03,2.197595E-01,4.678388E-01,4.246720E+03,5.348862E+03,2.191798E-01,4.638244E-01,4.427351E+03,5.294025E+03,2.285025E-01,4.590692E-01,7.487962E+03,4.971138E+03,3.864414E-01,4.310870E-01
00:40:00,1.176873E+04,1.036013E+04,6.073818E-01,8.983961E-01,4.340500E+03,5.381185E+03,2.240200E-01,4.666273E-01,4.241541E+03,5.331739E+03,2.189125E-01,4.623397E-01,4.235566E+03,5.331193E+03,2.186042E-01,4.622923E-01,4.303679E+03,5.333773E+03,2.221196E-01,4.625159E-01,8.463978E+03,1.051703E+04,4.368384E-01,9.119831E-01,4.257475E+03,5.377068E+03,2.197349E-01,4.662703E-01,4.246259E+03,5.330837E+03,2.191560E-01,4.622614E-01,4.426914E+03,5.275402E+03,2.284800E-01,4.574544E-01,7.487629E+03,4.941469E+03,3.864242E-01,4.285141E-01
00:50:00,1.176788E+04,1.030616E+04,6.073381E-01,8.937156E-01,4.340046E+03,5.362896E+03,2.239966E-01,4.650414E-01,4.241084E+03,5.314111E+03,2.188890E-01,4.608111E-01,4.235107E+03,5.313598E+03,2.185805E-01,4.607665E-01,4.303208E+03,5.316080E+03,2.220953E-01,4.609817E-01,8.462961E+03,1.048190E+04,4.367860E-01,9.089373E-01,4.257004E+03,5.359373E+03,2.197107E-01,4.647359E-01,4.245804E+03,5.313205E+03,2.191326E-01,4.607325E-01,4.426484E+03,5.257181E+03,2.284578E-01,4.558744E-01,7.487301E+03,4.912505E+03,3.864073E-01,4.260025E-01
01:00:00,1.176705E+04,1.025381E+04,6.072950E-01,8.891764E-01,4.339599E+03,5.345017E+03,2.239736E-01,4.634910E-01,4.240634E+03,5.296869E+03,2.188658E-01,4.593160E-01,4.234655E+03,5.296387E+03,2.185572E-01,4.592742E-01,4.302743E+03,5.298773E+03,2.220714E-01,4.594810E-01,8.461956E+03,1.044752E+04,4.367343E-01,9.059560E-01,4.256539E+03,5.342064E+03,2.196867E-01,4.632350E-01,4.245355E+03,5.295959E+03,2.191095E-01,4.592370E-01,4.426059E+03,5.239356E+03,2.284360E-01,4.543287E-01,7.486976E+03,4.884232E+03,3.863905E-01,4.235507E-01
01:10:00,1.176704E+04,1.020343E+04,6.072950E-01,8.848075E-01,4.339586E+03,5.327696E+03,2.239729E-01,4.619891E-01,4.240620E+03,5.280163E+03,2.188651E-01,4.578674E-01,4.234641E+03,5.279712E+03,2.185565E-01,4.578283E-01,4.302730E+03,5.282005E+03,2.220708E-01,4.580270E-01,8.461948E+03,1.041422E+04,4.367339E-01,9.030682E-01,4.256527E+03,5.325294E+03,2.196861E-01,4.617808E-01,4.245341E+03,5.279247E+03,2.191088E-01,4.577879E-01,4.426045E+03,5.222072E+03,2.284353E-01,4.528300E-01,7.486965E+03,4.856852E+03,3.863900E-01,4.211765E-01
01:20:00,1.176704E+04,1.015476E+04,6.072950E-01,8.805869E-01,4.339575E+03,5.310842E+03,2.239724E-01,4.605277E-01,4.240608E+03,5.263904E+03,2.188646E-01,4.564575E-01,4.234629E+03,5.263483E+03,2.185560E-01,4.564210E-01,4.302720E+03,5.265683E+03,2.220703E-01,4.566117E-01,8.461944E+03,1.038179E+04,4.367338E-01,9.002561E-01,4.256516E+03,5.308970E+03,2.196856E-01,4.603653E-01,4.245330E+03,5.262982E+03,2.191082E-01,4.563775E-01,4.426033E+03,5.205244E+03,2.284347E-01,4.513707E-01,7.486955E+03,4.830283E+03,3.863895E-01,4.188725E-01
01:30:00,1.176705E+04,1.010774E+04,6.072952E-01,8.765095E-01,4.339566E+03,5.294452E+03,2.239720E-01,4.591064E-01,4.240599E+03,5.248088E+03,2.188641E-01,4.550860E-01,4.234620E+03,5.247697E+03,2.185555E-01,4.550521E-01,4.302712E+03,5.249805E+03,2.220699E-01,4.552349E-01,8.461944E+03,1.035023E+04,4.367338E-01,8.975193E-01,4.256508E+03,5.293090E+03,2.196852E-01,4.589883E-01,4.245320E+03,5.247159E+03,2.191078E-01,4.550055E-01,4.426023E+03,5.188868E+03,2.284342E-01,4.499507E-01,7.486947E+03,4.804512E+03,3.863890E-01,4.166377E-01
01:40:00,1.176705E+04,1.006231E+04,6.072954E-01,8.725707E-01,4.339559E+03,5.278520E+03,2.239717E-01,4.577249E-01,4.240591E+03,5.232713E+03,2.188637E-01,4.537529E-01,4.234612E+03,5.232351E+03,2.185552E-01,4.537214E-01,4.302706E+03,5.234369E+03,2.220696E-01,4.538963E-01,8.461947E+03,1.031953E+04,4.367340E-01,8.948576E-01,4.256502E+03,5.277652E+03,2.196849E-01,4.576496E-01,4.245312E+03,5.231778E+03,2.191074E-01,4.536717E-01,4.426014E+03,5.172941E+03,2.284338E-01,4.485697E-01,7.486938E+03,4.779531E+03,3.863886E-01,4.144714E-01
