Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,25068418.24507999,25068418.245079987 
 01/01  02:00:00,,,24635439.38449441,24635439.384494405 
 01/01  03:00:00,,,24971608.976162493,24971608.976162493 
 01/01  04:00:00,,,24655700.66839293,24655700.668392923 
 01/01  05:00:00,,,25331971.10604385,25331971.106043845 
 01/01  06:00:00,,,24878590.50916473,24878590.509164725 
 01/01  07:00:00,,,36288711.18019349,36288711.18019349 
 01/01  08:00:00,,,44633823.06764677,44633823.06764676 
 01/01  09:00:00,,,27351440.28263887,27351440.282638874 
 01/01  10:00:00,,,74831905.52502674,74831905.52502672 
 01/01  11:00:00,,,164460849.6076505,164460849.6076505 
 01/01  12:00:00,,,212938083.45692104,212938083.45692104 
 01/01  13:00:00,,,214749930.88840345,214749930.88840345 
 01/01  14:00:00,,,217947364.10501528,217947364.10501525 
 01/01  15:00:00,,,213590968.6436676,213590968.64366758 
 01/01  16:00:00,,,217251769.32429343,217251769.32429338 
 01/01  17:00:00,,,227457612.98999715,227457612.98999715 
 01/01  18:00:00,,,175908930.09992087,175908930.0999209 
 01/01  19:00:00,,,84278017.30554457,84278017.30554457 
 01/01  20:00:00,,,81769370.16563931,81769370.16563931 
 01/01  21:00:00,,,80980009.56978106,80980009.56978105 
 01/01  22:00:00,,,85780187.35064496,85780187.35064496 
 01/01  23:00:00,,,77089557.72413625,77089557.72413625 
 01/01  24:00:00,,,59721168.836259775,59721168.83625977 
 01/02  01:00:00,,,24841204.371345967,24841204.371345963 
 01/02  02:00:00,,,26059473.92147994,26059473.92147994 
 01/02  03:00:00,,,24412655.326659888,24412655.326659888 
 01/02  04:00:00,,,24104434.094768148,24104434.094768148 
 01/02  05:00:00,,,25395439.182138037,25395439.18213804 
 01/02  06:00:00,,,26506645.944838967,26506645.944838967 
 01/02  07:00:00,,,35088614.97465851,35088614.97465851 
 01/02  08:00:00,,,42224494.73118532,42224494.73118532 
 01/02  09:00:00,,,56555255.95924975,56555255.95924975 
 01/02  10:00:00,,,142932712.17657286,142932712.17657286 
 01/02  11:00:00,,,205755151.32576346,205755151.32576343 
 01/02  12:00:00,,,213683100.25751436,213683100.2575143 
 01/02  13:00:00,,,213087292.7221781,213087292.7221781 
 01/02  14:00:00,,,217765133.03218853,217765133.0321885 
 01/02  15:00:00,,,213955348.71775448,213955348.71775448 
 01/02  16:00:00,,,217971820.5600601,217971820.5600601 
 01/02  17:00:00,,,226500519.06141418,226500519.06141412 
 01/02  18:00:00,,,234809865.70923728,234809865.70923734 
 01/02  19:00:00,,,234011691.7819993,234011691.78199926 
 01/02  20:00:00,,,229890398.34781277,229890398.3478128 
 01/02  21:00:00,,,166078013.8471102,166078013.84711015 
 01/02  22:00:00,,,82508383.44997685,82508383.44997685 
 01/02  23:00:00,,,79377550.76226394,79377550.76226394 
 01/02  24:00:00,,,54978426.56283607,54978426.562836066 
 01/03  01:00:00,,,23776126.08565365,23776126.085653648 
 01/03  02:00:00,,,25942879.376106635,25942879.37610663 
 01/03  03:00:00,,,26192996.993709892,26192996.993709892 
 01/03  04:00:00,,,23570246.080892935,23570246.08089293 
 01/03  05:00:00,,,24128935.51021207,24128935.51021207 
 01/03  06:00:00,,,23970108.458800435,23970108.458800435 
 01/03  07:00:00,,,38922235.90548552,38922235.90548552 
 01/03  08:00:00,,,38709136.26129335,38709136.26129336 
 01/03  09:00:00,,,55912938.4057212,55912938.405721195 
 01/03  10:00:00,,,142761455.1912633,142761455.1912633 
 01/03  11:00:00,,,212811232.26842955,212811232.26842952 
 01/03  12:00:00,,,208842519.43747073,208842519.4374707 
 01/03  13:00:00,,,218857590.6044436,218857590.60444355 
 01/03  14:00:00,,,221292939.07069525,221292939.07069525 
 01/03  15:00:00,,,221336769.07809013,221336769.07809007 
 01/03  16:00:00,,,214861678.85713786,214861678.8571378 
 01/03  17:00:00,,,232278028.76723927,232278028.76723927 
 01/03  18:00:00,,,241648793.48732853,241648793.4873285 
 01/03  19:00:00,,,229235754.06347385,229235754.06347388 
 01/03  20:00:00,,,233194768.71089742,233194768.71089748 
 01/03  21:00:00,,,166104594.33886826,166104594.33886826 
 01/03  22:00:00,,,85475773.67352979,85475773.67352979 
 01/03  23:00:00,,,82015969.33681488,82015969.33681491 
 01/03  24:00:00,,,57149957.368899584,57149957.368899584 
 01/04  01:00:00,,,25544651.355618227,25544651.355618224 
 01/04  02:00:00,,,26596286.007497896,26596286.007497896 
 01/04  03:00:00,,,26296397.31822552,26296397.31822552 
 01/04  04:00:00,,,29650895.37934478,29650895.379344776 
 01/04  05:00:00,,,26249242.196767233,26249242.196767233 
 01/04  06:00:00,,,33703658.005016096,33703658.00501609 
 01/04  07:00:00,,,37597977.64635256,37597977.64635255 
 01/04  08:00:00,,,41211856.52174705,41211856.52174705 
 01/04  09:00:00,,,55719317.01457602,55719317.01457602 
 01/04  10:00:00,,,146640926.7886243,146640926.78862432 
 01/04  11:00:00,,,214327653.71074802,214327653.71074802 
 01/04  12:00:00,,,213288223.48217034,213288223.48217034 
 01/04  13:00:00,,,219267518.1638226,219267518.1638226 
 01/04  14:00:00,,,223872342.29918316,223872342.29918313 
 01/04  15:00:00,,,223827269.5296818,223827269.5296818 
 01/04  16:00:00,,,219940732.3691498,219940732.36914974 
 01/04  17:00:00,,,232297162.36751246,232297162.36751246 
 01/04  18:00:00,,,244332409.0375472,244332409.03754723 
 01/04  19:00:00,,,233317759.28804705,233317759.28804702 
 01/04  20:00:00,,,232259028.45637217,232259028.45637223 
 01/04  21:00:00,,,173835785.44777253,173835785.44777253 
 01/04  22:00:00,,,82671249.44881949,82671249.44881949 
 01/04  23:00:00,,,80412128.37653694,80412128.37653694 
 01/04  24:00:00,,,57897136.356227845,57897136.356227845 
 01/05  01:00:00,,,25941589.416090317,25941589.416090313 
 01/05  02:00:00,,,26695083.212209843,26695083.21220984 
 01/05  03:00:00,,,28568649.04919506,28568649.04919506 
 01/05  04:00:00,,,26706193.01982153,26706193.01982153 
 01/05  05:00:00,,,32229051.340306375,32229051.340306375 
 01/05  06:00:00,,,26987849.67175051,26987849.67175051 
 01/05  07:00:00,,,37168997.496343814,37168997.496343814 
 01/05  08:00:00,,,41271451.41842734,41271451.41842733 
 01/05  09:00:00,,,58542620.810148835,58542620.810148835 
 01/05  10:00:00,,,143904027.65390134,143904027.6539014 
 01/05  11:00:00,,,214614979.62241536,214614979.6224153 
 01/05  12:00:00,,,210376983.7200726,210376983.72007254 
 01/05  13:00:00,,,223858113.39008054,223858113.39008054 
 01/05  14:00:00,,,223256310.34331974,223256310.3433197 
 01/05  15:00:00,,,222927183.36953968,222927183.3695396 
 01/05  16:00:00,,,217933268.45913294,217933268.4591329 
 01/05  17:00:00,,,233209813.0810659,233209813.0810659 
 01/05  18:00:00,,,244122495.72578466,244122495.72578466 
 01/05  19:00:00,,,231788655.56935734,231788655.56935734 
 01/05  20:00:00,,,233279929.18857867,233279929.18857872 
 01/05  21:00:00,,,171039903.69118768,171039903.69118768 
 01/05  22:00:00,,,81922270.3184645,81922270.3184645 
 01/05  23:00:00,,,79635838.10718206,79635838.10718206 
 01/05  24:00:00,,,60140036.18988891,60140036.18988891 
 01/06  01:00:00,,,39025174.90609066,39025174.90609066 
 01/06  02:00:00,,,25518522.61869932,25518522.61869932 
 01/06  03:00:00,,,24508081.871416938,24508081.871416934 
 01/06  04:00:00,,,28608754.8813443,28608754.881344303 
 01/06  05:00:00,,,27899644.41651964,27899644.41651964 
 01/06  06:00:00,,,28065488.001696546,28065488.001696542 
 01/06  07:00:00,,,35869260.56207967,35869260.562079675 
 01/06  08:00:00,,,40772589.21705637,40772589.21705637 
 01/06  09:00:00,,,55551976.15707004,55551976.15707003 
 01/06  10:00:00,,,145465706.67701218,145465706.67701215 
 01/06  11:00:00,,,213580439.29235753,213580439.29235753 
 01/06  12:00:00,,,213741720.12652737,213741720.12652734 
 01/06  13:00:00,,,216426541.1023968,216426541.1023968 
 01/06  14:00:00,,,221722584.62351546,221722584.62351543 
 01/06  15:00:00,,,221407706.43476567,221407706.43476567 
 01/06  16:00:00,,,219033216.11235335,219033216.11235332 
 01/06  17:00:00,,,229062974.70113164,229062974.7011316 
 01/06  18:00:00,,,242533726.91105273,242533726.91105276 
 01/06  19:00:00,,,233532008.06089318,233532008.0608932 
 01/06  20:00:00,,,229850331.60992193,229850331.60992193 
 01/06  21:00:00,,,172673596.5603538,172673596.56035382 
 01/06  22:00:00,,,81332578.73843235,81332578.73843235 
 01/06  23:00:00,,,78375848.86266646,78375848.86266646 
 01/06  24:00:00,,,67575165.41531833,67575165.41531833 
 01/07  01:00:00,,,50021155.47141908,50021155.47141907 
 01/07  02:00:00,,,28571085.058243513,28571085.058243513 
 01/07  03:00:00,,,27722742.683415182,27722742.683415182 
 01/07  04:00:00,,,25499606.055288147,25499606.055288147 
 01/07  05:00:00,,,27447192.46266163,27447192.46266163 
 01/07  06:00:00,,,25590896.702748638,25590896.702748634 
 01/07  07:00:00,,,35631481.11324775,35631481.11324775 
 01/07  08:00:00,,,39790790.853595726,39790790.85359572 
 01/07  09:00:00,,,56667148.82461426,56667148.82461425 
 01/07  10:00:00,,,144289413.65012896,144289413.65012896 
 01/07  11:00:00,,,208935124.82870936,208935124.82870936 
 01/07  12:00:00,,,212894747.37436098,212894747.37436095 
 01/07  13:00:00,,,220784753.6049595,220784753.6049595 
 01/07  14:00:00,,,216657809.76596066,216657809.76596066 
 01/07  15:00:00,,,218682001.37585896,218682001.37585896 
 01/07  16:00:00,,,216328257.8534521,216328257.8534521 
 01/07  17:00:00,,,233777873.1840548,233777873.1840548 
 01/07  18:00:00,,,237238047.70379135,237238047.70379138 
 01/07  19:00:00,,,167818119.56750992,167818119.56750992 
 01/07  20:00:00,,,84567664.83731873,84567664.83731873 
 01/07  21:00:00,,,82931121.3142365,82931121.3142365 
 01/07  22:00:00,,,80963683.20349318,80963683.20349318 
 01/07  23:00:00,,,81587490.36618082,81587490.36618082 
 01/07  24:00:00,,,80772974.32453053,80772974.32453053 
 01/08  01:00:00,,,24488617.851811264,24488617.85181126 
 01/08  02:00:00,,,25798675.956625402,25798675.956625402 
 01/08  03:00:00,,,25193786.583418246,25193786.58341824 
 01/08  04:00:00,,,26450846.22121805,26450846.22121805 
 01/08  05:00:00,,,25350600.904971115,25350600.904971115 
 01/08  06:00:00,,,31329327.31109899,31329327.31109899 
 01/08  07:00:00,,,36272354.37785241,36272354.3778524 
 01/08  08:00:00,,,40976079.46080204,40976079.46080203 
 01/08  09:00:00,,,26760067.662575565,26760067.662575565 
 01/08  10:00:00,,,74620601.65481381,74620601.6548138 
 01/08  11:00:00,,,164793459.6073859,164793459.60738587 
 01/08  12:00:00,,,213864422.09377706,213864422.09377703 
 01/08  13:00:00,,,216019553.84374326,216019553.84374326 
 01/08  14:00:00,,,219607735.745416,219607735.745416 
 01/08  15:00:00,,,218400380.2933796,218400380.29337958 
 01/08  16:00:00,,,219362916.28291956,219362916.2829196 
 01/08  17:00:00,,,230129020.33720398,230129020.33720395 
 01/08  18:00:00,,,178190685.08886027,178190685.0888603 
 01/08  19:00:00,,,83130746.42643869,83130746.42643869 
 01/08  20:00:00,,,84905217.7832604,84905217.7832604 
 01/08  21:00:00,,,84756475.12272091,84756475.1227209 
 01/08  22:00:00,,,81620231.08121271,81620231.0812127 
 01/08  23:00:00,,,78022681.91984129,78022681.91984129 
 01/08  24:00:00,,,63266207.070199005,63266207.070199005 
 01/09  01:00:00,,,25443839.551374026,25443839.551374022 
 01/09  02:00:00,,,24797108.073816657,24797108.073816657 
 01/09  03:00:00,,,25651317.246499795,25651317.24649979 
 01/09  04:00:00,,,27728010.390400186,27728010.390400182 
 01/09  05:00:00,,,26148343.13556901,26148343.13556901 
 01/09  06:00:00,,,26775253.319921516,26775253.31992151 
 01/09  07:00:00,,,41873045.57299766,41873045.57299766 
 01/09  08:00:00,,,40133204.96834079,40133204.968340784 
 01/09  09:00:00,,,56082108.4526452,56082108.4526452 
 01/09  10:00:00,,,145457778.49108332,145457778.49108332 
 01/09  11:00:00,,,214084304.04006267,214084304.04006264 
