Date/Time,LGSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE1:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE3:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE4:Zone Air System Sensible Cooling Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Heating Energy [J](Monthly),LGSTORE2:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE5:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE6:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE7:Zone Air System Sensible Cooling Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Heating Energy [J](Monthly),SMSTORE8:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,16355794493.453142,166360530.9024934,6092178302.094178,120743404.74520701,6965195500.66139,72464645.58307321,7085639314.988888,68284842.84190096,7273451656.698437,58980212.35854919,13848030711.36876,113364958.03955682,7357859577.201414,58256442.993223675,7419880166.528221,52787153.52954646,7902546476.784804,34697132.57662759,13334513318.484037,0.0,89180890923.59148,195005164251.03552 
February,10720982502.688984,774090507.5574869,3722530066.4722667,422903870.49154204,4459107806.725592,340436700.2593173,4565752404.784051,328820919.0688387,4688440118.069791,306770112.4069381,8994134275.803862,585549410.0387597,4779356698.026118,290305700.86737764,4828565951.527987,283373558.14285994,5202528207.243772,235963948.1636217,9445889059.867163,58377900.29696849,79055682473.99033,131303507400.81161 
March,6870705139.100653,1647919194.8505816,2031695875.1727862,745532988.6476291,2607376975.0705357,632327061.8442364,2804226041.8741407,618693930.4488407,2919529865.1608763,584516842.9989871,5614966914.206782,1089371297.6908505,3011540695.168944,545556642.1363127,3069968784.045083,532503629.6220526,3399767289.229996,454922523.1742253,6893065798.608246,111272202.51723747,86407182314.74557,92649039877.7165 
April,2554301947.8752327,3497776617.045788,575689146.2532275,1535388433.357377,855732645.0248722,1350167574.8072364,977896737.6877842,1306404580.5822337,1054660725.8084244,1262012471.5064557,2107909726.459738,2397785385.9298162,1126315334.1911893,1161785740.6087615,1156007551.5103354,1133156274.6143982,1306116426.9716978,1032043165.303217,3253050750.775773,647786347.9142729,80232210825.79977,32726095230.170536 
May,186854330.01443526,5860195351.475777,31376066.680006497,3219378736.8588476,32660924.285511892,2450828337.1797214,36585275.348972976,2374185881.0341587,49513316.47939396,2297626812.7540975,118598195.59995839,4242519729.747942,63344990.32697829,2098636892.208946,74191516.45570655,2013413020.7763302,105995580.81266268,1783877971.7737677,705164097.6462708,1328218852.226361,83456522922.71608,1680211040.9905968 
June,39986044.01965694,9364241897.019749,12889537.48360427,5284006105.1133375,12153742.455553768,4098774657.039437,13713436.371072533,4027538511.018217,16157600.847556744,3947725924.5748043,33359608.911048245,7395801008.705754,18954853.219655443,3763667202.981811,20274683.39402741,3662350230.5589705,23777749.30675768,3354010956.672208,29418170.175038323,2763597980.999639,86652910746.27966,0.0 
July,22681386.76051845,12329775635.214308,9333334.000859965,6638972665.027486,6410312.777998209,5225329139.021839,6825812.255640223,5148928962.2308235,7627983.842147247,5065577559.081376,16548665.346845485,9503533794.408396,9465099.76536911,4875811251.109704,9622480.577983875,4794243932.921687,13252800.910902558,4576198707.527342,23254304.520120453,4244961822.783725,97035590560.53949,0.0 
August,33890700.12121741,11918389129.038128,11296491.871919308,6418452691.492786,10703097.53804014,5132094502.15179,11077908.79864711,5052033830.028346,12945195.160940915,4971137687.601893,27679109.601931825,9338154489.410793,15416594.066688102,4786138947.305093,16052959.461550046,4723721105.475356,20297531.636709426,4500530157.035284,23708152.914202873,4116322345.953181,96681388735.00589,0.0 
September,53358887.287974946,7277242737.835342,26595424.700530067,4017007547.4515724,24999539.885293968,2933835371.3860984,25346041.483521525,2862746232.9969397,25879783.64680483,2788631951.697766,52344870.74548682,5146990761.2044,28244506.811874215,2577270651.939927,28337333.145253792,2482949000.5765405,29084114.711956933,2235712510.179079,34683323.701988,1852408839.4765713,83256223197.51147,8176050.241426278 
October,931136060.5387377,4788195016.072122,121756077.17052461,2105884195.5016448,265903746.92605743,1775540365.7471774,362050013.4429771,1710585126.975293,417014373.46003574,1652697077.6628606,865235364.5866848,3056438380.6174736,470398965.4009573,1492420025.0487888,491690796.510321,1453665642.2939436,644534869.2191911,1344748121.7602203,1839349025.6388566,980935742.5986423,84101865724.41692,16387849652.859535 
