Time,LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LGSTORE2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE5:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE6:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE7:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],SMSTORE8:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,1.176128E+04,1.019568E+04,6.060405E-01,8.236416E-01,4.338214E+03,5.305611E+03,2.235488E-01,4.285953E-01,4.239356E+03,5.256475E+03,2.184546E-01,4.246261E-01,4.233394E+03,5.255971E+03,2.181474E-01,4.245853E-01,4.301564E+03,5.259423E+03,2.216602E-01,4.248642E-01,8.460042E+03,1.036854E+04,4.359465E-01,8.375893E-01,4.255322E+03,5.301701E+03,2.192774E-01,4.282795E-01,4.244065E+03,5.255436E+03,2.186973E-01,4.245422E-01,4.424555E+03,5.199133E+03,2.279980E-01,4.199939E-01,7.482224E+03,4.828763E+03,3.855364E-01,3.900894E-01
00:20:00,1.176040E+04,1.013620E+04,6.059949E-01,8.188361E-01,4.337735E+03,5.285950E+03,2.235242E-01,4.270071E-01,4.238874E+03,5.237564E+03,2.184299E-01,4.230984E-01,4.232909E+03,5.237096E+03,2.181225E-01,4.230606E-01,4.301066E+03,5.240445E+03,2.216346E-01,4.233311E-01,8.458973E+03,1.033095E+04,4.358916E-01,8.345532E-01,4.254825E+03,5.282721E+03,2.192518E-01,4.267463E-01,4.243584E+03,5.236523E+03,2.186726E-01,4.230144E-01,4.424099E+03,5.179592E+03,2.279746E-01,4.184153E-01,7.481878E+03,4.797609E+03,3.855187E-01,3.875727E-01
00:30:00,1.175952E+04,1.007878E+04,6.059499E-01,8.141980E-01,4.337263E+03,5.266794E+03,2.235000E-01,4.254597E-01,4.238399E+03,5.219127E+03,2.184055E-01,4.216091E-01,4.232432E+03,5.218693E+03,2.180980E-01,4.215741E-01,4.300576E+03,5.221941E+03,2.216095E-01,4.218364E-01,8.457918E+03,1.029427E+04,4.358374E-01,8.315900E-01,4.254335E+03,5.264215E+03,2.192267E-01,4.252513E-01,4.243111E+03,5.218083E+03,2.186483E-01,4.215248E-01,4.423652E+03,5.160536E+03,2.279516E-01,4.168760E-01,7.481538E+03,4.767285E+03,3.855012E-01,3.851229E-01
00:40:00,1.175866E+04,1.002329E+04,6.059055E-01,8.097158E-01,4.336799E+03,5.248116E+03,2.234761E-01,4.239509E-01,4.237932E+03,5.201139E+03,2.183814E-01,4.201560E-01,4.231963E+03,5.200740E+03,2.180738E-01,4.201238E-01,4.300094E+03,5.203887E+03,2.215847E-01,4.203779E-01,8.456879E+03,1.025845E+04,4.357839E-01,8.286963E-01,4.253853E+03,5.246159E+03,2.192019E-01,4.237928E-01,4.242646E+03,5.200092E+03,2.186244E-01,4.200715E-01,4.423211E+03,5.141943E+03,2.279290E-01,4.153740E-01,7.481203E+03,4.737751E+03,3.854839E-01,3.827371E-01
00:50:00,1.175781E+04,9.969610E+03,6.058617E-01,8.053790E-01,4.336341E+03,5.229895E+03,2.234526E-01,4.224790E-01,4.237471E+03,5.183581E+03,2.183578E-01,4.187377E-01,4.231500E+03,5.183215E+03,2.180500E-01,4.187081E-01,4.299618E+03,5.186262E+03,2.215602E-01,4.189542E-01,8.455852E+03,1.022345E+04,4.357311E-01,8.258690E-01,4.253378E+03,5.228532E+03,2.191774E-01,4.223689E-01,4.242187E+03,5.182530E+03,2.186008E-01,4.186528E-01,4.422777E+03,5.123790E+03,2.279067E-01,4.139076E-01,7.480872E+03,4.708975E+03,3.854668E-01,3.804125E-01
01:00:00,1.175697E+04,9.917515E+03,6.058183E-01,8.011707E-01,4.335890E+03,5.212075E+03,2.234294E-01,4.210395E-01,4.237017E+03,5.166402E+03,2.183344E-01,4.173500E-01,4.231043E+03,5.166068E+03,2.180266E-01,4.173230E-01,4.299149E+03,5.169016E+03,2.215361E-01,4.175611E-01,8.454839E+03,1.018917E+04,4.356790E-01,8.231000E-01,4.252909E+03,5.211284E+03,2.191533E-01,4.209756E-01,4.241735E+03,5.165346E+03,2.185775E-01,4.172647E-01,4.422349E+03,5.106025E+03,2.278847E-01,4.124726E-01,7.480545E+03,4.680880E+03,3.854500E-01,3.781429E-01
01:10:00,1.175697E+04,9.867400E+03,6.058183E-01,7.971224E-01,4.335877E+03,5.194830E+03,2.234288E-01,4.196464E-01,4.237003E+03,5.149775E+03,2.183337E-01,4.160068E-01,4.231030E+03,5.149472E+03,2.180259E-01,4.159824E-01,4.299137E+03,5.152325E+03,2.215355E-01,4.162128E-01,8.454832E+03,1.015601E+04,4.356787E-01,8.204210E-01,4.252896E+03,5.194591E+03,2.191527E-01,4.196271E-01,4.241721E+03,5.148714E+03,2.185768E-01,4.159211E-01,4.422335E+03,5.088817E+03,2.278840E-01,4.110825E-01,7.480534E+03,4.653690E+03,3.854495E-01,3.759463E-01
01:20:00,1.175697E+04,9.818979E+03,6.058183E-01,7.932108E-01,4.335867E+03,5.178048E+03,2.234283E-01,4.182907E-01,4.236992E+03,5.133590E+03,2.183332E-01,4.146994E-01,4.231018E+03,5.133318E+03,2.180254E-01,4.146775E-01,4.299127E+03,5.136076E+03,2.215350E-01,4.149002E-01,8.454828E+03,1.012371E+04,4.356786E-01,8.178117E-01,4.252886E+03,5.178340E+03,2.191522E-01,4.183144E-01,4.241709E+03,5.132522E+03,2.185763E-01,4.146132E-01,4.422323E+03,5.072059E+03,2.278834E-01,4.097288E-01,7.480524E+03,4.627313E+03,3.854490E-01,3.738155E-01
01:30:00,1.175697E+04,9.772195E+03,6.058185E-01,7.894316E-01,4.335858E+03,5.161724E+03,2.234278E-01,4.169721E-01,4.236983E+03,5.117846E+03,2.183327E-01,4.134276E-01,4.231009E+03,5.117603E+03,2.180249E-01,4.134080E-01,4.299120E+03,5.120268E+03,2.215347E-01,4.136232E-01,8.454828E+03,1.009227E+04,4.356787E-01,8.152719E-01,4.252878E+03,5.162530E+03,2.191518E-01,4.170372E-01,4.241700E+03,5.116771E+03,2.185758E-01,4.133408E-01,4.422313E+03,5.055751E+03,2.278829E-01,4.084115E-01,7.480516E+03,4.601731E+03,3.854485E-01,3.717489E-01
01:40:00,1.175697E+04,9.726997E+03,6.058188E-01,7.857804E-01,4.335851E+03,5.145858E+03,2.234275E-01,4.156905E-01,4.236975E+03,5.102541E+03,2.183324E-01,4.121913E-01,4.231002E+03,5.102328E+03,2.180246E-01,4.121741E-01,4.299113E+03,5.104899E+03,2.215344E-01,4.123817E-01,8.454831E+03,1.006168E+04,4.356789E-01,8.128013E-01,4.252872E+03,5.147158E+03,2.191515E-01,4.157955E-01,4.241692E+03,5.101459E+03,2.185754E-01,4.121039E-01,4.422305E+03,5.039891E+03,2.278825E-01,4.071303E-01,7.480508E+03,4.576928E+03,3.854481E-01,3.697453E-01
