Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,,,5325035.6500713,35231738.720005296 
 01/01  02:00:00,,,5325035.6500713,35231738.720005296 
 01/01  03:00:00,,,5325035.6500713,35231738.720005296 
 01/01  04:00:00,,,5325035.6500713,35231738.720005296 
 01/01  05:00:00,,,5325035.6500713,35231738.720005296 
 01/01  06:00:00,,,5325035.6500713,35231738.720005296 
 01/01  07:00:00,,,5325035.6500713,35231738.720005296 
 01/01  08:00:00,,,5325035.6500713,35231738.720005296 
 01/01  09:00:00,,,5325035.6500713,35231738.720005296 
 01/01  10:00:00,,,5325035.6500713,35231738.720005296 
 01/01  11:00:00,,,5325035.6500713,35231738.720005296 
 01/01  12:00:00,,,5325035.6500713,35231738.720005296 
 01/01  13:00:00,,,5325035.6500713,35231738.720005296 
 01/01  14:00:00,,,5325035.6500713,35231738.720005296 
 01/01  15:00:00,,,5325035.6500713,35231738.720005296 
 01/01  16:00:00,,,5325035.6500713,35231738.720005296 
 01/01  17:00:00,,,5325035.6500713,35231738.720005296 
 01/01  18:00:00,,,5325035.6500713,35231738.720005296 
 01/01  19:00:00,,,5325035.6500713,35231738.720005296 
 01/01  20:00:00,,,5325035.6500713,35231738.720005296 
 01/01  21:00:00,,,5325035.6500713,35231738.720005296 
 01/01  22:00:00,,,5325035.6500713,35231738.720005296 
 01/01  23:00:00,,,5325035.6500713,35231738.720005296 
 01/01  24:00:00,,,5325035.6500713,35231738.720005296 
 01/02  01:00:00,,,5325035.6500713,35231738.720005296 
 01/02  02:00:00,,,5325035.6500713,35231738.720005296 
 01/02  03:00:00,,,5325035.6500713,35231738.720005296 
 01/02  04:00:00,,,5325035.6500713,35231738.720005296 
 01/02  05:00:00,,,5325035.6500713,35231738.720005296 
 01/02  06:00:00,,,5325035.6500713,35231738.720005296 
 01/02  07:00:00,,,5325035.6500713,35231738.720005296 
 01/02  08:00:00,,,5325035.6500713,35231738.720005296 
 01/02  09:00:00,,,54579170.48247532,100287396.62988208 
 01/02  10:00:00,,,64226657.1888609,100287396.62988208 
 01/02  11:00:00,,,64005119.609658904,101087244.62988208 
 01/02  12:00:00,,,64620903.53464195,101087244.62988208 
 01/02  13:00:00,,,63216426.420070976,101087244.62988208 
 01/02  14:00:00,,,63485905.03748889,100287396.62988208 
 01/02  15:00:00,,,65355962.91974622,100287396.62988208 
 01/02  16:00:00,,,67496690.83716391,99887472.62988208 
 01/02  17:00:00,,,71903309.28388599,99887472.62988208 
 01/02  18:00:00,,,100245900.48022243,40820021.28469339 
 01/02  19:00:00,,,107990888.14799999,40820021.28469339 
 01/02  20:00:00,,,107990888.14799999,40820021.28469339 
 01/02  21:00:00,,,102666076.0548758,40820021.28469339 
 01/02  22:00:00,,,7806126.757767913,35231738.720005296 
 01/02  23:00:00,,,5325035.6500713,35231738.720005296 
 01/02  24:00:00,,,5325035.6500713,35231738.720005296 
 01/03  01:00:00,,,5325035.6500713,35231738.720005296 
 01/03  02:00:00,,,5325035.6500713,35231738.720005296 
 01/03  03:00:00,,,5325035.6500713,35231738.720005296 
 01/03  04:00:00,,,5325035.6500713,35231738.720005296 
 01/03  05:00:00,,,5325035.6500713,35231738.720005296 
 01/03  06:00:00,,,5325035.6500713,35231738.720005296 
 01/03  07:00:00,,,5325035.6500713,35231738.720005296 
 01/03  08:00:00,,,5325035.6500713,35231738.720005296 
 01/03  09:00:00,,,57394122.77344687,100287396.62988208 
 01/03  10:00:00,,,68398665.75118476,100287396.62988208 
 01/03  11:00:00,,,68254071.91222759,101087244.62988208 
 01/03  12:00:00,,,69989782.05855274,101087244.62988208 
 01/03  13:00:00,,,68957959.54479572,101087244.62988208 
 01/03  14:00:00,,,67328183.44479361,100287396.62988208 
 01/03  15:00:00,,,69355044.4867574,100287396.62988208 
 01/03  16:00:00,,,73927286.30094902,99887472.62988208 
