Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,,,5325035.6500713,101321846.58167711 
 01/01  02:00:00,,,5325035.6500713,101321846.58167711 
 01/01  03:00:00,,,5325035.6500713,101321846.58167711 
 01/01  04:00:00,,,5325035.6500713,101321846.58167711 
 01/01  05:00:00,,,5325035.6500713,101321846.58167711 
 01/01  06:00:00,,,5325035.6500713,101321846.58167711 
 01/01  07:00:00,,,5325035.6500713,101321846.58167711 
 01/01  08:00:00,,,5325035.6500713,101321846.58167711 
 01/01  09:00:00,,,5325035.6500713,101321846.58167711 
 01/01  10:00:00,,,5325035.6500713,101321846.58167711 
 01/01  11:00:00,,,5325035.6500713,101321846.58167711 
 01/01  12:00:00,,,5325035.6500713,101321846.58167711 
 01/01  13:00:00,,,5325035.6500713,101321846.58167711 
 01/01  14:00:00,,,5325035.6500713,101321846.58167711 
 01/01  15:00:00,,,5325035.6500713,101321846.58167711 
 01/01  16:00:00,,,5325035.6500713,101321846.58167711 
 01/01  17:00:00,,,5325035.6500713,101321846.58167711 
 01/01  18:00:00,,,5325035.6500713,101321846.58167711 
 01/01  19:00:00,,,5325035.6500713,101321846.58167711 
 01/01  20:00:00,,,5325035.6500713,101321846.58167711 
 01/01  21:00:00,,,5325035.6500713,101321846.58167711 
 01/01  22:00:00,,,5325035.6500713,101321846.58167711 
 01/01  23:00:00,,,5325035.6500713,101321846.58167711 
 01/01  24:00:00,,,5325035.6500713,101321846.58167711 
 01/02  01:00:00,,,5325035.6500713,101321846.58167711 
 01/02  02:00:00,,,5325035.6500713,101321846.58167711 
 01/02  03:00:00,,,5325035.6500713,101321846.58167711 
 01/02  04:00:00,,,5325035.6500713,101321846.58167711 
 01/02  05:00:00,,,5325035.6500713,101321846.58167711 
 01/02  06:00:00,,,5325035.6500713,101321846.58167711 
 01/02  07:00:00,,,5325035.6500713,101321846.58167711 
 01/02  08:00:00,,,5325035.6500713,101321846.58167711 
 01/02  09:00:00,,,58973434.02440051,288413383.5430173 
 01/02  10:00:00,,,69499781.46122971,288413383.5430173 
 01/02  11:00:00,,,69263386.35912934,290713639.5430173 
 01/02  12:00:00,,,69929759.30194946,290713639.5430173 
 01/02  13:00:00,,,68409898.99058142,290713639.5430173 
 01/02  14:00:00,,,68701516.31287642,288413383.5430173 
 01/02  15:00:00,,,70725206.64269152,288413383.5430173 
 01/02  16:00:00,,,73041803.59209397,287263255.5430173 
 01/02  17:00:00,,,77810442.69274676,287263255.5430173 
 01/02  18:00:00,,,108481486.7658284,117393014.14742748 
 01/02  19:00:00,,,116862754.95892796,117393014.14742748 
 01/02  20:00:00,,,116862754.95892796,117393014.14742748 
 01/02  21:00:00,,,111083775.86580381,117393014.14742748 
 01/02  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/02  23:00:00,,,5325035.6500713,101321846.58167711 
 01/02  24:00:00,,,5325035.6500713,101321846.58167711 
 01/03  01:00:00,,,5325035.6500713,101321846.58167711 
 01/03  02:00:00,,,5325035.6500713,101321846.58167711 
 01/03  03:00:00,,,5325035.6500713,101321846.58167711 
 01/03  04:00:00,,,5325035.6500713,101321846.58167711 
 01/03  05:00:00,,,5325035.6500713,101321846.58167711 
 01/03  06:00:00,,,5325035.6500713,101321846.58167711 
 01/03  07:00:00,,,5325035.6500713,101321846.58167711 
 01/03  08:00:00,,,5325035.6500713,101321846.58167711 
 01/03  09:00:00,,,62019645.47281496,288413383.5430173 
 01/03  10:00:00,,,74014536.57313526,288413383.5430173 
 01/03  11:00:00,,,73861406.43547827,290713639.5430173 
 01/03  12:00:00,,,75739711.8461323,290713639.5430173 
 01/03  13:00:00,,,74623121.14432202,290713639.5430173 
 01/03  14:00:00,,,72859452.6693351,288413383.5430173 
 01/03  15:00:00,,,75052828.14151561,288413383.5430173 
 01/03  16:00:00,,,80000697.20628853,287263255.5430173 
 01/03  17:00:00,,,85595551.11450998,287263255.5430173 
 01/03  18:00:00,,,106889015.76852176,117393014.14742748 
 01/03  19:00:00,,,116862754.95892796,117393014.14742748 
 01/03  20:00:00,,,116862754.95892796,117393014.14742748 
 01/03  21:00:00,,,111083775.86580381,117393014.14742748 
 01/03  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/03  23:00:00,,,5325035.6500713,101321846.58167711 
 01/03  24:00:00,,,5325035.6500713,101321846.58167711 
 01/04  01:00:00,,,5325035.6500713,101321846.58167711 
 01/04  02:00:00,,,5325035.6500713,101321846.58167711 
 01/04  03:00:00,,,5325035.6500713,101321846.58167711 
 01/04  04:00:00,,,5325035.6500713,101321846.58167711 
 01/04  05:00:00,,,5325035.6500713,101321846.58167711 
 01/04  06:00:00,,,5325035.6500713,101321846.58167711 
 01/04  07:00:00,,,5325035.6500713,101321846.58167711 
 01/04  08:00:00,,,5325035.6500713,101321846.58167711 
 01/04  09:00:00,,,61095467.61010939,288413383.5430173 
 01/04  10:00:00,,,71580313.98478466,288413383.5430173 
 01/04  11:00:00,,,70634770.7087914,290713639.5430173 
 01/04  12:00:00,,,70074484.0421086,290713639.5430173 
 01/04  13:00:00,,,69594910.07077058,290713639.5430173 
 01/04  14:00:00,,,69883971.7161737,288413383.5430173 
 01/04  15:00:00,,,70489493.41982469,288413383.5430173 
 01/04  16:00:00,,,74360937.5505126,287263255.5430173 
 01/04  17:00:00,,,76860656.23184282,287263255.5430173 
 01/04  18:00:00,,,110240960.22818023,117393014.14742748 
 01/04  19:00:00,,,116862754.95892796,117393014.14742748 
 01/04  20:00:00,,,116862754.95892796,117393014.14742748 
 01/04  21:00:00,,,111083775.86580381,117393014.14742748 
 01/04  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/04  23:00:00,,,5325035.6500713,101321846.58167711 
 01/04  24:00:00,,,5325035.6500713,101321846.58167711 
 01/05  01:00:00,,,5325035.6500713,101321846.58167711 
 01/05  02:00:00,,,5325035.6500713,101321846.58167711 
 01/05  03:00:00,,,5325035.6500713,101321846.58167711 
 01/05  04:00:00,,,5325035.6500713,101321846.58167711 
 01/05  05:00:00,,,5325035.6500713,101321846.58167711 
 01/05  06:00:00,,,5325035.6500713,101321846.58167711 
 01/05  07:00:00,,,5325035.6500713,101321846.58167711 
 01/05  08:00:00,,,5325035.6500713,101321846.58167711 
 01/05  09:00:00,,,58491033.24033604,288413383.5430173 
 01/05  10:00:00,,,68815307.6841087,288413383.5430173 
 01/05  11:00:00,,,68962697.982484,290713639.5430173 
 01/05  12:00:00,,,68435629.95336577,290713639.5430173 
 01/05  13:00:00,,,68465489.73182428,290713639.5430173 
 01/05  14:00:00,,,68018618.2552112,288413383.5430173 
 01/05  15:00:00,,,70158379.01732911,288413383.5430173 
 01/05  16:00:00,,,71738002.14361577,287263255.5430173 
 01/05  17:00:00,,,78727207.56020741,287263255.5430173 
 01/05  18:00:00,,,106663798.2441982,117393014.14742748 
 01/05  19:00:00,,,116862754.95892796,117393014.14742748 
 01/05  20:00:00,,,116862754.95892796,117393014.14742748 
 01/05  21:00:00,,,111083775.86580381,117393014.14742748 
 01/05  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/05  23:00:00,,,5325035.6500713,101321846.58167711 
 01/05  24:00:00,,,5325035.6500713,101321846.58167711 
 01/06  01:00:00,,,5325035.6500713,101321846.58167711 
 01/06  02:00:00,,,5325035.6500713,101321846.58167711 
 01/06  03:00:00,,,5325035.6500713,101321846.58167711 
 01/06  04:00:00,,,5325035.6500713,101321846.58167711 
 01/06  05:00:00,,,5325035.6500713,101321846.58167711 
 01/06  06:00:00,,,5325035.6500713,101321846.58167711 
 01/06  07:00:00,,,5325035.6500713,101321846.58167711 
 01/06  08:00:00,,,5325035.6500713,101321846.58167711 
 01/06  09:00:00,,,57842496.15801118,288413383.5430173 
 01/06  10:00:00,,,69211762.51132683,288413383.5430173 
 01/06  11:00:00,,,68633789.50101264,290713639.5430173 
 01/06  12:00:00,,,67593443.2819039,290713639.5430173 
 01/06  13:00:00,,,67522601.13186382,290713639.5430173 
 01/06  14:00:00,,,67676124.60447337,288413383.5430173 
 01/06  15:00:00,,,70158651.05302213,288413383.5430173 
 01/06  16:00:00,,,71503252.56971076,287263255.5430173 
 01/06  17:00:00,,,76458869.04252617,287263255.5430173 
 01/06  18:00:00,,,111533706.83538854,117393014.14742748 
 01/06  19:00:00,,,116862754.95892796,117393014.14742748 
 01/06  20:00:00,,,116862754.95892796,117393014.14742748 
 01/06  21:00:00,,,111083775.86580381,117393014.14742748 
 01/06  22:00:00,,,8079527.3202159135,101321846.58167711 
 01/06  23:00:00,,,5325035.6500713,101321846.58167711 
 01/06  24:00:00,,,5325035.6500713,101321846.58167711 
 01/07  01:00:00,,,5325035.6500713,101321846.58167711 
 01/07  02:00:00,,,5325035.6500713,101321846.58167711 
 01/07  03:00:00,,,5325035.6500713,101321846.58167711 
 01/07  04:00:00,,,5325035.6500713,101321846.58167711 
 01/07  05:00:00,,,5325035.6500713,101321846.58167711 
 01/07  06:00:00,,,5325035.6500713,101321846.58167711 
 01/07  07:00:00,,,5325035.6500713,101321846.58167711 
 01/07  08:00:00,,,5325035.6500713,101321846.58167711 
 01/07  09:00:00,,,5325035.6500713,101321846.58167711 
 01/07  10:00:00,,,5325035.6500713,101321846.58167711 
 01/07  11:00:00,,,5325035.6500713,101321846.58167711 
 01/07  12:00:00,,,5325035.6500713,101321846.58167711 
 01/07  13:00:00,,,5325035.6500713,101321846.58167711 
 01/07  14:00:00,,,5325035.6500713,101321846.58167711 
 01/07  15:00:00,,,5325035.6500713,101321846.58167711 
 01/07  16:00:00,,,5325035.6500713,101321846.58167711 
 01/07  17:00:00,,,5325035.6500713,101321846.58167711 
 01/07  18:00:00,,,5325035.6500713,101321846.58167711 
 01/07  19:00:00,,,5325035.6500713,101321846.58167711 
 01/07  20:00:00,,,5325035.6500713,101321846.58167711 
 01/07  21:00:00,,,5325035.6500713,101321846.58167711 
 01/07  22:00:00,,,5325035.6500713,101321846.58167711 
 01/07  23:00:00,,,5325035.6500713,101321846.58167711 
 01/07  24:00:00,,,5325035.6500713,101321846.58167711 
 01/08  01:00:00,,,5325035.6500713,101321846.58167711 
 01/08  02:00:00,,,5325035.6500713,101321846.58167711 
 01/08  03:00:00,,,5325035.6500713,101321846.58167711 
 01/08  04:00:00,,,5325035.6500713,101321846.58167711 
 01/08  05:00:00,,,5325035.6500713,101321846.58167711 
