Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,6706801.969809905,3763653795.7595015,0.0,16285866251.62788,0.0,3040052544.4141192,30345589.501605175,2674848085.7893167,10858681.081457298,11425735296.85295,6748620.240025315,3669795730.60354,0.0,15527370850.053778,0.0,3025458979.0476236,29339727.223593734,2657446809.983978,9865603.945562985,11338543533.223902,8550811.147077272,3659305788.522587,0.0,15659439993.464952,0.0,2965641841.8426113,34263619.59488725,2668627982.51353,12578247.632901378,7436065058.22282,11831789.67751824,4379094623.830162,0.0,11290392595.200087,446710041.0299155,5090993857.741641,0.0,6504531072.691217,0.0,3278980329.3004403,0.0,12310556196.577469,6285320.451348242,8619393650.066858,956871.8332924793,12231434474.784027,16969798.33066003,3626305245.779933,3733222.9911489342,8772934582.41746,228851347790.5165,51328067884.69527 
February,12960.056566366438,3656863085.84,0.0,15405855534.905151,0.0,3092367258.103776,6721464.33875103,2629207689.972125,1881950.9535226866,10854971654.829199,618.0951304642804,3573530838.4618187,0.0,14739062025.085949,0.0,3077738348.791754,6437930.646844159,2614582241.235518,1687696.228504249,10781195567.238249,29265.85282076485,3581661678.6009135,0.0,14988514343.221748,0.0,3070873652.0961366,6620513.3725714935,2653984297.8794394,1610412.2017338318,7184981675.389181,6199782.540874405,4244536291.700063,0.0,11224782406.415636,203276344.1289706,5023999963.63625,0.0,6419900446.576745,0.0,3567705574.8572264,0.0,12431677780.022486,1696417.9745564908,8934480023.851286,859184.6706540617,11740075686.306665,9669199.290096914,3833294783.308728,200979.83219183088,8953476702.084799,211301863444.19308,44224376198.36835 
March,0.0,3793477627.8715076,0.0,15267140966.855204,0.0,3774461303.9933395,1866788.844826921,3017633326.377534,105603.96345341805,12238148545.047161,0.0,3695263399.0239496,0.0,14615482229.334906,0.0,3756661777.187176,1703560.647866791,3002434971.651504,83290.88193206875,12154882969.976263,0.0,3699386203.6789255,0.0,14941395950.676903,0.0,3736980066.110459,1714334.1416254453,3047963597.5257955,387947.7462291113,8124835905.414604,5016616.95286374,5024782354.857292,0.0,13731370310.769205,265949567.08877552,5105154837.75143,0.0,7775656533.763403,0.0,4724948119.5032835,0.0,13761704568.617088,2167711.2758675534,11189852978.813307,971284.2117812169,13814367788.134941,9641751.134673962,5016321454.806928,0.0,10900527858.418428,241326816886.90305,50669189747.18551 
April,0.0,3860337869.6429453,0.0,14515515738.731743,0.0,4257667529.888446,0.0,3447514987.209154,0.0,13392865525.42984,0.0,3749517454.398698,0.0,13883116170.730074,0.0,4205252213.9329443,0.0,3439431892.5335937,0.0,13321106225.68072,0.0,3753232434.6332884,0.0,14194226244.483887,0.0,4225205611.157195,0.0,3499608526.340251,0.0,8940838362.861885,91425.57435644402,5453118811.813857,0.0,14271565049.449814,75362356.69792265,5743111768.804789,0.0,7845404622.722878,0.0,5389043989.716211,0.0,14048932449.592138,1270703.2965864302,12461567516.21623,676983.6548692905,13597144078.329184,4088861.3266364066,6491938225.863041,0.0,12229446068.753822,239133089035.56308,44238365977.53872 
May,0.0,3968196259.445276,0.0,14865856714.841156,0.0,4809093584.904383,0.0,3935782099.8621244,0.0,15154205937.46861,0.0,3845787799.7471995,0.0,14217351163.169344,0.0,4757092461.0186,0.0,3934344292.834806,0.0,15102217180.82526,0.0,3862776716.740766,0.0,14587964144.48615,0.0,4826924312.099317,0.0,4034294617.844899,0.0,10252378003.786884,0.0,6057079276.631295,0.0,15471213788.878143,5160383.2083323905,6544586041.08557,0.0,8520068036.04921,0.0,5883524851.832792,0.0,15132316497.590858,785084.0099362244,13868477280.942535,361326.5843157396,14800330655.91829,1346471.0656560962,8032732200.392625,0.0,14040789976.342867,271109091468.3317,46703581359.76423 
June,0.0,4290627749.6086555,0.0,15942600248.55984,0.0,5217283071.186149,0.0,4395266791.142538,0.0,16709546195.229757,0.0,4145829183.2405324,0.0,15159543705.485792,0.0,5136176755.126045,0.0,4384311463.130592,0.0,16633061339.674559,0.0,4179753308.376966,0.0,15649277087.352892,0.0,5269892716.959848,0.0,4515734234.056735,0.0,11429404681.32452,0.0,6406542995.402716,0.0,15396292233.549728,0.0,7476932927.127568,0.0,8441846864.300858,0.0,5980447496.566576,0.0,16115284898.685534,992566.3717103516,14011773137.218868,219906.38400402036,14206474379.536242,421484.2142981846,9294557166.579744,0.0,14867995804.402878,274172405731.62103,41305924236.956 
July,0.0,3974635562.6331134,0.0,13746863821.27256,0.0,3511652372.7786236,0.0,4013316937.207015,0.0,14756959110.697979,0.0,3836565276.7378483,0.0,13128094152.339727,0.0,3429174515.9279766,0.0,4012518988.1153655,0.0,14701171769.38593,0.0,3854118385.8229876,0.0,13311397303.043997,0.0,3544578058.6981826,0.0,4127487814.0781856,0.0,10006083489.061407,0.0,5992842261.568648,0.0,11337152717.862015,0.0,7056001701.636458,0.0,6199387677.56905,0.0,4771991345.811583,0.0,13795133884.137564,902237.7723390935,12118412147.519732,513134.8385248499,13106685579.70741,750513.8072225915,9079842740.518463,0.0,12661510812.915,213612548724.8903,35584341242.013565 
August,0.0,4524254219.394572,0.0,15463441555.098213,0.0,3678172651.578483,0.0,4258595856.6129127,0.0,15432984479.047096,0.0,4375880362.23508,0.0,14687335615.891623,0.0,3600455084.3220487,0.0,4252423363.80328,0.0,15374971611.65504,0.0,4403708394.511458,0.0,14974455726.992544,0.0,3736541509.909615,0.0,4374553138.419254,0.0,10457888628.056372,0.0,6042440948.053862,0.0,11652881198.732079,0.0,7639265023.272739,0.0,6377884421.847609,0.0,5038504383.083761,0.0,14550150059.901217,1404550.0421763018,12139486579.972546,701705.4373611028,13564984142.521795,1423314.7597596627,9075674293.211897,0.0,12675466343.108068,223715276121.93066,38375155442.72143 
September,0.0,4912793745.19555,0.0,18477938834.79259,0.0,4910771647.332435,0.0,4283442186.070805,0.0,16441347961.010786,0.0,4812396123.819506,0.0,17760575333.30224,0.0,4883779782.736779,0.0,4294072745.4310875,0.0,16414697936.222,0.0,4817692044.636957,0.0,18136875296.642517,0.0,4984097591.893581,0.0,4370607508.344725,0.0,11066888448.741734,0.0,6135122966.006542,0.0,14308666559.681332,0.0,7866664453.407426,0.0,7839642440.057719,0.0,5669910967.40349,0.0,16687263510.12314,689417.7861146551,12972461088.319237,303342.4129167293,13564814831.052067,1428058.748584436,8671422863.187206,0.0,13884711131.510427,271542558957.28152,38679559890.522064 
October,0.0,5327341955.083077,0.0,20753914938.799553,0.0,4957396652.752167,0.0,4227397804.4528785,0.0,16641918199.200844,0.0,5203016756.26859,0.0,19860183608.00024,0.0,4919294114.871939,0.0,4201297724.9412565,0.0,16514514155.880302,0.0,5229102113.438727,0.0,20293052498.817905,0.0,5003817718.633035,0.0,4273980808.9205923,0.0,11111759791.160084,0.0,6065901736.011993,0.0,14571167251.703012,34107297.28507835,7757213281.469005,0.0,8030462830.096691,0.0,5541320727.524516,0.0,17230545433.004852,1044769.3160336367,12449592077.477053,507870.07422582974,14264440456.860338,2064989.9793593693,7794129792.498979,0.0,13541612750.436892,278351825435.26447,44668781165.90467 
