Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,6770053.373001883,3526662088.14368,0.0,15194334808.277527,0.0,2661827142.8854923,32008199.04867908,2518563368.462856,11732941.80096971,10676998221.156576,7304974.797096052,3418045642.9903345,0.0,14369294784.917173,0.0,2635423599.058163,31408255.306958612,2485544611.142731,11347866.370857574,10521755315.82142,9893591.455091564,3420817199.2436857,0.0,14551091960.736517,0.0,2594760308.2802486,39037756.03646895,2501617029.4133387,15158905.016299224,6915725776.521655,11682825.3300746,4159814322.2281704,0.0,10370021534.161644,412637294.66010296,4681324922.060685,0.0,6085630791.397319,0.0,2926532681.9221597,0.0,11516509319.410704,7365092.084249057,8001580527.530225,978048.37966801,12085532313.665693,14642155.918464417,3362222824.565123,2779321.0263765417,8097460090.67378,214993620622.8091,50535200580.759315 
February,0.0,3431242459.3937106,0.0,14407432670.733536,0.0,2745420314.326658,5931853.421208441,2477110464.1990504,1876823.8868969956,10146195535.22188,0.0,3336748651.4195256,0.0,13693195047.421427,0.0,2732384707.0960984,4494797.130905468,2450126353.5487156,1314631.8439959264,10016295917.694925,0.0,3343631802.895117,0.0,13933915655.983955,0.0,2720745456.622493,4803443.48725963,2483982467.7437234,1030310.7691017261,6670101256.511509,3199973.5514621795,4023460686.1291695,0.0,10348429970.386278,184170859.73697594,4581240433.467249,0.0,6039591646.4680195,0.0,3245276688.087134,0.0,11644802323.904495,1883069.0743620405,8303817029.907416,654156.9972154724,11542361693.687368,9772457.050502619,3558525164.9062257,0.0,8253107754.59923,198222583510.27435,43397013153.22232 
March,0.0,3551516487.988304,0.0,14201982634.200895,0.0,3380667179.762977,1182866.3696201313,2826372284.78385,0.0,11371666993.268005,0.0,3448899649.568379,0.0,13538628025.274233,0.0,3368295095.482751,1046666.3395704629,2803193500.3330584,0.0,11258378690.575762,0.0,3444608956.247375,0.0,13810960338.880186,0.0,3331722655.707907,1025629.0964149793,2840495638.639262,0.0,7515539675.205074,2965428.4649355845,4785515003.107832,0.0,12794127349.889933,246358901.34650642,4655370596.910533,0.0,7363174885.517452,0.0,4363291764.9832945,0.0,12903186504.522148,3001777.2063825303,10534331788.835163,777873.1691272313,13678203672.259829,9789588.457974253,4730126202.420757,0.0,10137645146.307549,226357488127.25,50295325432.71787 
April,0.0,3607272349.9106107,0.0,13445073937.318518,0.0,3878619618.863723,0.0,3215787331.0628095,0.0,12404686738.083864,0.0,3493322242.4236226,0.0,12828002283.298296,0.0,3837032998.9737043,0.0,3204534250.3021154,0.0,12338204970.821724,0.0,3506590126.8182063,0.0,13149962301.714672,0.0,3863750192.2413774,0.0,3265966622.541319,0.0,8288285148.382006,0.0,5185651043.688681,0.0,13399223120.80762,69666322.06230898,5274443018.512833,0.0,7437459348.532881,0.0,5044305886.927415,0.0,13208123150.45527,1292359.6463439027,11867816555.200386,683688.0155009361,13463454543.51418,3670786.1975500304,6113412322.645827,0.0,11478759324.535805,224678898683.98074,44192656641.71085 
May,0.0,3712637002.643766,0.0,13771285887.01809,0.0,4466915042.603347,0.0,3682200615.304952,0.0,14062687248.111979,0.0,3581638724.917247,0.0,13110439228.53017,0.0,4392000785.314162,0.0,3671156981.713153,0.0,13990462945.058722,0.0,3607770904.904349,0.0,13502935874.835669,0.0,4452095868.310023,0.0,3778813598.2489433,0.0,9530600293.344711,0.0,5773967238.673746,0.0,14586597151.030664,3645683.9045013627,6043183247.147931,0.0,8092420998.151076,0.0,5527267017.380028,0.0,14264521151.561132,778576.2809082727,13157384749.05528,364189.7332536679,14632613404.798347,1370216.289453545,7639032482.464828,0.0,13263332919.625803,256409157345.5839,46692806578.22316 
June,0.0,4042568713.110205,0.0,14892494407.624939,0.0,4863570575.562306,0.0,4148381081.534062,0.0,15660297178.113956,0.0,3902815910.259007,0.0,14137578816.05676,0.0,4803029119.1210375,0.0,4141782347.6813173,0.0,15592839860.908112,0.0,3930067889.954652,0.0,14588678701.302517,0.0,4907783081.553985,0.0,4263864429.1004,0.0,10707728824.243479,0.0,6112410568.630403,0.0,14526436954.20405,0.0,6955025880.5214405,0.0,8029285305.00354,0.0,5638376162.750045,0.0,15256326045.427538,989604.8152024689,13415640889.42216,177605.14928100182,14095802533.812565,1108681.2504801368,8942471287.989382,0.0,14112103997.577305,260367534970.55154,41292770842.85828 
July,0.0,3773071087.558605,0.0,12944276253.792215,0.0,3281063952.478639,0.0,3813690311.7451334,0.0,13939296139.14663,0.0,3636851359.0182066,0.0,12337338548.740652,0.0,3218382743.094234,0.0,3813051327.908518,0.0,13873982264.622005,0.0,3671971690.229931,0.0,12578138674.56774,0.0,3343286056.143411,0.0,3945656691.1069403,0.0,9501361365.264668,0.0,5714597799.432917,0.0,10721207440.620743,0.0,6606486049.267985,0.0,5930627610.738591,0.0,4536375055.808835,0.0,13145936347.556784,955109.4826017643,11655906496.825207,534314.3086563868,12970546217.082937,987207.4872226664,8746958646.760777,0.0,12051282184.373983,204922825870.31714,35571169762.530594 
August,0.0,4326554701.964899,0.0,14678548151.594446,0.0,3441596359.546514,0.0,4070084261.355373,0.0,14675227400.234385,0.0,4186792562.1043034,0.0,13925214793.666378,0.0,3378800669.339174,0.0,4067674339.752778,0.0,14625268988.751387,0.0,4207988938.1570373,0.0,14195642327.698965,0.0,3500029672.0061636,0.0,4185000498.486562,0.0,9955026066.3952,0.0,5803313570.185239,0.0,11090269542.835005,0.0,7181619136.095199,0.0,6111598858.525988,0.0,4802573084.179263,0.0,13934653317.165518,1385833.845447528,11694623741.388462,483114.13486100076,13487629254.280441,888878.7593040466,8750788366.21799,0.0,12132854749.09922,215188261842.74353,38365821881.49713 
September,0.0,4697205000.757818,0.0,17547016978.76608,0.0,4606791692.5897,0.0,4076870423.8372207,0.0,15551676432.18982,0.0,4568284032.506141,0.0,16720687235.6999,0.0,4546048746.5421,0.0,4061217627.9597063,0.0,15435612691.1187,0.0,4605268808.948106,0.0,17210906045.948917,0.0,4667917945.127642,0.0,4166277352.2078915,0.0,10488158919.582714,0.0,5865523226.799194,0.0,13493057618.310501,0.0,7363293730.577655,0.0,7446713596.759697,0.0,5338970215.412666,0.0,15856397512.259321,834607.408600204,12386406938.88854,218504.86815983913,13442035853.088013,1276923.055315956,8348461422.689044,0.0,13160091687.04454,259575860619.201,38670153423.55317 
October,0.0,5088052800.290658,0.0,19721031823.456295,0.0,4601626574.3235,0.0,4025657829.1041327,0.0,15736175048.422031,0.0,4949569320.540104,0.0,18772852483.384346,0.0,4543185849.302597,0.0,3987618095.1357594,0.0,15570578930.909824,0.0,4977895766.8662195,0.0,19210267820.63943,0.0,4629343443.213859,0.0,4060320282.378009,0.0,10489927886.809969,0.0,5811331119.312244,0.0,13747403209.237514,30152781.309987154,7290312447.325508,0.0,7631589871.754738,0.0,5211544582.969458,0.0,16438154128.310034,1586275.5943535836,11832572127.108881,582835.0751415321,14149316075.936993,2598045.3198080757,7423941168.833016,0.0,12840451299.522749,265375226747.4306,44648612561.43768 
