Time,VAV_POD_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Heat Cap [W],VAV_POD_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Sens Cool Cap [W],VAV_POD_1:DesPer 1:Des Tot Cool Cap [W],VAV_POD_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Heat Cap [W],VAV_POD_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Sens Cool Cap [W],VAV_POD_1:DesPer 2:Des Tot Cool Cap [W],VAV_POD_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Heat Cap [W],VAV_POD_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Sens Cool Cap [W],VAV_POD_2:DesPer 1:Des Tot Cool Cap [W],VAV_POD_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Heat Cap [W],VAV_POD_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Sens Cool Cap [W],VAV_POD_2:DesPer 2:Des Tot Cool Cap [W],VAV_POD_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Heat Cap [W],VAV_POD_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Sens Cool Cap [W],VAV_POD_3:DesPer 1:Des Tot Cool Cap [W],VAV_POD_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Heat Cap [W],VAV_POD_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Sens Cool Cap [W],VAV_POD_3:DesPer 2:Des Tot Cool Cap [W],VAV_OTHER:DesPer 1:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Heat Cap [W],VAV_OTHER:DesPer 1:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Sens Cool Cap [W],VAV_OTHER:DesPer 1:Des Tot Cool Cap [W],VAV_OTHER:DesPer 2:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Heat Cap [W],VAV_OTHER:DesPer 2:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Sens Cool Cap [W],VAV_OTHER:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Heat Cap [W],PSZ-AC_2:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Heat Cap [W],PSZ-AC_2:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_1:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Heat Cap [W],PSZ-AC_1:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Heat Cap [W],PSZ-AC_1:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Heat Cap [W],PSZ-AC_2:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Heat Cap [W],PSZ-AC_2:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.902744E+00,5.563888E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.390337E+00,2.349348E+04,5.336314E+04,1.892498E+00,5.533927E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.383251E+00,2.342384E+04,5.320494E+04,1.685553E+00,4.928790E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.110925E+00,2.074727E+04,4.712538E+04,2.240336E+00,4.782986E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,4.007265E+00,4.358774E+04,7.001651E+04,2.973352E-01,1.548937E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.581931E+03,7.288888E-01,8.040620E+03,1.211132E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.167453E+03,5.111878E-01,5.501792E+03,9.103200E+03,4.839199E-01,1.790417E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.042880E+03,3.577883E-01,3.754521E+03,7.052276E+03
00:20:00,1.902597E+00,5.563458E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.376603E+00,2.313639E+04,5.282795E+04,1.892349E+00,5.533490E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.369781E+00,2.306999E+04,5.267632E+04,1.685431E+00,4.928433E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.098678E+00,2.043077E+04,4.665013E+04,2.240118E+00,4.783165E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,3.990766E+00,4.322936E+04,6.963803E+04,2.972695E-01,1.548812E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.606394E+03,7.255351E-01,7.976901E+03,1.204453E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.189703E+03,5.199530E-01,5.581892E+03,9.195908E+03,4.838809E-01,1.790343E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.064465E+03,3.545119E-01,3.694586E+03,6.984384E+03
00:30:00,1.902451E+00,5.563032E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.363165E+00,2.278474E+04,5.230198E+04,1.892201E+00,5.533056E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.356635E+00,2.272177E+04,5.215745E+04,1.685310E+00,4.928079E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.086705E+00,2.011921E+04,4.618331E+04,2.239902E+00,4.783342E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,3.974578E+00,4.287463E+04,6.926334E+04,2.972041E-01,1.548687E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.630857E+03,7.222396E-01,7.913862E+03,1.197843E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.211953E+03,5.287428E-01,5.662346E+03,9.292177E+03,4.838421E-01,1.790269E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.086050E+03,3.512987E-01,3.635389E+03,6.917246E+03
00:40:00,1.902191E+00,5.562271E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.350009E+00,2.243828E+04,5.178479E+04,1.891938E+00,5.532289E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.343781E+00,2.237881E+04,5.164754E+04,1.685088E+00,4.927432E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.074985E+00,1.981230E+04,4.572436E+04,2.239586E+00,4.783604E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,3.958686E+00,4.252337E+04,6.889225E+04,2.971260E-01,1.548537E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.655320E+03,7.189985E-01,7.851460E+03,1.191300E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.234203E+03,4.813976E-01,5.089419E+03,8.610916E+03,4.837749E-01,1.790142E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.107635E+03,3.481467E-01,3.576909E+03,6.850845E+03
00:50:00,1.902009E+00,5.561737E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.337115E+00,2.209675E+04,5.127592E+04,1.891753E+00,5.531749E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.331193E+00,2.204076E+04,5.114599E+04,1.684935E+00,4.926983E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.063502E+00,1.950982E+04,4.527289E+04,2.239341E+00,4.783807E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,3.943074E+00,4.217538E+04,6.852461E+04,2.970697E-01,1.548430E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.679783E+03,7.158088E-01,7.789660E+03,1.184818E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.256453E+03,4.360929E-01,4.541053E+03,7.960041E+03,4.837410E-01,1.790079E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.129220E+03,3.450544E-01,3.519129E+03,6.785167E+03
01:00:00,1.901819E+00,5.561183E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.324473E+00,2.176001E+04,5.077502E+04,1.891562E+00,5.531188E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.318853E+00,2.170739E+04,5.065225E+04,1.684775E+00,4.926516E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.052245E+00,1.921161E+04,4.482856E+04,2.239089E+00,4.784016E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,3.927726E+00,4.183048E+04,6.816017E+04,2.970558E-01,1.548403E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.704245E+03,7.126685E-01,7.728438E+03,1.178397E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.278703E+03,4.343941E-01,4.499087E+03,7.914178E+03,4.837538E-01,1.790105E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.150805E+03,3.420205E-01,3.462030E+03,6.720195E+03
01:10:00,1.901830E+00,5.561213E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.312240E+00,2.150143E+04,5.035953E+04,1.891572E+00,5.531219E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.306906E+00,2.145183E+04,5.024334E+04,1.684784E+00,4.926542E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.041346E+00,1.898240E+04,4.445958E+04,2.239104E+00,4.784004E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,3.912888E+00,4.154663E+04,6.785881E+04,2.970611E-01,1.548414E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.720554E+03,7.096099E-01,7.676327E+03,1.172914E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.293536E+03,4.326561E-01,4.464048E+03,7.875616E+03,4.837574E-01,1.790112E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.165195E+03,3.390826E-01,3.413253E+03,6.663895E+03
01:20:00,1.901840E+00,5.561243E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.300295E+00,2.124704E+04,4.995189E+04,1.891583E+00,5.531250E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.295231E+00,2.120027E+04,4.984193E+04,1.684793E+00,4.926567E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.030706E+00,1.875694E+04,4.409765E+04,2.239119E+00,4.783991E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,3.898366E+00,4.126648E+04,6.756138E+04,2.970665E-01,1.548424E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.736863E+03,7.066060E-01,7.624856E+03,1.167498E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.308370E+03,4.309539E-01,4.429425E+03,7.837733E+03,4.837611E-01,1.790119E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.179585E+03,3.362153E-01,3.365299E+03,6.608495E+03
01:30:00,1.901850E+00,5.561273E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.288642E+00,2.099682E+04,4.955212E+04,1.891593E+00,5.531280E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.283833E+00,2.095270E+04,4.944799E+04,1.684801E+00,4.926592E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.020326E+00,1.853520E+04,4.374273E+04,2.239134E+00,4.783979E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,3.884163E+00,4.099006E+04,6.726791E+04,2.970717E-01,1.548434E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.753171E+03,7.036544E-01,7.573998E+03,1.162145E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.323203E+03,4.292851E-01,4.395192E+03,7.800438E+03,4.837647E-01,1.790126E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.193975E+03,3.334182E-01,3.318169E+03,6.553992E+03
01:40:00,1.901860E+00,5.561303E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.277287E+00,2.075077E+04,4.916026E+04,1.891603E+00,5.531310E+04,9.854882E-01,0.000000E+00,0.000000E+00,9.854882E-01,0.000000E+00,2.272720E+00,2.070915E+04,4.906167E+04,1.684810E+00,4.926616E+04,8.667016E-01,0.000000E+00,0.000000E+00,8.667016E-01,0.000000E+00,2.010211E+00,1.831716E+04,4.339485E+04,2.239149E+00,4.783967E+04,1.634101E+00,0.000000E+00,0.000000E+00,1.634101E+00,0.000000E+00,3.870283E+00,4.071743E+04,6.697846E+04,2.970770E-01,1.548444E+04,2.617703E-01,0.000000E+00,0.000000E+00,2.617703E-01,4.769480E+03,7.007575E-01,7.523780E+03,1.156859E+04,2.380907E-01,1.346964E+04,2.380907E-01,0.000000E+00,0.000000E+00,2.380907E-01,4.338036E+03,4.276482E-01,4.361328E+03,7.763663E+03,4.837683E-01,1.790133E+04,2.309738E-01,0.000000E+00,0.000000E+00,2.309738E-01,4.208365E+03,3.306917E-01,3.271865E+03,6.500395E+03
