Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,,,5325035.6500713,91908883.61740513 
 01/01  02:00:00,,,5325035.6500713,91908883.61740513 
 01/01  03:00:00,,,5325035.6500713,91908883.61740513 
 01/01  04:00:00,,,5325035.6500713,91908883.61740513 
 01/01  05:00:00,,,5325035.6500713,91908883.61740513 
 01/01  06:00:00,,,5325035.6500713,91908883.61740513 
 01/01  07:00:00,,,5325035.6500713,91908883.61740513 
 01/01  08:00:00,,,5325035.6500713,91908883.61740513 
 01/01  09:00:00,,,5325035.6500713,91908883.61740513 
 01/01  10:00:00,,,5325035.6500713,91908883.61740513 
 01/01  11:00:00,,,5325035.6500713,91908883.61740513 
 01/01  12:00:00,,,5325035.6500713,91908883.61740513 
 01/01  13:00:00,,,5325035.6500713,91908883.61740513 
 01/01  14:00:00,,,5325035.6500713,91908883.61740513 
 01/01  15:00:00,,,5325035.6500713,91908883.61740513 
 01/01  16:00:00,,,5325035.6500713,91908883.61740513 
 01/01  17:00:00,,,5325035.6500713,91908883.61740513 
 01/01  18:00:00,,,5325035.6500713,91908883.61740513 
 01/01  19:00:00,,,5325035.6500713,91908883.61740513 
 01/01  20:00:00,,,5325035.6500713,91908883.61740513 
 01/01  21:00:00,,,5325035.6500713,91908883.61740513 
 01/01  22:00:00,,,5325035.6500713,91908883.61740513 
 01/01  23:00:00,,,5325035.6500713,91908883.61740513 
 01/01  24:00:00,,,5325035.6500713,91908883.61740513 
 01/02  01:00:00,,,5325035.6500713,91908883.61740513 
 01/02  02:00:00,,,5325035.6500713,91908883.61740513 
 01/02  03:00:00,,,5325035.6500713,91908883.61740513 
 01/02  04:00:00,,,5325035.6500713,91908883.61740513 
 01/02  05:00:00,,,5325035.6500713,91908883.61740513 
 01/02  06:00:00,,,5325035.6500713,91908883.61740513 
 01/02  07:00:00,,,5325035.6500713,91908883.61740513 
 01/02  08:00:00,,,5325035.6500713,91908883.61740513 
 01/02  09:00:00,,,86519696.34976341,261619295.55621415 
 01/02  10:00:00,,,89719630.39624734,261619295.55621415 
 01/02  11:00:00,,,84204422.35246356,263705855.55621415 
 01/02  12:00:00,,,81896258.69811104,263705855.55621415 
 01/02  13:00:00,,,82719267.67178869,263705855.55621415 
 01/02  14:00:00,,,83982428.42675054,261619295.55621415 
 01/02  15:00:00,,,87326384.98485419,261619295.55621415 
 01/02  16:00:00,,,101183906.06494069,260576015.55621415 
 01/02  17:00:00,,,123780217.75430664,260576015.55621415 
 01/02  18:00:00,,,132911862.33599998,106487012.04702625 
 01/02  19:00:00,,,132911862.33599998,106487012.04702625 
 01/02  20:00:00,,,132911862.33599998,106487012.04702625 
 01/02  21:00:00,,,126311300.2428758,106487012.04702625 
 01/02  22:00:00,,,8574105.865767913,91908883.61740513 
 01/02  23:00:00,,,5325035.6500713,91908883.61740513 
 01/02  24:00:00,,,5325035.6500713,91908883.61740513 
 01/03  01:00:00,,,5325035.6500713,91908883.61740513 
 01/03  02:00:00,,,5325035.6500713,91908883.61740513 
 01/03  03:00:00,,,5325035.6500713,91908883.61740513 
 01/03  04:00:00,,,5325035.6500713,91908883.61740513 
 01/03  05:00:00,,,5325035.6500713,91908883.61740513 
 01/03  06:00:00,,,5325035.6500713,91908883.61740513 
 01/03  07:00:00,,,5325035.6500713,91908883.61740513 
 01/03  08:00:00,,,5325035.6500713,91908883.61740513 
 01/03  09:00:00,,,86142987.63063669,261619295.55621415 
 01/03  10:00:00,,,88766520.27983499,261619295.55621415 
 01/03  11:00:00,,,83862865.99425845,263705855.55621415 
 01/03  12:00:00,,,81420484.19230145,263705855.55621415 
 01/03  13:00:00,,,81400033.97636046,263705855.55621415 
 01/03  14:00:00,,,83408916.38608208,261619295.55621415 
 01/03  15:00:00,,,86590698.84869726,261619295.55621415 
 01/03  16:00:00,,,106034119.0570112,260576015.55621415 
 01/03  17:00:00,,,124042991.38575104,260576015.55621415 
 01/03  18:00:00,,,132911862.33599998,106487012.04702625 
 01/03  19:00:00,,,132911862.33599998,106487012.04702625 
 01/03  20:00:00,,,132911862.33599998,106487012.04702625 
 01/03  21:00:00,,,126311300.2428758,106487012.04702625 
 01/03  22:00:00,,,8574105.865767913,91908883.61740513 
 01/03  23:00:00,,,5325035.6500713,91908883.61740513 
 01/03  24:00:00,,,5325035.6500713,91908883.61740513 
 01/04  01:00:00,,,5325035.6500713,91908883.61740513 
 01/04  02:00:00,,,5325035.6500713,91908883.61740513 
 01/04  03:00:00,,,5325035.6500713,91908883.61740513 
 01/04  04:00:00,,,5325035.6500713,91908883.61740513 
 01/04  05:00:00,,,5325035.6500713,91908883.61740513 
 01/04  06:00:00,,,5325035.6500713,91908883.61740513 
 01/04  07:00:00,,,5325035.6500713,91908883.61740513 
 01/04  08:00:00,,,5325035.6500713,91908883.61740513 
 01/04  09:00:00,,,75620640.15235935,261619295.55621415 
 01/04  10:00:00,,,86479807.58536462,261619295.55621415 
 01/04  11:00:00,,,84562378.70055479,263705855.55621415 
 01/04  12:00:00,,,82085846.99211995,263705855.55621415 
 01/04  13:00:00,,,82097207.3062495,263705855.55621415 
 01/04  14:00:00,,,83055158.7744891,261619295.55621415 
 01/04  15:00:00,,,85189314.23395465,261619295.55621415 
 01/04  16:00:00,,,92904448.31567265,260576015.55621415 
 01/04  17:00:00,,,121583625.596667,260576015.55621415 
 01/04  18:00:00,,,132911862.33599998,106487012.04702625 
 01/04  19:00:00,,,132911862.33599998,106487012.04702625 
 01/04  20:00:00,,,132911862.33599998,106487012.04702625 
 01/04  21:00:00,,,126311300.2428758,106487012.04702625 
 01/04  22:00:00,,,8574105.865767913,91908883.61740513 
 01/04  23:00:00,,,5325035.6500713,91908883.61740513 
 01/04  24:00:00,,,5325035.6500713,91908883.61740513 
