Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,4578200302.920666,61459670.82891469,11688403122.297188,668862206.5489086,2531071843.323485,163857724.24113342,5593877537.2886505,10469520.608606244,15872611110.42192,60516601.214818515,4635880853.061495,55852973.44310891,11747338521.558645,580218813.949875,2557117707.024286,156505985.93152487,5592112054.991852,10444388.562436495,15875057025.655981,60462115.48801431,4621038817.206594,57240368.44737345,11631070867.675179,650022838.4070778,2567197007.8112907,159595955.95345658,5579257297.860001,8499269.981103526,10595500584.021488,41013717.70964223,5243921936.489126,27168075.190404594,4267458736.8040094,1155055028.873642,12045229688.425508,35907330.98772373,338371713.7064126,186617534.8498054,3242315144.368909,16161133.96960259,10237667766.089636,203678583.87119427,4818050579.9756155,179065103.72879514,93417327.44823799,5273378751.500003,10140453039.944302,2536.148642866756,11453602106.860254,65008234.81775689,109557379944.52446,566372293110.0527 
February,4200831037.5038033,54986103.21511131,10994394689.371422,569577500.2547507,2378355056.627271,185741951.0444007,5158726176.347481,8662691.617050363,15025466438.22304,44028435.44920245,4239740017.694002,50487186.96115915,10892069245.177435,507325787.5726262,2386271461.06903,181225782.47515878,5154063607.865252,8678510.016735213,15015537693.394001,44025408.99978679,4234638936.513201,51002519.79103983,10800019500.019855,572283346.4930555,2399535629.5536017,185197037.71101472,5118430979.092884,7265055.819128297,9922220540.568691,30341376.21640099,4874974678.51183,17735237.107522193,4407236158.74413,1350027055.8553576,11628044778.100098,24331715.315054297,432630922.5353664,296501192.5827814,3000969558.0518093,26284771.269749437,9698194787.285141,177255336.03451148,4359819272.0816765,189894721.7578776,87729355.06583776,4793567019.488047,9599831226.079298,9613.079350452099,10716171010.92267,53424244.15252155,98162056458.90225,539601443149.88306 
March,2657089338.442211,512615432.10876083,6677417265.573082,3010392070.652145,1339587490.319227,712389382.8270068,3519934027.3586564,152905629.51969093,10305036135.011496,595532446.7296413,2695553431.677577,488026452.90632176,6702000568.794259,2783152279.218813,1358856864.1288333,712745352.1261667,3516040972.856423,153534689.4795501,10301078160.294668,595610677.9577975,2696104776.92535,484844027.7269452,6662783372.9543705,2913231358.0657506,1357260318.8601723,715241621.4996325,3471622475.456911,163693620.68447742,6749605502.322847,447237187.6377182,3329336313.3275347,278938919.437551,1881035382.10633,2984345017.9576297,9129946618.28948,204169849.96975562,33998072.97851387,221646719.28085482,1504048950.090402,78729369.74918865,5374564540.376882,1567417053.2634428,2020147349.1937187,2027449490.2455912,43996524.25573899,7008819003.302839,5708726963.798458,535662495.71256566,6645149909.316207,1002242055.2625928,110503074121.9082,411916328138.93945 
April,1255783059.8725638,631137837.5760489,3108736630.519156,3340855129.0715547,456085256.1437097,915489581.8406669,1707091537.5557692,292783965.4423987,4911843720.148158,1049707468.9748914,1293895018.1469157,590220461.6911505,3199534986.81501,3034593496.8197117,476561829.81441385,914905960.7686204,1702733588.9281034,290118077.96116596,4905671763.999002,1035888036.8341695,1281011416.0808117,589241059.6265519,3140243916.381476,3189651597.7223654,461412967.3388066,916528280.0216926,1648385126.9033885,314093422.15337133,3132079523.2831597,794020694.3631151,1515692499.7035098,472200926.9513478,263308104.71349093,4324643033.910158,5919431480.12643,170890153.39479434,0.0,214830127.73390523,260033170.28708622,92997180.02747357,1614911517.4751391,2265099749.684895,232231286.8156195,3565057247.4673615,7887642.420556636,7583120510.634378,1909479097.041914,1117865998.8766036,2618249700.872145,1846790227.209058,98842285602.19005,255617821840.87817 
May,286604165.3816602,1429729879.4377832,707244396.1221564,6653606813.9690485,42823844.575735345,1386538748.2428784,431178338.31077784,1167928657.3982148,1292839603.2044861,4606430077.568962,307927977.7751528,1369928403.4855473,771867809.3484975,6245302163.929386,49404397.276142634,1397653578.8911214,431196680.3767,1154112283.0357132,1298975227.5671403,4555192773.264693,299046792.55597264,1377011683.9250712,746166118.1640147,6454689930.106551,44463348.47054539,1388787878.9899194,400978258.24516076,1196789082.8477008,805941645.8996809,3271679523.411865,371695706.38914126,1975969119.231753,395133.4840889841,6830501342.468084,1832557707.4687126,1377625916.568356,0.0,1617629803.9673991,214731.06967566977,715520318.0749408,45649382.77615955,4854307890.425258,29904284.136601713,6467120205.978304,1119651.9129019629,10115130875.595242,200024115.85438848,3082463857.25929,335484190.10797304,4719023716.625708,114756955614.76588,119711262946.17493 
June,2612412.9914108,2105549747.0690324,5492894.715666236,9809971607.549217,0.0,1663103942.1675172,5641662.304329067,1957104086.2192698,20890662.63289775,8744135320.933987,3465560.6122704726,2030937557.0323653,8052184.118184216,9359069780.816875,0.0,1690459782.1369839,5499462.926351863,1937484813.2405028,20605595.720200785,8659491533.828476,3099321.015139361,2050918610.89407,5641571.985370979,9617453705.522608,0.0,1688207250.0257916,3828167.3054591604,1991893386.9427972,8415856.389843082,6082543325.317111,5301096.493028154,3848697470.622576,0.0,8647042391.816265,563104953.6078907,2613281069.525069,0.0,3255583976.1185894,0.0,1960142644.2914262,0.0,7846004353.546766,8279036.720803575,8086481362.015228,1165067.0826052371,11645935201.816986,22385404.217144497,4637200212.189417,0.0,7471794441.998364,131602893080.49449,51358975413.36032 
July,0.0,2647849557.390346,0.0,11283623305.591034,0.0,1785963758.956335,0.0,2401828134.4967146,1783173.8082794058,10208536162.264587,0.0,2531583820.572645,0.0,10709816013.017822,0.0,1799372323.493468,0.0,2365300730.2801523,1745123.5072607803,10052287982.288298,0.0,2562954847.267721,0.0,10952063630.119123,0.0,1808094617.4494784,0.0,2424986381.4821997,72925.32271662766,7061370073.781206,150657.75331029008,4229563419.0485263,0.0,8539359576.434536,134470497.40562686,3549194104.133561,0.0,2603167764.2798133,0.0,2139404651.810312,0.0,8634992753.346922,3254863.8557168725,8015883938.73984,975968.9979482482,11371999580.186178,7065503.204717951,5164148249.017259,0.0,7902014260.165474,129420610774.63628,39771425704.17123 
August,0.0,2550007500.832447,28674.946035838,11296539441.512327,0.0,1717681501.5222187,38390.581554453456,2108380145.8354897,3049838.102888074,8512506890.620109,0.0,2438836700.1171966,0.0,10703479248.46979,0.0,1731306624.6722257,64939.19555555011,2072616623.3944619,3624514.4397023106,8366599118.391107,0.0,2464192782.7688904,0.0,10927379180.84511,0.0,1731961558.9261649,0.0,2119438913.0516038,798333.7750421386,5941783389.091134,180481.38421051524,3529812628.6612062,0.0,7782898171.262675,276135267.97111243,3218746235.4295006,0.0,2140068399.274393,0.0,1444015304.0290132,0.0,8077652915.044911,5656856.372308039,7007257474.6563015,952996.6134346165,11303851987.770138,18874828.403749954,4375677576.183019,0.0,7043179013.181876,123182416703.22534,49586408889.04488 
September,45268248.74583212,1933551178.1452487,69367726.7109119,9342733406.324186,690848.560032194,1486669006.9343925,140670086.18926,1426826671.4398906,365704624.9969596,6037886108.222597,50485610.84969725,1864093633.3008394,85156617.4958043,8951901675.42815,1309030.9280484288,1507814846.9095473,141731090.15883908,1409967188.4394302,372223263.4321394,5948522546.461902,49304678.04990889,1883870800.3902771,83760884.8802518,9120683926.87376,1241735.4133037862,1494468771.5411642,133793380.31026016,1438546912.0665627,250479632.78997827,4114555587.1065,93600336.35870574,2487432992.9227433,0.0,6556153932.944814,760983065.2296022,2151740719.69453,0.0,1849630685.8688726,0.0,800694860.7003878,0.0,5995095328.76418,22076899.967860237,5525186362.458008,689013.7217519382,9654371342.888529,31530568.711514615,3294974593.1877675,35419358.99666007,5134028510.746501,118724309844.26909,67963120837.34227 
October,603725820.2324257,1150355554.4122555,1259916289.7247887,6250967906.681005,211251880.47141415,1206869135.0109682,970802212.8985648,627526699.3029279,2565101149.573624,2752322043.6903663,620108875.7227677,1109205081.124253,1312047975.098868,5900555915.276632,222990321.78859028,1214902949.2425785,973988261.7426407,620195363.7167326,2580730190.4426923,2722263772.8029046,610760651.3167298,1110125946.6847672,1291128772.1560562,6014264193.904538,218316280.39148638,1197111728.8902943,951057099.0416455,635584379.1134627,1708006690.5533314,1845816187.769516,785164375.8192103,1087459012.5410473,142127038.3565043,5101898789.665874,3161747453.1898026,832476310.5442083,0.0,624337859.6215134,142719616.72493142,196723300.27036342,589052335.6111319,3523067706.659028,181181051.02439293,3848384483.515151,3611464.891194809,8533650375.380263,1010448602.8641251,1742412553.4383602,1328021266.3911312,2789341590.704602,109439481338.60071,176105693284.0441 
