Time,VAV_POD_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Heat Cap [W],VAV_POD_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Sens Cool Cap [W],VAV_POD_1:DesPer 1:Des Tot Cool Cap [W],VAV_POD_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Heat Cap [W],VAV_POD_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Sens Cool Cap [W],VAV_POD_1:DesPer 2:Des Tot Cool Cap [W],VAV_POD_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Heat Cap [W],VAV_POD_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Sens Cool Cap [W],VAV_POD_2:DesPer 1:Des Tot Cool Cap [W],VAV_POD_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Heat Cap [W],VAV_POD_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Sens Cool Cap [W],VAV_POD_2:DesPer 2:Des Tot Cool Cap [W],VAV_POD_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Heat Cap [W],VAV_POD_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Sens Cool Cap [W],VAV_POD_3:DesPer 1:Des Tot Cool Cap [W],VAV_POD_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Heat Cap [W],VAV_POD_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Sens Cool Cap [W],VAV_POD_3:DesPer 2:Des Tot Cool Cap [W],VAV_OTHER:DesPer 1:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Heat Cap [W],VAV_OTHER:DesPer 1:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Sens Cool Cap [W],VAV_OTHER:DesPer 1:Des Tot Cool Cap [W],VAV_OTHER:DesPer 2:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Heat Cap [W],VAV_OTHER:DesPer 2:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Sens Cool Cap [W],VAV_OTHER:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Heat Cap [W],PSZ-AC_2:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Heat Cap [W],PSZ-AC_2:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_1:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Heat Cap [W],PSZ-AC_1:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Heat Cap [W],PSZ-AC_1:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Heat Cap [W],PSZ-AC_2:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Heat Cap [W],PSZ-AC_2:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.882669E+00,8.429323E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.791261E+04,6.340074E+04,2.881760E+00,8.426665E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.791261E+04,6.340074E+04,2.540388E+00,7.428447E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.454814E+04,5.575869E+04,4.588773E+00,2.968800E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,1.990228E+04,4.588773E+00,4.918394E+04,7.821045E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.320412E+04,7.543644E-01,7.414287E+03,1.684082E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.213702E+03,4.157418E-01,4.162955E+03,8.721257E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.165069E+04,6.656157E-01,6.542018E+03,1.485955E+04
00:20:00,2.882647E+00,8.429260E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.764721E+04,6.312762E+04,2.881738E+00,8.426602E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.764721E+04,6.312762E+04,2.540367E+00,7.428384E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.431473E+04,5.551849E+04,4.588773E+00,2.968800E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,2.006339E+04,4.588773E+00,4.902282E+04,7.813246E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.327461E+04,7.543644E-01,7.343790E+03,1.676827E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.246877E+03,4.247112E-01,4.229661E+03,8.803632E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.171289E+04,6.656157E-01,6.479815E+03,1.479554E+04
00:30:00,2.882626E+00,8.429198E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.738181E+04,6.285449E+04,2.881717E+00,8.426539E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.738181E+04,6.285449E+04,2.540345E+00,7.428322E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.408132E+04,5.527828E+04,4.588773E+00,2.968800E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,2.022450E+04,4.588773E+00,4.886171E+04,7.805422E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.334511E+04,7.543644E-01,7.273294E+03,1.669572E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.280052E+03,4.337031E-01,4.296722E+03,8.886785E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.177510E+04,6.656157E-01,6.417612E+03,1.473152E+04
00:40:00,2.882573E+00,8.429041E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.711641E+04,6.258135E+04,2.881663E+00,8.426383E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.711641E+04,6.258135E+04,2.540292E+00,7.428166E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.384792E+04,5.503807E+04,4.588773E+00,2.968812E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,2.038562E+04,4.588773E+00,4.870060E+04,7.797578E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.341561E+04,7.543644E-01,7.202797E+03,1.662317E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.313227E+03,3.844877E-01,3.716636E+03,8.208107E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.183730E+04,6.656157E-01,6.355409E+03,1.466751E+04
00:50:00,2.882539E+00,8.428945E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.685101E+04,6.230827E+04,2.881630E+00,8.426286E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.685101E+04,6.230827E+04,2.540259E+00,7.428070E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.361451E+04,5.479790E+04,4.588773E+00,2.968826E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,2.054673E+04,4.588773E+00,4.853948E+04,7.789723E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.348610E+04,7.543644E-01,7.132300E+03,1.655063E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.346402E+03,3.549950E-01,3.356377E+03,7.788533E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.189950E+04,6.656157E-01,6.293206E+03,1.460350E+04
01:00:00,2.882505E+00,8.428843E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.658561E+04,6.203514E+04,2.881596E+00,8.426185E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.658561E+04,6.203514E+04,2.540225E+00,7.427969E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.338110E+04,5.455769E+04,4.588773E+00,2.968838E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,2.070784E+04,4.588773E+00,4.837837E+04,7.781861E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.355660E+04,7.543644E-01,7.061803E+03,1.647808E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.379577E+03,3.549950E-01,3.323202E+03,7.754393E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.196171E+04,6.656157E-01,6.231003E+03,1.453949E+04
01:10:00,2.882506E+00,8.428848E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.640868E+04,6.185302E+04,2.881597E+00,8.426189E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.640868E+04,6.185302E+04,2.540226E+00,7.427974E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.322549E+04,5.439752E+04,4.588773E+00,2.968838E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,2.081525E+04,4.588773E+00,4.827096E+04,7.779500E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.360360E+04,7.543644E-01,7.014805E+03,1.642971E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.401693E+03,3.549950E-01,3.301085E+03,7.731628E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.200318E+04,6.656157E-01,6.189534E+03,1.449680E+04
01:20:00,2.882508E+00,8.428853E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.623175E+04,6.167095E+04,2.881599E+00,8.426194E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.623175E+04,6.167095E+04,2.540228E+00,7.427979E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.306988E+04,5.423740E+04,4.588773E+00,2.968838E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,2.092266E+04,4.588773E+00,4.816355E+04,7.777130E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.365060E+04,7.543644E-01,6.967808E+03,1.638135E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.423810E+03,3.549950E-01,3.278968E+03,7.708868E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.204464E+04,6.656157E-01,6.148066E+03,1.445413E+04
01:30:00,2.882510E+00,8.428857E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.605481E+04,6.148888E+04,2.881600E+00,8.426198E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.605481E+04,6.148888E+04,2.540230E+00,7.427983E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.291428E+04,5.407727E+04,4.588773E+00,2.968838E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,2.103007E+04,4.588773E+00,4.805614E+04,7.774741E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.369759E+04,7.543644E-01,6.920810E+03,1.633298E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.445927E+03,3.549950E-01,3.256852E+03,7.686110E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.208611E+04,6.656157E-01,6.106597E+03,1.441146E+04
01:40:00,2.882511E+00,8.428862E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.587788E+04,6.130681E+04,2.881602E+00,8.426203E+04,2.839960E+00,0.000000E+00,0.000000E+00,2.839960E+00,0.000000E+00,2.839960E+00,2.587788E+04,6.130681E+04,2.540231E+00,7.427987E+04,2.497643E+00,0.000000E+00,0.000000E+00,2.497643E+00,0.000000E+00,2.497643E+00,2.275867E+04,5.391715E+04,4.588773E+00,2.968838E+04,4.588773E+00,0.000000E+00,0.000000E+00,4.588773E+00,2.113748E+04,4.588773E+00,4.794873E+04,7.772334E+04,7.543644E-01,4.267706E+04,7.543644E-01,0.000000E+00,0.000000E+00,7.543644E-01,1.374459E+04,7.543644E-01,6.873812E+03,1.628462E+04,3.549950E-01,2.008332E+04,3.549950E-01,0.000000E+00,0.000000E+00,3.549950E-01,6.468043E+03,3.549950E-01,3.234735E+03,7.663351E+03,6.656157E-01,3.765623E+04,6.656157E-01,0.000000E+00,0.000000E+00,6.656157E-01,1.212758E+04,6.656157E-01,6.065128E+03,1.436878E+04
