Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_2_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_1_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORRIDOR_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CORNER_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MULT_CLASS_2_POD_3_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),COMPUTER_CLASS_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MAIN_CORRIDOR_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LOBBY_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),MECH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),BATH_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),OFFICES_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),GYM_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),CAFETERIA_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Heating Energy [J](Monthly),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,4220473029.4162087,115166911.29121199,10351704582.10199,1250063312.6502361,2137429240.8036196,354092731.6982092,5158256938.804434,4064984.7485016743,13897435526.515516,124909139.63915847,4271556798.7097635,104427036.31617083,10400963004.424585,1146496856.2760818,2163563881.8669286,359636602.6607618,5157074285.962874,4122834.967272608,13905111163.39065,125113294.04827012,4257819467.293897,106984116.18775004,10335887348.340347,1272876886.6744764,2174090906.018991,356456230.07871103,5151138141.531028,4257221.751281383,9331715913.352646,81121067.3480843,4427252125.5365,60685399.37533248,3103513887.005052,1604770149.4901552,12006781762.16548,29401324.477232892,120148568.49192426,66438326.16913134,2579049239.0836306,19542320.906680394,8841026162.33354,501196360.0749822,3988402979.27366,902320375.5445312,56881834.39254473,5493991405.044884,8679080781.408695,95661086.5810148,9892911969.59359,256141723.86439604,103675086669.15382,459350596884.71405 
February,3877857340.357572,112212342.31175481,9837190417.720816,1192574447.7851646,2010657034.1307013,329980055.8239633,4755888253.367206,3598683.803726383,13235799855.276478,138780831.35415325,3908677800.8778954,100915951.65792724,9736513876.455904,1128158208.1767254,2022434899.585764,339056040.26837003,4751309746.952483,3686518.1908751037,13232083733.992577,140831899.410027,3903739839.49222,102155726.54945216,9695780859.336704,1246199692.7234015,2027250739.8277369,337100120.2651966,4721153643.638645,4381984.142917057,8800399405.131804,113105287.81056298,4186673625.3119235,72172626.54452425,2992072234.203058,1506060660.518259,11588871769.286243,23645455.957745582,131099397.43017071,60929168.215093926,2384819683.8601,19056882.57888765,8407432330.753147,471263184.31468004,3894882058.3850584,884748015.9209435,56541567.86048526,5078314828.660137,8273757103.951854,116767696.21114309,9370701202.64255,306423459.9874453,92538803519.48515,442066947700.92004 
March,2441987486.5635853,688781618.9745493,5916729461.991766,3917871405.1971884,1071907112.1399444,688483281.9751606,3195808423.5911827,251565021.97689053,8966869722.706833,1395661606.25365,2471551159.026035,656094628.3262761,5913664737.093523,3725035413.6901417,1089776317.4005628,704779530.6504617,3193116925.0694,253270269.0739411,8969572824.679754,1396435983.3756526,2465321651.8975163,656547940.4695342,5898576541.397469,3887503333.953627,1089568856.3270185,699658101.6854194,3153535077.0824885,269323438.4084851,5929348544.169177,973579430.7775624,2769792915.468814,658190381.8178576,901572051.2883912,3045810295.4731307,8701501884.590364,204626870.40124115,2580166.279134364,393361909.33308655,1062618422.4659637,59530924.92288615,4413617906.286479,1664223496.462149,1588558778.4568734,3231470119.669902,18925702.273088925,7001670863.70192,4823607641.77148,1213757533.3322403,5682076327.976901,1551227177.0767586,104111616305.65002,318284197982.0117 
April,1124835272.1135736,843181165.2095473,2564059108.6246133,4265863341.3235373,262842119.65153694,788745007.5901511,1507870066.0229957,459126716.437636,4101828705.178109,2206788742.863897,1154611538.0095863,794759315.8232193,2589819686.863101,4048444533.1516633,276417926.25765437,801292425.7740822,1506626357.6082776,457186265.3080797,4104881686.479484,2194932561.577892,1143181759.1480105,796853914.4630927,2578958158.414163,4183281083.3335915,277687525.58678114,792059093.2131897,1467348994.6075807,491353018.6508146,2691951453.170555,1534661979.1281965,1226178057.7399049,1024559996.2953321,412776.81235679606,3886061931.1259933,5241540172.802359,210234892.6772461,0.0,1005720838.3462422,60007342.6389424,112207929.31818907,887276441.0407625,2114066405.7451277,102886271.14831969,4870071969.77381,1097035.8399063803,7541921498.903819,1613779550.691701,2099802846.9260156,1823271024.718932,2181070560.899733,93031467580.80907,183498993645.44745 
May,216580400.5282016,1718144313.481784,388774897.99748254,7075865725.937767,11943169.651695758,1183091289.99423,323779240.9191563,1361626173.1963868,797384941.4579765,5200636790.900458,231393413.03342468,1643609015.9023426,401331694.29303735,6753101085.768185,13482059.7325622,1184230527.084862,323835974.5205679,1352319277.8075366,799838389.062224,5161240574.631098,223477080.29450628,1660137275.3979044,391163980.6729515,6921350924.664515,11548318.830612313,1199228394.3543508,301445465.3205102,1405531048.9795182,512500147.0029277,3564209236.41879,173957929.79265538,2288228549.9333177,0.0,5745199764.59499,1353539553.2093532,1527592565.188621,0.0,3476880247.3343663,0.0,1571315548.378899,2199771.86685251,5475897133.8074875,20537624.741298266,6906235686.294026,1039787.5787944626,11107176189.86003,77907329.57604916,3447650636.1913524,71801996.14569044,4723145952.66449,107845720834.34076,76330501510.56071 
June,245345.97388136463,2467084035.129408,0.0,9585957102.435259,0.0,1715950144.1769102,286794.22245533497,2136104703.0692475,0.0,7763005018.017772,357568.6920539767,2363495694.7468324,0.0,9124739673.457907,0.0,1681688889.04627,272823.01976703707,2120176658.8414366,0.0,7698724175.778557,297636.09768378356,2391186509.757152,0.0,9375583761.172932,0.0,1755494902.9615753,125349.1834508255,2207844065.784519,0.0,5363305747.474821,0.0,3731415763.000457,0.0,7937493962.629008,472604395.61622685,2787400271.503953,0.0,4926037003.122436,0.0,2920131725.9936957,0.0,9091220996.019491,3182044.244406477,8807199745.011988,1354938.178997476,12389997820.255594,12016151.551171709,5172421605.999196,0.0,7529232410.98037,124643920696.77135,42454399346.305145 
July,0.0,3008610031.0121026,0.0,10623929463.118309,0.0,1470847745.2636433,0.0,2546399468.3506036,0.0,8482255618.946626,0.0,2868942173.8784924,0.0,10031365213.382442,0.0,1426646703.453193,0.0,2519816632.4056087,0.0,8379352477.170375,0.0,2902316509.3241777,0.0,10225517840.088951,0.0,1509442856.8310165,0.0,2624249667.57871,0.0,5850827491.495029,0.0,3848767760.830477,0.0,6638389852.580586,117862770.87453052,3714478692.181523,0.0,3871826235.6065154,0.0,2885441152.733171,0.0,9391531599.22535,2137041.725519373,8499630430.932861,1306432.162756456,11660229730.570168,4854259.59550488,5427450474.357358,0.0,7472721093.760564,116083602859.16693,35804837205.998215 
August,0.0,2862387338.4655495,0.0,10606520196.444866,0.0,1287997035.4557815,0.0,2200157961.2180276,0.0,7627381182.674942,0.0,2738792752.1932445,0.0,10017942990.469353,0.0,1282082481.5609913,0.0,2177252744.376327,0.0,7546460748.569153,0.0,2775559068.6264353,0.0,10249677975.517231,0.0,1316417871.8138192,0.0,2256914481.7670584,0.0,5252284199.023959,0.0,3410396789.001046,0.0,5808313549.716296,246397395.14787793,3407905478.570794,0.0,3445000597.049144,0.0,2200902797.987156,0.0,8946261778.614721,2505622.632540957,7507913310.430782,1165367.642603062,11701464996.921701,10711933.151470894,4535257722.417327,0.0,6438990787.965305,109546767414.3117,38858232772.68555 
September,20937242.785742935,2199255641.304499,2171638.5318368715,9083340144.889166,0.0,1160621402.9579988,70967903.97070715,1573245479.4876554,96602366.21466877,5961805810.323579,22707503.70988952,2134804215.0017872,2209803.1048224354,8685664017.616251,0.0,1161862325.02873,69853654.91056146,1565547427.8460686,95822937.45550658,5921904406.533074,22090144.11132913,2144786885.1212916,2500825.518255569,8837181486.199133,0.0,1179741922.6212106,66359484.90948846,1600712004.0069106,71086408.89573902,4015465092.4248104,7244307.500008226,2710314703.7927785,0.0,5348722513.326718,587238753.5065961,2300900358.5827255,0.0,3389358719.0204377,0.0,1534761436.0443947,0.0,6960663089.696888,14279662.247866184,5756915763.604439,888939.6791577963,10370320309.161648,17583966.14466751,3513175727.2519455,702305.1252524483,4929910313.841314,110803624964.17032,44591859274.88468 
October,501024901.7615906,1454670875.8492324,921683790.3836833,7179086913.366428,112187736.76267397,1038314981.3409129,805028501.7852873,878304012.0134337,1887652991.502459,4009654103.5499845,511156155.96097636,1410836396.9024162,924739713.8858215,6895789205.890331,117135349.69630978,1051639904.3493538,805484436.2695838,874338857.8884118,1894344896.1409402,3982900916.182938,502552273.6222173,1408122446.861601,927810508.6489364,6970751679.37828,118387112.90179321,1035263746.6886284,792024757.6605831,889418722.4357889,1310231142.3389425,2625697519.5782757,551976950.4758492,1599212433.2229083,22227988.9829972,4145987181.2972436,2529041544.8192544,915520363.5379575,0.0,1872104730.8503842,58268493.38073653,482065030.83569884,316848716.2601384,3593435252.7705016,89270844.6832722,4955746732.607264,857482.5076200061,8723721164.95336,685993503.0299156,2637981402.878701,811357485.9494076,2984837567.4710655,103729100302.32684,115131206400.63791 
