Time,VAV_POD_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Heat Cap [W],VAV_POD_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 1:Des Sens Cool Cap [W],VAV_POD_1:DesPer 1:Des Tot Cool Cap [W],VAV_POD_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Heat Cap [W],VAV_POD_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_1:DesPer 2:Des Sens Cool Cap [W],VAV_POD_1:DesPer 2:Des Tot Cool Cap [W],VAV_POD_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Heat Cap [W],VAV_POD_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 1:Des Sens Cool Cap [W],VAV_POD_2:DesPer 1:Des Tot Cool Cap [W],VAV_POD_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Heat Cap [W],VAV_POD_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_2:DesPer 2:Des Sens Cool Cap [W],VAV_POD_2:DesPer 2:Des Tot Cool Cap [W],VAV_POD_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Heat Cap [W],VAV_POD_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 1:Des Sens Cool Cap [W],VAV_POD_3:DesPer 1:Des Tot Cool Cap [W],VAV_POD_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Heat Cap [W],VAV_POD_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_POD_3:DesPer 2:Des Sens Cool Cap [W],VAV_POD_3:DesPer 2:Des Tot Cool Cap [W],VAV_OTHER:DesPer 1:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Heat Cap [W],VAV_OTHER:DesPer 1:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 1:Des Sens Cool Cap [W],VAV_OTHER:DesPer 1:Des Tot Cool Cap [W],VAV_OTHER:DesPer 2:Des Heat Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Heat Cap [W],VAV_OTHER:DesPer 2:Des Cool Mass Flow [kg/s],VAV_OTHER:DesPer 2:Des Sens Cool Cap [W],VAV_OTHER:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Heat Cap [W],PSZ-AC_2:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Heat Cap [W],PSZ-AC_2:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:5:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_1:6:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Heat Cap [W],PSZ-AC_1:6:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Heat Cap [W],PSZ-AC_1:6:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:6:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:6:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Heat Cap [W],PSZ-AC_2:7:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Heat Cap [W],PSZ-AC_2:7:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:7:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:7:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.882783E+00,5.505519E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.749237E+00,2.702093E+04,6.137539E+04,1.872462E+00,5.475338E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.738897E+00,2.691931E+04,6.114456E+04,1.668076E+00,4.877684E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.441777E+00,2.399905E+04,5.451149E+04,2.203705E+00,4.646073E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.482322E+00,4.826150E+04,7.452617E+04,2.911486E-01,1.512492E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.467393E+03,7.963111E-01,8.651845E+03,1.267619E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.063276E+03,5.347894E-01,5.681388E+03,9.235748E+03,4.841118E-01,1.768381E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,3.941817E+03,3.862931E-01,4.042366E+03,7.336029E+03
00:20:00,1.882636E+00,5.505090E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.733033E+00,2.660626E+04,6.075080E+04,1.872313E+00,5.474902E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.722987E+00,2.650847E+04,6.052750E+04,1.667954E+00,4.877329E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.427168E+00,2.362865E+04,5.395194E+04,2.203487E+00,4.646253E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.463667E+00,4.788859E+04,7.413491E+04,2.910823E-01,1.512365E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.491244E+03,7.927501E-01,8.587561E+03,1.260914E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.084970E+03,5.436925E-01,5.760580E+03,9.326327E+03,4.840728E-01,1.768306E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,3.962863E+03,3.828253E-01,3.981948E+03,7.268504E+03
00:30:00,1.882491E+00,5.504664E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.717242E+00,2.619861E+04,6.013846E+04,1.872165E+00,5.474470E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.707476E+00,2.610445E+04,5.992233E+04,1.667834E+00,4.876977E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.412927E+00,2.326452E+04,5.340331E+04,2.203270E+00,4.646431E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.445413E+00,4.752022E+04,7.374837E+04,2.910164E-01,1.512240E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.515096E+03,7.892498E-01,8.523968E+03,1.254279E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.106663E+03,5.526228E-01,5.840143E+03,9.420823E+03,4.840341E-01,1.768232E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,3.983908E+03,3.794258E-01,3.922306E+03,7.201768E+03
00:40:00,1.882231E+00,5.503905E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.701848E+00,2.579770E+04,5.953792E+04,1.871903E+00,5.473704E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.692347E+00,2.570698E+04,5.932856E+04,1.667613E+00,4.876331E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.399031E+00,2.290634E+04,5.286503E+04,2.202953E+00,4.646694E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.427547E+00,4.715626E+04,7.336639E+04,2.909377E-01,1.512089E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.538947E+03,7.858088E-01,8.461048E+03,1.247713E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.128357E+03,5.038238E-01,5.267654E+03,8.743213E+03,4.839670E-01,1.768106E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,4.004953E+03,3.760929E-01,3.863420E+03,7.135807E+03
00:50:00,1.882049E+00,5.503373E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.686840E+00,2.540330E+04,5.894883E+04,1.871719E+00,5.473165E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.677583E+00,2.531578E+04,5.874574E+04,1.667460E+00,4.875884E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.385457E+00,2.255382E+04,5.233655E+04,2.202708E+00,4.646899E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.410048E+00,4.679646E+04,7.298879E+04,2.908809E-01,1.511981E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.562798E+03,7.824259E-01,8.398788E+03,1.241216E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.150051E+03,4.572808E-01,4.721415E+03,8.097883E+03,4.839332E-01,1.768044E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,4.025999E+03,3.728251E-01,3.805274E+03,7.070613E+03
01:00:00,1.881860E+00,5.502820E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.672197E+00,2.501514E+04,5.837059E+04,1.871527E+00,5.472605E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.663176E+00,2.493069E+04,5.817352E+04,1.667301E+00,4.875419E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.372184E+00,2.220664E+04,5.181721E+04,2.202456E+00,4.647109E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.392906E+00,4.644072E+04,7.261540E+04,2.908666E-01,1.511954E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.586650E+03,7.791003E-01,8.337178E+03,1.234786E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.171745E+03,4.554815E-01,4.679455E+03,8.052189E+03,4.839465E-01,1.768071E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,4.047044E+03,3.696205E-01,3.747845E+03,7.006158E+03
01:10:00,1.881871E+00,5.502850E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.658032E+00,2.471694E+04,5.789072E+04,1.871538E+00,5.472636E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.649242E+00,2.463520E+04,5.769928E+04,1.667309E+00,4.875444E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.359326E+00,2.193928E+04,5.138503E+04,2.202471E+00,4.647096E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.376320E+00,4.614500E+04,7.230390E+04,2.908720E-01,1.511964E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.602551E+03,7.758618E-01,8.284507E+03,1.229275E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.186207E+03,4.536463E-01,4.644284E+03,8.013666E+03,4.839501E-01,1.768078E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,4.061074E+03,3.665134E-01,3.698538E+03,6.950151E+03
01:20:00,1.881881E+00,5.502880E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.644242E+00,2.442396E+04,5.742083E+04,1.871548E+00,5.472667E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.635684E+00,2.434492E+04,5.723500E+04,1.667318E+00,4.875469E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.346799E+00,2.167658E+04,5.096174E+04,2.202486E+00,4.647084E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.360113E+00,4.585358E+04,7.199694E+04,2.908774E-01,1.511975E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.618452E+03,7.726887E-01,8.232579E+03,1.223843E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.200670E+03,4.518509E-01,4.609563E+03,7.975858E+03,4.839538E-01,1.768085E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,4.075104E+03,3.634815E-01,3.650084E+03,6.895067E+03
01:30:00,1.881891E+00,5.502910E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.630810E+00,2.413599E+04,5.696050E+04,1.871559E+00,5.472697E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.622490E+00,2.405966E+04,5.678036E+04,1.667327E+00,4.875494E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.334598E+00,2.141844E+04,5.054713E+04,2.202501E+00,4.647071E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.344276E+00,4.556635E+04,7.169436E+04,2.908827E-01,1.511985E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.634353E+03,7.695802E-01,8.181384E+03,1.218486E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.215132E+03,4.500939E-01,4.575275E+03,7.938683E+03,4.839574E-01,1.768091E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,4.089135E+03,3.605243E-01,3.602479E+03,6.840900E+03
01:40:00,1.881901E+00,5.502940E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.617721E+00,2.385282E+04,5.650928E+04,1.871569E+00,5.472727E+04,9.608532E-01,0.000000E+00,0.000000E+00,9.608532E-01,0.000000E+00,2.609650E+00,2.377928E+04,5.633505E+04,1.667335E+00,4.875518E+04,8.450360E-01,0.000000E+00,0.000000E+00,8.450360E-01,0.000000E+00,2.322721E+00,2.116477E+04,5.014107E+04,2.202516E+00,4.647059E+04,1.593252E+00,0.000000E+00,0.000000E+00,1.593252E+00,0.000000E+00,4.328798E+00,4.528321E+04,7.139606E+04,2.908879E-01,1.511995E+04,2.552266E-01,0.000000E+00,0.000000E+00,2.552266E-01,4.650254E+03,7.665348E-01,8.130907E+03,1.213204E+04,2.321390E-01,1.313293E+04,2.321390E-01,0.000000E+00,0.000000E+00,2.321390E-01,4.229595E+03,4.483731E-01,4.541395E+03,7.902065E+03,4.839610E-01,1.768098E+04,2.252000E-01,0.000000E+00,0.000000E+00,2.252000E-01,4.103165E+03,3.576419E-01,3.555723E+03,6.787654E+03
