Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,,,5325035.6500713,91625491.39540942 
 01/01  02:00:00,,,5325035.6500713,91625491.39540942 
 01/01  03:00:00,,,5325035.6500713,91625491.39540942 
 01/01  04:00:00,,,5325035.6500713,91625491.39540942 
 01/01  05:00:00,,,5325035.6500713,91625491.39540942 
 01/01  06:00:00,,,5325035.6500713,91625491.39540942 
 01/01  07:00:00,,,5325035.6500713,91625491.39540942 
 01/01  08:00:00,,,5325035.6500713,91625491.39540942 
 01/01  09:00:00,,,5325035.6500713,91625491.39540942 
 01/01  10:00:00,,,5325035.6500713,91625491.39540942 
 01/01  11:00:00,,,5325035.6500713,91625491.39540942 
 01/01  12:00:00,,,5325035.6500713,91625491.39540942 
 01/01  13:00:00,,,5325035.6500713,91625491.39540942 
 01/01  14:00:00,,,5325035.6500713,91625491.39540942 
 01/01  15:00:00,,,5325035.6500713,91625491.39540942 
 01/01  16:00:00,,,5325035.6500713,91625491.39540942 
 01/01  17:00:00,,,5325035.6500713,91625491.39540942 
 01/01  18:00:00,,,5325035.6500713,91625491.39540942 
 01/01  19:00:00,,,5325035.6500713,91625491.39540942 
 01/01  20:00:00,,,5325035.6500713,91625491.39540942 
 01/01  21:00:00,,,5325035.6500713,91625491.39540942 
 01/01  22:00:00,,,5325035.6500713,91625491.39540942 
 01/01  23:00:00,,,5325035.6500713,91625491.39540942 
 01/01  24:00:00,,,5325035.6500713,91625491.39540942 
 01/02  01:00:00,,,5325035.6500713,91625491.39540942 
 01/02  02:00:00,,,5325035.6500713,91625491.39540942 
 01/02  03:00:00,,,5325035.6500713,91625491.39540942 
 01/02  04:00:00,,,5325035.6500713,91625491.39540942 
 01/02  05:00:00,,,5325035.6500713,91625491.39540942 
 01/02  06:00:00,,,5325035.6500713,91625491.39540942 
 01/02  07:00:00,,,5325035.6500713,91625491.39540942 
 01/02  08:00:00,,,5325035.6500713,91625491.39540942 
 01/02  09:00:00,,,76673129.90089913,260812685.15219098 
 01/02  10:00:00,,,79578812.92881787,260812685.15219098 
 01/02  11:00:00,,,74473929.516996,262892808.352191 
 01/02  12:00:00,,,72763739.45460953,262892808.352191 
 01/02  13:00:00,,,73453068.97270776,262892808.352191 
 01/02  14:00:00,,,74314941.96514505,260812685.15219098 
 01/02  15:00:00,,,77300083.36656454,260812685.15219098 
 01/02  16:00:00,,,89825102.6965456,259772623.55219096 
 01/02  17:00:00,,,109151891.15807977,259772623.55219096 
 01/02  18:00:00,,,116862754.95892796,106158675.54028091 
 01/02  19:00:00,,,116862754.95892796,106158675.54028091 
 01/02  20:00:00,,,116862754.95892796,106158675.54028091 
 01/02  21:00:00,,,111083775.86580381,106158675.54028091 
 01/02  22:00:00,,,8079527.3202159135,91625491.39540942 
 01/02  23:00:00,,,5325035.6500713,91625491.39540942 
 01/02  24:00:00,,,5325035.6500713,91625491.39540942 
 01/03  01:00:00,,,5325035.6500713,91625491.39540942 
 01/03  02:00:00,,,5325035.6500713,91625491.39540942 
 01/03  03:00:00,,,5325035.6500713,91625491.39540942 
 01/03  04:00:00,,,5325035.6500713,91625491.39540942 
 01/03  05:00:00,,,5325035.6500713,91625491.39540942 
 01/03  06:00:00,,,5325035.6500713,91625491.39540942 
 01/03  07:00:00,,,5325035.6500713,91625491.39540942 
 01/03  08:00:00,,,5325035.6500713,91625491.39540942 
 01/03  09:00:00,,,76349276.31891434,260812685.15219098 
 01/03  10:00:00,,,78501228.81986958,260812685.15219098 
 01/03  11:00:00,,,74143852.54155593,262892808.352191 
 01/03  12:00:00,,,71975231.94897464,262892808.352191 
 01/03  13:00:00,,,72036196.01119024,262892808.352191 
 01/03  14:00:00,,,73694628.21746182,260812685.15219098 
 01/03  15:00:00,,,76553286.27669905,260812685.15219098 
 01/03  16:00:00,,,93892954.51910193,259772623.55219096 
 01/03  17:00:00,,,109352370.88871348,259772623.55219096 
 01/03  18:00:00,,,116862754.95892796,106158675.54028091 
 01/03  19:00:00,,,116862754.95892796,106158675.54028091 
 01/03  20:00:00,,,116862754.95892796,106158675.54028091 
 01/03  21:00:00,,,111083775.86580381,106158675.54028091 
 01/03  22:00:00,,,8079527.3202159135,91625491.39540942 
 01/03  23:00:00,,,5325035.6500713,91625491.39540942 
 01/03  24:00:00,,,5325035.6500713,91625491.39540942 
 01/04  01:00:00,,,5325035.6500713,91625491.39540942 
 01/04  02:00:00,,,5325035.6500713,91625491.39540942 
 01/04  03:00:00,,,5325035.6500713,91625491.39540942 
 01/04  04:00:00,,,5325035.6500713,91625491.39540942 
 01/04  05:00:00,,,5325035.6500713,91625491.39540942 
 01/04  06:00:00,,,5325035.6500713,91625491.39540942 
 01/04  07:00:00,,,5325035.6500713,91625491.39540942 
 01/04  08:00:00,,,5325035.6500713,91625491.39540942 
 01/04  09:00:00,,,67037470.01877428,260812685.15219098 
 01/04  10:00:00,,,76466601.13453001,260812685.15219098 
 01/04  11:00:00,,,74960618.04075874,262892808.352191 
 01/04  12:00:00,,,72654893.15848002,262892808.352191 
 01/04  13:00:00,,,72659233.76444927,262892808.352191 
 01/04  14:00:00,,,73361341.27562605,260812685.15219098 
 01/04  15:00:00,,,75141480.55166486,260812685.15219098 
 01/04  16:00:00,,,82655827.21490806,259772623.55219096 
 01/04  17:00:00,,,107358328.56373101,259772623.55219096 
 01/04  18:00:00,,,116862754.95892796,106158675.54028091 
 01/04  19:00:00,,,116862754.95892796,106158675.54028091 
 01/04  20:00:00,,,116862754.95892796,106158675.54028091 
 01/04  21:00:00,,,111083775.86580381,106158675.54028091 
